dataset,n_nodes,n_frames,est_nodes,density_per_frame,mean_nn_dist,median_nn_dist,min_nn_dist,std_nn_dist,mean_intensity,std_intensity,snr_mean,snr_std,contrast_ratio,cell_radius_mean,cell_volume_mean
44b6_0113de3b,29560,76,25755,388.94736842105266,9.12177499771248,9.617919532213786,2.03125,2.331448978678618,0.6837074903844046,0.2738391685846947,3.159635993336335,1.8206118369034299,1.2911928355464966,2.367059961989851,57.04846102471955
44b6_0b24845f,40892,51,32795,801.8039215686274,9.135234012146695,9.093105647274752,1.9902104160113323,2.5420489053206103,0.6682766670999217,0.17304809201245822,1.5232551214506727,0.6601383244768754,0.8161442517356644,2.372011766364326,57.37059936968355
44b6_0c582fdc,32109,91,27958,352.84615384615387,8.074684852240388,8.175623542733605,2.03125,2.184368844103876,0.6180673735880594,0.2271751798348976,2.1127139233949714,1.0748732974117543,1.2359716419682731,2.3919166885405962,58.934662461869266
44b6_0db75fae,17612,89,15335,197.8876404494382,8.57586251636933,8.617863895711048,1.6750116604071745,2.0780374289910846,0.7147951160506473,0.2528826774408506,1.9621792626101238,0.964559706216872,1.092311630302105,2.3955816691131044,59.090409516636385
44b6_12dfb391,70294,100,58672,702.94,7.584802770029657,7.66510966979599,1.6750116604071745,2.1333447069954494,0.5608805516792471,0.20393638834969613,2.0377392176437774,1.2303891974350458,1.213582832539728,2.388803335145816,58.327044802597236
44b6_144b256d,81473,100,65376,814.73,7.243986059987754,7.10647262184271,1.6750116604071745,2.1265788375322567,0.5205748701650853,0.17463884875624117,1.272110001167979,0.739781266699508,1.1672442720773215,2.290164454216366,51.9932670444454
44b6_1574802b,19457,99,17677,196.53535353535352,8.94579350958656,8.928257487520343,3.1729139308370784,1.715169486516475,0.6621965516839697,0.2380756051363753,2.076000983056869,1.1098067541715688,1.2295479344689035,2.3846879490980113,58.43935407780901
44b6_18ced818,98743,100,78644,987.43,7.283763409407968,7.468815376282908,2.03125,1.745362858136174,0.6883773310243765,0.17638600964240264,1.540120902693037,0.9479580085048608,0.8462923424141693,2.3761571625910696,57.80361904943338
44b6_1d530831,42754,100,35825,427.54,8.893299906795457,8.722557412393455,2.03125,2.5182535166617397,0.5531073345497028,0.2272749108661422,1.9569015078860728,1.1353691817358482,1.4166686708975162,2.4271874938082987,61.051362481890116
44b6_24264f12,29451,87,26353,338.51724137931035,8.685286699939828,8.492471390149042,1.625,2.494495947623066,0.6569287129440426,0.25693451976843984,2.3138610497004346,1.3045338113290987,1.2728871646388034,2.4064769469607143,59.876603964838885
44b6_267148e4,23333,100,19130,233.33,8.755870678636084,8.694129664607033,1.86167137607581,2.180171981837864,0.7220735126560666,0.200484763376195,1.7537513012283175,0.9110681520112346,0.9137637822954529,2.393522335365362,59.01209708861698
