Group,Dataset,NodeRecall,NodePrec,GT_Nodes,Pred_Nodes,Ratio_Pred_GT,Border_Pred_Ratio,Pred_X_Mean,Vol_Min,Vol_Med,Vol_P99_5,Vol_Max,Max_to_Med_Ratio,GT_Val_Med,GT_Norm_Med,GT_to_Max_Ratio,Mean_NN_Dist_um
Worst,6bba_6feb10f0,0.1667,0.0255,1368,8948,6.540935667733233,0.5,215.09649122807016,26.0,291.0,1972.0,2810.0,9.656357355132792,695.0,0.33420228958129883,0.24733096076607441,25.959925323817245
Worst,6bba_ab78413d,0.3282,0.0328,1179,11794,10.003392697198139,0.3383458646616541,190.52631578947367,29.0,223.0,1995.0,3068.0,13.757847471937904,460.5,0.20902061462402344,0.1500977835234362,27.217519806740544
Worst,6bba_474be664,0.4486,0.0038,292,34179,117.05136946215285,0.20064724919093851,123.7864077669903,50.0,800.0,3400.0,5197.0,6.496249991879687,2339.0,0.6785822510719299,0.4500673464594829,39.293392990506014
Worst,6bba_c73a1d11,0.5929,0.0218,737,20080,27.24559019369662,0.4,97.16153846153846,16.0,108.0,738.0,1788.0,16.555555402263376,,,,
Worst,44b6_e29f0176,0.6078,0.0023,51,13777,270.13724960515196,0.3374233128834356,120.17791411042944,0.0,34.0,796.0,1321.0,38.85294003373706,,,,
Worst,44b6_cf2536e8,0.6974,0.0008,76,69079,908.9341985666554,0.2692307692307692,104.56952662721893,18.0,687.0,1559.0,2575.0,3.7481804894495188,1448.0,0.9260985255241394,0.562330096868998,
Worst,44b6_0b24845f,0.7059,0.0009,51,40674,797.5293961268746,0.24173027989821882,124.27226463104326,33.0,1005.0,1991.0,2691.0,2.677611937634217,,,,
Worst,6bba_207c6aaf,0.7137,0.023,475,14719,30.987368355816066,0.509090909090909,174.70909090909092,3.0,41.0,418.0,733.0,17.878048344437847,375.0,0.8927680850028992,0.511596179383907,
Worst,6bba_4ffd3da3,0.7224,0.0272,706,18722,26.51841356017222,0.29591836734693877,131.6377551020408,0.0,131.0,659.0,992.0,7.572519026163977,593.0,0.8990825414657593,0.597782257461913,28.63753021348497
Worst,6bba_78a7bd97,0.7302,0.0155,886,41877,47.26523696696926,0.42953020134228187,170.9798657718121,13.0,106.0,1346.0,1875.0,17.68867907840869,,,,
Best,44b6_0113de3b,1.0,0.0018,52,29553,568.3269121475594,0.21120689655172414,147.20258620689654,12.0,155.0,1512.0,2950.0,19.03225794172737,1687.0,1.0,0.5718644065858087,
Best,44b6_abf82518,1.0,0.0032,96,29893,311.3854134230686,0.22606382978723405,108.55585106382979,0.0,225.0,1603.0,2528.0,11.235555505619754,1309.0,0.8152105808258057,0.5178006327065662,
Best,44b6_cf8fed6b,1.0,0.004,191,47913,250.85340182799266,0.6551724137931034,222.3793103448276,0.0,11.0,700.0,1885.0,171.3636207851254,,,,
Best,44b6_d754aa59,1.0,0.0098,72,7350,102.08333191550928,0.3333333333333333,149.82666666666665,3.0,50.0,466.0,990.0,19.79999960400001,,,,
Best,44b6_aaf8b0ea,1.0,0.0094,209,22211,106.27272676424533,0.3825136612021858,61.26775956284153,15.0,268.0,2359.0,3379.0,12.608208908178325,743.0,0.30103805661201477,0.21988754062743784,
Best,44b6_81c256f0,1.0,0.0177,199,11216,56.36180876200096,0.3418803418803419,100.08547008547009,7.0,90.0,978.0,1954.0,21.711110869876546,1065.0,1.0,0.5450358236719366,
Best,44b6_808952d6,1.0,0.0105,181,17224,95.16022046872807,0.37209302325581395,99.46511627906976,17.0,187.0,1128.0,1831.0,9.791443797906718,969.0,0.8530499339103699,0.5292190057186132,
Best,44b6_95029e92,1.0,0.0338,200,5913,29.564999852175003,0.36363636363636365,133.16666666666666,3.0,49.0,480.0,1438.0,29.3469381765931,670.5,1.0,0.46627260051024155,12.112791856648904
Best,6bba_fbc898dc,1.0,0.1202,655,5450,8.320610674319678,0.32,126.3,1.0,35.0,619.0,1520.0,43.42857018775514,416.0,0.6639072895050049,0.2736842103462604,45.137257670173106
Best,6bba_3c5691b6,0.9987,0.1029,765,7425,9.705882340253748,0.42,98.96,3.0,53.0,510.0,1045.0,19.716980760056966,760.5,1.0,0.7277511954758361,71.73965517759338
