dataset,gt_sampled_nodes,current_recall,new_recall,recall_diff,avg_pred_current,avg_pred_new
44b6_0b24845f,2,0.49999999975,0.9999999995,0.49999999975,393.5,1076.25
44b6_267148e4,10,0.89999999991,0.9999999999,0.09999999998999998,240.0,437.25
44b6_2f31fc2f,4,0.7499999998125,0.99999999975,0.2499999999375,262.75,576.75
44b6_33b596bf,2,0.49999999975,0.9999999995,0.49999999975,293.0,407.0
44b6_3bb3690f,16,0.9374999999414062,0.9999999999375,0.06249999999609379,440.5,783.5
44b6_415c0a3a,16,0.8749999999453125,0.9999999999375,0.12499999999218747,623.5,864.5
44b6_5f15d135,12,0.9166666665902777,0.9166666665902777,0.0,382.5,802.75
44b6_66f9292d,8,0.874999999890625,0.999999999875,0.12499999998437494,639.25,960.25
44b6_74d0c52e,5,0.9999999998,0.9999999998,0.0,163.25,1099.0
44b6_87bba6c4,8,0.74999999990625,0.999999999875,0.24999999996875,308.0,481.75
44b6_8f5ab931,25,0.8799999999648,0.8399999999664,-0.03999999999840009,335.0,458.0
44b6_949adeb1,11,0.9999999999090909,0.9999999999090909,0.0,425.0,617.0
44b6_97725144,9,0.8888888887901234,0.9999999998888889,0.11111111109876548,422.5,707.75
44b6_a2bb48bb,18,0.9444444443919753,0.9999999999444444,0.05555555555246916,768.25,1167.25
44b6_c50204e0,13,0.8461538460887574,0.9230769230059171,0.07692307691715972,532.0,870.75
44b6_cf2536e8,4,0.7499999998125,0.99999999975,0.2499999999375,703.75,1079.25
44b6_d5e7d891,36,0.9166666666412038,0.94444444441821,0.027777777777006185,501.25,714.25
44b6_db3c847b,8,0.999999999875,0.999999999875,0.0,184.25,306.0
44b6_deabac95,4,0.99999999975,0.99999999975,0.0,174.5,229.0
44b6_e29f0176,2,0.9999999995,0.9999999995,0.0,157.0,229.5
44b6_e35b117d,11,0.8181818181074381,0.9999999999090909,0.18181818180165288,388.5,928.75
44b6_e57ff5c6,9,0.8888888887901234,0.8888888887901234,0.0,217.75,486.0
