dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
44b6_0113de3b,7.0,52,5638,25755,22,5616,30,0.0039,0.4231,0.0077,0.4684
44b6_0b24845f,7.0,51,19699,32795,2,19697,49,0.0001,0.0392,0.0002,4.2681
44b6_0c582fdc,7.0,71,8039,27958,13,8026,58,0.0016,0.1831,0.0032,4.4984
44b6_0db75fae,7.0,157,7098,15335,140,6958,17,0.0197,0.8917,0.0386,1.0883
44b6_12dfb391,7.0,788,5295,58672,93,5202,695,0.0176,0.118,0.0306,2.0479
44b6_144b256d,7.0,121,9422,65376,0,9422,121,0.0,0.0,0.0,0.0
44b6_1574802b,7.0,155,4031,17677,63,3968,92,0.0156,0.4065,0.0301,1.5209
44b6_18ced818,7.0,100,26792,78644,60,26732,40,0.0022,0.6,0.0045,2.0702
44b6_1d530831,7.0,276,10597,35825,153,10444,123,0.0144,0.5543,0.0281,3.0889
44b6_24264f12,7.0,230,6654,26353,116,6538,114,0.0174,0.5043,0.0337,3.1357
44b6_267148e4,7.0,280,11201,19130,149,11052,131,0.0133,0.5321,0.026,3.9866
44b6_2a2eff9f,7.0,214,12272,56367,71,12201,143,0.0058,0.3318,0.0114,2.95
44b6_2f31fc2f,7.0,89,13260,24368,48,13212,41,0.0036,0.5393,0.0072,4.9766
44b6_33b596bf,7.0,50,7744,23330,11,7733,39,0.0014,0.22,0.0028,6.1239
44b6_341df25f,7.0,216,2137,7436,114,2023,102,0.0533,0.5278,0.0969,2.0937
44b6_3a861e03,7.0,935,2278,40546,80,2198,855,0.0351,0.0856,0.0498,3.3289
44b6_3bb3690f,7.0,400,15395,31937,66,15329,334,0.0043,0.165,0.0084,4.7591
44b6_40c45f5a,7.0,200,13155,32681,165,12990,35,0.0125,0.825,0.0247,3.7974
44b6_415c0a3a,7.0,331,10509,57292,36,10473,295,0.0034,0.1088,0.0066,4.5075
44b6_53f95252,7.0,70,5216,38715,2,5214,68,0.0004,0.0286,0.0008,5.4701
44b6_551a5dba,7.0,228,25973,57627,138,25835,90,0.0053,0.6053,0.0105,3.9644
44b6_5740d24b,7.0,173,8301,19730,125,8176,48,0.0151,0.7225,0.0295,1.4516
44b6_587a1e22,7.0,381,6154,18137,260,5894,121,0.0422,0.6824,0.0796,1.2461
44b6_5f15d135,7.0,278,15477,29519,152,15325,126,0.0098,0.5468,0.0193,3.0403
44b6_668e0cc7,7.0,643,12927,39701,280,12647,363,0.0217,0.4355,0.0413,1.5242
