dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
44b6_0113de3b,50,29145,40,29105,10,0.0014,0.8,0.0027,40,10,10
44b6_0b24845f,49,30602,25,30577,24,0.0008,0.5102,0.0016,25,8,24
44b6_0c582fdc,70,27605,48,27557,22,0.0017,0.6857,0.0035,48,10,22
44b6_0db75fae,151,16049,127,15922,24,0.0079,0.8411,0.0157,127,12,24
44b6_12dfb391,773,62157,577,61580,196,0.0093,0.7464,0.0183,575,252,198
44b6_144b256d,119,69593,91,69502,28,0.0013,0.7647,0.0026,91,14,28
44b6_1574802b,153,17689,106,17583,47,0.006,0.6928,0.0119,106,32,47
44b6_18ced818,99,76771,78,76693,21,0.001,0.7879,0.002,78,23,21
44b6_1d530831,271,34566,200,34366,71,0.0058,0.738,0.0115,200,60,71
44b6_24264f12,221,25919,171,25748,50,0.0066,0.7738,0.0131,171,36,50
44b6_267148e4,277,19626,156,19470,121,0.0079,0.5632,0.0157,156,93,121
44b6_2a2eff9f,210,51726,167,51559,43,0.0032,0.7952,0.0064,167,43,43
44b6_2f31fc2f,85,21935,33,21902,52,0.0015,0.3882,0.003,33,37,52
44b6_33b596bf,49,21915,32,21883,17,0.0015,0.6531,0.0029,32,8,17
44b6_341df25f,209,8108,202,7906,7,0.0249,0.9665,0.0486,202,6,7
44b6_3a861e03,919,42462,706,41756,213,0.0166,0.7682,0.0325,708,229,211
44b6_3bb3690f,396,32706,246,32460,150,0.0075,0.6212,0.0149,246,109,150
44b6_40c45f5a,198,33819,142,33677,56,0.0042,0.7172,0.0083,142,56,56
44b6_415c0a3a,322,52289,203,52086,119,0.0039,0.6304,0.0077,203,64,119
44b6_53f95252,68,38198,54,38144,14,0.0014,0.7941,0.0028,54,10,14
44b6_551a5dba,224,61534,144,61390,80,0.0023,0.6429,0.0047,146,68,78
44b6_5740d24b,170,16657,156,16501,14,0.0094,0.9176,0.0185,156,9,14
44b6_587a1e22,371,18297,291,18006,80,0.0159,0.7844,0.0312,291,48,80
44b6_5f15d135,273,31622,185,31437,88,0.0059,0.6777,0.0116,185,59,88
44b6_668e0cc7,631,35787,464,35323,167,0.013,0.7353,0.0255,469,162,162
44b6_66f9292d,198,52024,102,51922,96,0.002,0.5152,0.0039,102,46,96
44b6_706092f0,117,77205,80,77125,37,0.001,0.6838,0.0021,80,40,37
44b6_71a4179f,119,71490,89,71401,30,0.0012,0.7479,0.0025,89,47,30
44b6_74d0c52e,139,13582,99,13483,40,0.0073,0.7122,0.0144,99,21,40
44b6_7a302da0,507,69597,351,69246,156,0.005,0.6923,0.01,351,122,156
44b6_7e557709,560,59299,407,58892,153,0.0069,0.7268,0.0136,408,218,152
44b6_808952d6,179,16507,175,16332,4,0.0106,0.9777,0.021,175,6,4
44b6_81c256f0,197,11029,188,10841,9,0.017,0.9543,0.0335,188,12,9
44b6_87bba6c4,149,25508,86,25422,63,0.0034,0.5772,0.0067,86,54,63
44b6_8cc6506c,396,32550,255,32295,141,0.0078,0.6439,0.0155,255,79,141
44b6_8f5ab931,604,26378,438,25940,166,0.0166,0.7252,0.0325,438,87,166
44b6_8f9ecab4,370,77072,281,76791,89,0.0036,0.7595,0.0073,281,81,89
44b6_90724892,103,23948,88,23860,15,0.0037,0.8544,0.0073,88,14,15
44b6_949adeb1,378,35880,251,35629,127,0.007,0.664,0.0138,251,79,127
44b6_95029e92,198,7525,196,7329,2,0.026,0.9899,0.0508,196,2,2
44b6_97725144,221,39981,160,39821,61,0.004,0.724,0.008,160,27,61
44b6_996155de,377,10606,345,10261,32,0.0325,0.9151,0.0628,345,17,32
44b6_9be80b04,220,63499,137,63362,83,0.0022,0.6227,0.0043,136,81,84
44b6_9bfa6a0a,259,66659,178,66481,81,0.0027,0.6873,0.0053,178,105,81
44b6_a21120c2,286,22459,218,22241,68,0.0097,0.7622,0.0192,218,75,68
44b6_a2bb48bb,410,63387,213,63174,197,0.0034,0.5195,0.0067,211,153,199
44b6_aaf8b0ea,206,21551,199,21352,7,0.0092,0.966,0.0183,199,7,7
44b6_abf82518,94,25999,90,25909,4,0.0035,0.9574,0.0069,90,3,4
44b6_b2c44266,168,62140,127,62013,41,0.002,0.756,0.0041,129,55,39
44b6_c15fded2,102,20275,72,20203,30,0.0036,0.7059,0.0071,72,27,30
44b6_c50204e0,325,45925,181,45744,144,0.0039,0.5569,0.0078,182,81,143
44b6_c771cb04,223,51893,138,51755,85,0.0027,0.6188,0.0053,138,79,85
44b6_c8e2a523,164,36594,139,36455,25,0.0038,0.8476,0.0076,139,32,25
44b6_c96cfa10,616,44506,471,44035,145,0.0106,0.7646,0.0209,471,122,145
44b6_cf2536e8,75,53937,39,53898,36,0.0007,0.52,0.0014,39,6,36
44b6_cf8fed6b,188,39847,152,39695,36,0.0038,0.8085,0.0076,152,45,36
44b6_d29c9ab2,1328,42126,974,41152,354,0.0231,0.7334,0.0448,979,411,349
44b6_d2f34f90,281,23941,199,23742,82,0.0083,0.7082,0.0164,199,67,82
44b6_d5e7d891,893,43940,517,43423,376,0.0118,0.5789,0.0231,518,256,375
44b6_d754aa59,70,7112,55,7057,15,0.0077,0.7857,0.0153,55,11,15
44b6_d78e09d9,451,21939,339,21600,112,0.0155,0.7517,0.0303,339,74,112
44b6_db3c847b,162,15605,122,15483,40,0.0078,0.7531,0.0155,122,18,40
44b6_ddf577ad,647,53536,425,53111,222,0.0079,0.6569,0.0157,427,207,220
44b6_deabac95,124,13948,100,13848,24,0.0072,0.8065,0.0142,100,12,24
44b6_e28840c6,309,78049,226,77823,83,0.0029,0.7314,0.0058,224,64,85
44b6_e29f0176,50,11594,11,11583,39,0.0009,0.22,0.0019,11,20,39
44b6_e31261b4,113,68237,92,68145,21,0.0013,0.8142,0.0027,92,21,21
44b6_e35b117d,266,32869,152,32717,114,0.0046,0.5714,0.0092,152,46,114
44b6_e57ff5c6,186,17922,101,17821,85,0.0056,0.543,0.0112,101,44,85
44b6_eb2880fc,379,41665,294,41371,85,0.0071,0.7757,0.014,294,84,85
44b6_f28707c6,61,18490,36,18454,25,0.0019,0.5902,0.0039,36,17,25
6bba_05b6850b,845,8181,606,7575,239,0.0741,0.7172,0.1343,604,226,241
6bba_05db0fb1,1183,69083,877,68206,306,0.0127,0.7413,0.025,876,265,307
6bba_062c8d37,898,7736,581,7155,317,0.0751,0.647,0.1346,586,375,312
6bba_07477033,602,5981,456,5525,146,0.0762,0.7575,0.1385,456,172,146
6bba_07e24132,345,34764,226,34538,119,0.0065,0.6551,0.0129,228,109,117
6bba_085bf656,1168,9382,784,8598,384,0.0836,0.6712,0.1486,784,501,384
6bba_09961292,1871,33510,1413,32097,458,0.0422,0.7552,0.0799,1414,507,457
6bba_0c7fa718,659,14311,404,13907,255,0.0282,0.6131,0.054,405,244,254
