dataset,source_id,target_id
44b6_2f31fc2f,0,20
44b6_2f31fc2f,2,19
44b6_2f31fc2f,16,30
44b6_2f31fc2f,14,29
44b6_2f31fc2f,15,24
44b6_2f31fc2f,6,21
44b6_2f31fc2f,10,27
44b6_2f31fc2f,9,26
44b6_2f31fc2f,3,23
44b6_2f31fc2f,11,25
44b6_2f31fc2f,4,18
44b6_2f31fc2f,21,35
44b6_2f31fc2f,19,32
44b6_2f31fc2f,20,41
44b6_2f31fc2f,18,33
44b6_2f31fc2f,27,47
44b6_2f31fc2f,28,46
44b6_2f31fc2f,29,40
44b6_2f31fc2f,26,34
44b6_2f31fc2f,25,44
44b6_2f31fc2f,24,36
44b6_2f31fc2f,23,38
44b6_2f31fc2f,33,51
44b6_2f31fc2f,32,66
44b6_2f31fc2f,35,61
44b6_2f31fc2f,36,62
44b6_2f31fc2f,34,52
44b6_2f31fc2f,37,55
44b6_2f31fc2f,38,67
44b6_2f31fc2f,39,53
44b6_2f31fc2f,40,56
44b6_2f31fc2f,41,65
44b6_2f31fc2f,42,57
44b6_2f31fc2f,43,70
44b6_2f31fc2f,45,63
44b6_2f31fc2f,47,60
44b6_2f31fc2f,49,54
44b6_2f31fc2f,65,77
44b6_2f31fc2f,54,78
44b6_2f31fc2f,66,75
44b6_2f31fc2f,68,76
44b6_2f31fc2f,63,74
44b6_2f31fc2f,51,73
44b6_2f31fc2f,52,71
44b6_2f31fc2f,56,81
44b6_2f31fc2f,55,72
44b6_2f31fc2f,71,84
44b6_2f31fc2f,72,85
44b6_2f31fc2f,73,83
44b6_2f31fc2f,74,90
44b6_2f31fc2f,75,88
44b6_2f31fc2f,76,92
44b6_2f31fc2f,77,95
44b6_2f31fc2f,78,89
44b6_2f31fc2f,80,91
44b6_2f31fc2f,81,93
44b6_2f31fc2f,82,86
44b6_2f31fc2f,83,99
44b6_2f31fc2f,84,107
44b6_2f31fc2f,85,105
44b6_2f31fc2f,86,106
44b6_2f31fc2f,87,102
44b6_2f31fc2f,90,108
44b6_2f31fc2f,91,110
44b6_2f31fc2f,93,111
44b6_2f31fc2f,98,104
44b6_2f31fc2f,99,113
44b6_2f31fc2f,101,118
44b6_2f31fc2f,104,114
44b6_2f31fc2f,106,120
44b6_2f31fc2f,107,124
44b6_2f31fc2f,108,121
44b6_2f31fc2f,111,126
44b6_2f31fc2f,112,115
44b6_2f31fc2f,113,128
44b6_2f31fc2f,114,130
44b6_2f31fc2f,115,138
44b6_2f31fc2f,116,137
44b6_2f31fc2f,117,129
44b6_2f31fc2f,119,135
44b6_2f31fc2f,120,132
44b6_2f31fc2f,121,142
44b6_2f31fc2f,123,133
44b6_2f31fc2f,124,143
44b6_2f31fc2f,127,140
44b6_2f31fc2f,139,157
44b6_2f31fc2f,137,158
44b6_2f31fc2f,136,150
44b6_2f31fc2f,135,154
44b6_2f31fc2f,134,152
44b6_2f31fc2f,133,147
44b6_2f31fc2f,131,148
44b6_2f31fc2f,130,149
44b6_2f31fc2f,129,146
44b6_2f31fc2f,128,145
44b6_2f31fc2f,151,171
44b6_2f31fc2f,155,167
44b6_2f31fc2f,156,168
44b6_2f31fc2f,147,172
44b6_2f31fc2f,150,159
44b6_2f31fc2f,149,162
44b6_2f31fc2f,148,166
44b6_2f31fc2f,145,161
44b6_2f31fc2f,146,160
44b6_2f31fc2f,159,190
44b6_2f31fc2f,167,174
44b6_2f31fc2f,172,189
44b6_2f31fc2f,171,187
44b6_2f31fc2f,170,175
44b6_2f31fc2f,169,179
44b6_2f31fc2f,163,181
44b6_2f31fc2f,162,184
44b6_2f31fc2f,161,173
44b6_2f31fc2f,164,192
44b6_2f31fc2f,173,194
44b6_2f31fc2f,174,200
44b6_2f31fc2f,176,208
44b6_2f31fc2f,182,209
44b6_2f31fc2f,183,205
44b6_2f31fc2f,184,206
44b6_2f31fc2f,185,196
44b6_2f31fc2f,187,202
44b6_2f31fc2f,190,195
44b6_2f31fc2f,207,222
44b6_2f31fc2f,206,230
44b6_2f31fc2f,203,224
44b6_2f31fc2f,202,232
44b6_2f31fc2f,204,229
44b6_2f31fc2f,197,234
44b6_2f31fc2f,196,227
44b6_2f31fc2f,195,215
44b6_2f31fc2f,194,214
44b6_2f31fc2f,201,216
44b6_2f31fc2f,200,219
44b6_2f31fc2f,210,225
44b6_2f31fc2f,213,223
44b6_2f31fc2f,215,242
44b6_2f31fc2f,227,237
44b6_2f31fc2f,235,247
44b6_2f31fc2f,237,249
44b6_2f31fc2f,236,252
44b6_2f31fc2f,241,255
44b6_2f31fc2f,252,276
44b6_2f31fc2f,254,275
44b6_2f31fc2f,257,269
44b6_2f31fc2f,251,261
44b6_2f31fc2f,248,263
44b6_2f31fc2f,247,260
44b6_2f31fc2f,249,264
44b6_2f31fc2f,253,267
44b6_2f31fc2f,256,271
44b6_2f31fc2f,270,281
44b6_2f31fc2f,261,283
44b6_2f31fc2f,260,278
44b6_2f31fc2f,274,286
44b6_2f31fc2f,275,284
44b6_2f31fc2f,268,280
44b6_2f31fc2f,264,279
44b6_2f31fc2f,265,285
44b6_2f31fc2f,278,287
44b6_2f31fc2f,279,288
44b6_2f31fc2f,281,290
44b6_2f31fc2f,288,295
44b6_2f31fc2f,292,304
44b6_2f31fc2f,293,296
44b6_2f31fc2f,287,294
44b6_2f31fc2f,289,299
44b6_2f31fc2f,290,300
44b6_2f31fc2f,294,307
44b6_2f31fc2f,304,314
44b6_2f31fc2f,298,323
44b6_2f31fc2f,300,321
44b6_2f31fc2f,297,306
44b6_2f31fc2f,299,311
44b6_2f31fc2f,295,309
44b6_2f31fc2f,310,327
44b6_2f31fc2f,309,331
44b6_2f31fc2f,314,330
44b6_2f31fc2f,317,329
44b6_2f31fc2f,318,328
44b6_2f31fc2f,306,325
44b6_2f31fc2f,307,326
44b6_2f31fc2f,325,334
44b6_2f31fc2f,330,339
44b6_2f31fc2f,329,337
44b6_2f31fc2f,327,333
44b6_2f31fc2f,326,332
44b6_2f31fc2f,331,343
44b6_2f31fc2f,346,356
44b6_2f31fc2f,362,366
44b6_2f31fc2f,356,373
44b6_2f31fc2f,352,367
44b6_2f31fc2f,351,376
44b6_2f31fc2f,358,368
44b6_2f31fc2f,357,369
44b6_2f31fc2f,347,363
44b6_2f31fc2f,348,365
44b6_2f31fc2f,350,374
44b6_2f31fc2f,349,364
44b6_2f31fc2f,354,371
44b6_2f31fc2f,373,382
44b6_2f31fc2f,374,393
44b6_2f31fc2f,371,381
44b6_2f31fc2f,372,397
44b6_2f31fc2f,368,395
44b6_2f31fc2f,367,390
44b6_2f31fc2f,375,384
44b6_2f31fc2f,369,386
44b6_2f31fc2f,370,388
44b6_2f31fc2f,363,377
44b6_2f31fc2f,364,379
44b6_2f31fc2f,365,387
44b6_2f31fc2f,366,380
44b6_2f31fc2f,383,409
44b6_2f31fc2f,381,403
44b6_2f31fc2f,382,404
44b6_2f31fc2f,389,411
