dataset,source_id,target_id
6bba_5b28472a,886190,886242
6bba_5b28472a,886191,886244
6bba_5b28472a,886192,886243
6bba_5b28472a,886194,886241
6bba_5b28472a,886195,886246
6bba_5b28472a,886196,886245
6bba_5b28472a,886197,886254
6bba_5b28472a,886198,886250
6bba_5b28472a,886238,886290
6bba_5b28472a,886237,886287
6bba_5b28472a,886236,886289
6bba_5b28472a,886235,886288
6bba_5b28472a,886234,886286
6bba_5b28472a,886233,886284
6bba_5b28472a,886200,886247
6bba_5b28472a,886225,886277
6bba_5b28472a,886226,886272
6bba_5b28472a,886227,886275
6bba_5b28472a,886228,886281
6bba_5b28472a,886229,886282
6bba_5b28472a,886230,886278
6bba_5b28472a,886216,886266
6bba_5b28472a,886217,886267
6bba_5b28472a,886210,886255
6bba_5b28472a,886211,886249
6bba_5b28472a,886212,886265
6bba_5b28472a,886213,886264
6bba_5b28472a,886214,886263
6bba_5b28472a,886215,886261
6bba_5b28472a,886203,886248
6bba_5b28472a,886202,886252
6bba_5b28472a,886199,886251
6bba_5b28472a,886204,886253
6bba_5b28472a,886205,886257
6bba_5b28472a,886206,886262
6bba_5b28472a,886208,886258
6bba_5b28472a,886209,886256
6bba_5b28472a,886239,886285
6bba_5b28472a,886218,886273
6bba_5b28472a,886219,886270
6bba_5b28472a,886220,886274
6bba_5b28472a,886221,886276
6bba_5b28472a,886223,886271
6bba_5b28472a,886224,886268
6bba_5b28472a,886201,886259
6bba_5b28472a,886232,886279
6bba_5b28472a,886231,886280
6bba_5b28472a,886287,886335
6bba_5b28472a,886288,886333
6bba_5b28472a,886289,886323
6bba_5b28472a,886286,886336
6bba_5b28472a,886279,886330
6bba_5b28472a,886280,886338
6bba_5b28472a,886281,886334
6bba_5b28472a,886282,886339
6bba_5b28472a,886283,886332
6bba_5b28472a,886284,886337
6bba_5b28472a,886243,886295
6bba_5b28472a,886246,886305
6bba_5b28472a,886245,886299
6bba_5b28472a,886244,886293
6bba_5b28472a,886241,886292
6bba_5b28472a,886242,886294
6bba_5b28472a,886266,886317
6bba_5b28472a,886247,886301
6bba_5b28472a,886248,886306
6bba_5b28472a,886249,886318
6bba_5b28472a,886250,886300
6bba_5b28472a,886251,886297
6bba_5b28472a,886268,886320
6bba_5b28472a,886269,886314
6bba_5b28472a,886270,886321
6bba_5b28472a,886260,886304
6bba_5b28472a,886261,886311
6bba_5b28472a,886263,886316
6bba_5b28472a,886264,886315
6bba_5b28472a,886265,886328
6bba_5b28472a,886258,886312
6bba_5b28472a,886259,886310
6bba_5b28472a,886252,886303
6bba_5b28472a,886253,886302
6bba_5b28472a,886254,886308
6bba_5b28472a,886255,886309
6bba_5b28472a,886257,886296
6bba_5b28472a,886272,886326
6bba_5b28472a,886271,886327
