dataset,source_id,target_id
6bba_76db78c1,0,79
6bba_76db78c1,1,78
6bba_76db78c1,66,146
6bba_76db78c1,67,149
6bba_76db78c1,69,148
6bba_76db78c1,70,152
6bba_76db78c1,71,151
6bba_76db78c1,15,94
6bba_76db78c1,16,96
6bba_76db78c1,17,116
6bba_76db78c1,10,91
6bba_76db78c1,11,97
6bba_76db78c1,12,83
6bba_76db78c1,13,89
6bba_76db78c1,18,84
6bba_76db78c1,20,95
6bba_76db78c1,61,144
6bba_76db78c1,41,101
6bba_76db78c1,60,138
6bba_76db78c1,59,137
6bba_76db78c1,58,140
6bba_76db78c1,5,81
6bba_76db78c1,4,86
6bba_76db78c1,3,85
6bba_76db78c1,2,88
6bba_76db78c1,38,141
6bba_76db78c1,40,99
6bba_76db78c1,39,115
6bba_76db78c1,54,136
6bba_76db78c1,56,131
6bba_76db78c1,57,130
6bba_76db78c1,7,82
6bba_76db78c1,8,87
6bba_76db78c1,9,92
6bba_76db78c1,26,113
6bba_76db78c1,27,118
6bba_76db78c1,28,98
6bba_76db78c1,29,106
6bba_76db78c1,31,111
6bba_76db78c1,32,112
6bba_76db78c1,33,117
6bba_76db78c1,34,93
6bba_76db78c1,36,119
6bba_76db78c1,37,114
6bba_76db78c1,42,122
6bba_76db78c1,45,109
6bba_76db78c1,44,125
6bba_76db78c1,46,126
6bba_76db78c1,50,124
6bba_76db78c1,51,135
6bba_76db78c1,52,121
6bba_76db78c1,22,100
6bba_76db78c1,21,103
6bba_76db78c1,23,104
6bba_76db78c1,24,102
6bba_76db78c1,25,105
6bba_76db78c1,62,143
6bba_76db78c1,63,128
6bba_76db78c1,65,108
6bba_76db78c1,75,134
6bba_76db78c1,14,90
6bba_76db78c1,48,127
6bba_76db78c1,47,129
6bba_76db78c1,53,133
6bba_76db78c1,49,123
6bba_76db78c1,106,174
6bba_76db78c1,105,172
6bba_76db78c1,112,186
6bba_76db78c1,113,176
6bba_76db78c1,114,187
6bba_76db78c1,115,191
6bba_76db78c1,116,190
6bba_76db78c1,117,193
6bba_76db78c1,118,185
6bba_76db78c1,119,189
6bba_76db78c1,121,196
6bba_76db78c1,122,192
6bba_76db78c1,107,165
6bba_76db78c1,108,162
6bba_76db78c1,109,184
6bba_76db78c1,111,183
6bba_76db78c1,128,213
6bba_76db78c1,129,206
6bba_76db78c1,130,209
6bba_76db78c1,131,201
6bba_76db78c1,133,208
6bba_76db78c1,135,202
6bba_76db78c1,136,214
6bba_76db78c1,137,211
6bba_76db78c1,138,212
6bba_76db78c1,141,207
6bba_76db78c1,143,215
6bba_76db78c1,144,216
6bba_76db78c1,145,217
6bba_76db78c1,146,210
6bba_76db78c1,147,218
6bba_76db78c1,148,221
6bba_76db78c1,149,220
6bba_76db78c1,150,227
6bba_76db78c1,151,224
6bba_76db78c1,152,223
6bba_76db78c1,102,182
6bba_76db78c1,104,199
6bba_76db78c1,123,195
6bba_76db78c1,124,194
6bba_76db78c1,125,198
6bba_76db78c1,126,203
6bba_76db78c1,127,205
6bba_76db78c1,78,153
6bba_76db78c1,80,155
6bba_76db78c1,79,154
6bba_76db78c1,101,188
6bba_76db78c1,81,156
6bba_76db78c1,82,157
6bba_76db78c1,83,164
6bba_76db78c1,103,177
6bba_76db78c1,89,161
6bba_76db78c1,90,167
6bba_76db78c1,91,166
6bba_76db78c1,92,173
6bba_76db78c1,88,159
6bba_76db78c1,87,160
6bba_76db78c1,85,168
6bba_76db78c1,100,171
6bba_76db78c1,99,179
6bba_76db78c1,98,175
6bba_76db78c1,97,163
6bba_76db78c1,96,169
6bba_76db78c1,95,170
6bba_76db78c1,94,181
6bba_76db78c1,84,158
6bba_76db78c1,93,178
6bba_76db78c1,223,296
6bba_76db78c1,221,293
6bba_76db78c1,222,291
6bba_76db78c1,219,292
6bba_76db78c1,218,290
6bba_76db78c1,217,287
6bba_76db78c1,220,294
6bba_76db78c1,191,269
6bba_76db78c1,190,262
6bba_76db78c1,189,259
6bba_76db78c1,188,267
6bba_76db78c1,187,263
6bba_76db78c1,186,257
6bba_76db78c1,185,256
6bba_76db78c1,184,261
6bba_76db78c1,183,252
6bba_76db78c1,182,258
6bba_76db78c1,181,253
6bba_76db78c1,180,250
6bba_76db78c1,178,254
6bba_76db78c1,177,247
6bba_76db78c1,176,246
6bba_76db78c1,175,251
6bba_76db78c1,174,248
6bba_76db78c1,173,260
6bba_76db78c1,172,241
6bba_76db78c1,170,244
6bba_76db78c1,169,249
6bba_76db78c1,168,240
6bba_76db78c1,167,243
6bba_76db78c1,166,242
6bba_76db78c1,165,245
6bba_76db78c1,164,236
6bba_76db78c1,163,239
6bba_76db78c1,162,235
6bba_76db78c1,161,238
6bba_76db78c1,160,237
6bba_76db78c1,159,233
6bba_76db78c1,158,255
6bba_76db78c1,157,230
6bba_76db78c1,156,232
6bba_76db78c1,155,231
6bba_76db78c1,154,228
6bba_76db78c1,153,229
6bba_76db78c1,216,288
6bba_76db78c1,214,289
6bba_76db78c1,213,280
6bba_76db78c1,212,284
6bba_76db78c1,211,285
6bba_76db78c1,209,282
6bba_76db78c1,208,276
6bba_76db78c1,207,283
6bba_76db78c1,204,279
6bba_76db78c1,203,275
6bba_76db78c1,202,277
6bba_76db78c1,201,281
6bba_76db78c1,199,272
6bba_76db78c1,198,273
6bba_76db78c1,197,266
6bba_76db78c1,195,271
6bba_76db78c1,194,268
6bba_76db78c1,193,265
6bba_76db78c1,192,264
6bba_76db78c1,225,299
6bba_76db78c1,224,298
6bba_76db78c1,300,376
6bba_76db78c1,299,374
6bba_76db78c1,298,373
6bba_76db78c1,301,375
6bba_76db78c1,275,351
6bba_76db78c1,274,345
6bba_76db78c1,273,341
6bba_76db78c1,271,339
6bba_76db78c1,270,348
6bba_76db78c1,268,343
6bba_76db78c1,267,350
6bba_76db78c1,266,327
6bba_76db78c1,265,347
6bba_76db78c1,249,330
6bba_76db78c1,250,320
6bba_76db78c1,251,331
6bba_76db78c1,252,325
6bba_76db78c1,253,326
6bba_76db78c1,254,322
6bba_76db78c1,255,355
6bba_76db78c1,256,329
6bba_76db78c1,257,334
6bba_76db78c1,258,354
6bba_76db78c1,259,340
6bba_76db78c1,260,333
6bba_76db78c1,261,342
6bba_76db78c1,262,344
6bba_76db78c1,263,336
6bba_76db78c1,264,337
6bba_76db78c1,280,365
6bba_76db78c1,279,349
6bba_76db78c1,278,332
6bba_76db78c1,276,361
6bba_76db78c1,291,363
6bba_76db78c1,290,362
6bba_76db78c1,289,366
6bba_76db78c1,288,367
6bba_76db78c1,287,364
6bba_76db78c1,285,359
6bba_76db78c1,284,358
6bba_76db78c1,283,357
6bba_76db78c1,282,356
6bba_76db78c1,281,353
6bba_76db78c1,296,368
6bba_76db78c1,293,369
6bba_76db78c1,292,371
6bba_76db78c1,238,310
6bba_76db78c1,239,313
6bba_76db78c1,240,318
6bba_76db78c1,241,311
6bba_76db78c1,242,317
6bba_76db78c1,243,316
6bba_76db78c1,245,319
6bba_76db78c1,246,328
6bba_76db78c1,247,323
6bba_76db78c1,248,321
6bba_76db78c1,233,303
6bba_76db78c1,234,309
6bba_76db78c1,235,312
6bba_76db78c1,236,314
6bba_76db78c1,237,307
6bba_76db78c1,230,308
6bba_76db78c1,231,304
6bba_76db78c1,232,305
6bba_76db78c1,229,306
6bba_76db78c1,228,302
6bba_76db78c1,355,430
6bba_76db78c1,354,429
6bba_76db78c1,353,428
6bba_76db78c1,350,425
6bba_76db78c1,351,426
6bba_76db78c1,352,427
6bba_76db78c1,345,420
6bba_76db78c1,346,421
6bba_76db78c1,347,422
6bba_76db78c1,348,423
6bba_76db78c1,349,424
6bba_76db78c1,334,409
6bba_76db78c1,335,410
6bba_76db78c1,336,411
6bba_76db78c1,337,412
6bba_76db78c1,338,413
6bba_76db78c1,339,414
6bba_76db78c1,340,415
6bba_76db78c1,341,416
6bba_76db78c1,342,417
6bba_76db78c1,343,418
6bba_76db78c1,344,419
6bba_76db78c1,313,388
6bba_76db78c1,314,389
6bba_76db78c1,315,390
6bba_76db78c1,316,391
6bba_76db78c1,317,392
6bba_76db78c1,318,393
6bba_76db78c1,319,394
6bba_76db78c1,320,395
6bba_76db78c1,321,396
6bba_76db78c1,322,397
6bba_76db78c1,323,398
6bba_76db78c1,356,431
6bba_76db78c1,357,432
6bba_76db78c1,358,433
6bba_76db78c1,359,434
6bba_76db78c1,360,435
6bba_76db78c1,329,404
6bba_76db78c1,330,405
6bba_76db78c1,331,406
6bba_76db78c1,332,407
6bba_76db78c1,333,408
6bba_76db78c1,312,387
6bba_76db78c1,310,385
6bba_76db78c1,311,386
6bba_76db78c1,305,380
6bba_76db78c1,306,381
6bba_76db78c1,307,382
6bba_76db78c1,308,383
6bba_76db78c1,309,384
6bba_76db78c1,302,377
6bba_76db78c1,304,379
6bba_76db78c1,303,378
6bba_76db78c1,361,436
6bba_76db78c1,362,437
6bba_76db78c1,363,438
6bba_76db78c1,364,439
6bba_76db78c1,365,440
6bba_76db78c1,366,441
6bba_76db78c1,367,442
6bba_76db78c1,368,443
6bba_76db78c1,369,444
6bba_76db78c1,370,445
6bba_76db78c1,371,446
6bba_76db78c1,372,447
6bba_76db78c1,373,448
6bba_76db78c1,374,449
6bba_76db78c1,375,450
6bba_76db78c1,376,451
6bba_76db78c1,328,403
6bba_76db78c1,327,402
6bba_76db78c1,326,401
6bba_76db78c1,325,400
6bba_76db78c1,324,399
6bba_76db78c1,444,517
6bba_76db78c1,443,520
6bba_76db78c1,442,512
6bba_76db78c1,441,511
6bba_76db78c1,447,518
6bba_76db78c1,445,499
6bba_76db78c1,411,478
6bba_76db78c1,410,486
6bba_76db78c1,424,492
6bba_76db78c1,423,493
6bba_76db78c1,428,489
6bba_76db78c1,429,503
6bba_76db78c1,430,501
6bba_76db78c1,431,505
6bba_76db78c1,433,506
6bba_76db78c1,434,507
6bba_76db78c1,438,510
6bba_76db78c1,439,473
6bba_76db78c1,440,498
6bba_76db78c1,425,482
6bba_76db78c1,426,504
6bba_76db78c1,422,495
6bba_76db78c1,420,494
6bba_76db78c1,419,490
6bba_76db78c1,418,484
6bba_76db78c1,417,496
6bba_76db78c1,416,497
6bba_76db78c1,415,485
6bba_76db78c1,414,491
6bba_76db78c1,413,470
6bba_76db78c1,412,487
6bba_76db78c1,404,488
6bba_76db78c1,406,465
6bba_76db78c1,405,466
6bba_76db78c1,408,483
6bba_76db78c1,407,469
6bba_76db78c1,394,481
6bba_76db78c1,393,472
6bba_76db78c1,395,464
6bba_76db78c1,396,480
6bba_76db78c1,397,475
6bba_76db78c1,402,502
6bba_76db78c1,401,456
6bba_76db78c1,403,477
6bba_76db78c1,388,476
6bba_76db78c1,390,471
6bba_76db78c1,389,453
6bba_76db78c1,392,461
6bba_76db78c1,391,462
6bba_76db78c1,378,474
6bba_76db78c1,377,452
6bba_76db78c1,379,457
6bba_76db78c1,380,454
6bba_76db78c1,383,455
6bba_76db78c1,381,458
6bba_76db78c1,382,479
6bba_76db78c1,386,460
6bba_76db78c1,385,459
6bba_76db78c1,387,467
6bba_76db78c1,504,579
6bba_76db78c1,506,582
6bba_76db78c1,507,581
6bba_76db78c1,493,564
6bba_76db78c1,494,570
6bba_76db78c1,495,554
6bba_76db78c1,496,571
6bba_76db78c1,497,566
6bba_76db78c1,498,577
6bba_76db78c1,499,547
6bba_76db78c1,500,555
6bba_76db78c1,501,563
