dataset,source_id,target_id
6bba_907271db,32,175
6bba_907271db,65,214
6bba_907271db,66,188
6bba_907271db,67,212
6bba_907271db,100,249
6bba_907271db,119,257
6bba_907271db,120,252
6bba_907271db,122,258
6bba_907271db,123,256
6bba_907271db,125,261
6bba_907271db,128,263
6bba_907271db,129,265
6bba_907271db,132,277
6bba_907271db,133,273
6bba_907271db,135,271
6bba_907271db,136,274
6bba_907271db,138,267
6bba_907271db,84,220
6bba_907271db,85,240
6bba_907271db,86,222
6bba_907271db,87,229
6bba_907271db,88,255
6bba_907271db,89,199
6bba_907271db,90,210
6bba_907271db,91,216
6bba_907271db,92,237
6bba_907271db,93,235
6bba_907271db,94,232
6bba_907271db,95,236
6bba_907271db,96,242
6bba_907271db,97,234
6bba_907271db,33,159
6bba_907271db,34,184
6bba_907271db,35,179
6bba_907271db,36,177
6bba_907271db,37,169
6bba_907271db,38,185
6bba_907271db,39,190
6bba_907271db,56,233
6bba_907271db,57,215
6bba_907271db,58,231
6bba_907271db,59,173
6bba_907271db,60,207
6bba_907271db,61,204
6bba_907271db,62,206
6bba_907271db,63,195
6bba_907271db,64,171
6bba_907271db,0,139
6bba_907271db,1,143
6bba_907271db,18,162
6bba_907271db,19,170
6bba_907271db,20,198
6bba_907271db,21,166
6bba_907271db,22,155
6bba_907271db,23,181
6bba_907271db,24,250
6bba_907271db,25,182
6bba_907271db,26,148
6bba_907271db,27,163
6bba_907271db,28,192
6bba_907271db,29,152
6bba_907271db,31,180
6bba_907271db,40,183
6bba_907271db,42,187
6bba_907271db,43,197
6bba_907271db,44,223
6bba_907271db,46,178
6bba_907271db,47,189
6bba_907271db,48,167
6bba_907271db,49,174
6bba_907271db,50,168
6bba_907271db,51,202
6bba_907271db,52,205
6bba_907271db,53,194
6bba_907271db,54,208
6bba_907271db,55,193
6bba_907271db,68,219
6bba_907271db,69,239
6bba_907271db,70,186
6bba_907271db,72,226
6bba_907271db,73,209
6bba_907271db,75,196
6bba_907271db,76,228
6bba_907271db,77,227
6bba_907271db,78,176
6bba_907271db,79,218
6bba_907271db,80,213
6bba_907271db,81,203
6bba_907271db,82,211
6bba_907271db,83,221
6bba_907271db,102,241
6bba_907271db,104,245
6bba_907271db,105,225
6bba_907271db,106,200
6bba_907271db,107,230
6bba_907271db,109,246
6bba_907271db,110,160
6bba_907271db,112,253
6bba_907271db,114,217
6bba_907271db,115,254
6bba_907271db,2,140
6bba_907271db,3,141
6bba_907271db,4,144
6bba_907271db,5,146
6bba_907271db,6,154
6bba_907271db,7,165
6bba_907271db,8,150
6bba_907271db,9,147
6bba_907271db,10,145
6bba_907271db,11,153
6bba_907271db,12,149
6bba_907271db,13,157
6bba_907271db,14,164
6bba_907271db,15,142
6bba_907271db,16,151
6bba_907271db,17,161
6bba_907271db,245,388
6bba_907271db,244,359
6bba_907271db,243,380
6bba_907271db,242,382
6bba_907271db,240,385
6bba_907271db,239,367
6bba_907271db,238,374
6bba_907271db,237,377
6bba_907271db,236,379
6bba_907271db,235,372
