dataset,source_id,target_id
6bba_af149c94,84,185
6bba_af149c94,86,188
6bba_af149c94,87,189
6bba_af149c94,88,186
6bba_af149c94,89,194
6bba_af149c94,91,199
6bba_af149c94,92,201
6bba_af149c94,93,195
6bba_af149c94,94,200
6bba_af149c94,95,196
6bba_af149c94,96,198
6bba_af149c94,99,204
6bba_af149c94,60,154
6bba_af149c94,61,162
6bba_af149c94,63,157
6bba_af149c94,64,170
6bba_af149c94,65,175
6bba_af149c94,66,169
6bba_af149c94,67,165
6bba_af149c94,68,156
6bba_af149c94,69,174
6bba_af149c94,70,177
6bba_af149c94,71,173
6bba_af149c94,72,176
6bba_af149c94,73,163
6bba_af149c94,74,179
6bba_af149c94,30,127
6bba_af149c94,31,135
6bba_af149c94,32,136
6bba_af149c94,33,144
6bba_af149c94,34,128
6bba_af149c94,35,138
6bba_af149c94,36,134
6bba_af149c94,37,139
6bba_af149c94,38,150
6bba_af149c94,39,151
6bba_af149c94,40,115
6bba_af149c94,41,145
6bba_af149c94,42,155
6bba_af149c94,43,147
6bba_af149c94,44,158
6bba_af149c94,9,110
6bba_af149c94,10,133
6bba_af149c94,11,117
6bba_af149c94,12,116
6bba_af149c94,13,124
6bba_af149c94,46,146
6bba_af149c94,47,148
6bba_af149c94,48,143
6bba_af149c94,49,160
6bba_af149c94,50,140
6bba_af149c94,51,168
6bba_af149c94,53,153
6bba_af149c94,54,164
6bba_af149c94,55,141
6bba_af149c94,56,152
6bba_af149c94,3,107
6bba_af149c94,4,106
6bba_af149c94,5,111
6bba_af149c94,6,112
6bba_af149c94,7,113
6bba_af149c94,8,109
6bba_af149c94,57,166
6bba_af149c94,58,159
6bba_af149c94,59,161
6bba_af149c94,76,178
6bba_af149c94,77,182
6bba_af149c94,78,181
6bba_af149c94,79,180
6bba_af149c94,81,184
6bba_af149c94,0,104
6bba_af149c94,1,108
6bba_af149c94,2,105
6bba_af149c94,83,187
6bba_af149c94,102,203
6bba_af149c94,14,121
6bba_af149c94,15,122
6bba_af149c94,16,132
6bba_af149c94,17,123
6bba_af149c94,18,120
6bba_af149c94,20,114
6bba_af149c94,21,118
6bba_af149c94,22,119
6bba_af149c94,23,137
6bba_af149c94,24,131
6bba_af149c94,25,125
6bba_af149c94,26,129
6bba_af149c94,27,130
6bba_af149c94,28,126
6bba_af149c94,29,142
6bba_af149c94,111,214
6bba_af149c94,110,223
6bba_af149c94,109,215
6bba_af149c94,108,218
6bba_af149c94,107,220
6bba_af149c94,106,216
6bba_af149c94,105,213
6bba_af149c94,104,212
6bba_af149c94,203,317
6bba_af149c94,200,315
6bba_af149c94,204,318
6bba_af149c94,156,240
6bba_af149c94,157,266
6bba_af149c94,158,289
6bba_af149c94,159,284
6bba_af149c94,160,267
6bba_af149c94,161,269
6bba_af149c94,162,283
6bba_af149c94,163,282
6bba_af149c94,164,258
6bba_af149c94,165,257
6bba_af149c94,166,264
6bba_af149c94,167,286
6bba_af149c94,168,270
6bba_af149c94,169,276
6bba_af149c94,170,287
6bba_af149c94,171,254
6bba_af149c94,172,285
6bba_af149c94,173,294
6bba_af149c94,174,280
6bba_af149c94,112,222
6bba_af149c94,113,219
6bba_af149c94,114,221
6bba_af149c94,115,217
6bba_af149c94,116,224
6bba_af149c94,117,228
6bba_af149c94,118,227
6bba_af149c94,119,233
6bba_af149c94,120,238
6bba_af149c94,121,230
6bba_af149c94,122,226
6bba_af149c94,123,225
6bba_af149c94,124,253
6bba_af149c94,125,232
6bba_af149c94,126,236
6bba_af149c94,127,231
6bba_af149c94,128,279
6bba_af149c94,130,235
6bba_af149c94,131,234
6bba_af149c94,132,239
6bba_af149c94,133,245
6bba_af149c94,134,242
6bba_af149c94,135,237
6bba_af149c94,136,244
6bba_af149c94,137,241
6bba_af149c94,138,249
6bba_af149c94,139,252
6bba_af149c94,140,278
6bba_af149c94,141,243
6bba_af149c94,142,256
6bba_af149c94,143,250
6bba_af149c94,144,251
6bba_af149c94,145,259
6bba_af149c94,146,274
6bba_af149c94,147,268
6bba_af149c94,149,246
6bba_af149c94,150,263
6bba_af149c94,151,261
6bba_af149c94,152,273
6bba_af149c94,153,260
6bba_af149c94,154,255
6bba_af149c94,155,272
6bba_af149c94,189,307
6bba_af149c94,190,301
6bba_af149c94,191,310
6bba_af149c94,194,297
6bba_af149c94,196,313
6bba_af149c94,197,311
6bba_af149c94,199,319
6bba_af149c94,184,303
6bba_af149c94,185,302
6bba_af149c94,186,305
6bba_af149c94,180,295
6bba_af149c94,181,296
6bba_af149c94,183,299
6bba_af149c94,176,292
6bba_af149c94,178,288
6bba_af149c94,179,290
6bba_af149c94,227,332
6bba_af149c94,226,337
6bba_af149c94,225,331
6bba_af149c94,224,333
6bba_af149c94,231,339
6bba_af149c94,230,341
6bba_af149c94,228,335
6bba_af149c94,212,320
6bba_af149c94,213,321
6bba_af149c94,214,325
6bba_af149c94,215,323
6bba_af149c94,216,322
6bba_af149c94,217,324
6bba_af149c94,218,326
6bba_af149c94,219,328
6bba_af149c94,223,327
6bba_af149c94,222,334
6bba_af149c94,221,330
6bba_af149c94,220,329
6bba_af149c94,311,415
6bba_af149c94,310,344
6bba_af149c94,309,409
6bba_af149c94,307,408
6bba_af149c94,306,405
6bba_af149c94,305,407
6bba_af149c94,319,422
6bba_af149c94,318,425
6bba_af149c94,315,424
6bba_af149c94,314,421
6bba_af149c94,313,418
6bba_af149c94,312,414
6bba_af149c94,288,388
6bba_af149c94,289,395
6bba_af149c94,290,394
6bba_af149c94,291,391
6bba_af149c94,292,393
6bba_af149c94,293,378
6bba_af149c94,294,372
6bba_af149c94,295,396
6bba_af149c94,303,400
6bba_af149c94,302,401
6bba_af149c94,301,404
6bba_af149c94,300,377
6bba_af149c94,298,368
6bba_af149c94,297,406
6bba_af149c94,296,397
6bba_af149c94,280,353
6bba_af149c94,281,386
6bba_af149c94,282,387
6bba_af149c94,283,380
6bba_af149c94,285,379
6bba_af149c94,287,392
6bba_af149c94,272,375
6bba_af149c94,273,374
6bba_af149c94,274,381
6bba_af149c94,275,384
6bba_af149c94,276,390
6bba_af149c94,277,366
6bba_af149c94,278,369
6bba_af149c94,279,399
6bba_af149c94,256,383
6bba_af149c94,257,360
6bba_af149c94,258,354
6bba_af149c94,260,371
6bba_af149c94,261,362
6bba_af149c94,263,373
6bba_af149c94,270,382
6bba_af149c94,269,370
6bba_af149c94,268,367
6bba_af149c94,267,363
6bba_af149c94,266,376
6bba_af149c94,264,361
6bba_af149c94,232,336
6bba_af149c94,233,345
6bba_af149c94,234,355
6bba_af149c94,235,340
6bba_af149c94,236,349
6bba_af149c94,237,343
6bba_af149c94,238,350
6bba_af149c94,239,347
6bba_af149c94,241,348
6bba_af149c94,242,356
6bba_af149c94,243,352
6bba_af149c94,244,342
6bba_af149c94,245,351
6bba_af149c94,246,346
6bba_af149c94,247,359
6bba_af149c94,249,358
6bba_af149c94,250,364
6bba_af149c94,251,357
6bba_af149c94,253,385
6bba_af149c94,255,365
6bba_af149c94,403,509
6bba_af149c94,402,508
6bba_af149c94,401,507
6bba_af149c94,400,506
6bba_af149c94,399,505
6bba_af149c94,398,504
6bba_af149c94,397,503
6bba_af149c94,396,502
6bba_af149c94,395,501
6bba_af149c94,394,500
6bba_af149c94,393,499
6bba_af149c94,392,498
6bba_af149c94,391,497
6bba_af149c94,390,496
6bba_af149c94,389,495
6bba_af149c94,388,494
6bba_af149c94,419,525
6bba_af149c94,418,524
6bba_af149c94,417,523
6bba_af149c94,416,522
6bba_af149c94,415,521
6bba_af149c94,414,520
6bba_af149c94,413,519
6bba_af149c94,412,518
6bba_af149c94,411,517
6bba_af149c94,410,516
6bba_af149c94,409,515
6bba_af149c94,408,514
6bba_af149c94,407,513
6bba_af149c94,406,512
6bba_af149c94,405,511
6bba_af149c94,404,510
6bba_af149c94,423,529
6bba_af149c94,422,528
6bba_af149c94,420,526
6bba_af149c94,421,527
6bba_af149c94,425,531
6bba_af149c94,424,530
6bba_af149c94,365,471
6bba_af149c94,364,470
6bba_af149c94,363,469
6bba_af149c94,362,468
6bba_af149c94,361,467
6bba_af149c94,360,466
6bba_af149c94,359,465
6bba_af149c94,358,464
6bba_af149c94,357,463
6bba_af149c94,356,462
6bba_af149c94,387,493
6bba_af149c94,386,492
6bba_af149c94,385,491
6bba_af149c94,384,490
6bba_af149c94,383,489
6bba_af149c94,382,488
6bba_af149c94,381,487
6bba_af149c94,380,486
6bba_af149c94,379,485
6bba_af149c94,378,484
6bba_af149c94,377,483
6bba_af149c94,376,482
6bba_af149c94,320,426
6bba_af149c94,321,427
6bba_af149c94,322,428
6bba_af149c94,323,429
6bba_af149c94,339,445
6bba_af149c94,338,444
6bba_af149c94,337,443
6bba_af149c94,336,442
6bba_af149c94,335,441
6bba_af149c94,334,440
6bba_af149c94,333,439
6bba_af149c94,332,438
6bba_af149c94,331,437
6bba_af149c94,330,436
6bba_af149c94,329,435
6bba_af149c94,328,434
6bba_af149c94,327,433
6bba_af149c94,326,432
6bba_af149c94,325,431
6bba_af149c94,324,430
6bba_af149c94,340,446
6bba_af149c94,341,447
6bba_af149c94,342,448
6bba_af149c94,343,449
6bba_af149c94,344,450
6bba_af149c94,345,451
6bba_af149c94,346,452
6bba_af149c94,347,453
6bba_af149c94,348,454
6bba_af149c94,349,455
6bba_af149c94,350,456
6bba_af149c94,351,457
6bba_af149c94,352,458
6bba_af149c94,353,459
6bba_af149c94,354,460
6bba_af149c94,355,461
6bba_af149c94,371,477
6bba_af149c94,370,476
6bba_af149c94,369,475
6bba_af149c94,368,474
6bba_af149c94,367,473
6bba_af149c94,366,472
6bba_af149c94,373,479
6bba_af149c94,372,478
6bba_af149c94,375,481
6bba_af149c94,374,480
6bba_af149c94,430,553
6bba_af149c94,431,535
6bba_af149c94,428,534
6bba_af149c94,429,536
6bba_af149c94,435,555
6bba_af149c94,434,543
6bba_af149c94,451,564
6bba_af149c94,450,541
6bba_af149c94,449,554
6bba_af149c94,448,552
6bba_af149c94,447,548
6bba_af149c94,446,550
6bba_af149c94,445,549
6bba_af149c94,444,539
6bba_af149c94,442,544
6bba_af149c94,441,546
6bba_af149c94,432,538
6bba_af149c94,433,540
6bba_af149c94,427,533
6bba_af149c94,426,532
6bba_af149c94,500,586
6bba_af149c94,501,603
6bba_af149c94,503,607
6bba_af149c94,504,604
6bba_af149c94,505,611
6bba_af149c94,506,613
6bba_af149c94,507,612
6bba_af149c94,508,566
6bba_af149c94,509,606
6bba_af149c94,511,609
6bba_af149c94,513,623
6bba_af149c94,514,615
6bba_af149c94,484,589
6bba_af149c94,485,590
6bba_af149c94,486,600
6bba_af149c94,487,573
6bba_af149c94,488,595
6bba_af149c94,489,598
6bba_af149c94,490,569
6bba_af149c94,491,574
6bba_af149c94,492,592
6bba_af149c94,493,588
6bba_af149c94,494,596
6bba_af149c94,495,576
6bba_af149c94,496,601
6bba_af149c94,498,597
6bba_af149c94,468,558
6bba_af149c94,469,561
6bba_af149c94,470,584
6bba_af149c94,471,579
6bba_af149c94,472,563
6bba_af149c94,473,568
6bba_af149c94,474,571
6bba_af149c94,475,577
6bba_af149c94,476,594
6bba_af149c94,477,562
6bba_af149c94,480,583
6bba_af149c94,481,581
6bba_af149c94,482,585
6bba_af149c94,483,570
6bba_af149c94,453,556
6bba_af149c94,454,578
6bba_af149c94,455,560
6bba_af149c94,456,557
6bba_af149c94,457,572
6bba_af149c94,458,551
6bba_af149c94,459,593
6bba_af149c94,461,580
6bba_af149c94,463,575
6bba_af149c94,464,591
6bba_af149c94,465,619
6bba_af149c94,466,599
6bba_af149c94,467,559
6bba_af149c94,436,537
6bba_af149c94,437,545
6bba_af149c94,438,542
6bba_af149c94,439,547
6bba_af149c94,521,620
6bba_af149c94,523,614
6bba_af149c94,525,624
6bba_af149c94,516,616
6bba_af149c94,518,617
6bba_af149c94,610,711
6bba_af149c94,629,732
6bba_af149c94,627,729
6bba_af149c94,595,697
6bba_af149c94,626,734
6bba_af149c94,625,722
6bba_af149c94,623,723
6bba_af149c94,622,718
6bba_af149c94,621,721
6bba_af149c94,619,716
6bba_af149c94,618,725
6bba_af149c94,617,720
6bba_af149c94,616,717
6bba_af149c94,615,714
6bba_af149c94,614,705
6bba_af149c94,613,713
6bba_af149c94,612,710
6bba_af149c94,564,668
6bba_af149c94,594,692
6bba_af149c94,593,699
6bba_af149c94,592,687
6bba_af149c94,591,693
6bba_af149c94,590,698
6bba_af149c94,589,684
6bba_af149c94,588,681
6bba_af149c94,587,678
6bba_af149c94,586,690
6bba_af149c94,585,683
6bba_af149c94,584,673
6bba_af149c94,583,686
6bba_af149c94,582,685
6bba_af149c94,581,688
6bba_af149c94,580,691
6bba_af149c94,579,676
6bba_af149c94,578,671
6bba_af149c94,577,689
6bba_af149c94,576,677
6bba_af149c94,575,680
6bba_af149c94,574,655
6bba_af149c94,573,682
6bba_af149c94,572,694
6bba_af149c94,571,679
6bba_af149c94,570,670
6bba_af149c94,568,667
6bba_af149c94,566,635
6bba_af149c94,565,672
6bba_af149c94,562,669
6bba_af149c94,561,674
6bba_af149c94,560,675
6bba_af149c94,559,663
6bba_af149c94,558,666
6bba_af149c94,557,659
6bba_af149c94,556,664
6bba_af149c94,555,665
6bba_af149c94,554,662
6bba_af149c94,553,661
6bba_af149c94,552,658
6bba_af149c94,551,645
6bba_af149c94,550,646
6bba_af149c94,549,660
6bba_af149c94,548,648
6bba_af149c94,609,712
6bba_af149c94,607,704
6bba_af149c94,606,708
6bba_af149c94,604,706
6bba_af149c94,603,707
6bba_af149c94,602,701
6bba_af149c94,601,703
6bba_af149c94,597,695
6bba_af149c94,611,709
6bba_af149c94,547,649
6bba_af149c94,546,652
6bba_af149c94,545,656
6bba_af149c94,544,651
6bba_af149c94,543,641
6bba_af149c94,542,640
6bba_af149c94,541,643
6bba_af149c94,540,654
6bba_af149c94,539,647
6bba_af149c94,538,642
6bba_af149c94,537,637
6bba_af149c94,536,636
6bba_af149c94,535,638
6bba_af149c94,534,634
6bba_af149c94,533,633
6bba_af149c94,532,632
6bba_af149c94,642,746
6bba_af149c94,707,807
6bba_af149c94,708,809
6bba_af149c94,709,811
6bba_af149c94,711,769
6bba_af149c94,710,812
6bba_af149c94,712,814
6bba_af149c94,713,815
6bba_af149c94,717,820
6bba_af149c94,714,817
6bba_af149c94,715,816
6bba_af149c94,716,818
6bba_af149c94,719,822
6bba_af149c94,720,819
6bba_af149c94,721,823
6bba_af149c94,724,810
6bba_af149c94,726,830
6bba_af149c94,729,835
6bba_af149c94,660,759
6bba_af149c94,659,751
6bba_af149c94,690,798
6bba_af149c94,648,750
6bba_af149c94,689,781
6bba_af149c94,688,791
6bba_af149c94,686,793
6bba_af149c94,687,782
6bba_af149c94,684,785
6bba_af149c94,683,786
6bba_af149c94,682,779
6bba_af149c94,680,777
6bba_af149c94,679,788
6bba_af149c94,677,794
6bba_af149c94,676,768
6bba_af149c94,675,776
6bba_af149c94,706,808
6bba_af149c94,681,789
6bba_af149c94,702,800
6bba_af149c94,703,804
6bba_af149c94,700,805
6bba_af149c94,639,738
6bba_af149c94,640,741
6bba_af149c94,641,742
6bba_af149c94,636,739
6bba_af149c94,635,740
6bba_af149c94,634,735
6bba_af149c94,633,737
6bba_af149c94,632,736
6bba_af149c94,658,763
6bba_af149c94,638,744
6bba_af149c94,637,743
6bba_af149c94,656,753
6bba_af149c94,653,752
6bba_af149c94,655,758
6bba_af149c94,651,755
6bba_af149c94,650,757
6bba_af149c94,649,748
6bba_af149c94,654,760
6bba_af149c94,646,756
6bba_af149c94,645,754
6bba_af149c94,644,745
6bba_af149c94,643,747
6bba_af149c94,674,775
6bba_af149c94,673,783
6bba_af149c94,652,749
6bba_af149c94,672,772
6bba_af149c94,671,770
6bba_af149c94,669,774
6bba_af149c94,670,771
6bba_af149c94,667,767
6bba_af149c94,666,765
6bba_af149c94,665,773
6bba_af149c94,664,766
6bba_af149c94,663,761
6bba_af149c94,661,778
6bba_af149c94,662,764
6bba_af149c94,693,803
6bba_af149c94,691,795
6bba_af149c94,722,824
6bba_af149c94,697,806
6bba_af149c94,694,801
6bba_af149c94,695,797
6bba_af149c94,698,796
6bba_af149c94,699,802
6bba_af149c94,770,935
6bba_af149c94,739,841
6bba_af149c94,740,914
6bba_af149c94,749,853
6bba_af149c94,750,855
6bba_af149c94,751,845
6bba_af149c94,752,858
6bba_af149c94,753,920
6bba_af149c94,786,863
6bba_af149c94,742,857
6bba_af149c94,743,850
6bba_af149c94,744,843
6bba_af149c94,745,852
6bba_af149c94,746,871
6bba_af149c94,748,862
6bba_af149c94,738,840
6bba_af149c94,754,865
6bba_af149c94,829,931
6bba_af149c94,828,903
6bba_af149c94,824,925
6bba_af149c94,823,894
6bba_af149c94,822,924
6bba_af149c94,820,929
6bba_af149c94,836,939
6bba_af149c94,817,928
6bba_af149c94,815,926
6bba_af149c94,814,922
6bba_af149c94,813,927
6bba_af149c94,812,921
6bba_af149c94,811,885
6bba_af149c94,810,856
6bba_af149c94,809,910
6bba_af149c94,807,916
6bba_af149c94,806,898
6bba_af149c94,804,901
6bba_af149c94,834,881
6bba_af149c94,799,923
6bba_af149c94,797,895
6bba_af149c94,796,912
6bba_af149c94,795,890
6bba_af149c94,794,905
6bba_af149c94,792,874
6bba_af149c94,791,892
6bba_af149c94,790,884
6bba_af149c94,789,908
6bba_af149c94,787,887
6bba_af149c94,784,879
6bba_af149c94,783,873
6bba_af149c94,781,918
6bba_af149c94,780,875
6bba_af149c94,779,888
6bba_af149c94,778,876
6bba_af149c94,777,870
6bba_af149c94,774,883
6bba_af149c94,773,891
6bba_af149c94,772,864
6bba_af149c94,771,872
6bba_af149c94,802,917
6bba_af149c94,769,886
6bba_af149c94,768,861
6bba_af149c94,767,882
6bba_af149c94,765,902
6bba_af149c94,764,880
6bba_af149c94,762,909
6bba_af149c94,760,847
6bba_af149c94,759,869
6bba_af149c94,758,866
6bba_af149c94,833,938
6bba_af149c94,901,1024
6bba_af149c94,902,1014
6bba_af149c94,903,1000
6bba_af149c94,905,995
6bba_af149c94,907,1007
6bba_af149c94,908,1001
6bba_af149c94,909,982
6bba_af149c94,910,993
6bba_af149c94,911,997
6bba_af149c94,912,1017
6bba_af149c94,913,1021
