dataset,source_id,target_id
6bba_b204cac7,0,128
6bba_b204cac7,65,215
6bba_b204cac7,66,161
6bba_b204cac7,67,189
6bba_b204cac7,68,216
6bba_b204cac7,117,247
6bba_b204cac7,118,250
6bba_b204cac7,119,249
6bba_b204cac7,120,246
6bba_b204cac7,121,251
6bba_b204cac7,122,258
6bba_b204cac7,123,257
6bba_b204cac7,124,255
6bba_b204cac7,125,259
6bba_b204cac7,73,193
6bba_b204cac7,74,201
6bba_b204cac7,91,213
6bba_b204cac7,92,220
6bba_b204cac7,93,214
6bba_b204cac7,94,226
6bba_b204cac7,95,227
6bba_b204cac7,96,225
6bba_b204cac7,98,233
6bba_b204cac7,99,230
6bba_b204cac7,100,223
6bba_b204cac7,101,229
6bba_b204cac7,102,228
6bba_b204cac7,103,231
6bba_b204cac7,2,139
6bba_b204cac7,3,130
6bba_b204cac7,20,159
6bba_b204cac7,21,150
6bba_b204cac7,22,153
6bba_b204cac7,23,148
6bba_b204cac7,24,162
6bba_b204cac7,25,142
6bba_b204cac7,26,192
6bba_b204cac7,43,158
6bba_b204cac7,60,224
6bba_b204cac7,61,177
6bba_b204cac7,62,187
6bba_b204cac7,63,200
6bba_b204cac7,64,176
6bba_b204cac7,27,144
6bba_b204cac7,28,196
6bba_b204cac7,29,206
6bba_b204cac7,30,146
6bba_b204cac7,31,173
6bba_b204cac7,32,168
6bba_b204cac7,33,157
6bba_b204cac7,34,169
6bba_b204cac7,35,156
6bba_b204cac7,36,151
6bba_b204cac7,37,188
6bba_b204cac7,38,138
6bba_b204cac7,39,143
6bba_b204cac7,40,149
6bba_b204cac7,41,207
6bba_b204cac7,44,147
6bba_b204cac7,45,204
6bba_b204cac7,46,182
6bba_b204cac7,47,210
6bba_b204cac7,48,198
6bba_b204cac7,49,166
6bba_b204cac7,50,174
6bba_b204cac7,51,145
6bba_b204cac7,52,178
6bba_b204cac7,53,167
6bba_b204cac7,54,170
6bba_b204cac7,55,197
6bba_b204cac7,56,205
6bba_b204cac7,58,211
6bba_b204cac7,59,164
6bba_b204cac7,75,191
6bba_b204cac7,76,183
6bba_b204cac7,78,208
6bba_b204cac7,79,203
6bba_b204cac7,80,165
6bba_b204cac7,81,232
6bba_b204cac7,82,195
6bba_b204cac7,83,180
6bba_b204cac7,84,190
6bba_b204cac7,85,199
6bba_b204cac7,86,222
6bba_b204cac7,87,219
6bba_b204cac7,88,172
6bba_b204cac7,90,184
6bba_b204cac7,69,175
6bba_b204cac7,70,217
6bba_b204cac7,71,194
6bba_b204cac7,105,238
6bba_b204cac7,106,234
6bba_b204cac7,107,242
6bba_b204cac7,108,240
6bba_b204cac7,109,244
6bba_b204cac7,111,245
6bba_b204cac7,116,252
6bba_b204cac7,4,129
6bba_b204cac7,5,134
6bba_b204cac7,6,132
6bba_b204cac7,7,136
6bba_b204cac7,8,133
6bba_b204cac7,9,135
6bba_b204cac7,10,131
6bba_b204cac7,11,171
6bba_b204cac7,12,137
6bba_b204cac7,13,141
6bba_b204cac7,14,179
6bba_b204cac7,15,140
6bba_b204cac7,18,185
6bba_b204cac7,228,359
6bba_b204cac7,227,340
6bba_b204cac7,226,368
6bba_b204cac7,225,330
6bba_b204cac7,224,358
6bba_b204cac7,223,360
6bba_b204cac7,222,364
6bba_b204cac7,221,356
6bba_b204cac7,220,355
6bba_b204cac7,219,353
6bba_b204cac7,218,317
6bba_b204cac7,217,322
6bba_b204cac7,216,344
6bba_b204cac7,215,324
6bba_b204cac7,214,349
6bba_b204cac7,213,350
6bba_b204cac7,244,378
6bba_b204cac7,243,371
6bba_b204cac7,242,373
6bba_b204cac7,241,377
6bba_b204cac7,240,372
6bba_b204cac7,238,375
6bba_b204cac7,237,374
6bba_b204cac7,236,376
6bba_b204cac7,235,379
6bba_b204cac7,234,369
6bba_b204cac7,233,370
6bba_b204cac7,232,367
6bba_b204cac7,231,365
6bba_b204cac7,230,366
6bba_b204cac7,229,357
6bba_b204cac7,260,396
6bba_b204cac7,259,395
6bba_b204cac7,258,394
6bba_b204cac7,257,393
6bba_b204cac7,256,392
6bba_b204cac7,255,385
6bba_b204cac7,254,389
6bba_b204cac7,253,388
6bba_b204cac7,252,384
6bba_b204cac7,251,386
6bba_b204cac7,250,387
6bba_b204cac7,249,382
6bba_b204cac7,247,391
6bba_b204cac7,246,390
6bba_b204cac7,245,381
6bba_b204cac7,212,315
6bba_b204cac7,211,348
6bba_b204cac7,210,311
6bba_b204cac7,209,326
6bba_b204cac7,207,334
6bba_b204cac7,206,304
6bba_b204cac7,204,347
6bba_b204cac7,203,331
6bba_b204cac7,201,351
6bba_b204cac7,200,343
6bba_b204cac7,199,328
6bba_b204cac7,198,302
6bba_b204cac7,197,306
6bba_b204cac7,196,332
6bba_b204cac7,195,313
6bba_b204cac7,194,310
6bba_b204cac7,193,308
6bba_b204cac7,192,295
6bba_b204cac7,191,296
6bba_b204cac7,189,297
6bba_b204cac7,188,274
6bba_b204cac7,187,291
6bba_b204cac7,186,282
6bba_b204cac7,185,275
6bba_b204cac7,184,333
6bba_b204cac7,183,312
6bba_b204cac7,182,346
6bba_b204cac7,181,277
6bba_b204cac7,180,303
6bba_b204cac7,179,287
6bba_b204cac7,178,298
6bba_b204cac7,177,337
6bba_b204cac7,176,321
6bba_b204cac7,175,289
6bba_b204cac7,174,339
6bba_b204cac7,173,325
6bba_b204cac7,172,342
6bba_b204cac7,171,265
6bba_b204cac7,170,329
6bba_b204cac7,169,288
6bba_b204cac7,168,319
6bba_b204cac7,167,285
6bba_b204cac7,166,338
6bba_b204cac7,165,293
6bba_b204cac7,163,286
6bba_b204cac7,161,320
6bba_b204cac7,160,300
6bba_b204cac7,159,283
6bba_b204cac7,158,270
6bba_b204cac7,157,309
6bba_b204cac7,156,284
6bba_b204cac7,154,281
6bba_b204cac7,153,323
6bba_b204cac7,152,280
6bba_b204cac7,150,290
6bba_b204cac7,149,276
6bba_b204cac7,148,316
6bba_b204cac7,147,341
6bba_b204cac7,146,314
6bba_b204cac7,145,305
6bba_b204cac7,143,292
6bba_b204cac7,142,294
6bba_b204cac7,139,271
6bba_b204cac7,138,273
6bba_b204cac7,137,279
6bba_b204cac7,136,269
6bba_b204cac7,135,264
6bba_b204cac7,134,278
6bba_b204cac7,133,272
6bba_b204cac7,132,267
6bba_b204cac7,131,263
6bba_b204cac7,130,266
6bba_b204cac7,129,268
6bba_b204cac7,128,261
6bba_b204cac7,344,441
6bba_b204cac7,343,485
6bba_b204cac7,342,489
6bba_b204cac7,341,486
6bba_b204cac7,356,496
6bba_b204cac7,355,478
6bba_b204cac7,353,480
6bba_b204cac7,352,484
6bba_b204cac7,351,456
6bba_b204cac7,350,477
6bba_b204cac7,349,461
6bba_b204cac7,348,468
6bba_b204cac7,347,427
6bba_b204cac7,346,419
6bba_b204cac7,376,510
6bba_b204cac7,375,513
6bba_b204cac7,374,514
6bba_b204cac7,373,511
6bba_b204cac7,372,512
6bba_b204cac7,370,499
6bba_b204cac7,369,498
6bba_b204cac7,368,505
6bba_b204cac7,367,506
6bba_b204cac7,366,500
6bba_b204cac7,365,497
6bba_b204cac7,364,450
