dataset,source_id,target_id
6bba_fe670320,1336644,1336690
6bba_fe670320,1336645,1336694
6bba_fe670320,1336646,1336691
6bba_fe670320,1336652,1336702
6bba_fe670320,1336648,1336696
6bba_fe670320,1336649,1336695
6bba_fe670320,1336671,1336700
6bba_fe670320,1336651,1336703
6bba_fe670320,1336670,1336715
6bba_fe670320,1336650,1336693
6bba_fe670320,1336665,1336708
6bba_fe670320,1336664,1336710
6bba_fe670320,1336663,1336706
6bba_fe670320,1336683,1336714
6bba_fe670320,1336677,1336717
6bba_fe670320,1336678,1336716
6bba_fe670320,1336673,1336720
6bba_fe670320,1336674,1336704
6bba_fe670320,1336655,1336698
6bba_fe670320,1336656,1336707
6bba_fe670320,1336659,1336705
6bba_fe670320,1336662,1336709
6bba_fe670320,1336660,1336719
6bba_fe670320,1336661,1336712
6bba_fe670320,1336666,1336699
6bba_fe670320,1336654,1336701
6bba_fe670320,1336658,1336697
6bba_fe670320,1336667,1336718
6bba_fe670320,1336669,1336711
6bba_fe670320,1336698,1336731
6bba_fe670320,1336696,1336729
6bba_fe670320,1336697,1336730
6bba_fe670320,1336716,1336749
6bba_fe670320,1336717,1336750
6bba_fe670320,1336718,1336751
6bba_fe670320,1336695,1336728
6bba_fe670320,1336691,1336724
6bba_fe670320,1336694,1336727
6bba_fe670320,1336693,1336726
6bba_fe670320,1336692,1336725
6bba_fe670320,1336690,1336723
6bba_fe670320,1336689,1336722
6bba_fe670320,1336719,1336752
6bba_fe670320,1336707,1336740
6bba_fe670320,1336708,1336741
6bba_fe670320,1336720,1336753
6bba_fe670320,1336721,1336754
6bba_fe670320,1336715,1336748
6bba_fe670320,1336703,1336736
6bba_fe670320,1336702,1336735
6bba_fe670320,1336701,1336734
6bba_fe670320,1336700,1336733
6bba_fe670320,1336699,1336732
6bba_fe670320,1336706,1336739
6bba_fe670320,1336705,1336738
6bba_fe670320,1336704,1336737
6bba_fe670320,1336714,1336747
6bba_fe670320,1336712,1336745
6bba_fe670320,1336713,1336746
6bba_fe670320,1336711,1336744
