dataset,source_id,target_id
44b6_24264f12,11,279
44b6_24264f12,279,534
44b6_24264f12,3,297
44b6_24264f12,297,586
44b6_24264f12,586,828
44b6_24264f12,828,1073
44b6_24264f12,4,267
44b6_24264f12,267,521
44b6_24264f12,521,787
44b6_24264f12,6,269
44b6_24264f12,269,529
44b6_24264f12,529,785
44b6_24264f12,785,1032
44b6_24264f12,1032,1292
44b6_24264f12,1292,1581
44b6_24264f12,1581,1860
44b6_24264f12,1860,2123
44b6_24264f12,2123,2412
44b6_24264f12,2412,2692
44b6_24264f12,2692,2963
44b6_24264f12,7,274
44b6_24264f12,8,268
44b6_24264f12,268,520
44b6_24264f12,520,775
44b6_24264f12,775,1026
44b6_24264f12,1026,1282
44b6_24264f12,1282,1553
44b6_24264f12,1553,1813
44b6_24264f12,1813,2081
44b6_24264f12,2081,2353
44b6_24264f12,2353,2625
44b6_24264f12,2625,2917
44b6_24264f12,18,281
44b6_24264f12,281,539
44b6_24264f12,10,273
44b6_24264f12,273,532
44b6_24264f12,1054,1318
44b6_24264f12,1318,1597
44b6_24264f12,1597,1839
44b6_24264f12,1839,2095
44b6_24264f12,2095,2367
44b6_24264f12,2367,2652
44b6_24264f12,2,266
44b6_24264f12,266,524
44b6_24264f12,524,816
44b6_24264f12,12,283
44b6_24264f12,283,530
44b6_24264f12,13,270
44b6_24264f12,270,525
44b6_24264f12,14,314
44b6_24264f12,15,275
44b6_24264f12,275,518
44b6_24264f12,16,276
44b6_24264f12,276,538
44b6_24264f12,17,277
44b6_24264f12,277,531
44b6_24264f12,531,796
44b6_24264f12,796,1064
44b6_24264f12,1064,1324
44b6_24264f12,1324,1606
44b6_24264f12,9,280
44b6_24264f12,25,278
44b6_24264f12,278,551
44b6_24264f12,551,791
44b6_24264f12,791,1385
44b6_24264f12,33,285
44b6_24264f12,285,544
44b6_24264f12,32,312
44b6_24264f12,312,571
44b6_24264f12,31,288
44b6_24264f12,30,307
44b6_24264f12,29,295
44b6_24264f12,295,542
44b6_24264f12,542,794
44b6_24264f12,794,1033
44b6_24264f12,1033,1284
44b6_24264f12,1284,1555
44b6_24264f12,1555,1816
44b6_24264f12,1816,2088
44b6_24264f12,2088,2362
44b6_24264f12,2362,2634
44b6_24264f12,28,289
44b6_24264f12,289,831
44b6_24264f12,831,1139
44b6_24264f12,1139,1343
44b6_24264f12,1343,1644
44b6_24264f12,1644,1965
44b6_24264f12,1965,2241
44b6_24264f12,2241,2478
44b6_24264f12,2478,2732
44b6_24264f12,27,305
44b6_24264f12,305,572
44b6_24264f12,26,306
44b6_24264f12,306,562
44b6_24264f12,66,303
44b6_24264f12,303,577
44b6_24264f12,24,357
44b6_24264f12,357,523
44b6_24264f12,23,317
44b6_24264f12,317,567
44b6_24264f12,567,848
44b6_24264f12,848,1135
44b6_24264f12,1135,1386
44b6_24264f12,1386,1619
44b6_24264f12,2181,2476
44b6_24264f12,2476,2786
44b6_24264f12,22,284
44b6_24264f12,284,565
44b6_24264f12,565,825
44b6_24264f12,825,1128
44b6_24264f12,1128,1379
44b6_24264f12,1379,1680
44b6_24264f12,1680,1935
44b6_24264f12,2510,2826
44b6_24264f12,2826,3008
44b6_24264f12,19,271
44b6_24264f12,271,570
44b6_24264f12,131,360
44b6_24264f12,360,674
44b6_24264f12,44,352
44b6_24264f12,352,620
44b6_24264f12,36,343
44b6_24264f12,343,603
44b6_24264f12,603,841
44b6_24264f12,841,1103
44b6_24264f12,37,413
44b6_24264f12,38,324
44b6_24264f12,324,566
44b6_24264f12,566,814
44b6_24264f12,39,293
44b6_24264f12,293,550
44b6_24264f12,40,272
44b6_24264f12,272,527
44b6_24264f12,527,795
44b6_24264f12,795,1081
44b6_24264f12,1081,1332
44b6_24264f12,1332,1582
44b6_24264f12,1582,1832
44b6_24264f12,1832,2114
44b6_24264f12,2114,2377
44b6_24264f12,2377,2656
44b6_24264f12,2656,2960
44b6_24264f12,2960,3284
44b6_24264f12,3849,4099
44b6_24264f12,41,286
44b6_24264f12,286,549
44b6_24264f12,549,812
44b6_24264f12,812,1080
44b6_24264f12,1080,1311
44b6_24264f12,1311,1560
44b6_24264f12,1560,1829
