dataset,source_id,target_id
44b6_2f31fc2f,89,275
44b6_2f31fc2f,275,394
44b6_2f31fc2f,394,612
44b6_2f31fc2f,2,182
44b6_2f31fc2f,182,347
44b6_2f31fc2f,347,517
44b6_2f31fc2f,517,687
44b6_2f31fc2f,687,854
44b6_2f31fc2f,854,1023
44b6_2f31fc2f,1023,1215
44b6_2f31fc2f,1215,1407
44b6_2f31fc2f,1407,1589
44b6_2f31fc2f,1589,1772
44b6_2f31fc2f,1772,1981
44b6_2f31fc2f,1981,2182
44b6_2f31fc2f,2182,2400
44b6_2f31fc2f,3,188
44b6_2f31fc2f,188,355
44b6_2f31fc2f,355,514
44b6_2f31fc2f,514,691
44b6_2f31fc2f,691,859
44b6_2f31fc2f,859,1051
44b6_2f31fc2f,1051,1258
44b6_2f31fc2f,1258,1491
44b6_2f31fc2f,1491,1658
44b6_2f31fc2f,1658,1814
44b6_2f31fc2f,1814,2037
44b6_2f31fc2f,2037,2199
44b6_2f31fc2f,2199,2445
44b6_2f31fc2f,2445,2808
44b6_2f31fc2f,2808,3074
44b6_2f31fc2f,4,185
44b6_2f31fc2f,185,349
44b6_2f31fc2f,349,512
44b6_2f31fc2f,512,683
44b6_2f31fc2f,683,851
44b6_2f31fc2f,5,194
44b6_2f31fc2f,194,405
44b6_2f31fc2f,405,572
44b6_2f31fc2f,572,702
44b6_2f31fc2f,6,184
44b6_2f31fc2f,184,345
44b6_2f31fc2f,345,511
44b6_2f31fc2f,511,679
44b6_2f31fc2f,679,846
44b6_2f31fc2f,846,1026
44b6_2f31fc2f,1026,1220
44b6_2f31fc2f,1220,1414
44b6_2f31fc2f,1414,1593
44b6_2f31fc2f,1593,1780
44b6_2f31fc2f,1780,1978
44b6_2f31fc2f,1978,2209
44b6_2f31fc2f,7,189
44b6_2f31fc2f,189,361
44b6_2f31fc2f,361,539
44b6_2f31fc2f,539,709
44b6_2f31fc2f,709,885
44b6_2f31fc2f,885,1082
44b6_2f31fc2f,8,187
44b6_2f31fc2f,187,351
44b6_2f31fc2f,351,520
44b6_2f31fc2f,520,688
44b6_2f31fc2f,688,869
44b6_2f31fc2f,9,186
44b6_2f31fc2f,186,358
44b6_2f31fc2f,10,181
44b6_2f31fc2f,181,360
44b6_2f31fc2f,11,193
44b6_2f31fc2f,193,368
44b6_2f31fc2f,368,541
44b6_2f31fc2f,541,725
44b6_2f31fc2f,725,909
44b6_2f31fc2f,909,1107
44b6_2f31fc2f,1107,1317
44b6_2f31fc2f,1655,1835
44b6_2f31fc2f,45,229
44b6_2f31fc2f,13,183
44b6_2f31fc2f,183,352
44b6_2f31fc2f,352,532
44b6_2f31fc2f,532,685
44b6_2f31fc2f,685,848
44b6_2f31fc2f,848,1025
44b6_2f31fc2f,1025,1218
44b6_2f31fc2f,1218,1409
44b6_2f31fc2f,1409,1595
44b6_2f31fc2f,1595,1781
44b6_2f31fc2f,1781,1985
44b6_2f31fc2f,1985,2197
44b6_2f31fc2f,2197,2410
44b6_2f31fc2f,14,207
44b6_2f31fc2f,207,366
44b6_2f31fc2f,366,518
44b6_2f31fc2f,518,681
44b6_2f31fc2f,681,849
44b6_2f31fc2f,849,1030
44b6_2f31fc2f,1030,1219
44b6_2f31fc2f,1219,1410
44b6_2f31fc2f,1410,1587
44b6_2f31fc2f,1587,1778
44b6_2f31fc2f,1778,1983
44b6_2f31fc2f,1983,2208
44b6_2f31fc2f,2208,2431
44b6_2f31fc2f,15,215
44b6_2f31fc2f,215,357
44b6_2f31fc2f,357,547
44b6_2f31fc2f,547,693
44b6_2f31fc2f,693,867
44b6_2f31fc2f,16,210
44b6_2f31fc2f,210,402
44b6_2f31fc2f,402,542
44b6_2f31fc2f,542,748
44b6_2f31fc2f,748,882
44b6_2f31fc2f,18,192
44b6_2f31fc2f,521,706
44b6_2f31fc2f,20,195
44b6_2f31fc2f,195,370
44b6_2f31fc2f,370,548
44b6_2f31fc2f,548,821
44b6_2f31fc2f,21,202
44b6_2f31fc2f,202,392
44b6_2f31fc2f,392,570
44b6_2f31fc2f,22,205
44b6_2f31fc2f,205,365
44b6_2f31fc2f,365,530
44b6_2f31fc2f,530,698
44b6_2f31fc2f,698,865
44b6_2f31fc2f,35,232
