dataset,source_id,target_id
6bba_283bf9f1,99,325
6bba_283bf9f1,325,526
6bba_283bf9f1,526,738
6bba_283bf9f1,738,934
6bba_283bf9f1,934,1157
6bba_283bf9f1,1157,1378
6bba_283bf9f1,100,346
6bba_283bf9f1,346,609
6bba_283bf9f1,2,201
6bba_283bf9f1,201,412
6bba_283bf9f1,412,625
6bba_283bf9f1,625,823
6bba_283bf9f1,823,1038
6bba_283bf9f1,1038,1320
6bba_283bf9f1,3,224
6bba_283bf9f1,224,516
6bba_283bf9f1,516,775
6bba_283bf9f1,4,208
6bba_283bf9f1,208,419
6bba_283bf9f1,5,202
6bba_283bf9f1,202,413
6bba_283bf9f1,6,203
6bba_283bf9f1,203,415
6bba_283bf9f1,415,628
6bba_283bf9f1,628,825
6bba_283bf9f1,825,1044
6bba_283bf9f1,1044,1265
6bba_283bf9f1,7,218
6bba_283bf9f1,218,421
6bba_283bf9f1,421,671
6bba_283bf9f1,8,252
6bba_283bf9f1,10,207
6bba_283bf9f1,207,427
6bba_283bf9f1,427,627
6bba_283bf9f1,1051,1298
6bba_283bf9f1,11,214
6bba_283bf9f1,214,416
6bba_283bf9f1,416,623
6bba_283bf9f1,623,827
6bba_283bf9f1,827,1096
6bba_283bf9f1,12,226
6bba_283bf9f1,13,215
6bba_283bf9f1,14,233
6bba_283bf9f1,15,221
6bba_283bf9f1,221,435
6bba_283bf9f1,878,1113
6bba_283bf9f1,1113,1366
6bba_283bf9f1,17,290
6bba_283bf9f1,290,434
6bba_283bf9f1,434,681
6bba_283bf9f1,681,826
6bba_283bf9f1,826,1047
6bba_283bf9f1,1047,1257
6bba_283bf9f1,1257,1494
6bba_283bf9f1,1494,1711
6bba_283bf9f1,2163,2385
6bba_283bf9f1,18,219
6bba_283bf9f1,219,428
6bba_283bf9f1,428,641
6bba_283bf9f1,19,217
6bba_283bf9f1,217,444
6bba_283bf9f1,444,656
6bba_283bf9f1,656,846
6bba_283bf9f1,846,1042
6bba_283bf9f1,1042,1261
6bba_283bf9f1,1261,1570
6bba_283bf9f1,20,280
6bba_283bf9f1,280,500
6bba_283bf9f1,500,723
6bba_283bf9f1,723,874
6bba_283bf9f1,874,1094
6bba_283bf9f1,1094,1326
6bba_283bf9f1,1326,1541
6bba_283bf9f1,1541,1729
6bba_283bf9f1,21,209
6bba_283bf9f1,209,414
6bba_283bf9f1,414,648
6bba_283bf9f1,648,890
6bba_283bf9f1,890,1101
6bba_283bf9f1,1101,1314
6bba_283bf9f1,1314,1496
6bba_283bf9f1,1496,1780
6bba_283bf9f1,1780,2025
6bba_283bf9f1,22,204
6bba_283bf9f1,204,432
6bba_283bf9f1,432,662
6bba_283bf9f1,662,871
6bba_283bf9f1,871,1041
6bba_283bf9f1,1041,1276
6bba_283bf9f1,23,213
6bba_283bf9f1,213,424
6bba_283bf9f1,424,633
6bba_283bf9f1,24,212
6bba_283bf9f1,212,425
6bba_283bf9f1,425,629
6bba_283bf9f1,629,829
6bba_283bf9f1,829,1056
6bba_283bf9f1,1056,1289
6bba_283bf9f1,25,227
6bba_283bf9f1,227,422
6bba_283bf9f1,26,246
6bba_283bf9f1,246,460
6bba_283bf9f1,460,686
6bba_283bf9f1,27,254
6bba_283bf9f1,28,238
6bba_283bf9f1,29,225
6bba_283bf9f1,225,433
6bba_283bf9f1,433,645
6bba_283bf9f1,645,858
6bba_283bf9f1,858,1067
6bba_283bf9f1,1067,1282
6bba_283bf9f1,30,229
6bba_283bf9f1,229,507
6bba_283bf9f1,507,691
6bba_283bf9f1,691,944
6bba_283bf9f1,944,1137
6bba_283bf9f1,1137,1391
6bba_283bf9f1,1391,1614
6bba_283bf9f1,1614,1872
6bba_283bf9f1,31,220
6bba_283bf9f1,220,436
6bba_283bf9f1,436,705
6bba_283bf9f1,33,239
6bba_283bf9f1,239,482
6bba_283bf9f1,482,710
6bba_283bf9f1,710,914
6bba_283bf9f1,914,1128
6bba_283bf9f1,1128,1329
6bba_283bf9f1,1329,1493
6bba_283bf9f1,34,234
6bba_283bf9f1,234,446
6bba_283bf9f1,35,222
6bba_283bf9f1,36,228
6bba_283bf9f1,37,230
6bba_283bf9f1,230,452
6bba_283bf9f1,452,661
6bba_283bf9f1,661,852
6bba_283bf9f1,852,1082
6bba_283bf9f1,88,285
6bba_283bf9f1,285,461
6bba_283bf9f1,461,694
6bba_283bf9f1,694,918
6bba_283bf9f1,918,1150
6bba_283bf9f1,1150,1374
6bba_283bf9f1,39,240
6bba_283bf9f1,240,426
6bba_283bf9f1,40,231
6bba_283bf9f1,231,451
6bba_283bf9f1,451,680
6bba_283bf9f1,680,876
6bba_283bf9f1,876,1108
6bba_283bf9f1,1108,1318
6bba_283bf9f1,1318,1497
6bba_283bf9f1,1978,2167
6bba_283bf9f1,41,288
6bba_283bf9f1,288,438
6bba_283bf9f1,42,237
6bba_283bf9f1,237,456
6bba_283bf9f1,456,665
6bba_283bf9f1,665,872
6bba_283bf9f1,872,1081
6bba_283bf9f1,1081,1315
6bba_283bf9f1,43,272
6bba_283bf9f1,272,462
6bba_283bf9f1,462,660
6bba_283bf9f1,660,847
6bba_283bf9f1,847,1064
6bba_283bf9f1,1064,1269
6bba_283bf9f1,45,257
6bba_283bf9f1,257,447
6bba_283bf9f1,447,673
6bba_283bf9f1,673,889
6bba_283bf9f1,889,1112
6bba_283bf9f1,1112,1335
6bba_283bf9f1,46,250
6bba_283bf9f1,64,249
6bba_283bf9f1,249,437
6bba_283bf9f1,437,651
6bba_283bf9f1,75,332
6bba_283bf9f1,332,561
6bba_283bf9f1,561,702
6bba_283bf9f1,52,243
6bba_283bf9f1,243,442
6bba_283bf9f1,442,646
6bba_283bf9f1,53,342
6bba_283bf9f1,55,256
6bba_283bf9f1,256,478
6bba_283bf9f1,478,704
6bba_283bf9f1,1139,1347
6bba_283bf9f1,1347,1576
6bba_283bf9f1,1576,1968
6bba_283bf9f1,57,276
6bba_283bf9f1,276,476
6bba_283bf9f1,476,700
6bba_283bf9f1,700,902
6bba_283bf9f1,902,1144
6bba_283bf9f1,1144,1333
6bba_283bf9f1,58,353
6bba_283bf9f1,59,282
6bba_283bf9f1,60,273
6bba_283bf9f1,273,486
6bba_283bf9f1,61,284
6bba_283bf9f1,284,523
6bba_283bf9f1,523,726
6bba_283bf9f1,62,206
6bba_283bf9f1,206,448
6bba_283bf9f1,74,244
6bba_283bf9f1,244,465
6bba_283bf9f1,465,683
6bba_283bf9f1,683,904
6bba_283bf9f1,904,1116
6bba_283bf9f1,1116,1336
6bba_283bf9f1,63,278
6bba_283bf9f1,278,489
6bba_283bf9f1,489,720
6bba_283bf9f1,720,903
6bba_283bf9f1,903,1104
6bba_283bf9f1,72,263
6bba_283bf9f1,70,211
6bba_283bf9f1,211,457
6bba_283bf9f1,457,663
6bba_283bf9f1,663,848
6bba_283bf9f1,848,1060
6bba_283bf9f1,1060,1268
6bba_283bf9f1,69,279
6bba_283bf9f1,279,459
6bba_283bf9f1,459,676
6bba_283bf9f1,68,260
6bba_283bf9f1,67,255
6bba_283bf9f1,66,265
6bba_283bf9f1,265,488
6bba_283bf9f1,65,258
6bba_283bf9f1,258,455
6bba_283bf9f1,455,659
6bba_283bf9f1,1074,1293
6bba_283bf9f1,138,350
6bba_283bf9f1,350,441
6bba_283bf9f1,441,740
6bba_283bf9f1,740,987
6bba_283bf9f1,987,1214
6bba_283bf9f1,51,245
6bba_283bf9f1,245,464
6bba_283bf9f1,464,658
6bba_283bf9f1,1073,1272
6bba_283bf9f1,77,313
6bba_283bf9f1,313,511
6bba_283bf9f1,511,718
6bba_283bf9f1,78,264
6bba_283bf9f1,264,469
6bba_283bf9f1,881,1097
6bba_283bf9f1,1097,1304
6bba_283bf9f1,1304,1513
6bba_283bf9f1,1513,1727
6bba_283bf9f1,79,294
6bba_283bf9f1,294,519
6bba_283bf9f1,519,758
6bba_283bf9f1,758,936
6bba_283bf9f1,80,271
6bba_283bf9f1,81,283
6bba_283bf9f1,283,493
6bba_283bf9f1,493,721
6bba_283bf9f1,721,911
6bba_283bf9f1,1292,1646
6bba_283bf9f1,1646,1904
6bba_283bf9f1,82,311
6bba_283bf9f1,311,514
6bba_283bf9f1,514,689
6bba_283bf9f1,689,906
6bba_283bf9f1,906,1133
6bba_283bf9f1,1133,1310
6bba_283bf9f1,1310,1483
6bba_283bf9f1,1483,1726
6bba_283bf9f1,83,299
6bba_283bf9f1,299,544
6bba_283bf9f1,544,776
6bba_283bf9f1,776,1005
6bba_283bf9f1,84,275
6bba_283bf9f1,275,450
6bba_283bf9f1,85,324
6bba_283bf9f1,324,504
6bba_283bf9f1,86,269
6bba_283bf9f1,87,300
6bba_283bf9f1,300,494
6bba_283bf9f1,494,719
6bba_283bf9f1,1191,1409
6bba_283bf9f1,126,556
6bba_283bf9f1,556,970
6bba_283bf9f1,970,1167
6bba_283bf9f1,1167,1389
6bba_283bf9f1,89,297
6bba_283bf9f1,90,270
6bba_283bf9f1,270,481
6bba_283bf9f1,481,707
6bba_283bf9f1,707,912
6bba_283bf9f1,912,1152
6bba_283bf9f1,1152,1334
6bba_283bf9f1,91,319
6bba_283bf9f1,319,568
6bba_283bf9f1,568,792
6bba_283bf9f1,792,1030
6bba_283bf9f1,92,292
6bba_283bf9f1,292,484
6bba_283bf9f1,484,717
6bba_283bf9f1,717,915
6bba_283bf9f1,915,1159
6bba_283bf9f1,1159,1372
6bba_283bf9f1,93,529
6bba_283bf9f1,529,750
6bba_283bf9f1,750,917
6bba_283bf9f1,917,1106
6bba_283bf9f1,1106,1439
6bba_283bf9f1,94,309
6bba_283bf9f1,309,521
6bba_283bf9f1,95,281
6bba_283bf9f1,281,472
6bba_283bf9f1,472,768
6bba_283bf9f1,96,550
6bba_283bf9f1,550,745
6bba_283bf9f1,97,216
6bba_283bf9f1,216,429
6bba_283bf9f1,429,679
6bba_283bf9f1,679,875
6bba_283bf9f1,875,1090
6bba_283bf9f1,1090,1317
6bba_283bf9f1,50,251
6bba_283bf9f1,251,491
6bba_283bf9f1,491,699
6bba_283bf9f1,699,905
6bba_283bf9f1,905,1123
6bba_283bf9f1,1123,1353
6bba_283bf9f1,114,337
6bba_283bf9f1,337,524
6bba_283bf9f1,524,666
6bba_283bf9f1,666,935
6bba_283bf9f1,935,1209
6bba_283bf9f1,102,291
6bba_283bf9f1,291,765
6bba_283bf9f1,103,306
6bba_283bf9f1,306,539
6bba_283bf9f1,539,735
6bba_283bf9f1,735,958
6bba_283bf9f1,958,1158
6bba_283bf9f1,1158,1390
6bba_283bf9f1,104,352
6bba_283bf9f1,352,532
6bba_283bf9f1,532,712
6bba_283bf9f1,712,973
6bba_283bf9f1,973,1192
6bba_283bf9f1,1192,1412
6bba_283bf9f1,1412,1587
6bba_283bf9f1,105,296
6bba_283bf9f1,106,403
6bba_283bf9f1,403,601
6bba_283bf9f1,601,1015
6bba_283bf9f1,107,326
6bba_283bf9f1,108,339
6bba_283bf9f1,339,536
6bba_283bf9f1,536,708
6bba_283bf9f1,708,892
6bba_283bf9f1,109,314
6bba_283bf9f1,314,505
6bba_283bf9f1,110,365
6bba_283bf9f1,111,312
6bba_283bf9f1,312,527
6bba_283bf9f1,527,772
6bba_283bf9f1,112,310
6bba_283bf9f1,310,510
6bba_283bf9f1,510,733
6bba_283bf9f1,733,891
6bba_283bf9f1,891,1089
6bba_283bf9f1,1089,1291
6bba_283bf9f1,101,344
6bba_283bf9f1,344,473
6bba_283bf9f1,473,715
6bba_283bf9f1,715,910
6bba_283bf9f1,910,1169
6bba_283bf9f1,1169,1375
6bba_283bf9f1,1375,1594
6bba_283bf9f1,1594,1850
6bba_283bf9f1,1850,1986
6bba_283bf9f1,1986,2169
6bba_283bf9f1,115,360
6bba_283bf9f1,360,573
6bba_283bf9f1,116,305
6bba_283bf9f1,305,512
6bba_283bf9f1,512,757
6bba_283bf9f1,757,926
6bba_283bf9f1,926,1211
6bba_283bf9f1,118,506
6bba_283bf9f1,506,725
6bba_283bf9f1,119,317
6bba_283bf9f1,317,485
6bba_283bf9f1,485,677
6bba_283bf9f1,677,945
6bba_283bf9f1,945,1114
6bba_283bf9f1,1114,1435
6bba_283bf9f1,1435,1613
6bba_283bf9f1,1613,1810
6bba_283bf9f1,1810,1988
6bba_283bf9f1,1988,2205
6bba_283bf9f1,2205,2435
6bba_283bf9f1,2435,2629
6bba_283bf9f1,2629,2836
6bba_283bf9f1,2836,3059
6bba_283bf9f1,120,274
6bba_283bf9f1,121,307
6bba_283bf9f1,307,538
6bba_283bf9f1,122,328
6bba_283bf9f1,328,591
6bba_283bf9f1,123,286
6bba_283bf9f1,286,564
6bba_283bf9f1,564,747
6bba_283bf9f1,747,928
6bba_283bf9f1,928,1230
6bba_283bf9f1,124,333
6bba_283bf9f1,333,576
6bba_283bf9f1,576,788
6bba_283bf9f1,128,362
6bba_283bf9f1,362,548
6bba_283bf9f1,548,714
6bba_283bf9f1,129,351
6bba_283bf9f1,130,295
6bba_283bf9f1,295,513
6bba_283bf9f1,513,687
6bba_283bf9f1,687,969
6bba_283bf9f1,969,1185
6bba_283bf9f1,1185,1355
6bba_283bf9f1,1355,1630
6bba_283bf9f1,1630,1846
6bba_283bf9f1,1846,2041
6bba_283bf9f1,2041,2238
6bba_283bf9f1,131,330
6bba_283bf9f1,330,530
6bba_283bf9f1,530,748
6bba_283bf9f1,1162,1384
6bba_283bf9f1,1384,1610
6bba_283bf9f1,1610,1878
6bba_283bf9f1,132,340
6bba_283bf9f1,340,490
6bba_283bf9f1,490,728
6bba_283bf9f1,133,298
6bba_283bf9f1,298,479
6bba_283bf9f1,479,706
6bba_283bf9f1,706,924
6bba_283bf9f1,924,1111
6bba_283bf9f1,1111,1280
6bba_283bf9f1,135,327
6bba_283bf9f1,327,579
6bba_283bf9f1,136,303
6bba_283bf9f1,303,496
6bba_283bf9f1,496,722
6bba_283bf9f1,125,329
6bba_283bf9f1,174,367
6bba_283bf9f1,367,555
6bba_283bf9f1,555,755
6bba_283bf9f1,755,837
6bba_283bf9f1,837,1135
6bba_283bf9f1,1135,1392
6bba_283bf9f1,1392,1520
6bba_283bf9f1,2102,2210
6bba_283bf9f1,2210,2371
6bba_283bf9f1,2371,2602
6bba_283bf9f1,2602,2863
6bba_283bf9f1,140,338
6bba_283bf9f1,338,502
6bba_283bf9f1,502,709
6bba_283bf9f1,1084,1303
6bba_283bf9f1,1303,1526
6bba_283bf9f1,1526,1752
6bba_283bf9f1,1752,1954
6bba_283bf9f1,1954,2168
6bba_283bf9f1,2168,2376
6bba_283bf9f1,2964,3185
6bba_283bf9f1,3185,3404
6bba_283bf9f1,3404,3605
6bba_283bf9f1,141,347
6bba_283bf9f1,347,540
6bba_283bf9f1,540,780
