dataset,source_id,target_id
6bba_3db54e20,9,68
6bba_3db54e20,68,140
6bba_3db54e20,140,196
6bba_3db54e20,33,99
6bba_3db54e20,99,174
6bba_3db54e20,174,241
6bba_3db54e20,241,305
6bba_3db54e20,3,66
6bba_3db54e20,66,134
6bba_3db54e20,134,194
6bba_3db54e20,194,261
6bba_3db54e20,261,326
6bba_3db54e20,326,391
6bba_3db54e20,4,70
6bba_3db54e20,70,143
6bba_3db54e20,143,204
6bba_3db54e20,204,273
6bba_3db54e20,5,67
6bba_3db54e20,67,135
6bba_3db54e20,135,197
6bba_3db54e20,197,260
6bba_3db54e20,6,71
6bba_3db54e20,71,136
6bba_3db54e20,136,193
6bba_3db54e20,193,268
6bba_3db54e20,268,330
6bba_3db54e20,330,394
6bba_3db54e20,7,74
6bba_3db54e20,74,141
6bba_3db54e20,141,203
6bba_3db54e20,32,92
6bba_3db54e20,92,160
6bba_3db54e20,160,217
6bba_3db54e20,217,284
6bba_3db54e20,284,347
6bba_3db54e20,18,89
6bba_3db54e20,89,152
6bba_3db54e20,152,225
6bba_3db54e20,225,294
6bba_3db54e20,294,360
6bba_3db54e20,360,428
6bba_3db54e20,428,496
6bba_3db54e20,10,77
6bba_3db54e20,77,144
6bba_3db54e20,11,69
6bba_3db54e20,69,137
6bba_3db54e20,137,206
6bba_3db54e20,206,278
6bba_3db54e20,278,340
6bba_3db54e20,340,407
6bba_3db54e20,12,76
6bba_3db54e20,76,142
6bba_3db54e20,142,198
6bba_3db54e20,198,266
6bba_3db54e20,13,79
6bba_3db54e20,79,162
6bba_3db54e20,162,223
6bba_3db54e20,223,280
6bba_3db54e20,280,349
6bba_3db54e20,349,417
6bba_3db54e20,417,483
6bba_3db54e20,14,75
6bba_3db54e20,75,139
6bba_3db54e20,139,199
6bba_3db54e20,199,263
6bba_3db54e20,263,327
6bba_3db54e20,327,392
6bba_3db54e20,16,83
6bba_3db54e20,83,150
6bba_3db54e20,150,218
6bba_3db54e20,218,288
6bba_3db54e20,288,344
6bba_3db54e20,344,414
6bba_3db54e20,49,108
6bba_3db54e20,108,170
6bba_3db54e20,17,85
6bba_3db54e20,85,154
6bba_3db54e20,154,210
6bba_3db54e20,210,287
6bba_3db54e20,31,95
6bba_3db54e20,95,157
6bba_3db54e20,157,216
6bba_3db54e20,29,91
6bba_3db54e20,91,151
6bba_3db54e20,26,87
6bba_3db54e20,87,153
6bba_3db54e20,153,212
6bba_3db54e20,212,274
6bba_3db54e20,274,333
6bba_3db54e20,333,404
6bba_3db54e20,25,73
6bba_3db54e20,73,145
6bba_3db54e20,145,207
6bba_3db54e20,23,82
6bba_3db54e20,82,147
6bba_3db54e20,21,93
6bba_3db54e20,93,158
6bba_3db54e20,158,231
6bba_3db54e20,231,301
6bba_3db54e20,20,78
6bba_3db54e20,78,146
6bba_3db54e20,146,201
6bba_3db54e20,201,270
6bba_3db54e20,270,332
6bba_3db54e20,19,88
6bba_3db54e20,88,155
6bba_3db54e20,155,214
6bba_3db54e20,214,276
6bba_3db54e20,276,341
6bba_3db54e20,341,423
6bba_3db54e20,41,104
6bba_3db54e20,104,175
6bba_3db54e20,175,239
6bba_3db54e20,239,302
6bba_3db54e20,302,365
6bba_3db54e20,365,430
6bba_3db54e20,430,584
6bba_3db54e20,584,654
6bba_3db54e20,654,718
6bba_3db54e20,840,906
6bba_3db54e20,906,975
6bba_3db54e20,975,1041
6bba_3db54e20,1041,1110
6bba_3db54e20,0,65
6bba_3db54e20,65,133
6bba_3db54e20,133,252
6bba_3db54e20,47,110
6bba_3db54e20,110,178
6bba_3db54e20,178,237
6bba_3db54e20,237,304
6bba_3db54e20,304,368
6bba_3db54e20,368,434
6bba_3db54e20,46,125
6bba_3db54e20,45,116
6bba_3db54e20,116,188
6bba_3db54e20,188,257
6bba_3db54e20,44,119
6bba_3db54e20,119,189
6bba_3db54e20,189,258
6bba_3db54e20,43,105
6bba_3db54e20,105,187
6bba_3db54e20,187,251
6bba_3db54e20,251,317
6bba_3db54e20,42,98
6bba_3db54e20,98,167
6bba_3db54e20,167,224
6bba_3db54e20,224,289
