dataset,source_id,target_id
6bba_48816121,10,297
6bba_48816121,297,609
6bba_48816121,609,914
6bba_48816121,914,1204
6bba_48816121,1204,1538
6bba_48816121,1538,1810
6bba_48816121,1810,2114
6bba_48816121,2114,2440
6bba_48816121,2440,2732
6bba_48816121,2732,3075
6bba_48816121,3075,3365
6bba_48816121,3365,3684
6bba_48816121,3684,3939
6bba_48816121,3939,4261
6bba_48816121,4261,4565
6bba_48816121,4565,4866
6bba_48816121,4866,5199
6bba_48816121,5199,5494
6bba_48816121,5494,5836
6bba_48816121,5836,6146
6bba_48816121,6146,6439
6bba_48816121,6439,6763
6bba_48816121,6763,7111
6bba_48816121,7111,7435
6bba_48816121,7435,7695
6bba_48816121,7695,7974
6bba_48816121,7974,8222
6bba_48816121,8222,8532
6bba_48816121,8532,8840
6bba_48816121,8840,9202
6bba_48816121,9202,9483
6bba_48816121,9483,9781
6bba_48816121,10397,10689
6bba_48816121,10689,11002
6bba_48816121,11002,11271
6bba_48816121,11271,11589
6bba_48816121,11589,11880
6bba_48816121,148,414
6bba_48816121,414,785
6bba_48816121,785,1084
6bba_48816121,1084,1363
6bba_48816121,1363,1622
6bba_48816121,1622,1905
6bba_48816121,1905,2201
6bba_48816121,2201,2514
6bba_48816121,2514,2863
6bba_48816121,2863,3180
6bba_48816121,3180,3409
6bba_48816121,3409,3698
6bba_48816121,3698,3983
6bba_48816121,3983,4319
6bba_48816121,4319,4571
6bba_48816121,4571,4926
6bba_48816121,4926,5192
6bba_48816121,5192,5539
6bba_48816121,5539,5852
6bba_48816121,6506,6773
6bba_48816121,6773,7104
6bba_48816121,7104,7415
6bba_48816121,7415,7717
6bba_48816121,7717,8001
6bba_48816121,8001,8317
6bba_48816121,8317,8563
6bba_48816121,8563,8793
6bba_48816121,8793,9221
6bba_48816121,9221,9566
6bba_48816121,9566,9802
6bba_48816121,9802,10119
6bba_48816121,10119,10374
6bba_48816121,10374,10665
6bba_48816121,10665,10995
6bba_48816121,10995,11333
6bba_48816121,11333,11576
6bba_48816121,2,307
6bba_48816121,307,611
6bba_48816121,611,903
6bba_48816121,903,1194
6bba_48816121,1194,1497
6bba_48816121,1497,1795
6bba_48816121,1795,2116
6bba_48816121,2116,2476
6bba_48816121,2476,2838
6bba_48816121,2838,3066
6bba_48816121,3066,3383
6bba_48816121,3383,3707
6bba_48816121,3707,3943
6bba_48816121,3943,4312
6bba_48816121,4312,4545
6bba_48816121,4545,4843
6bba_48816121,4843,5180
6bba_48816121,5180,5509
6bba_48816121,5509,5813
6bba_48816121,5813,6086
6bba_48816121,6086,6409
6bba_48816121,6409,6699
6bba_48816121,6699,6994
6bba_48816121,6994,7313
6bba_48816121,7313,7680
6bba_48816121,7680,7964
6bba_48816121,7964,8262
6bba_48816121,8262,8519
6bba_48816121,3,295
6bba_48816121,295,605
6bba_48816121,605,905
6bba_48816121,905,1201
6bba_48816121,1201,1501
6bba_48816121,1501,1797
6bba_48816121,1797,2097
6bba_48816121,2097,2404
6bba_48816121,2404,2710
6bba_48816121,2710,3031
6bba_48816121,3031,3407
6bba_48816121,3407,3713
6bba_48816121,3713,3985
6bba_48816121,3985,4301
6bba_48816121,4301,4577
6bba_48816121,5213,5508
6bba_48816121,5508,5839
6bba_48816121,5839,6126
6bba_48816121,4,316
6bba_48816121,316,608
6bba_48816121,608,902
6bba_48816121,902,1197
6bba_48816121,1197,1503
6bba_48816121,1503,1794
6bba_48816121,1794,2096
6bba_48816121,2096,2398
6bba_48816121,2398,2718
6bba_48816121,2718,3040
6bba_48816121,3040,3344
6bba_48816121,3344,3650
6bba_48816121,3650,3971
6bba_48816121,3971,4256
6bba_48816121,4256,4558
6bba_48816121,4558,4863
6bba_48816121,4863,5172
6bba_48816121,5172,5488
6bba_48816121,5488,5790
6bba_48816121,5790,6094
6bba_48816121,6094,6404
6bba_48816121,6404,6692
6bba_48816121,6692,6973
6bba_48816121,6973,7283
6bba_48816121,7283,7588
6bba_48816121,7588,7898
6bba_48816121,7898,8204
6bba_48816121,8204,8581
6bba_48816121,6,300
6bba_48816121,300,610
6bba_48816121,610,906
6bba_48816121,906,1206
6bba_48816121,1206,1502
6bba_48816121,1502,1804
6bba_48816121,1804,2102
6bba_48816121,2102,2412
6bba_48816121,2412,2737
6bba_48816121,2737,3078
6bba_48816121,3078,3421
6bba_48816121,3421,3715
6bba_48816121,3715,3967
6bba_48816121,4621,4948
6bba_48816121,4948,5310
6bba_48816121,5310,5573
6bba_48816121,5573,5911
6bba_48816121,5911,6229
6bba_48816121,6229,6579
6bba_48816121,6579,6828
6bba_48816121,6828,7156
6bba_48816121,7156,7456
6bba_48816121,7456,7639
6bba_48816121,7639,8060
6bba_48816121,8060,8373
6bba_48816121,8373,8657
6bba_48816121,8657,8945
6bba_48816121,8945,9249
6bba_48816121,7,299
6bba_48816121,299,606
6bba_48816121,606,908
6bba_48816121,908,1200
6bba_48816121,1200,1507
6bba_48816121,1507,1793
6bba_48816121,1793,2100
6bba_48816121,2100,2418
6bba_48816121,2418,2768
6bba_48816121,2768,3047
6bba_48816121,3047,3362
6bba_48816121,3362,3629
6bba_48816121,3629,3928
6bba_48816121,3928,4269
6bba_48816121,4269,4649
6bba_48816121,4649,5012
6bba_48816121,5012,5360
6bba_48816121,5360,5699
6bba_48816121,8,313
6bba_48816121,313,620
6bba_48816121,620,922
6bba_48816121,922,1240
6bba_48816121,1240,1549
6bba_48816121,1549,1829
6bba_48816121,1829,2119
6bba_48816121,2119,2403
6bba_48816121,2403,2723
6bba_48816121,2723,3111
6bba_48816121,3111,3422
6bba_48816121,3422,3709
6bba_48816121,3709,3960
6bba_48816121,3960,4321
6bba_48816121,4321,4644
6bba_48816121,19,326
6bba_48816121,326,633
6bba_48816121,633,927
6bba_48816121,927,1218
6bba_48816121,1218,1523
6bba_48816121,1523,1798
6bba_48816121,1798,2104
6bba_48816121,2104,2416
6bba_48816121,2416,2730
6bba_48816121,2730,3057
6bba_48816121,3057,3388
6bba_48816121,3388,3687
6bba_48816121,3687,4019
6bba_48816121,28,327
6bba_48816121,327,642
6bba_48816121,642,946
6bba_48816121,946,1236
6bba_48816121,1236,1525
6bba_48816121,1525,1837
6bba_48816121,1837,2128
