dataset,source_id,target_id
6bba_6ca87370,14,114
6bba_6ca87370,114,216
6bba_6ca87370,2,105
6bba_6ca87370,105,205
6bba_6ca87370,3,103
6bba_6ca87370,103,202
6bba_6ca87370,4,106
6bba_6ca87370,106,204
6bba_6ca87370,5,139
6bba_6ca87370,139,226
6bba_6ca87370,6,104
6bba_6ca87370,104,209
6bba_6ca87370,7,110
6bba_6ca87370,110,215
6bba_6ca87370,215,304
6bba_6ca87370,304,401
6bba_6ca87370,401,519
6bba_6ca87370,519,592
6bba_6ca87370,592,707
6bba_6ca87370,707,852
6bba_6ca87370,852,983
6bba_6ca87370,983,1088
6bba_6ca87370,1088,1191
6bba_6ca87370,8,109
6bba_6ca87370,109,206
6bba_6ca87370,9,111
6bba_6ca87370,111,211
6bba_6ca87370,10,108
6bba_6ca87370,108,207
6bba_6ca87370,11,122
6bba_6ca87370,122,227
6bba_6ca87370,12,119
6bba_6ca87370,27,134
6bba_6ca87370,134,225
6bba_6ca87370,225,319
6bba_6ca87370,319,421
6bba_6ca87370,421,524
6bba_6ca87370,524,614
6bba_6ca87370,15,112
6bba_6ca87370,112,208
6bba_6ca87370,16,120
6bba_6ca87370,120,214
6bba_6ca87370,17,115
6bba_6ca87370,115,220
6bba_6ca87370,18,125
6bba_6ca87370,125,221
6bba_6ca87370,19,113
6bba_6ca87370,113,219
6bba_6ca87370,20,123
6bba_6ca87370,123,232
6bba_6ca87370,21,124
6bba_6ca87370,124,233
6bba_6ca87370,23,117
6bba_6ca87370,117,217
6bba_6ca87370,217,345
6bba_6ca87370,24,128
6bba_6ca87370,128,244
6bba_6ca87370,244,343
6bba_6ca87370,343,469
6bba_6ca87370,25,127
6bba_6ca87370,127,222
6bba_6ca87370,13,118
6bba_6ca87370,118,213
6bba_6ca87370,38,116
6bba_6ca87370,116,210
6bba_6ca87370,440,633
6bba_6ca87370,633,723
6bba_6ca87370,64,163
6bba_6ca87370,163,260
6bba_6ca87370,260,371
6bba_6ca87370,371,475
6bba_6ca87370,475,577
6bba_6ca87370,577,684
6bba_6ca87370,684,754
6bba_6ca87370,754,889
6bba_6ca87370,889,972
6bba_6ca87370,972,1076
6bba_6ca87370,1076,1169
6bba_6ca87370,1169,1263
6bba_6ca87370,33,132
6bba_6ca87370,324,430
6bba_6ca87370,430,526
6bba_6ca87370,526,615
6bba_6ca87370,615,718
6bba_6ca87370,37,142
6bba_6ca87370,142,249
6bba_6ca87370,36,133
6bba_6ca87370,133,228
6bba_6ca87370,228,307
6bba_6ca87370,35,131
6bba_6ca87370,131,239
6bba_6ca87370,239,336
6bba_6ca87370,336,446
6bba_6ca87370,446,532
6bba_6ca87370,532,642
6bba_6ca87370,34,126
6bba_6ca87370,126,212
6bba_6ca87370,32,136
6bba_6ca87370,136,237
6bba_6ca87370,31,148
6bba_6ca87370,148,240
6bba_6ca87370,240,332
6bba_6ca87370,332,453
6bba_6ca87370,30,138
6bba_6ca87370,138,229
6bba_6ca87370,229,323
6bba_6ca87370,323,431
6bba_6ca87370,606,705
6bba_6ca87370,29,135
6bba_6ca87370,135,234
6bba_6ca87370,28,137
6bba_6ca87370,137,231
6bba_6ca87370,76,168
6bba_6ca87370,40,143
6bba_6ca87370,41,236
6bba_6ca87370,43,144
6bba_6ca87370,144,241
6bba_6ca87370,44,147
6bba_6ca87370,45,146
6bba_6ca87370,146,243
6bba_6ca87370,46,145
6bba_6ca87370,48,141
6bba_6ca87370,141,235
6bba_6ca87370,235,313
6bba_6ca87370,313,412
6bba_6ca87370,412,520
6bba_6ca87370,520,612
6bba_6ca87370,612,706
6bba_6ca87370,49,200
6bba_6ca87370,51,160
6bba_6ca87370,160,253
6bba_6ca87370,253,357
6bba_6ca87370,26,130
6bba_6ca87370,130,224
6bba_6ca87370,224,329
6bba_6ca87370,329,432
6bba_6ca87370,77,176
6bba_6ca87370,52,156
6bba_6ca87370,156,251
6bba_6ca87370,251,354
6bba_6ca87370,53,152
6bba_6ca87370,54,154
6bba_6ca87370,154,255
6bba_6ca87370,255,447
6bba_6ca87370,447,683
6bba_6ca87370,683,761
6bba_6ca87370,761,843
