dataset,source_id,target_id
44b6_144b256d,45785,45896
44b6_144b256d,45896,46060
44b6_144b256d,46060,46184
44b6_144b256d,46184,46384
44b6_144b256d,45771,45893
44b6_144b256d,45893,46030
44b6_144b256d,46030,46163
44b6_144b256d,46518,46722
44b6_144b256d,46722,46877
44b6_144b256d,46877,46982
44b6_144b256d,46982,47079
44b6_144b256d,47079,47182
44b6_144b256d,47182,47294
44b6_144b256d,47294,47363
44b6_144b256d,47363,47459
44b6_144b256d,47459,47522
44b6_144b256d,47522,47617
44b6_144b256d,47617,47707
44b6_144b256d,47707,47862
44b6_144b256d,47862,47923
44b6_144b256d,47923,47952
44b6_144b256d,48034,48101
44b6_144b256d,48101,48132
44b6_144b256d,45772,45886
44b6_144b256d,45886,46023
44b6_144b256d,46023,46155
44b6_144b256d,46155,46315
44b6_144b256d,46315,46505
44b6_144b256d,46505,46688
44b6_144b256d,46688,46836
44b6_144b256d,46836,46977
44b6_144b256d,46977,47078
44b6_144b256d,47078,47171
44b6_144b256d,47171,47283
44b6_144b256d,47283,47351
44b6_144b256d,47351,47452
44b6_144b256d,47452,47507
44b6_144b256d,47507,47599
44b6_144b256d,47599,47703
44b6_144b256d,47703,47855
44b6_144b256d,47855,47915
44b6_144b256d,47915,47964
44b6_144b256d,47964,47990
44b6_144b256d,47990,48018
44b6_144b256d,45774,45963
44b6_144b256d,45963,46039
44b6_144b256d,46039,46161
44b6_144b256d,46161,46318
44b6_144b256d,46318,46506
44b6_144b256d,46506,46685
44b6_144b256d,46685,46835
44b6_144b256d,46835,46969
44b6_144b256d,46969,47065
44b6_144b256d,47065,47167
44b6_144b256d,47167,47275
44b6_144b256d,47275,47347
44b6_144b256d,47347,47448
44b6_144b256d,47448,47500
44b6_144b256d,47500,47593
44b6_144b256d,45775,45885
44b6_144b256d,45885,46021
44b6_144b256d,46021,46158
44b6_144b256d,46158,46319
44b6_144b256d,46319,46517
44b6_144b256d,46517,46701
44b6_144b256d,46701,46854
44b6_144b256d,46854,46979
44b6_144b256d,46979,47087
44b6_144b256d,47087,47237
44b6_144b256d,47237,47345
44b6_144b256d,47345,47409
44b6_144b256d,47409,47476
44b6_144b256d,47476,47546
44b6_144b256d,47546,47624
44b6_144b256d,47624,47723
44b6_144b256d,45776,45891
44b6_144b256d,45891,46024
44b6_144b256d,46024,46183
44b6_144b256d,46183,46335
44b6_144b256d,46335,46533
44b6_144b256d,46533,46706
44b6_144b256d,46706,46845
44b6_144b256d,46845,47005
44b6_144b256d,47005,47111
44b6_144b256d,47111,47230
44b6_144b256d,47230,47339
44b6_144b256d,47339,47406
44b6_144b256d,45777,45887
44b6_144b256d,45887,46026
44b6_144b256d,46026,46159
44b6_144b256d,46159,46321
44b6_144b256d,46321,46509
44b6_144b256d,46509,46696
44b6_144b256d,46696,46849
44b6_144b256d,46849,46981
44b6_144b256d,46981,47080
44b6_144b256d,47080,47183
44b6_144b256d,47183,47297
44b6_144b256d,47297,47356
44b6_144b256d,47356,47456
44b6_144b256d,47456,47510
44b6_144b256d,47510,47609
44b6_144b256d,47609,47710
44b6_144b256d,47710,47853
44b6_144b256d,47853,47916
44b6_144b256d,47916,47953
44b6_144b256d,47953,47989
44b6_144b256d,47989,48026
44b6_144b256d,48026,48095
44b6_144b256d,48095,48135
44b6_144b256d,48135,48208
44b6_144b256d,48208,48266
44b6_144b256d,48266,48318
44b6_144b256d,48318,48373
44b6_144b256d,48373,48467
44b6_144b256d,48467,48555
44b6_144b256d,48555,48607
44b6_144b256d,48607,48668
44b6_144b256d,48668,48726
44b6_144b256d,48726,48766
44b6_144b256d,45778,45890
44b6_144b256d,45890,46020
44b6_144b256d,46020,46169
44b6_144b256d,46169,46325
44b6_144b256d,46325,46515
44b6_144b256d,45780,45895
44b6_144b256d,45895,46038
44b6_144b256d,46038,46205
44b6_144b256d,46205,46413
44b6_144b256d,46413,46566
44b6_144b256d,46566,46719
44b6_144b256d,46719,46875
44b6_144b256d,46875,47033
44b6_144b256d,47033,47137
44b6_144b256d,47137,47191
44b6_144b256d,47191,47299
44b6_144b256d,47299,47381
44b6_144b256d,47381,47467
44b6_144b256d,47682,47793
44b6_144b256d,45781,45914
44b6_144b256d,45914,46051
44b6_144b256d,46051,46197
44b6_144b256d,46197,46387
44b6_144b256d,46387,46615
44b6_144b256d,46615,46760
44b6_144b256d,46760,46921
44b6_144b256d,46921,47061
44b6_144b256d,47061,47148
44b6_144b256d,45782,45889
44b6_144b256d,45889,46028
44b6_144b256d,46028,46168
44b6_144b256d,46168,46344
44b6_144b256d,46344,46524
44b6_144b256d,46524,46700
44b6_144b256d,46700,46857
44b6_144b256d,46857,46998
44b6_144b256d,46998,47113
44b6_144b256d,47113,47228
44b6_144b256d,47228,47344
44b6_144b256d,47344,47445
44b6_144b256d,45825,45918
44b6_144b256d,45918,46061
44b6_144b256d,46061,46223
44b6_144b256d,46223,46428
44b6_144b256d,46428,46623
44b6_144b256d,46623,46811
44b6_144b256d,46811,46937
44b6_144b256d,45784,45902
44b6_144b256d,45902,46041
44b6_144b256d,46041,46167
44b6_144b256d,46167,46324
44b6_144b256d,46324,46503
44b6_144b256d,46503,46687
44b6_144b256d,46687,46837
44b6_144b256d,46837,46974
44b6_144b256d,46974,47070
44b6_144b256d,47070,47176
44b6_144b256d,47176,47282
44b6_144b256d,47282,47354
44b6_144b256d,47354,47461
44b6_144b256d,47461,47515
44b6_144b256d,47515,47616
44b6_144b256d,47616,47715
44b6_144b256d,47715,47861
44b6_144b256d,47861,47928
44b6_144b256d,47928,47967
44b6_144b256d,48030,48083
44b6_144b256d,48083,48123
44b6_144b256d,48123,48188
44b6_144b256d,48188,48245
44b6_144b256d,48245,48312
44b6_144b256d,48312,48363
44b6_144b256d,48363,48455
44b6_144b256d,48455,48556
44b6_144b256d,48556,48599
44b6_144b256d,48599,48664
44b6_144b256d,48664,48713
44b6_144b256d,48713,48763
44b6_144b256d,48763,48819
44b6_144b256d,48819,48870
44b6_144b256d,45826,45917
44b6_144b256d,45917,46037
44b6_144b256d,46037,46188
44b6_144b256d,46188,46345
44b6_144b256d,46345,46520
44b6_144b256d,46520,46729
44b6_144b256d,46729,46884
44b6_144b256d,46884,47057
44b6_144b256d,47057,47127
44b6_144b256d,47127,47187
44b6_144b256d,47187,47289
44b6_144b256d,47289,47365
44b6_144b256d,47365,47469
44b6_144b256d,47469,47511
44b6_144b256d,47511,47619
44b6_144b256d,47619,47722
44b6_144b256d,47722,47863
44b6_144b256d,47962,48040
44b6_144b256d,48040,48085
44b6_144b256d,48085,48156
44b6_144b256d,48156,48206
44b6_144b256d,48206,48274
44b6_144b256d,45786,45953
44b6_144b256d,45953,46054
44b6_144b256d,46054,46172
44b6_144b256d,46172,46328
44b6_144b256d,46328,46535
44b6_144b256d,46535,46716
44b6_144b256d,46716,46852
44b6_144b256d,46852,46983
44b6_144b256d,46983,47076
44b6_144b256d,47076,47201
44b6_144b256d,47201,47306
44b6_144b256d,47306,47360
44b6_144b256d,47360,47462
44b6_144b256d,47462,47535
44b6_144b256d,47535,47641
44b6_144b256d,47850,47910
44b6_144b256d,47910,47940
44b6_144b256d,47940,47974
44b6_144b256d,47974,48000
44b6_144b256d,48000,48068
44b6_144b256d,48068,48118
44b6_144b256d,48118,48184
44b6_144b256d,45787,45898
44b6_144b256d,45898,46031
44b6_144b256d,46031,46182
44b6_144b256d,46182,46347
44b6_144b256d,46347,46540
44b6_144b256d,46540,46735
44b6_144b256d,46735,46859
44b6_144b256d,46859,47000
44b6_144b256d,47000,47092
44b6_144b256d,47092,47225
44b6_144b256d,47225,47336
44b6_144b256d,47336,47430
44b6_144b256d,47558,47637
44b6_144b256d,47637,47745
44b6_144b256d,47745,47880
44b6_144b256d,47880,47929
44b6_144b256d,47929,47992
44b6_144b256d,45789,45928
44b6_144b256d,45928,46076
44b6_144b256d,46076,46198
44b6_144b256d,46198,46366
44b6_144b256d,46366,46594
44b6_144b256d,46594,46741
44b6_144b256d,46741,46915
44b6_144b256d,46915,47040
44b6_144b256d,47040,47164
44b6_144b256d,45790,45922
44b6_144b256d,45922,46098
44b6_144b256d,45791,45926
44b6_144b256d,45926,46057
44b6_144b256d,46057,46218
44b6_144b256d,45792,45905
44b6_144b256d,45905,46034
44b6_144b256d,46034,46175
44b6_144b256d,46175,46327
44b6_144b256d,46327,46516
44b6_144b256d,46516,46702
44b6_144b256d,46702,46851
44b6_144b256d,46851,46987
44b6_144b256d,46987,47086
44b6_144b256d,47086,47185
44b6_144b256d,47185,47293
44b6_144b256d,47293,47359
44b6_144b256d,47359,47460
44b6_144b256d,47460,47521
44b6_144b256d,47521,47605
44b6_144b256d,47605,47695
44b6_144b256d,47695,47845
44b6_144b256d,47845,47906
44b6_144b256d,47906,47945
44b6_144b256d,47945,47975
44b6_144b256d,47975,48005
44b6_144b256d,48005,48074
44b6_144b256d,48074,48120
44b6_144b256d,48120,48182
44b6_144b256d,48182,48235
44b6_144b256d,48235,48314
44b6_144b256d,48314,48362
44b6_144b256d,48362,48451
44b6_144b256d,45793,45938
44b6_144b256d,45938,46055
44b6_144b256d,46055,46208
44b6_144b256d,46208,46391
44b6_144b256d,46391,46578
44b6_144b256d,45794,45920
44b6_144b256d,45920,46064
44b6_144b256d,46064,46250
44b6_144b256d,46250,46423
44b6_144b256d,45795,45906
44b6_144b256d,46241,46474
44b6_144b256d,46474,46585
44b6_144b256d,46585,46754
44b6_144b256d,46754,46965
44b6_144b256d,47117,47217
44b6_144b256d,47217,47340
44b6_144b256d,47340,47420
44b6_144b256d,47420,47492
44b6_144b256d,47492,47517
44b6_144b256d,47517,47613
44b6_144b256d,47613,47699
44b6_144b256d,47699,47852
44b6_144b256d,47852,47912
44b6_144b256d,47912,47956
44b6_144b256d,47956,47984
44b6_144b256d,47984,48006
44b6_144b256d,48006,48076
44b6_144b256d,48076,48129
44b6_144b256d,48129,48181
44b6_144b256d,48181,48234
44b6_144b256d,48234,48291
44b6_144b256d,48291,48343
44b6_144b256d,48343,48434
44b6_144b256d,48434,48514
44b6_144b256d,48514,48577
44b6_144b256d,48577,48642
44b6_144b256d,48642,48690
44b6_144b256d,48690,48739
44b6_144b256d,48739,48798
44b6_144b256d,48798,48845
44b6_144b256d,48845,48895
44b6_144b256d,48895,48938
44b6_144b256d,48938,48989
44b6_144b256d,48989,49046
44b6_144b256d,49046,49164
44b6_144b256d,49255,49358
44b6_144b256d,49358,49439
44b6_144b256d,49439,49504
44b6_144b256d,49504,49577
44b6_144b256d,49577,49628
44b6_144b256d,49628,49724
44b6_144b256d,49724,49806
44b6_144b256d,49806,49897
44b6_144b256d,49897,49981
44b6_144b256d,49981,50060
44b6_144b256d,50060,50201
44b6_144b256d,50201,50271
44b6_144b256d,50271,50337
44b6_144b256d,50337,50430
44b6_144b256d,50430,50509
44b6_144b256d,50509,50584
44b6_144b256d,50584,50681
44b6_144b256d,50681,50727
44b6_144b256d,50727,50850
44b6_144b256d,50850,50945
44b6_144b256d,45797,45912
44b6_144b256d,45912,46062
44b6_144b256d,46062,46209
44b6_144b256d,46209,46337
44b6_144b256d,46337,46522
44b6_144b256d,46522,46708
44b6_144b256d,46708,46858
44b6_144b256d,46858,47014
44b6_144b256d,47014,47112
44b6_144b256d,47112,47206
44b6_144b256d,47206,47313
44b6_144b256d,47313,47387
44b6_144b256d,47387,47479
44b6_144b256d,47479,47554
44b6_144b256d,47554,47639
44b6_144b256d,47639,47732
44b6_144b256d,47732,47896
44b6_144b256d,45783,45897
44b6_144b256d,45897,46027
44b6_144b256d,46027,46160
44b6_144b256d,46160,46320
44b6_144b256d,46320,46521
44b6_144b256d,46521,46707
44b6_144b256d,46707,46862
44b6_144b256d,46862,46992
44b6_144b256d,46992,47098
44b6_144b256d,47098,47207
44b6_144b256d,47207,47324
44b6_144b256d,47324,47383
44b6_144b256d,47383,47486
44b6_144b256d,47486,47531
44b6_144b256d,47531,47640
