dataset,source_id,target_id
44b6_7a302da0,293848,294039
44b6_7a302da0,294039,294203
44b6_7a302da0,294203,294367
44b6_7a302da0,294367,294615
44b6_7a302da0,294615,294772
44b6_7a302da0,294772,294961
44b6_7a302da0,294961,295113
44b6_7a302da0,295113,295255
44b6_7a302da0,293771,293956
44b6_7a302da0,293761,293944
44b6_7a302da0,293944,294123
44b6_7a302da0,294123,294349
44b6_7a302da0,294349,294589
44b6_7a302da0,294890,295026
44b6_7a302da0,295026,295237
44b6_7a302da0,295237,295363
44b6_7a302da0,295363,295508
44b6_7a302da0,293762,293939
44b6_7a302da0,293939,294112
44b6_7a302da0,294112,294308
44b6_7a302da0,294308,294533
44b6_7a302da0,294533,294773
44b6_7a302da0,293763,293994
44b6_7a302da0,293994,294199
44b6_7a302da0,294199,294441
44b6_7a302da0,293764,293943
44b6_7a302da0,293943,294114
44b6_7a302da0,294114,294311
44b6_7a302da0,294311,294523
44b6_7a302da0,294523,294731
44b6_7a302da0,294731,294897
44b6_7a302da0,294897,295173
44b6_7a302da0,295173,295350
44b6_7a302da0,295350,295505
44b6_7a302da0,295505,295662
44b6_7a302da0,293765,293947
44b6_7a302da0,293947,294111
44b6_7a302da0,294111,294333
44b6_7a302da0,294333,294543
44b6_7a302da0,294924,295073
44b6_7a302da0,295073,295183
44b6_7a302da0,295183,295370
44b6_7a302da0,293766,293945
44b6_7a302da0,293945,294116
44b6_7a302da0,294116,294314
44b6_7a302da0,294314,294516
44b6_7a302da0,294516,294715
44b6_7a302da0,294715,294888
44b6_7a302da0,294888,295016
44b6_7a302da0,295016,295177
44b6_7a302da0,295177,295341
44b6_7a302da0,295341,295463
44b6_7a302da0,295463,295607
44b6_7a302da0,295607,295788
44b6_7a302da0,295788,295971
44b6_7a302da0,295971,296031
44b6_7a302da0,296031,296148
44b6_7a302da0,296148,296303
44b6_7a302da0,296303,296424
44b6_7a302da0,293767,293968
44b6_7a302da0,293968,294190
44b6_7a302da0,294190,294403
44b6_7a302da0,293768,293946
44b6_7a302da0,293946,294137
44b6_7a302da0,294137,294362
44b6_7a302da0,294362,294569
44b6_7a302da0,294569,294730
44b6_7a302da0,294730,294887
44b6_7a302da0,293769,293950
44b6_7a302da0,293804,294006
44b6_7a302da0,294006,294237
44b6_7a302da0,294237,294423
44b6_7a302da0,294423,294617
44b6_7a302da0,294617,294785
44b6_7a302da0,294785,294972
44b6_7a302da0,294972,295055
44b6_7a302da0,295055,295214
44b6_7a302da0,295214,295402
44b6_7a302da0,295402,295527
44b6_7a302da0,295527,295690
44b6_7a302da0,295690,295839
44b6_7a302da0,296081,296184
44b6_7a302da0,296184,296330
44b6_7a302da0,296330,296468
44b6_7a302da0,296468,296527
44b6_7a302da0,296527,296591
44b6_7a302da0,296781,296923
44b6_7a302da0,296923,297095
44b6_7a302da0,297095,297307
