dataset,source_id,target_id
44b6_aaf8b0ea,479107,479128
44b6_aaf8b0ea,479128,479139
44b6_aaf8b0ea,479139,479158
44b6_aaf8b0ea,479099,479116
44b6_aaf8b0ea,479100,479117
44b6_aaf8b0ea,479101,479123
44b6_aaf8b0ea,479123,479135
44b6_aaf8b0ea,479135,479171
44b6_aaf8b0ea,479171,479194
44b6_aaf8b0ea,479102,479119
44b6_aaf8b0ea,479119,479133
44b6_aaf8b0ea,479133,479148
44b6_aaf8b0ea,479148,479168
44b6_aaf8b0ea,479168,479192
44b6_aaf8b0ea,479192,479205
44b6_aaf8b0ea,479205,479216
44b6_aaf8b0ea,479216,479229
44b6_aaf8b0ea,479229,479234
44b6_aaf8b0ea,479234,479244
44b6_aaf8b0ea,479244,479253
44b6_aaf8b0ea,479253,479266
44b6_aaf8b0ea,479103,479118
44b6_aaf8b0ea,479118,479131
44b6_aaf8b0ea,479131,479151
44b6_aaf8b0ea,479151,479178
44b6_aaf8b0ea,479178,479199
44b6_aaf8b0ea,479104,479121
44b6_aaf8b0ea,479121,479134
44b6_aaf8b0ea,479134,479153
44b6_aaf8b0ea,479105,479122
44b6_aaf8b0ea,479122,479132
44b6_aaf8b0ea,479132,479150
44b6_aaf8b0ea,479108,479125
44b6_aaf8b0ea,479125,479136
44b6_aaf8b0ea,479136,479154
44b6_aaf8b0ea,479154,479176
44b6_aaf8b0ea,479176,479190
44b6_aaf8b0ea,479190,479206
44b6_aaf8b0ea,479206,479214
44b6_aaf8b0ea,479214,479225
44b6_aaf8b0ea,479225,479233
44b6_aaf8b0ea,479233,479249
44b6_aaf8b0ea,479249,479252
44b6_aaf8b0ea,479252,479261
44b6_aaf8b0ea,479261,479273
44b6_aaf8b0ea,479273,479283
44b6_aaf8b0ea,479283,479294
44b6_aaf8b0ea,479109,479127
44b6_aaf8b0ea,479127,479137
44b6_aaf8b0ea,479137,479156
44b6_aaf8b0ea,479156,479177
44b6_aaf8b0ea,479111,479124
44b6_aaf8b0ea,479112,479126
44b6_aaf8b0ea,479126,479138
44b6_aaf8b0ea,479138,479152
44b6_aaf8b0ea,479152,479172
44b6_aaf8b0ea,479097,479115
44b6_aaf8b0ea,479115,479129
44b6_aaf8b0ea,479129,479142
44b6_aaf8b0ea,479140,479157
44b6_aaf8b0ea,479157,479169
44b6_aaf8b0ea,479169,479191
44b6_aaf8b0ea,479141,479159
44b6_aaf8b0ea,479155,479179
44b6_aaf8b0ea,479179,479197
44b6_aaf8b0ea,479197,479210
44b6_aaf8b0ea,479210,479220
44b6_aaf8b0ea,479144,479175
44b6_aaf8b0ea,479175,479196
44b6_aaf8b0ea,479196,479208
44b6_aaf8b0ea,479146,479173
44b6_aaf8b0ea,479147,479166
44b6_aaf8b0ea,479166,479186
44b6_aaf8b0ea,479186,479202
44b6_aaf8b0ea,479202,479213
44b6_aaf8b0ea,479213,479224
44b6_aaf8b0ea,479224,479236
44b6_aaf8b0ea,479236,479246
44b6_aaf8b0ea,479246,479257
44b6_aaf8b0ea,479257,479264
44b6_aaf8b0ea,479264,479274
44b6_aaf8b0ea,479274,479278
44b6_aaf8b0ea,479278,479290
44b6_aaf8b0ea,479290,479300
44b6_aaf8b0ea,479300,479308
44b6_aaf8b0ea,479308,479309
44b6_aaf8b0ea,479309,479316
44b6_aaf8b0ea,479316,479327
44b6_aaf8b0ea,479327,479341
44b6_aaf8b0ea,479341,479352
44b6_aaf8b0ea,479352,479367
44b6_aaf8b0ea,479392,479404
44b6_aaf8b0ea,479404,479412
44b6_aaf8b0ea,479412,479422
44b6_aaf8b0ea,479422,479433
44b6_aaf8b0ea,479433,479444
44b6_aaf8b0ea,479444,479453
44b6_aaf8b0ea,479453,479467
44b6_aaf8b0ea,479467,479474
44b6_aaf8b0ea,479474,479492
44b6_aaf8b0ea,479149,479167
44b6_aaf8b0ea,479167,479187
44b6_aaf8b0ea,479187,479207
44b6_aaf8b0ea,479145,479170
44b6_aaf8b0ea,479162,479183
44b6_aaf8b0ea,479161,479184
44b6_aaf8b0ea,479181,479193
44b6_aaf8b0ea,479193,479203
44b6_aaf8b0ea,479203,479217
44b6_aaf8b0ea,479241,479243
44b6_aaf8b0ea,479243,479258
44b6_aaf8b0ea,479258,479276
44b6_aaf8b0ea,479276,479280
44b6_aaf8b0ea,479280,479292
44b6_aaf8b0ea,479292,479299
44b6_aaf8b0ea,479299,479306
44b6_aaf8b0ea,479306,479312
44b6_aaf8b0ea,479312,479324
44b6_aaf8b0ea,479324,479335
44b6_aaf8b0ea,479335,479347
44b6_aaf8b0ea,479195,479211
44b6_aaf8b0ea,479211,479222
44b6_aaf8b0ea,479189,479204
44b6_aaf8b0ea,479204,479218
44b6_aaf8b0ea,479209,479219
44b6_aaf8b0ea,479219,479228
44b6_aaf8b0ea,479215,479223
44b6_aaf8b0ea,479223,479232
44b6_aaf8b0ea,479227,479238
44b6_aaf8b0ea,479231,479237
44b6_aaf8b0ea,479237,479245
44b6_aaf8b0ea,479245,479251
44b6_aaf8b0ea,479251,479262
44b6_aaf8b0ea,479262,479272
44b6_aaf8b0ea,479272,479282
44b6_aaf8b0ea,479282,479291
44b6_aaf8b0ea,479291,479302
44b6_aaf8b0ea,479302,479307
44b6_aaf8b0ea,479307,479310
44b6_aaf8b0ea,479310,479322
44b6_aaf8b0ea,479322,479336
44b6_aaf8b0ea,479336,479345
44b6_aaf8b0ea,479364,479385
44b6_aaf8b0ea,479385,479395
44b6_aaf8b0ea,479395,479399
44b6_aaf8b0ea,479399,479406
44b6_aaf8b0ea,479406,479414
44b6_aaf8b0ea,479230,479239
44b6_aaf8b0ea,479239,479242
44b6_aaf8b0ea,479235,479247
44b6_aaf8b0ea,479247,479255
44b6_aaf8b0ea,479255,479267
44b6_aaf8b0ea,479267,479275
44b6_aaf8b0ea,479275,479286
44b6_aaf8b0ea,479296,479305
44b6_aaf8b0ea,479305,479315
44b6_aaf8b0ea,479315,479337
44b6_aaf8b0ea,479337,479346
44b6_aaf8b0ea,479346,479354
44b6_aaf8b0ea,479354,479366
44b6_aaf8b0ea,479366,479384
44b6_aaf8b0ea,479248,479254
44b6_aaf8b0ea,479254,479263
44b6_aaf8b0ea,479263,479271
44b6_aaf8b0ea,479271,479277
44b6_aaf8b0ea,479277,479288
44b6_aaf8b0ea,479288,479297
44b6_aaf8b0ea,479259,479269
44b6_aaf8b0ea,479256,479265
44b6_aaf8b0ea,479250,479260
44b6_aaf8b0ea,479260,479270
44b6_aaf8b0ea,479279,479295
44b6_aaf8b0ea,479284,479289
44b6_aaf8b0ea,479289,479298
44b6_aaf8b0ea,479298,479304
44b6_aaf8b0ea,479304,479313
44b6_aaf8b0ea,479313,479319
44b6_aaf8b0ea,479319,479326
44b6_aaf8b0ea,479326,479338
44b6_aaf8b0ea,479338,479348
44b6_aaf8b0ea,479348,479359
44b6_aaf8b0ea,479359,479375
44b6_aaf8b0ea,479375,479396
44b6_aaf8b0ea,479301,479303
44b6_aaf8b0ea,479311,479320
44b6_aaf8b0ea,479320,479328
44b6_aaf8b0ea,479328,479344
44b6_aaf8b0ea,479344,479350
44b6_aaf8b0ea,479350,479358
44b6_aaf8b0ea,479358,479380
44b6_aaf8b0ea,479380,479386
44b6_aaf8b0ea,479386,479397
44b6_aaf8b0ea,479397,479407
44b6_aaf8b0ea,479314,479318
44b6_aaf8b0ea,479318,479330
44b6_aaf8b0ea,479330,479343
44b6_aaf8b0ea,479365,479382
44b6_aaf8b0ea,479382,479391
44b6_aaf8b0ea,479321,479331
44b6_aaf8b0ea,479331,479339
44b6_aaf8b0ea,479339,479349
44b6_aaf8b0ea,479349,479356
44b6_aaf8b0ea,479356,479377
44b6_aaf8b0ea,479377,479388
44b6_aaf8b0ea,479388,479398
44b6_aaf8b0ea,479398,479408
44b6_aaf8b0ea,479408,479415
44b6_aaf8b0ea,479415,479427
44b6_aaf8b0ea,479427,479437
44b6_aaf8b0ea,479437,479452
44b6_aaf8b0ea,479452,479465
44b6_aaf8b0ea,479465,479475
44b6_aaf8b0ea,479317,479332
44b6_aaf8b0ea,479329,479340
44b6_aaf8b0ea,479340,479351
44b6_aaf8b0ea,479351,479362
44b6_aaf8b0ea,479362,479379
44b6_aaf8b0ea,479355,479368
44b6_aaf8b0ea,479368,479383
44b6_aaf8b0ea,479360,479381
44b6_aaf8b0ea,479381,479393
44b6_aaf8b0ea,479361,479374
44b6_aaf8b0ea,479374,479389
44b6_aaf8b0ea,479357,479376
44b6_aaf8b0ea,479376,479387
44b6_aaf8b0ea,479387,479400
44b6_aaf8b0ea,479400,479410
44b6_aaf8b0ea,479373,479378
44b6_aaf8b0ea,479378,479390
44b6_aaf8b0ea,479390,479405
44b6_aaf8b0ea,479402,479418
44b6_aaf8b0ea,479418,479446
44b6_aaf8b0ea,479446,479455
44b6_aaf8b0ea,479455,479468
44b6_aaf8b0ea,479468,479479
44b6_aaf8b0ea,479479,479500
44b6_aaf8b0ea,479500,479510
44b6_aaf8b0ea,479526,479531
44b6_aaf8b0ea,479531,479540
44b6_aaf8b0ea,479413,479421
44b6_aaf8b0ea,479421,479428
44b6_aaf8b0ea,479428,479445
44b6_aaf8b0ea,479445,479454
44b6_aaf8b0ea,479454,479469
44b6_aaf8b0ea,479411,479416
44b6_aaf8b0ea,479416,479426
44b6_aaf8b0ea,479426,479443
44b6_aaf8b0ea,479409,479417
44b6_aaf8b0ea,479417,479429
44b6_aaf8b0ea,479429,479440
44b6_aaf8b0ea,479423,479430
44b6_aaf8b0ea,479430,479436
44b6_aaf8b0ea,479436,479448
44b6_aaf8b0ea,479448,479466
44b6_aaf8b0ea,479419,479425
44b6_aaf8b0ea,479425,479438
44b6_aaf8b0ea,479438,479457
44b6_aaf8b0ea,479457,479470
44b6_aaf8b0ea,479470,479485
44b6_aaf8b0ea,479420,479431
44b6_aaf8b0ea,479431,479442
44b6_aaf8b0ea,479442,479451
44b6_aaf8b0ea,479451,479464
44b6_aaf8b0ea,479464,479472
44b6_aaf8b0ea,479472,479488
44b6_aaf8b0ea,479512,479524
44b6_aaf8b0ea,479524,479532
44b6_aaf8b0ea,479532,479542
44b6_aaf8b0ea,479542,479553
44b6_aaf8b0ea,479553,479558
44b6_aaf8b0ea,479558,479560
44b6_aaf8b0ea,479574,479591
44b6_aaf8b0ea,479591,479598
44b6_aaf8b0ea,479598,479606
44b6_aaf8b0ea,479606,479620
44b6_aaf8b0ea,479620,479636
44b6_aaf8b0ea,479636,479666
44b6_aaf8b0ea,479666,479682
44b6_aaf8b0ea,479682,479714
44b6_aaf8b0ea,479432,479439
44b6_aaf8b0ea,479439,479449
44b6_aaf8b0ea,479449,479471
44b6_aaf8b0ea,479471,479477
44b6_aaf8b0ea,479477,479493
44b6_aaf8b0ea,479493,479509
44b6_aaf8b0ea,479509,479514
44b6_aaf8b0ea,479514,479527
44b6_aaf8b0ea,479527,479538
44b6_aaf8b0ea,479538,479547
44b6_aaf8b0ea,479424,479441
44b6_aaf8b0ea,479441,479460
44b6_aaf8b0ea,479450,479463
44b6_aaf8b0ea,479462,479478
44b6_aaf8b0ea,479478,479489
44b6_aaf8b0ea,479489,479501
44b6_aaf8b0ea,479501,479511
44b6_aaf8b0ea,479511,479523
44b6_aaf8b0ea,479461,479476
44b6_aaf8b0ea,479476,479490
44b6_aaf8b0ea,479490,479504
44b6_aaf8b0ea,479504,479515
44b6_aaf8b0ea,479473,479494
44b6_aaf8b0ea,479494,479502
44b6_aaf8b0ea,479502,479518
44b6_aaf8b0ea,479482,479497
44b6_aaf8b0ea,479497,479507
44b6_aaf8b0ea,479507,479519
44b6_aaf8b0ea,479481,479495
44b6_aaf8b0ea,479495,479517
44b6_aaf8b0ea,479517,479529
44b6_aaf8b0ea,479491,479505
44b6_aaf8b0ea,479505,479513
44b6_aaf8b0ea,479513,479525
44b6_aaf8b0ea,479525,479536
44b6_aaf8b0ea,479536,479545
44b6_aaf8b0ea,479496,479506
44b6_aaf8b0ea,479506,479516
44b6_aaf8b0ea,479521,479530
44b6_aaf8b0ea,479530,479533
44b6_aaf8b0ea,479533,479543
44b6_aaf8b0ea,479543,479551
44b6_aaf8b0ea,479551,479556
44b6_aaf8b0ea,479556,479561
44b6_aaf8b0ea,479561,479568
44b6_aaf8b0ea,479568,479577
44b6_aaf8b0ea,479577,479587
44b6_aaf8b0ea,479587,479590
44b6_aaf8b0ea,479590,479600
44b6_aaf8b0ea,479600,479608
44b6_aaf8b0ea,479608,479619
44b6_aaf8b0ea,479619,479646
44b6_aaf8b0ea,479646,479670
44b6_aaf8b0ea,479520,479539
44b6_aaf8b0ea,479539,479548
44b6_aaf8b0ea,479548,479555
44b6_aaf8b0ea,479555,479564
44b6_aaf8b0ea,479564,479571
44b6_aaf8b0ea,479571,479579
