dataset,source_id,target_id
44b6_c15fded2,497412,497494
44b6_c15fded2,497494,497535
44b6_c15fded2,497535,497596
44b6_c15fded2,497596,497677
44b6_c15fded2,497413,497475
44b6_c15fded2,497381,497449
44b6_c15fded2,497449,497532
44b6_c15fded2,497532,497631
44b6_c15fded2,497631,497718
44b6_c15fded2,497382,497451
44b6_c15fded2,497451,497522
44b6_c15fded2,497522,497599
44b6_c15fded2,497599,497673
44b6_c15fded2,497383,497450
44b6_c15fded2,497450,497521
44b6_c15fded2,497521,497593
44b6_c15fded2,497593,497680
44b6_c15fded2,497384,497460
44b6_c15fded2,497460,497520
44b6_c15fded2,497385,497471
44b6_c15fded2,497386,497455
44b6_c15fded2,497397,497495
44b6_c15fded2,497495,497558
44b6_c15fded2,497388,497477
44b6_c15fded2,497477,497566
44b6_c15fded2,497389,497479
44b6_c15fded2,497390,497489
44b6_c15fded2,497489,497577
44b6_c15fded2,497577,497613
44b6_c15fded2,497613,497700
44b6_c15fded2,497391,497458
44b6_c15fded2,497392,497454
44b6_c15fded2,497454,497560
44b6_c15fded2,497560,497607
44b6_c15fded2,497607,497681
44b6_c15fded2,497681,497736
44b6_c15fded2,497393,497474
44b6_c15fded2,497474,497545
44b6_c15fded2,497394,497456
44b6_c15fded2,497456,497519
44b6_c15fded2,497519,497588
44b6_c15fded2,497588,497678
44b6_c15fded2,497678,497740
44b6_c15fded2,497740,497798
44b6_c15fded2,497395,497466
44b6_c15fded2,497466,497548
44b6_c15fded2,497405,497480
44b6_c15fded2,497422,497500
44b6_c15fded2,497500,497562
44b6_c15fded2,497562,497605
44b6_c15fded2,497605,497712
44b6_c15fded2,497712,497775
44b6_c15fded2,497398,497470
44b6_c15fded2,497470,497551
44b6_c15fded2,497551,497612
44b6_c15fded2,497612,497692
44b6_c15fded2,497692,497753
44b6_c15fded2,497753,497804
44b6_c15fded2,497804,497864
44b6_c15fded2,497399,497498
44b6_c15fded2,497400,497462
44b6_c15fded2,497462,497523
44b6_c15fded2,497523,497594
44b6_c15fded2,497402,497461
44b6_c15fded2,497404,497457
44b6_c15fded2,497457,497528
44b6_c15fded2,497528,497592
44b6_c15fded2,497592,497674
44b6_c15fded2,497674,497734
44b6_c15fded2,497406,497468
44b6_c15fded2,497468,497531
44b6_c15fded2,497407,497492
44b6_c15fded2,497492,497543
44b6_c15fded2,497408,497511
44b6_c15fded2,497409,497491
44b6_c15fded2,497410,497469
44b6_c15fded2,497411,497465
44b6_c15fded2,497396,497452
44b6_c15fded2,497431,497499
44b6_c15fded2,497414,497472
44b6_c15fded2,497472,497537
44b6_c15fded2,497537,497603
44b6_c15fded2,497603,497691
44b6_c15fded2,497691,497767
44b6_c15fded2,497767,497824
44b6_c15fded2,497824,497846
44b6_c15fded2,497415,497486
44b6_c15fded2,497486,497580
44b6_c15fded2,497580,497654
44b6_c15fded2,497417,497487
44b6_c15fded2,497487,497571
44b6_c15fded2,497571,497635
44b6_c15fded2,497635,497701
44b6_c15fded2,497701,497754
44b6_c15fded2,497418,497464
44b6_c15fded2,497464,497538
44b6_c15fded2,497419,497512
44b6_c15fded2,497512,497554
44b6_c15fded2,497703,497818
44b6_c15fded2,497420,497485
44b6_c15fded2,497485,497585
44b6_c15fded2,497585,497639
44b6_c15fded2,497421,497473
44b6_c15fded2,497473,497547
44b6_c15fded2,497424,497484
44b6_c15fded2,497484,497579
44b6_c15fded2,497425,497508
44b6_c15fded2,497427,497483
44b6_c15fded2,497483,497553
44b6_c15fded2,497429,497506
44b6_c15fded2,497387,497459
44b6_c15fded2,497378,497447
44b6_c15fded2,497447,497517
44b6_c15fded2,497439,497490
44b6_c15fded2,497433,497513
44b6_c15fded2,497435,497503
44b6_c15fded2,497503,497657
44b6_c15fded2,497436,497488
44b6_c15fded2,497437,497493
44b6_c15fded2,497493,497643
44b6_c15fded2,497440,497510
44b6_c15fded2,497441,497515
44b6_c15fded2,497443,497497
44b6_c15fded2,497444,497476
44b6_c15fded2,497476,497575
44b6_c15fded2,497445,497507
44b6_c15fded2,497507,497550
44b6_c15fded2,497467,497527
44b6_c15fded2,497516,497549
44b6_c15fded2,497453,497530
44b6_c15fded2,497530,497640
44b6_c15fded2,497481,497542
44b6_c15fded2,497463,497529
44b6_c15fded2,497509,497536
44b6_c15fded2,497552,497636
44b6_c15fded2,497524,497591
44b6_c15fded2,497526,497604
44b6_c15fded2,497582,497628
44b6_c15fded2,497628,497706
44b6_c15fded2,497706,497813
44b6_c15fded2,497813,497856
44b6_c15fded2,497525,497608
44b6_c15fded2,497570,497623
44b6_c15fded2,497623,497698
44b6_c15fded2,497698,497759
44b6_c15fded2,497567,497637
44b6_c15fded2,497637,497699
44b6_c15fded2,497699,497770
44b6_c15fded2,497770,497812
44b6_c15fded2,497563,497618
44b6_c15fded2,497557,497664
44b6_c15fded2,497664,497729
44b6_c15fded2,497729,497774
44b6_c15fded2,497661,497730
44b6_c15fded2,497651,497715
44b6_c15fded2,497602,497697
44b6_c15fded2,497697,497739
44b6_c15fded2,497601,497690
44b6_c15fded2,497598,497675
44b6_c15fded2,497597,497689
44b6_c15fded2,497595,497682
44b6_c15fded2,497629,497694
44b6_c15fded2,497694,497772
44b6_c15fded2,497625,497705
44b6_c15fded2,497620,497704
44b6_c15fded2,497704,497756
44b6_c15fded2,497756,497807
44b6_c15fded2,497641,497711
44b6_c15fded2,497646,497727
44b6_c15fded2,497648,497726
44b6_c15fded2,497726,497771
44b6_c15fded2,497771,497805
44b6_c15fded2,497649,497716
44b6_c15fded2,497638,497693
44b6_c15fded2,497693,497761
44b6_c15fded2,497702,497773
44b6_c15fded2,497686,497755
44b6_c15fded2,497755,497794
44b6_c15fded2,497794,497843
44b6_c15fded2,497687,497752
44b6_c15fded2,497679,497743
44b6_c15fded2,497676,497735
44b6_c15fded2,497672,497741
44b6_c15fded2,497741,497782
44b6_c15fded2,497782,497844
44b6_c15fded2,497844,497927
44b6_c15fded2,497927,497978
44b6_c15fded2,497978,498053
44b6_c15fded2,498053,498114
44b6_c15fded2,498323,498428
44b6_c15fded2,498428,498470
44b6_c15fded2,497723,497747
44b6_c15fded2,497747,497787
44b6_c15fded2,497787,497859
44b6_c15fded2,497707,497765
44b6_c15fded2,497765,497821
44b6_c15fded2,497749,497834
44b6_c15fded2,497745,497789
44b6_c15fded2,497731,497777
44b6_c15fded2,497777,497836
44b6_c15fded2,497784,497840
44b6_c15fded2,497786,497841
44b6_c15fded2,497791,497853
44b6_c15fded2,497806,497849
44b6_c15fded2,497802,497869
44b6_c15fded2,497795,497845
44b6_c15fded2,497785,497860
44b6_c15fded2,497809,497866
44b6_c15fded2,497817,497862
44b6_c15fded2,497822,497868
44b6_c15fded2,497876,498026
44b6_c15fded2,498026,498196
44b6_c15fded2,497905,497926
44b6_c15fded2,497926,497970
44b6_c15fded2,497970,498040
44b6_c15fded2,498040,498111
44b6_c15fded2,497902,497951
44b6_c15fded2,497951,497996
44b6_c15fded2,497996,498059
44b6_c15fded2,498059,498138
44b6_c15fded2,498329,498413
44b6_c15fded2,498413,498477
44b6_c15fded2,497899,497956
44b6_c15fded2,497956,498021
44b6_c15fded2,498021,498072
44b6_c15fded2,498072,498139
44b6_c15fded2,497922,497977
44b6_c15fded2,497945,497988
44b6_c15fded2,497988,498049
44b6_c15fded2,498049,498116
44b6_c15fded2,497944,498011
44b6_c15fded2,498011,498056
44b6_c15fded2,498056,498128
44b6_c15fded2,498128,498286
44b6_c15fded2,498422,498468
44b6_c15fded2,498468,498513
44b6_c15fded2,497929,497990
44b6_c15fded2,497990,498078
44b6_c15fded2,498078,498137
44b6_c15fded2,497932,497972
44b6_c15fded2,497972,498042
44b6_c15fded2,498042,498115
44b6_c15fded2,497934,497989
44b6_c15fded2,497989,498043
44b6_c15fded2,498043,498121
44b6_c15fded2,497942,497984
44b6_c15fded2,497984,498065
44b6_c15fded2,498065,498132
44b6_c15fded2,497941,498002
44b6_c15fded2,498002,498105
44b6_c15fded2,498105,498151
44b6_c15fded2,497940,497981
44b6_c15fded2,497981,498070
44b6_c15fded2,498070,498131
44b6_c15fded2,497939,497982
44b6_c15fded2,497982,498044
44b6_c15fded2,498044,498113
44b6_c15fded2,497938,497979
44b6_c15fded2,497979,498054
44b6_c15fded2,498054,498130
44b6_c15fded2,497937,497980
44b6_c15fded2,497980,498066
44b6_c15fded2,498066,498140
44b6_c15fded2,498357,498436
44b6_c15fded2,498436,498487
44b6_c15fded2,497968,498008
44b6_c15fded2,498008,498183
44b6_c15fded2,497969,497997
44b6_c15fded2,497997,498067
44b6_c15fded2,498067,498155
44b6_c15fded2,497946,498022
44b6_c15fded2,498022,498071
44b6_c15fded2,498071,498122
44b6_c15fded2,498122,498228
44b6_c15fded2,498228,498341
44b6_c15fded2,497953,497991
44b6_c15fded2,497991,498060
44b6_c15fded2,498060,498123
44b6_c15fded2,497948,498004
44b6_c15fded2,498004,498074
44b6_c15fded2,498074,498143
44b6_c15fded2,497947,497994
44b6_c15fded2,497994,498047
44b6_c15fded2,498047,498118
44b6_c15fded2,498118,498232
