dataset,source_id,target_id
44b6_cf2536e8,559745,559814
44b6_cf2536e8,559814,559907
44b6_cf2536e8,559907,560051
44b6_cf2536e8,560051,560177
44b6_cf2536e8,560177,560325
44b6_cf2536e8,560325,560438
44b6_cf2536e8,560438,560541
44b6_cf2536e8,560541,560648
44b6_cf2536e8,560648,560811
44b6_cf2536e8,560811,561043
44b6_cf2536e8,561043,561278
44b6_cf2536e8,561278,561531
44b6_cf2536e8,561531,561791
44b6_cf2536e8,559772,559849
44b6_cf2536e8,559737,559811
44b6_cf2536e8,559811,559899
44b6_cf2536e8,559899,560040
44b6_cf2536e8,560040,560166
44b6_cf2536e8,560166,560320
44b6_cf2536e8,560320,560435
44b6_cf2536e8,560435,560537
44b6_cf2536e8,560537,560642
44b6_cf2536e8,560642,560809
44b6_cf2536e8,560809,561042
44b6_cf2536e8,561042,561274
44b6_cf2536e8,561274,561540
44b6_cf2536e8,561540,561792
44b6_cf2536e8,561792,561995
44b6_cf2536e8,561995,562203
44b6_cf2536e8,562203,562363
44b6_cf2536e8,559739,559901
44b6_cf2536e8,559740,559815
44b6_cf2536e8,560044,560167
44b6_cf2536e8,560167,560322
44b6_cf2536e8,560322,560442
44b6_cf2536e8,559741,559812
44b6_cf2536e8,559743,559822
44b6_cf2536e8,559822,559918
44b6_cf2536e8,559918,560048
44b6_cf2536e8,560048,560169
44b6_cf2536e8,560169,560332
44b6_cf2536e8,560332,560453
44b6_cf2536e8,560453,560586
44b6_cf2536e8,560586,560697
44b6_cf2536e8,560697,560848
44b6_cf2536e8,560848,561104
44b6_cf2536e8,561104,561312
44b6_cf2536e8,559771,559839
44b6_cf2536e8,559839,559912
44b6_cf2536e8,559912,560066
44b6_cf2536e8,560066,560188
44b6_cf2536e8,560188,560347
44b6_cf2536e8,560347,560458
44b6_cf2536e8,560458,560552
44b6_cf2536e8,560552,560661
44b6_cf2536e8,560661,560830
44b6_cf2536e8,560830,561057
44b6_cf2536e8,561057,561290
44b6_cf2536e8,561290,561551
44b6_cf2536e8,561551,561796
44b6_cf2536e8,561796,562008
44b6_cf2536e8,562008,562210
44b6_cf2536e8,562210,562361
44b6_cf2536e8,562361,562569
44b6_cf2536e8,562569,562741
44b6_cf2536e8,562741,562957
44b6_cf2536e8,562957,563118
44b6_cf2536e8,563118,563306
44b6_cf2536e8,563306,563480
44b6_cf2536e8,563480,563666
44b6_cf2536e8,563666,563798
44b6_cf2536e8,559755,559813
44b6_cf2536e8,559813,559903
44b6_cf2536e8,559903,560042
44b6_cf2536e8,560042,560168
44b6_cf2536e8,560168,560323
44b6_cf2536e8,560323,560440
44b6_cf2536e8,560440,560545
44b6_cf2536e8,560545,560665
44b6_cf2536e8,560665,560820
44b6_cf2536e8,560820,561049
44b6_cf2536e8,561049,561275
44b6_cf2536e8,561275,561534
44b6_cf2536e8,559746,559919
44b6_cf2536e8,559919,560063
44b6_cf2536e8,559747,559821
44b6_cf2536e8,559821,559916
44b6_cf2536e8,559916,560054
44b6_cf2536e8,560054,560182
44b6_cf2536e8,560182,560330
44b6_cf2536e8,560330,560448
44b6_cf2536e8,560448,560550
44b6_cf2536e8,560550,560664
44b6_cf2536e8,560664,560828
44b6_cf2536e8,560828,561075
44b6_cf2536e8,561075,561302
44b6_cf2536e8,561302,561565
44b6_cf2536e8,561565,561834
44b6_cf2536e8,559748,559819
44b6_cf2536e8,559819,559910
44b6_cf2536e8,559910,560052
44b6_cf2536e8,560052,560187
44b6_cf2536e8,560187,560348
44b6_cf2536e8,560348,560454
44b6_cf2536e8,560454,560551
44b6_cf2536e8,560551,560653
44b6_cf2536e8,559749,559829
44b6_cf2536e8,559750,559824
44b6_cf2536e8,559824,559931
44b6_cf2536e8,559931,560083
44b6_cf2536e8,559752,559823
44b6_cf2536e8,559823,559915
44b6_cf2536e8,559915,560062
44b6_cf2536e8,560062,560193
44b6_cf2536e8,560193,560346
44b6_cf2536e8,560346,560460
44b6_cf2536e8,560460,560565
44b6_cf2536e8,560565,560670
44b6_cf2536e8,560670,560851
44b6_cf2536e8,560851,561085
44b6_cf2536e8,561085,561342
44b6_cf2536e8,561342,561605
44b6_cf2536e8,561605,561846
44b6_cf2536e8,561846,562032
44b6_cf2536e8,562032,562228
44b6_cf2536e8,562228,562405
44b6_cf2536e8,562405,562650
44b6_cf2536e8,562650,562862
44b6_cf2536e8,562862,563030
44b6_cf2536e8,563030,563216
44b6_cf2536e8,559753,559836
44b6_cf2536e8,559836,559927
44b6_cf2536e8,559927,560091
44b6_cf2536e8,560091,560254
44b6_cf2536e8,559762,559842
44b6_cf2536e8,559842,559922
44b6_cf2536e8,559922,560065
44b6_cf2536e8,560065,560186
44b6_cf2536e8,560186,560331
44b6_cf2536e8,560331,560449
44b6_cf2536e8,560449,560554
44b6_cf2536e8,560554,560655
44b6_cf2536e8,560655,560839
44b6_cf2536e8,560839,561066
44b6_cf2536e8,561066,561295
44b6_cf2536e8,561295,561550
44b6_cf2536e8,561550,561813
44b6_cf2536e8,561813,562013
44b6_cf2536e8,562013,562227
44b6_cf2536e8,562227,562366
44b6_cf2536e8,562366,562552
44b6_cf2536e8,562552,562743
44b6_cf2536e8,562743,562958
44b6_cf2536e8,562958,563120
44b6_cf2536e8,563120,563292
44b6_cf2536e8,563292,563433
44b6_cf2536e8,563433,563608
44b6_cf2536e8,563608,563759
44b6_cf2536e8,563759,563910
44b6_cf2536e8,563910,564042
44b6_cf2536e8,564042,564134
44b6_cf2536e8,564134,564285
44b6_cf2536e8,564285,564461
44b6_cf2536e8,564461,564711
44b6_cf2536e8,564711,564900
44b6_cf2536e8,564900,565113
44b6_cf2536e8,565113,565342
44b6_cf2536e8,565342,565600
44b6_cf2536e8,565600,565877
44b6_cf2536e8,565877,566166
44b6_cf2536e8,559781,559929
44b6_cf2536e8,559929,560071
44b6_cf2536e8,560071,560191
44b6_cf2536e8,560191,560340
44b6_cf2536e8,560340,560464
44b6_cf2536e8,560464,560566
44b6_cf2536e8,560566,560692
44b6_cf2536e8,560692,560872
44b6_cf2536e8,560872,561081
44b6_cf2536e8,561081,561316
44b6_cf2536e8,561316,561621
44b6_cf2536e8,559763,559827
44b6_cf2536e8,559827,559940
44b6_cf2536e8,559940,560101
44b6_cf2536e8,560418,560591
44b6_cf2536e8,559756,559830
44b6_cf2536e8,559830,559926
44b6_cf2536e8,559926,560077
44b6_cf2536e8,560077,560255
44b6_cf2536e8,560255,560386
44b6_cf2536e8,560386,560502
44b6_cf2536e8,560502,560625
44b6_cf2536e8,560625,560706
44b6_cf2536e8,560706,560844
44b6_cf2536e8,560844,561071
44b6_cf2536e8,561071,561348
44b6_cf2536e8,561348,561647
44b6_cf2536e8,559757,559843
44b6_cf2536e8,559843,559930
44b6_cf2536e8,559930,560074
44b6_cf2536e8,560074,560195
44b6_cf2536e8,560195,560352
44b6_cf2536e8,560352,560465
44b6_cf2536e8,560465,560578
44b6_cf2536e8,560578,560668
44b6_cf2536e8,560668,561114
44b6_cf2536e8,561114,561321
44b6_cf2536e8,561321,561573
44b6_cf2536e8,561573,561825
44b6_cf2536e8,561825,562051
44b6_cf2536e8,562051,562238
44b6_cf2536e8,562238,562386
44b6_cf2536e8,562386,562573
44b6_cf2536e8,562573,562773
44b6_cf2536e8,562773,562965
44b6_cf2536e8,562965,563114
44b6_cf2536e8,563114,563285
44b6_cf2536e8,563285,563448
44b6_cf2536e8,563448,563623
44b6_cf2536e8,563623,563765
44b6_cf2536e8,563765,563920
44b6_cf2536e8,563920,564055
44b6_cf2536e8,564055,564138
44b6_cf2536e8,564138,564313
44b6_cf2536e8,564313,564476
44b6_cf2536e8,564476,564686
44b6_cf2536e8,564686,564891
44b6_cf2536e8,564891,565099
44b6_cf2536e8,565099,565328
44b6_cf2536e8,565328,565573
44b6_cf2536e8,565573,565862
44b6_cf2536e8,566354,566608
44b6_cf2536e8,559758,559834
44b6_cf2536e8,559759,559817
44b6_cf2536e8,559817,559909
44b6_cf2536e8,559909,560053
44b6_cf2536e8,560053,560199
44b6_cf2536e8,560199,560354
44b6_cf2536e8,560354,560486
44b6_cf2536e8,560486,560562
44b6_cf2536e8,560562,560682
44b6_cf2536e8,560682,560841
44b6_cf2536e8,560841,561101
44b6_cf2536e8,561101,561319
44b6_cf2536e8,561319,561593
44b6_cf2536e8,561593,561840
44b6_cf2536e8,561840,562029
44b6_cf2536e8,562029,562249
44b6_cf2536e8,562249,562399
44b6_cf2536e8,562399,562604
44b6_cf2536e8,562604,562791
44b6_cf2536e8,562791,563016
44b6_cf2536e8,563016,563184
44b6_cf2536e8,563184,563308
