dataset,source_id,target_id
6bba_05b6850b,15,65
6bba_05b6850b,65,136
6bba_05b6850b,136,202
6bba_05b6850b,202,251
6bba_05b6850b,251,302
6bba_05b6850b,27,74
6bba_05b6850b,74,133
6bba_05b6850b,133,182
6bba_05b6850b,182,232
6bba_05b6850b,232,283
6bba_05b6850b,283,354
6bba_05b6850b,2,56
6bba_05b6850b,166,217
6bba_05b6850b,217,268
6bba_05b6850b,268,319
6bba_05b6850b,319,370
6bba_05b6850b,370,422
6bba_05b6850b,528,589
6bba_05b6850b,589,639
6bba_05b6850b,639,688
6bba_05b6850b,688,735
6bba_05b6850b,735,789
6bba_05b6850b,789,832
6bba_05b6850b,832,878
6bba_05b6850b,878,931
6bba_05b6850b,931,977
6bba_05b6850b,977,1027
6bba_05b6850b,1027,1070
6bba_05b6850b,1070,1111
6bba_05b6850b,1111,1167
6bba_05b6850b,3,60
6bba_05b6850b,60,122
6bba_05b6850b,4,54
6bba_05b6850b,54,114
6bba_05b6850b,114,174
6bba_05b6850b,174,241
6bba_05b6850b,241,292
6bba_05b6850b,292,364
6bba_05b6850b,364,387
6bba_05b6850b,387,425
6bba_05b6850b,425,479
6bba_05b6850b,479,526
6bba_05b6850b,526,578
6bba_05b6850b,578,632
6bba_05b6850b,632,681
6bba_05b6850b,681,737
6bba_05b6850b,737,786
6bba_05b6850b,786,840
6bba_05b6850b,840,906
6bba_05b6850b,906,937
6bba_05b6850b,937,995
6bba_05b6850b,995,1032
6bba_05b6850b,1032,1078
6bba_05b6850b,1078,1119
6bba_05b6850b,1119,1166
6bba_05b6850b,1166,1217
6bba_05b6850b,1217,1252
6bba_05b6850b,1252,1305
6bba_05b6850b,1305,1356
6bba_05b6850b,1356,1405
6bba_05b6850b,1405,1446
6bba_05b6850b,1446,1494
6bba_05b6850b,1494,1534
6bba_05b6850b,1534,1583
6bba_05b6850b,1583,1627
6bba_05b6850b,1627,1671
6bba_05b6850b,1671,1706
6bba_05b6850b,1706,1750
6bba_05b6850b,1750,1789
6bba_05b6850b,1789,1846
6bba_05b6850b,5,59
6bba_05b6850b,59,113
