dataset,source_id,target_id
6bba_2540cd90,791121,791145
6bba_2540cd90,791145,791167
6bba_2540cd90,791167,791193
6bba_2540cd90,791193,791213
6bba_2540cd90,791213,791238
6bba_2540cd90,791132,791161
6bba_2540cd90,791161,791186
6bba_2540cd90,791122,791148
6bba_2540cd90,791148,791172
6bba_2540cd90,791123,791147
6bba_2540cd90,791147,791182
6bba_2540cd90,791124,791170
6bba_2540cd90,791170,791196
6bba_2540cd90,791196,791212
6bba_2540cd90,791125,791146
6bba_2540cd90,791126,791149
6bba_2540cd90,791149,791169
6bba_2540cd90,791169,791200
6bba_2540cd90,791200,791217
6bba_2540cd90,791217,791231
6bba_2540cd90,791231,791247
6bba_2540cd90,791247,791258
6bba_2540cd90,791258,791274
6bba_2540cd90,791274,791287
6bba_2540cd90,791127,791150
6bba_2540cd90,791150,791176
6bba_2540cd90,791176,791206
6bba_2540cd90,791228,791241
6bba_2540cd90,791241,791262
6bba_2540cd90,791262,791278
6bba_2540cd90,791278,791291
6bba_2540cd90,791128,791183
6bba_2540cd90,791129,791189
6bba_2540cd90,791130,791153
6bba_2540cd90,791153,791175
6bba_2540cd90,791175,791204
6bba_2540cd90,791204,791216
6bba_2540cd90,791216,791222
6bba_2540cd90,791222,791235
6bba_2540cd90,791235,791253
6bba_2540cd90,791253,791271
6bba_2540cd90,791271,791284
6bba_2540cd90,791131,791165
6bba_2540cd90,791165,791181
6bba_2540cd90,791181,791195
6bba_2540cd90,791195,791215
6bba_2540cd90,791215,791227
6bba_2540cd90,791136,791151
6bba_2540cd90,791151,791177
6bba_2540cd90,791177,791207
6bba_2540cd90,791207,791218
6bba_2540cd90,791218,791225
6bba_2540cd90,791225,791237
6bba_2540cd90,791237,791254
6bba_2540cd90,791254,791272
6bba_2540cd90,791272,791285
6bba_2540cd90,791307,791318
6bba_2540cd90,791318,791328
6bba_2540cd90,791328,791337
6bba_2540cd90,791337,791348
6bba_2540cd90,791348,791357
6bba_2540cd90,791137,791152
6bba_2540cd90,791138,791157
6bba_2540cd90,791157,791174
6bba_2540cd90,791140,791160
6bba_2540cd90,791160,791187
6bba_2540cd90,791141,791155
6bba_2540cd90,791155,791178
6bba_2540cd90,791178,791202
6bba_2540cd90,791202,791220
6bba_2540cd90,791220,791230
6bba_2540cd90,791230,791240
6bba_2540cd90,791240,791268
6bba_2540cd90,791268,791277
6bba_2540cd90,791277,791290
6bba_2540cd90,791133,791156
6bba_2540cd90,791156,791173
6bba_2540cd90,791173,791205
6bba_2540cd90,791164,791190
6bba_2540cd90,791162,791203
6bba_2540cd90,791203,791226
6bba_2540cd90,791226,791242
6bba_2540cd90,791159,791179
6bba_2540cd90,791179,791209
6bba_2540cd90,791188,791208
6bba_2540cd90,791168,791194
6bba_2540cd90,791194,791214
6bba_2540cd90,791214,791223
6bba_2540cd90,791223,791236
6bba_2540cd90,791236,791259
6bba_2540cd90,791259,791276
6bba_2540cd90,791276,791289
6bba_2540cd90,791171,791199
6bba_2540cd90,791166,791191
6bba_2540cd90,791191,791210
6bba_2540cd90,791210,791221
6bba_2540cd90,791221,791233
6bba_2540cd90,791233,791252
6bba_2540cd90,791252,791269
6bba_2540cd90,791269,791282
6bba_2540cd90,791282,791295
6bba_2540cd90,791295,791304
6bba_2540cd90,791304,791312
6bba_2540cd90,791312,791322
6bba_2540cd90,791322,791331
6bba_2540cd90,791201,791232
6bba_2540cd90,791198,791219
6bba_2540cd90,791211,791224
6bba_2540cd90,791224,791243
6bba_2540cd90,791243,791261
6bba_2540cd90,791261,791275
6bba_2540cd90,791275,791288
6bba_2540cd90,791248,791266
6bba_2540cd90,791266,791281
6bba_2540cd90,791281,791294
6bba_2540cd90,791244,791263
6bba_2540cd90,791263,791279
6bba_2540cd90,791279,791292
6bba_2540cd90,791260,791273
6bba_2540cd90,791273,791286
6bba_2540cd90,791280,791293
6bba_2540cd90,791270,791283
6bba_2540cd90,791302,791310
6bba_2540cd90,791310,791320
6bba_2540cd90,791320,791326
6bba_2540cd90,791326,791335
6bba_2540cd90,791335,791346
6bba_2540cd90,791346,791355
6bba_2540cd90,791355,791366
6bba_2540cd90,791366,791381
6bba_2540cd90,791381,791394
6bba_2540cd90,791394,791405
6bba_2540cd90,791405,791421
6bba_2540cd90,791421,791434
6bba_2540cd90,791434,791446
6bba_2540cd90,791303,791309
6bba_2540cd90,791309,791315
6bba_2540cd90,791315,791324
6bba_2540cd90,791324,791333
6bba_2540cd90,791298,791305
6bba_2540cd90,791305,791314
6bba_2540cd90,791297,791306
6bba_2540cd90,791306,791317
6bba_2540cd90,791317,791325
6bba_2540cd90,791325,791334
6bba_2540cd90,791334,791347
6bba_2540cd90,791347,791356
6bba_2540cd90,791308,791316
6bba_2540cd90,791316,791329
6bba_2540cd90,791329,791338
6bba_2540cd90,791321,791330
6bba_2540cd90,791330,791339
6bba_2540cd90,791319,791327
6bba_2540cd90,791327,791336
6bba_2540cd90,791336,791345
6bba_2540cd90,791345,791354
6bba_2540cd90,791313,791323
6bba_2540cd90,791323,791332
6bba_2540cd90,791332,791342
6bba_2540cd90,791342,791351
6bba_2540cd90,791351,791359
6bba_2540cd90,791389,791413
6bba_2540cd90,791343,791352
6bba_2540cd90,791352,791384
6bba_2540cd90,791384,791397
6bba_2540cd90,791423,791435
6bba_2540cd90,791435,791447
6bba_2540cd90,791353,791368
6bba_2540cd90,791368,791383
6bba_2540cd90,791383,791396
6bba_2540cd90,791365,791378
6bba_2540cd90,791378,791391
6bba_2540cd90,791391,791403
6bba_2540cd90,791403,791417
6bba_2540cd90,791417,791430
6bba_2540cd90,791430,791442
6bba_2540cd90,791362,791375
6bba_2540cd90,791375,791388
6bba_2540cd90,791388,791401
6bba_2540cd90,791401,791415
6bba_2540cd90,791415,791426
6bba_2540cd90,791426,791438
6bba_2540cd90,791438,791451
6bba_2540cd90,791451,791460
6bba_2540cd90,791460,791464
6bba_2540cd90,791464,791470
6bba_2540cd90,791470,791481
6bba_2540cd90,791481,791497
6bba_2540cd90,791497,791502
6bba_2540cd90,791529,791543
6bba_2540cd90,791360,791374
6bba_2540cd90,791374,791387
6bba_2540cd90,791387,791400
6bba_2540cd90,791400,791414
6bba_2540cd90,791414,791425
6bba_2540cd90,791425,791437
6bba_2540cd90,791437,791449
6bba_2540cd90,791449,791457
6bba_2540cd90,791457,791467
6bba_2540cd90,791467,791471
6bba_2540cd90,791471,791485
6bba_2540cd90,791485,791493
6bba_2540cd90,791364,791382
6bba_2540cd90,791382,791395
6bba_2540cd90,791395,791409
6bba_2540cd90,791409,791418
6bba_2540cd90,791418,791429
6bba_2540cd90,791429,791441
6bba_2540cd90,791441,791452
6bba_2540cd90,791452,791462
6bba_2540cd90,791475,791487
6bba_2540cd90,791487,791500
6bba_2540cd90,791500,791508
6bba_2540cd90,791508,791527
6bba_2540cd90,791370,791385
6bba_2540cd90,791385,791398
6bba_2540cd90,791372,791379
6bba_2540cd90,791379,791392
6bba_2540cd90,791363,791377
6bba_2540cd90,791377,791390
6bba_2540cd90,791367,791380
6bba_2540cd90,791380,791393
6bba_2540cd90,791393,791406
6bba_2540cd90,791406,791420
6bba_2540cd90,791420,791431
6bba_2540cd90,791431,791443
6bba_2540cd90,791443,791453
6bba_2540cd90,791373,791386
6bba_2540cd90,791386,791399
6bba_2540cd90,791399,791411
6bba_2540cd90,791411,791424
6bba_2540cd90,791424,791436
6bba_2540cd90,791407,791419
6bba_2540cd90,791419,791432
6bba_2540cd90,791432,791444
6bba_2540cd90,791444,791454
6bba_2540cd90,791466,791472
6bba_2540cd90,791472,791482
6bba_2540cd90,791482,791496
6bba_2540cd90,791496,791504
6bba_2540cd90,791504,791520
6bba_2540cd90,791520,791531
6bba_2540cd90,791531,791545
6bba_2540cd90,791545,791564
6bba_2540cd90,791564,791577
6bba_2540cd90,791577,791585
6bba_2540cd90,791585,791597
6bba_2540cd90,791597,791610
6bba_2540cd90,791610,791617
6bba_2540cd90,791617,791631
6bba_2540cd90,791631,791642
6bba_2540cd90,791642,791652
6bba_2540cd90,791652,791661
6bba_2540cd90,791661,791673
6bba_2540cd90,791404,791416
6bba_2540cd90,791416,791427
6bba_2540cd90,791427,791439
6bba_2540cd90,791439,791450
6bba_2540cd90,791450,791461
6bba_2540cd90,791402,791428
6bba_2540cd90,791428,791440
6bba_2540cd90,791433,791445
6bba_2540cd90,791448,791455
6bba_2540cd90,791468,791473
6bba_2540cd90,791473,791483
6bba_2540cd90,791483,791494
6bba_2540cd90,791494,791507
6bba_2540cd90,791507,791523
6bba_2540cd90,791523,791536
6bba_2540cd90,791536,791550
6bba_2540cd90,791479,791488
6bba_2540cd90,791510,791526
6bba_2540cd90,791526,791537
6bba_2540cd90,791537,791551
6bba_2540cd90,791551,791567
6bba_2540cd90,791476,791490
6bba_2540cd90,791474,791484
6bba_2540cd90,791484,791499
6bba_2540cd90,791499,791503
6bba_2540cd90,791503,791516
6bba_2540cd90,791516,791532
6bba_2540cd90,791532,791546
6bba_2540cd90,791469,791480
6bba_2540cd90,791480,791495
6bba_2540cd90,791495,791505
6bba_2540cd90,791505,791521
6bba_2540cd90,791521,791533
6bba_2540cd90,791533,791547
6bba_2540cd90,791492,791501
6bba_2540cd90,791501,791512
6bba_2540cd90,791514,791539
6bba_2540cd90,791539,791553
6bba_2540cd90,791509,791522
6bba_2540cd90,791522,791534
6bba_2540cd90,791534,791548
6bba_2540cd90,791548,791563
6bba_2540cd90,791517,791530
6bba_2540cd90,791530,791544
6bba_2540cd90,791544,791557
6bba_2540cd90,791557,791572
6bba_2540cd90,791572,791579
6bba_2540cd90,791579,791588
6bba_2540cd90,791588,791598
6bba_2540cd90,791598,791611
6bba_2540cd90,791611,791623
6bba_2540cd90,791623,791633
6bba_2540cd90,791633,791644
6bba_2540cd90,791644,791654
6bba_2540cd90,791654,791667
6bba_2540cd90,791667,791679
6bba_2540cd90,791679,791684
6bba_2540cd90,791684,791693
6bba_2540cd90,791693,791711
6bba_2540cd90,791711,791722
6bba_2540cd90,791722,791738
6bba_2540cd90,791525,791535
6bba_2540cd90,791535,791549
6bba_2540cd90,791541,791555
6bba_2540cd90,791540,791554
6bba_2540cd90,791538,791552
6bba_2540cd90,791528,791542
6bba_2540cd90,791565,791578
6bba_2540cd90,791578,791586
6bba_2540cd90,791586,791593
6bba_2540cd90,791593,791604
6bba_2540cd90,791604,791618
6bba_2540cd90,791618,791643
6bba_2540cd90,791562,791582
6bba_2540cd90,791582,791596
6bba_2540cd90,791576,791584
6bba_2540cd90,791584,791595
6bba_2540cd90,791595,791605
6bba_2540cd90,791605,791616
6bba_2540cd90,791616,791630
6bba_2540cd90,791630,791640
6bba_2540cd90,791573,791580
6bba_2540cd90,791580,791590
6bba_2540cd90,791590,791601
6bba_2540cd90,791626,791641
6bba_2540cd90,791575,791583
6bba_2540cd90,791583,791592
6bba_2540cd90,791592,791600
6bba_2540cd90,791600,791612
6bba_2540cd90,791612,791625
6bba_2540cd90,791625,791634
6bba_2540cd90,791634,791647
6bba_2540cd90,791647,791660
6bba_2540cd90,791587,791609
6bba_2540cd90,791609,791622
6bba_2540cd90,791581,791591
6bba_2540cd90,791591,791599
6bba_2540cd90,791599,791613
6bba_2540cd90,791613,791627
6bba_2540cd90,791627,791638
6bba_2540cd90,791638,791650
6bba_2540cd90,791650,791662
6bba_2540cd90,791662,791675
6bba_2540cd90,791675,791680
6bba_2540cd90,791680,791687
6bba_2540cd90,791705,791715
6bba_2540cd90,791715,791732
6bba_2540cd90,791607,791619
6bba_2540cd90,791619,791632
6bba_2540cd90,791632,791635
6bba_2540cd90,791635,791646
6bba_2540cd90,791646,791655
6bba_2540cd90,791655,791670
6bba_2540cd90,791689,791697
6bba_2540cd90,791697,791707
6bba_2540cd90,791707,791714
6bba_2540cd90,791714,791727
6bba_2540cd90,791727,791744
6bba_2540cd90,791744,791750
6bba_2540cd90,791750,791767
6bba_2540cd90,791767,791772
6bba_2540cd90,791772,791783
6bba_2540cd90,791783,791797
6bba_2540cd90,791797,791806
6bba_2540cd90,791806,791816
6bba_2540cd90,791606,791621
6bba_2540cd90,791602,791614
6bba_2540cd90,791614,791624
6bba_2540cd90,791624,791639
6bba_2540cd90,791639,791649
6bba_2540cd90,791649,791657
6bba_2540cd90,791657,791669
6bba_2540cd90,791615,791629
6bba_2540cd90,791629,791636
6bba_2540cd90,791636,791651
6bba_2540cd90,791651,791663
6bba_2540cd90,791663,791674
6bba_2540cd90,791674,791688
6bba_2540cd90,791688,791696
6bba_2540cd90,791696,791704
6bba_2540cd90,791628,791637
6bba_2540cd90,791637,791653
6bba_2540cd90,791648,791658
6bba_2540cd90,791658,791671
6bba_2540cd90,791664,791676
6bba_2540cd90,791659,791668
6bba_2540cd90,791668,791683
6bba_2540cd90,791683,791686
6bba_2540cd90,791686,791694
6bba_2540cd90,791694,791702
6bba_2540cd90,791702,791716
6bba_2540cd90,791716,791726
6bba_2540cd90,791726,791740
6bba_2540cd90,791740,791749
6bba_2540cd90,791749,791764
6bba_2540cd90,791764,791774
6bba_2540cd90,791774,791782
6bba_2540cd90,791782,791793
6bba_2540cd90,791813,791821
6bba_2540cd90,791821,791823
6bba_2540cd90,791823,791826
6bba_2540cd90,791826,791829
6bba_2540cd90,791829,791833
6bba_2540cd90,791692,791700
6bba_2540cd90,791700,791709
6bba_2540cd90,791709,791717
6bba_2540cd90,791717,791734
6bba_2540cd90,791690,791699
6bba_2540cd90,791699,791706
6bba_2540cd90,791706,791718
6bba_2540cd90,791685,791695
6bba_2540cd90,791695,791703
6bba_2540cd90,791703,791713
6bba_2540cd90,791698,791710
6bba_2540cd90,791710,791719
6bba_2540cd90,791719,791730
6bba_2540cd90,791730,791745
6bba_2540cd90,791745,791753
6bba_2540cd90,791753,791770
6bba_2540cd90,791770,791776
6bba_2540cd90,791701,791712
6bba_2540cd90,791712,791723
6bba_2540cd90,791723,791737
6bba_2540cd90,791737,791747
6bba_2540cd90,791747,791762
6bba_2540cd90,791721,791736
6bba_2540cd90,791729,791741
6bba_2540cd90,791741,791757
6bba_2540cd90,791742,791756
6bba_2540cd90,791756,791769
6bba_2540cd90,791769,791773
6bba_2540cd90,791773,791781
6bba_2540cd90,791781,791795
6bba_2540cd90,791795,791808
6bba_2540cd90,791808,791817
6bba_2540cd90,791739,791748
6bba_2540cd90,791754,791766
6bba_2540cd90,791766,791779
6bba_2540cd90,791779,791788
6bba_2540cd90,791788,791801
6bba_2540cd90,791801,791810
6bba_2540cd90,791810,791819
6bba_2540cd90,791752,791768
6bba_2540cd90,791768,791775
6bba_2540cd90,791775,791786
6bba_2540cd90,791786,791799
6bba_2540cd90,791799,791809
6bba_2540cd90,791809,791818
6bba_2540cd90,791765,791784
6bba_2540cd90,791784,791796
6bba_2540cd90,791778,791790
6bba_2540cd90,791771,791780
6bba_2540cd90,791780,791792
6bba_2540cd90,791792,791804
6bba_2540cd90,791804,791812
6bba_2540cd90,791812,791820
6bba_2540cd90,791820,791822
6bba_2540cd90,791822,791825
6bba_2540cd90,791825,791828
6bba_2540cd90,791828,791832
6bba_2540cd90,791832,791837
6bba_2540cd90,791791,791800
6bba_2540cd90,791787,791803
6bba_2540cd90,791785,791798
6bba_2540cd90,791807,791815
6bba_2540cd90,791814,791824
6bba_2540cd90,791827,791831
6bba_2540cd90,791830,791836
6bba_2540cd90,791839,791844
6bba_2540cd90,791840,791842
6bba_2540cd90,791842,791855
6bba_2540cd90,791855,791857
6bba_2540cd90,791857,791862
6bba_2540cd90,791862,791865
