dataset,source_id,target_id
6bba_d5eae175,1137516,1137518
6bba_d5eae175,1137517,1137519
6bba_d5eae175,1137521,1137524
6bba_d5eae175,1137522,1137528
6bba_d5eae175,1137523,1137525
6bba_d5eae175,1137525,1137530
6bba_d5eae175,1137530,1137533
6bba_d5eae175,1137520,1137527
6bba_d5eae175,1137529,1137532
6bba_d5eae175,1137532,1137535
6bba_d5eae175,1137531,1137534
6bba_d5eae175,1137536,1137537
6bba_d5eae175,1137537,1137538
6bba_d5eae175,1137539,1137542
6bba_d5eae175,1137542,1137546
6bba_d5eae175,1137543,1137548
6bba_d5eae175,1137547,1137558
6bba_d5eae175,1137558,1137564
6bba_d5eae175,1137564,1137567
6bba_d5eae175,1137567,1137574
6bba_d5eae175,1137574,1137584
6bba_d5eae175,1137584,1137592
6bba_d5eae175,1137592,1137602
6bba_d5eae175,1137602,1137613
6bba_d5eae175,1137613,1137619
6bba_d5eae175,1137633,1137640
6bba_d5eae175,1137549,1137559
6bba_d5eae175,1137559,1137565
6bba_d5eae175,1137565,1137570
6bba_d5eae175,1137570,1137580
6bba_d5eae175,1137544,1137550
6bba_d5eae175,1137550,1137554
6bba_d5eae175,1137554,1137560
6bba_d5eae175,1137560,1137568
6bba_d5eae175,1137568,1137578
6bba_d5eae175,1137578,1137586
6bba_d5eae175,1137586,1137594
6bba_d5eae175,1137594,1137598
6bba_d5eae175,1137598,1137610
6bba_d5eae175,1137552,1137556
6bba_d5eae175,1137556,1137562
6bba_d5eae175,1137562,1137566
6bba_d5eae175,1137566,1137572
6bba_d5eae175,1137572,1137582
6bba_d5eae175,1137582,1137590
6bba_d5eae175,1137590,1137601
6bba_d5eae175,1137601,1137608
6bba_d5eae175,1137608,1137620
6bba_d5eae175,1137620,1137625
6bba_d5eae175,1137625,1137632
6bba_d5eae175,1137553,1137555
6bba_d5eae175,1137555,1137561
6bba_d5eae175,1137551,1137557
6bba_d5eae175,1137557,1137563
6bba_d5eae175,1137569,1137576
6bba_d5eae175,1137576,1137583
6bba_d5eae175,1137583,1137591
6bba_d5eae175,1137581,1137589
6bba_d5eae175,1137589,1137597
6bba_d5eae175,1137579,1137588
6bba_d5eae175,1137588,1137596
6bba_d5eae175,1137577,1137585
6bba_d5eae175,1137585,1137593
6bba_d5eae175,1137593,1137599
6bba_d5eae175,1137599,1137609
6bba_d5eae175,1137609,1137621
6bba_d5eae175,1137621,1137624
6bba_d5eae175,1137624,1137631
6bba_d5eae175,1137587,1137595
6bba_d5eae175,1137605,1137614
6bba_d5eae175,1137614,1137622
6bba_d5eae175,1137606,1137616
6bba_d5eae175,1137604,1137607
6bba_d5eae175,1137607,1137618
6bba_d5eae175,1137618,1137623
6bba_d5eae175,1137623,1137630
6bba_d5eae175,1137630,1137639
6bba_d5eae175,1137611,1137617
6bba_d5eae175,1137617,1137627
6bba_d5eae175,1137627,1137634
6bba_d5eae175,1137629,1137636
6bba_d5eae175,1137628,1137635
6bba_d5eae175,1137637,1137641
6bba_d5eae175,1137638,1137642
6bba_d5eae175,1137646,1137649
6bba_d5eae175,1137645,1137648
6bba_d5eae175,1137648,1137656
6bba_d5eae175,1137656,1137660
6bba_d5eae175,1137660,1137664
6bba_d5eae175,1137647,1137653
6bba_d5eae175,1137653,1137658
6bba_d5eae175,1137658,1137662
6bba_d5eae175,1137659,1137663
6bba_d5eae175,1137661,1137665
6bba_d5eae175,1137668,1137671
6bba_d5eae175,1137671,1137674
6bba_d5eae175,1137674,1137676
6bba_d5eae175,1137667,1137669
6bba_d5eae175,1137669,1137670
6bba_d5eae175,1137670,1137672
6bba_d5eae175,1137672,1137673
6bba_d5eae175,1137673,1137675
6bba_d5eae175,1137675,1137677
6bba_d5eae175,1137678,1137679
6bba_d5eae175,1137679,1137681
6bba_d5eae175,1137681,1137682
6bba_d5eae175,1137682,1137683
6bba_d5eae175,1137684,1137687
6bba_d5eae175,1137687,1137707
6bba_d5eae175,1137707,1137721
6bba_d5eae175,1137743,1137757
6bba_d5eae175,1137757,1137769
6bba_d5eae175,1137769,1137784
6bba_d5eae175,1137784,1137798
6bba_d5eae175,1137689,1137698
6bba_d5eae175,1137698,1137711
6bba_d5eae175,1137711,1137726
6bba_d5eae175,1137726,1137747
6bba_d5eae175,1137747,1137760
6bba_d5eae175,1137688,1137697
6bba_d5eae175,1137697,1137710
6bba_d5eae175,1137710,1137724
6bba_d5eae175,1137724,1137735
6bba_d5eae175,1137735,1137753
6bba_d5eae175,1137753,1137767
6bba_d5eae175,1137767,1137782
6bba_d5eae175,1137782,1137790
6bba_d5eae175,1137790,1137805
6bba_d5eae175,1137690,1137713
6bba_d5eae175,1137713,1137732
6bba_d5eae175,1137732,1137736
6bba_d5eae175,1137736,1137755
6bba_d5eae175,1137755,1137776
6bba_d5eae175,1137776,1137788
6bba_d5eae175,1137788,1137797
6bba_d5eae175,1137692,1137700
6bba_d5eae175,1137700,1137716
6bba_d5eae175,1137716,1137727
6bba_d5eae175,1137727,1137740
6bba_d5eae175,1137693,1137708
6bba_d5eae175,1137695,1137720
6bba_d5eae175,1137720,1137749
6bba_d5eae175,1137691,1137701
6bba_d5eae175,1137701,1137719
6bba_d5eae175,1137719,1137728
6bba_d5eae175,1137728,1137739
6bba_d5eae175,1137739,1137752
6bba_d5eae175,1137752,1137766
6bba_d5eae175,1137766,1137783
6bba_d5eae175,1137783,1137796
6bba_d5eae175,1137703,1137715
6bba_d5eae175,1137706,1137722
6bba_d5eae175,1137722,1137729
6bba_d5eae175,1137729,1137737
6bba_d5eae175,1137737,1137761
6bba_d5eae175,1137761,1137774
6bba_d5eae175,1137705,1137718
6bba_d5eae175,1137718,1137725
6bba_d5eae175,1137725,1137744
6bba_d5eae175,1137771,1137787
6bba_d5eae175,1137787,1137794
6bba_d5eae175,1137704,1137714
6bba_d5eae175,1137714,1137730
