dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0c582fdc,0,0,63.0,255.0,9.0,0.7487791,6.3333116,1.0,1.7994134,24.405151,0
44b6_0c582fdc,1,0,38.0,123.0,136.0,0.86245084,3.4300036,0.6031746,2.5434792,68.92444,0
44b6_0c582fdc,2,0,23.0,199.0,248.0,0.9840615,4.4093647,0.36507937,2.5434792,68.92444,1
44b6_0c582fdc,3,0,63.0,211.0,6.0,0.51360536,6.841123,1.0,2.1350024,40.76465,0
44b6_0c582fdc,4,0,40.0,205.0,192.0,0.7442031,4.379165,0.63492066,2.5434792,68.92444,1
44b6_0c582fdc,5,0,45.0,132.0,67.0,0.71263367,4.4978285,0.71428573,2.5401762,68.65625,0
44b6_0c582fdc,6,0,30.0,167.0,230.0,0.7640477,3.0637126,0.47619048,2.5368643,68.38806,0
44b6_0c582fdc,7,0,29.0,15.0,0.0,0.87736464,2.9781487,0.46031746,2.1396742,41.032837,0
44b6_0c582fdc,8,0,26.0,80.0,136.0,0.8728977,3.959987,0.41269842,2.5434792,68.92444,0
44b6_0c582fdc,9,0,55.0,197.0,94.0,0.71441454,4.7888246,0.8730159,2.5434792,68.92444,1
44b6_0c582fdc,10,0,41.0,157.0,66.0,0.6614167,2.8563123,0.6507937,2.5401762,68.65625,1
44b6_0c582fdc,11,0,17.0,0.0,71.0,0.86476254,3.2834687,0.26984128,2.1396742,41.032837,0
44b6_0c582fdc,12,0,11.0,56.0,117.0,0.8644419,3.3803277,0.17460318,2.5434792,68.92444,0
44b6_0c582fdc,13,0,29.0,33.0,68.0,0.7507898,3.6756651,0.46031746,2.5434792,68.92444,0
44b6_0c582fdc,14,0,14.0,85.0,224.0,0.8205097,2.880775,0.22222222,2.5434792,68.92444,1
44b6_0c582fdc,15,0,63.0,255.0,32.0,0.56800497,2.7002344,1.0,1.7927979,24.136963,1
44b6_0c582fdc,16,0,13.0,16.0,158.0,0.7530792,4.868498,0.20634921,2.5434792,68.92444,0
44b6_0c582fdc,17,0,49.0,223.0,139.0,0.72711885,2.3866758,0.7777778,2.5434792,68.92444,0
44b6_0c582fdc,18,0,11.0,86.0,102.0,0.75019115,4.9608517,0.17460318,2.5434792,68.92444,0
44b6_0c582fdc,19,0,42.0,149.0,143.0,0.6918038,3.2197082,0.6666667,2.5434792,68.92444,0
44b6_0c582fdc,20,0,57.0,172.0,54.0,0.7676976,3.7118704,0.9047619,2.5434792,68.92444,2
44b6_0c582fdc,21,0,48.0,187.0,70.0,0.5732258,4.2916355,0.7619048,2.5401762,68.65625,0
44b6_0c582fdc,22,0,41.0,234.0,185.0,0.6587613,3.8139803,0.6507937,2.5434792,68.92444,0
44b6_0c582fdc,23,0,16.0,226.0,247.0,0.6804319,2.3756104,0.25396827,2.5335438,68.11987,1
44b6_0c582fdc,24,0,63.0,222.0,48.0,0.66464615,2.0671155,1.0,2.1396742,41.032837,1
44b6_0c582fdc,25,0,35.0,159.0,128.0,0.7360156,3.2092657,0.5555556,2.5434792,68.92444,1
44b6_0c582fdc,26,0,32.0,59.0,67.0,0.79422665,2.9840565,0.50793654,2.5434792,68.92444,2
44b6_0c582fdc,27,0,37.0,243.0,217.0,0.71463406,3.334483,0.5873016,2.5434792,68.92444,2
44b6_0c582fdc,28,0,58.0,165.0,11.0,0.72854877,4.112071,0.9206349,2.5434792,68.92444,0
44b6_0c582fdc,29,0,34.0,41.0,22.0,0.7915187,2.868847,0.53968257,2.5434792,68.92444,1
44b6_0c582fdc,30,0,57.0,192.0,55.0,0.69388115,4.464674,0.9047619,2.5434792,68.92444,0
44b6_0c582fdc,31,0,37.0,218.0,229.0,0.7589172,2.7492607,0.5873016,2.5434792,68.92444,0
44b6_0c582fdc,32,0,35.0,194.0,225.0,0.6534656,3.5368795,0.5555556,2.5434792,68.92444,0
44b6_0c582fdc,33,0,30.0,168.0,204.0,0.7655264,2.922874,0.47619048,2.5401762,68.65625,0
44b6_0c582fdc,34,0,23.0,54.0,78.0,0.83526504,3.2825325,0.36507937,2.5434792,68.92444,1
44b6_0c582fdc,35,0,36.0,150.0,105.0,0.63699514,3.289513,0.5714286,2.5434792,68.92444,0
44b6_0c582fdc,36,0,40.0,98.0,14.0,0.66644776,3.691024,0.63492066,2.5434792,68.92444,0
44b6_0c582fdc,37,0,11.0,62.0,227.0,0.81994295,2.287312,0.17460318,2.5434792,68.92444,2
44b6_0c582fdc,38,0,57.0,171.0,49.0,0.71502256,2.669629,0.9047619,2.5434792,68.92444,1
44b6_0c582fdc,39,0,63.0,221.0,38.0,0.6841075,2.1584387,1.0,2.1396742,41.032837,1
44b6_0c582fdc,40,0,11.0,10.0,102.0,0.78292966,3.289498,0.17460318,2.5434792,68.92444,0
44b6_0c582fdc,41,0,54.0,157.0,43.0,0.645481,4.0162854,0.85714287,2.5434792,68.92444,0
44b6_0c582fdc,42,0,29.0,192.0,197.0,0.67961365,3.701251,0.46031746,2.5401762,68.65625,1
44b6_0c582fdc,43,0,32.0,173.0,161.0,0.5947312,3.9176548,0.50793654,2.5434792,68.92444,0
44b6_0c582fdc,44,0,45.0,187.0,156.0,0.5926275,4.345994,0.71428573,2.5434792,68.92444,0
44b6_0c582fdc,45,0,42.0,255.0,211.0,0.6627265,2.399201,0.6666667,2.13031,40.49646,1
44b6_0c582fdc,46,0,27.0,83.0,114.0,0.77450013,3.8431942,0.42857143,2.5434792,68.92444,0
44b6_0c582fdc,47,0,54.0,234.0,79.0,0.6210387,2.5198717,0.85714287,2.5434792,68.92444,0
44b6_0c582fdc,48,0,57.0,229.0,99.0,0.70365804,3.7427197,0.9047619,2.5434792,68.92444,1
44b6_0c582fdc,49,0,23.0,38.0,106.0,0.8139755,3.1485543,0.36507937,2.5434792,68.92444,0
44b6_0c582fdc,50,0,50.0,184.0,42.0,0.5296557,2.912526,0.7936508,2.5401762,68.65625,0
44b6_0c582fdc,51,0,0.0,11.0,199.0,0.7357898,2.7601311,0.0,2.1396742,41.032837,0
44b6_0c582fdc,52,0,10.0,129.0,255.0,0.8433438,2.5659645,0.15873016,2.1396742,41.032837,0
44b6_0c582fdc,53,0,54.0,236.0,125.0,0.64611137,2.6638708,0.85714287,2.5335438,68.11987,0
44b6_0c582fdc,54,0,19.0,27.0,130.0,0.69140226,4.3734937,0.3015873,2.5434792,68.92444,0
44b6_0c582fdc,55,0,23.0,71.0,166.0,0.6945999,3.073766,0.36507937,2.5434792,68.92444,0
44b6_0c582fdc,56,0,19.0,102.0,191.0,0.7609589,2.971354,0.3015873,2.5434792,68.92444,1
44b6_0c582fdc,57,0,41.0,103.0,60.0,0.67256916,3.1840632,0.6507937,2.5434792,68.92444,0
