dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0db75fae,28150,0,52.0,44.0,50.0,1.0461888,4.74124,0.82539684,2.5434792,68.92444,0
44b6_0db75fae,28151,0,30.0,28.0,137.0,1.1483152,2.1641357,0.47619048,2.5434792,68.92444,1
44b6_0db75fae,28152,0,21.0,72.0,82.0,1.1005999,2.8828123,0.33333334,2.5434792,68.92444,0
44b6_0db75fae,28153,0,48.0,68.0,10.0,0.9280277,3.5398445,0.7619048,2.5401762,68.65625,0
44b6_0db75fae,28154,0,0.0,109.0,78.0,0.80898696,3.4592595,0.0,2.1396742,41.032837,0
44b6_0db75fae,28155,0,0.0,110.0,103.0,0.76123285,4.1519613,0.0,2.1350024,40.76465,0
44b6_0db75fae,28156,0,13.0,69.0,111.0,0.97009677,4.5304084,0.20634921,2.5434792,68.92444,0
44b6_0db75fae,28157,0,30.0,67.0,45.0,0.9480834,3.3249226,0.47619048,2.5434792,68.92444,1
44b6_0db75fae,28158,0,21.0,66.0,63.0,0.94674385,3.4064121,0.33333334,2.5434792,68.92444,0
44b6_0db75fae,28159,0,0.0,70.0,159.0,0.9243656,4.920943,0.0,2.1396742,41.032837,0
44b6_0db75fae,28160,0,54.0,25.0,103.0,0.9810726,2.7078466,0.85714287,2.5434792,68.92444,0
44b6_0db75fae,28161,0,8.0,74.0,94.0,0.88984084,3.475494,0.12698413,2.5434792,68.92444,0
44b6_0db75fae,28162,0,38.0,30.0,112.0,0.97400093,2.9601064,0.6031746,2.5434792,68.92444,0
44b6_0db75fae,28163,0,26.0,48.0,89.0,0.88645345,2.9003837,0.41269842,2.5434792,68.92444,0
44b6_0db75fae,28164,0,63.0,32.0,197.0,1.161592,3.552569,1.0,2.1396742,41.032837,0
44b6_0db75fae,28165,0,50.0,14.0,140.0,0.95481855,3.0603209,0.7936508,2.5401762,68.65625,0
44b6_0db75fae,28166,0,39.0,43.0,125.0,1.15692,3.7057855,0.61904764,2.5434792,68.92444,0
44b6_0db75fae,28167,0,63.0,12.0,166.0,1.0540203,4.3395715,1.0,2.1396742,41.032837,0
44b6_0db75fae,28168,0,48.0,35.0,73.0,0.8364065,2.8957198,0.7619048,2.5434792,68.92444,1
44b6_0db75fae,28169,0,7.0,112.0,33.0,0.7857326,3.8588278,0.11111111,2.5401762,68.65625,0
44b6_0db75fae,28170,0,32.0,38.0,145.0,1.189929,2.3975177,0.50793654,2.5368643,68.38806,2
44b6_0db75fae,28171,0,11.0,61.0,200.0,0.9919386,3.1084452,0.17460318,2.5434792,68.92444,0
44b6_0db75fae,28172,0,0.0,95.0,132.0,0.7259262,3.2617233,0.0,2.1350024,40.76465,0
44b6_0db75fae,28173,0,11.0,54.0,164.0,0.87974256,3.347273,0.17460318,2.5401762,68.65625,0
44b6_0db75fae,28174,0,49.0,25.0,180.0,1.1644316,3.006989,0.7777778,2.5434792,68.92444,0
44b6_0db75fae,28175,0,32.0,15.0,177.0,0.9596245,2.2325518,0.50793654,2.5434792,68.92444,0
44b6_0db75fae,28176,0,28.0,34.0,177.0,1.1034923,2.658418,0.44444445,2.5434792,68.92444,2
44b6_0db75fae,28177,0,10.0,34.0,249.0,1.0102148,3.3560274,0.15873016,2.5434792,68.92444,0
44b6_0db75fae,28178,0,5.0,63.0,241.0,1.1393739,3.3072882,0.07936508,2.5434792,68.92444,1
44b6_0db75fae,28179,0,16.0,103.0,6.0,0.7252311,3.973103,0.25396827,2.5368643,68.38806,0
44b6_0db75fae,28180,0,14.0,93.0,33.0,0.7759556,3.8167682,0.22222222,2.5401762,68.65625,0
44b6_0db75fae,28181,0,61.0,14.0,118.0,0.9420396,2.3494887,0.96825397,2.4687274,63.024292,0
44b6_0db75fae,28182,0,15.0,19.0,247.0,0.95638674,2.2833672,0.23809524,2.5401762,68.65625,0
44b6_0db75fae,28183,0,29.0,37.0,153.0,1.1094552,2.0582054,0.46031746,2.5434792,68.92444,1
44b6_0db75fae,28184,0,37.0,7.0,201.0,0.92399806,2.3390484,0.5873016,2.5401762,68.65625,0
44b6_0db75fae,28185,0,52.0,26.0,126.0,1.0169278,3.3749976,0.82539684,2.5434792,68.92444,0
44b6_0db75fae,28186,0,27.0,53.0,119.0,0.9543258,2.687935,0.42857143,2.5401762,68.65625,0
44b6_0db75fae,28187,0,43.0,24.0,215.0,1.1655357,2.6030557,0.6825397,2.5434792,68.92444,1
44b6_0db75fae,28188,0,40.0,59.0,51.0,0.8162627,2.6253815,0.63492066,2.5368643,68.38806,1
44b6_0db75fae,28189,0,23.0,81.0,32.0,0.72027767,3.4950066,0.36507937,2.5401762,68.65625,0
44b6_0db75fae,28190,0,0.0,105.0,120.0,0.6530332,3.059265,0.0,2.1396742,41.032837,0
44b6_0db75fae,28191,0,15.0,51.0,137.0,0.8563083,2.0755126,0.23809524,2.5434792,68.92444,0
44b6_0db75fae,28192,0,4.0,52.0,181.0,0.8197887,2.9632068,0.06349207,2.5434792,68.92444,0
44b6_0db75fae,28193,0,22.0,33.0,182.0,0.93037015,1.6198299,0.34920636,2.5434792,68.92444,1
44b6_0db75fae,28194,0,23.0,12.0,233.0,0.94407576,2.101549,0.36507937,2.5434792,68.92444,0
44b6_0db75fae,28195,0,0.0,106.0,54.0,0.7079477,4.2802515,0.0,2.1396742,41.032837,0
44b6_0db75fae,28196,0,8.0,116.0,0.0,0.7885811,2.6439807,0.12698413,2.13031,40.49646,0
44b6_0db75fae,28197,0,12.0,89.0,90.0,0.7378985,2.3796947,0.1904762,2.5434792,68.92444,0
44b6_0db75fae,28198,0,38.0,56.0,74.0,0.8733857,3.6604483,0.6031746,2.5434792,68.92444,0
44b6_0db75fae,28199,0,33.0,35.0,227.0,1.0839161,2.8885584,0.52380955,2.5434792,68.92444,0
44b6_0db75fae,28200,0,47.0,41.0,159.0,1.1691825,3.4501805,0.74603176,2.5401762,68.65625,1
