dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_18ced818,0,0,14.0,223.0,127.0,0.9710033,2.56794,0.22222222,2.5434792,68.92444,0
44b6_18ced818,1,0,9.0,51.0,94.0,1.0086738,3.333251,0.14285715,2.5434792,68.92444,1
44b6_18ced818,2,0,9.0,43.0,57.0,0.9214309,3.4772463,0.14285715,2.5434792,68.92444,2
44b6_18ced818,3,0,11.0,179.0,138.0,0.99371934,2.2910182,0.17460318,2.5401762,68.65625,1
44b6_18ced818,4,0,12.0,79.0,29.0,1.0187771,3.6808527,0.1904762,2.5434792,68.92444,3
44b6_18ced818,5,0,13.0,198.0,107.0,0.9683848,2.5597875,0.20634921,2.5434792,68.92444,1
44b6_18ced818,6,0,9.0,148.0,128.0,0.9730342,2.5785313,0.14285715,2.5434792,68.92444,0
44b6_18ced818,7,0,17.0,232.0,183.0,0.9044353,2.275428,0.26984128,2.5434792,68.92444,3
44b6_18ced818,8,0,19.0,214.0,249.0,1.0066838,3.3207095,0.3015873,2.5434792,68.92444,1
44b6_18ced818,9,0,13.0,142.0,0.0,0.72494507,1.7344856,0.20634921,2.1161075,39.691895,3
44b6_18ced818,10,0,14.0,214.0,213.0,0.91655594,2.1229649,0.22222222,2.5434792,68.92444,1
44b6_18ced818,11,0,9.0,114.0,114.0,1.001908,2.4889286,0.14285715,2.5401762,68.65625,0
44b6_18ced818,12,0,9.0,147.0,188.0,0.9043806,2.1409597,0.14285715,2.5434792,68.92444,0
44b6_18ced818,13,0,9.0,165.0,52.0,0.81101584,2.5745635,0.14285715,2.5434792,68.92444,1
44b6_18ced818,14,0,17.0,229.0,102.0,0.8754966,2.404831,0.26984128,2.5401762,68.65625,2
44b6_18ced818,15,0,6.0,89.0,77.0,0.9752001,3.1824636,0.0952381,2.5401762,68.65625,0
44b6_18ced818,16,0,13.0,147.0,69.0,0.98704404,2.3585057,0.20634921,2.5434792,68.92444,1
44b6_18ced818,17,0,12.0,23.0,51.0,0.85604644,3.2920487,0.1904762,2.5434792,68.92444,3
44b6_18ced818,18,0,8.0,47.0,137.0,0.92848873,3.6913145,0.12698413,2.5434792,68.92444,4
44b6_18ced818,19,0,14.0,199.0,152.0,0.88054407,1.8975184,0.22222222,2.5434792,68.92444,0
44b6_18ced818,20,0,15.0,179.0,176.0,0.8887242,2.4509754,0.23809524,2.5434792,68.92444,2
44b6_18ced818,21,0,21.0,248.0,45.0,0.77411413,2.7933059,0.33333334,2.5201738,67.04712,2
44b6_18ced818,22,0,20.0,240.0,162.0,1.011159,2.956171,0.31746033,2.5368643,68.38806,1
44b6_18ced818,23,0,40.0,191.0,141.0,0.9643502,4.2092605,0.63492066,2.5434792,68.92444,2
44b6_18ced818,24,0,16.0,247.0,138.0,0.87956876,1.9284207,0.25396827,2.5401762,68.65625,2
44b6_18ced818,25,0,9.0,80.0,202.0,0.9231424,2.2603478,0.14285715,2.5434792,68.92444,0
44b6_18ced818,26,0,10.0,35.0,200.0,0.765782,2.8427439,0.15873016,2.5401762,68.65625,1
44b6_18ced818,27,0,11.0,42.0,63.0,0.8022567,2.195874,0.17460318,2.5134354,66.51074,2
44b6_18ced818,28,0,12.0,166.0,64.0,0.8041476,2.2502706,0.1904762,2.5368643,68.38806,1
44b6_18ced818,29,0,22.0,113.0,30.0,0.9232073,2.5879126,0.34920636,2.5434792,68.92444,1
44b6_18ced818,30,0,11.0,127.0,179.0,1.0113264,2.908177,0.17460318,2.5434792,68.92444,0
44b6_18ced818,31,0,9.0,149.0,90.0,0.8215258,2.1410751,0.14285715,2.5434792,68.92444,0
44b6_18ced818,32,0,14.0,144.0,14.0,0.85676223,2.4814944,0.22222222,2.5434792,68.92444,3
44b6_18ced818,33,0,21.0,152.0,49.0,0.87901706,2.6332393,0.33333334,2.5401762,68.65625,0
44b6_18ced818,34,0,13.0,156.0,213.0,1.0271673,2.3123374,0.20634921,2.5434792,68.92444,1
44b6_18ced818,35,0,19.0,229.0,6.0,0.86362195,3.191568,0.3015873,2.5434792,68.92444,0
44b6_18ced818,36,0,28.0,170.0,32.0,0.93120795,3.7607956,0.44444445,2.5434792,68.92444,2
44b6_18ced818,37,0,23.0,138.0,198.0,0.94900817,3.3002458,0.36507937,2.5434792,68.92444,0
44b6_18ced818,38,0,8.0,129.0,137.0,0.85845155,3.3488405,0.12698413,2.5434792,68.92444,1
44b6_18ced818,39,0,7.0,101.0,29.0,0.7767941,2.3556495,0.11111111,2.5368643,68.38806,2
44b6_18ced818,40,0,14.0,66.0,212.0,0.89127773,2.8130093,0.22222222,2.5168092,66.77893,4
44b6_18ced818,41,0,37.0,225.0,147.0,1.0090119,6.12135,0.5873016,2.5434792,68.92444,2
44b6_18ced818,42,0,7.0,125.0,62.0,0.76454705,2.9312332,0.11111111,2.5401762,68.65625,0
44b6_18ced818,43,0,10.0,31.0,40.0,0.6888406,2.2162542,0.15873016,2.5100527,66.24255,3
44b6_18ced818,44,0,32.0,213.0,23.0,0.8821821,3.8089192,0.50793654,2.5434792,68.92444,1
44b6_18ced818,45,0,15.0,134.0,160.0,1.0350058,3.4181952,0.23809524,2.5401762,68.65625,2
44b6_18ced818,46,0,44.0,246.0,47.0,0.7843763,4.042491,0.6984127,2.5368643,68.38806,4
44b6_18ced818,47,0,12.0,89.0,230.0,0.8234952,3.0296524,0.1904762,2.5401762,68.65625,2
44b6_18ced818,48,0,21.0,157.0,160.0,0.9520759,3.31568,0.33333334,2.5434792,68.92444,1
44b6_18ced818,49,0,24.0,221.0,89.0,0.85307103,2.4182446,0.3809524,2.5302145,67.851685,1
