dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_1d530831,0,0,38.0,75.0,211.0,0.8750366,3.5636046,0.6031746,2.5434792,68.92444,0
44b6_1d530831,1,0,55.0,231.0,129.0,0.78245515,5.009109,0.8730159,2.5434792,68.92444,0
44b6_1d530831,2,0,51.0,172.0,76.0,0.66835976,4.1140094,0.8095238,2.5401762,68.65625,1
44b6_1d530831,3,0,33.0,84.0,112.0,0.7906845,4.1843605,0.52380955,2.5434792,68.92444,1
44b6_1d530831,4,0,46.0,190.0,44.0,0.6750532,5.6624923,0.73015875,2.5401762,68.65625,0
44b6_1d530831,5,0,51.0,189.0,255.0,0.60144454,5.4730835,0.8095238,2.1396742,41.032837,0
44b6_1d530831,6,0,44.0,143.0,50.0,0.6924882,3.461899,0.6984127,2.5302145,67.851685,0
44b6_1d530831,7,0,43.0,107.0,77.0,0.67336774,3.07346,0.6825397,2.5401762,68.65625,0
44b6_1d530831,8,0,35.0,78.0,147.0,0.74909556,3.8135629,0.5555556,2.5434792,68.92444,1
44b6_1d530831,9,0,34.0,62.0,78.0,0.67536885,3.578693,0.53968257,2.5434792,68.92444,0
44b6_1d530831,10,0,31.0,45.0,48.0,0.6074153,3.6817958,0.4920635,2.5434792,68.92444,1
44b6_1d530831,11,0,40.0,106.0,23.0,0.6036879,4.221936,0.63492066,2.5434792,68.92444,0
44b6_1d530831,12,0,45.0,144.0,255.0,0.6425835,3.4057348,0.71428573,2.1396742,41.032837,0
44b6_1d530831,13,0,24.0,26.0,9.0,0.5377956,5.7411737,0.3809524,2.5434792,68.92444,0
44b6_1d530831,14,0,46.0,130.0,125.0,0.6284846,3.2187345,0.73015875,2.5401762,68.65625,0
44b6_1d530831,15,0,45.0,142.0,151.0,0.7008964,3.1884925,0.71428573,2.5434792,68.92444,1
44b6_1d530831,16,0,47.0,165.0,36.0,0.6308997,3.7307525,0.74603176,2.5434792,68.92444,0
44b6_1d530831,17,0,42.0,103.0,47.0,0.5016389,6.537511,0.6666667,2.5401762,68.65625,0
44b6_1d530831,18,0,29.0,40.0,130.0,0.6178311,3.8098092,0.46031746,2.5434792,68.92444,0
44b6_1d530831,19,0,55.0,239.0,188.0,0.5488605,5.603768,0.8730159,2.5434792,68.92444,0
44b6_1d530831,20,0,35.0,51.0,121.0,0.6445535,3.0166593,0.5555556,2.5401762,68.65625,1
