dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_341df25f,132832,0,63.0,187.0,101.0,1.2881143,6.174412,1.0,2.1396742,41.032837,0
44b6_341df25f,132833,0,23.0,55.0,156.0,1.5203272,4.1817794,0.36507937,2.5434792,68.92444,2
44b6_341df25f,132834,0,32.0,78.0,147.0,1.3134764,6.8871236,0.50793654,2.5434792,68.92444,0
44b6_341df25f,132835,0,24.0,104.0,162.0,1.2957878,3.9314325,0.3809524,2.5434792,68.92444,0
44b6_341df25f,132836,0,63.0,233.0,112.0,1.1339529,4.7160506,1.0,2.1396742,41.032837,0
44b6_341df25f,132837,0,46.0,168.0,141.0,1.2273071,4.396391,0.73015875,2.5434792,68.92444,1
44b6_341df25f,132838,0,63.0,209.0,115.0,1.1190699,5.7446394,1.0,2.1396742,41.032837,0
44b6_341df25f,132839,0,42.0,73.0,131.0,1.3797737,3.6290317,0.6666667,2.5434792,68.92444,0
44b6_341df25f,132840,0,36.0,124.0,149.0,1.1939774,4.3984547,0.5714286,2.5434792,68.92444,1
44b6_341df25f,132841,0,63.0,66.0,98.0,1.3308909,3.191423,1.0,2.1396742,41.032837,0
44b6_341df25f,132842,0,0.0,40.0,167.0,1.2847588,3.7052557,0.0,2.1396742,41.032837,1
44b6_341df25f,132843,0,19.0,238.0,168.0,0.94727826,5.147594,0.3015873,2.5434792,68.92444,0
44b6_341df25f,132844,0,23.0,29.0,151.0,1.2378207,4.9252744,0.36507937,2.5434792,68.92444,0
44b6_341df25f,132845,0,63.0,118.0,110.0,1.0463984,4.789844,1.0,2.1396742,41.032837,0
44b6_341df25f,132846,0,14.0,81.0,168.0,1.1379714,3.6249025,0.22222222,2.5434792,68.92444,0
44b6_341df25f,132847,0,47.0,115.0,133.0,1.0386161,3.5426571,0.74603176,2.5434792,68.92444,0
44b6_341df25f,132848,0,16.0,10.0,154.0,1.2966303,3.6014013,0.25396827,2.5434792,68.92444,0
44b6_341df25f,132849,0,42.0,193.0,144.0,0.9986047,3.6663125,0.6666667,2.5434792,68.92444,0
44b6_341df25f,132850,0,41.0,44.0,134.0,1.2306409,3.2317824,0.6507937,2.5434792,68.92444,1
44b6_341df25f,132851,0,40.0,97.0,143.0,1.0468374,4.849165,0.63492066,2.5434792,68.92444,0
44b6_341df25f,132852,0,50.0,39.0,119.0,1.334721,2.6021388,0.7936508,2.5434792,68.92444,1
44b6_341df25f,132853,0,29.0,220.0,158.0,0.9050792,3.8643894,0.46031746,2.5434792,68.92444,0
44b6_341df25f,132854,0,23.0,144.0,165.0,0.9292861,3.4389274,0.36507937,2.5434792,68.92444,0
44b6_341df25f,132855,0,52.0,10.0,103.0,1.2840422,2.9436798,0.82539684,2.5434792,68.92444,0
44b6_341df25f,132856,0,54.0,148.0,123.0,0.9937807,3.8475718,0.85714287,2.5434792,68.92444,1
44b6_341df25f,132857,0,7.0,49.0,172.0,1.0796602,1.8585707,0.11111111,2.5434792,68.92444,2
44b6_341df25f,132858,0,50.0,233.0,132.0,0.8458664,5.7913914,0.7936508,2.5434792,68.92444,0
44b6_341df25f,132859,0,56.0,99.0,117.0,1.1096923,4.270055,0.8888889,2.5434792,68.92444,0
44b6_341df25f,132860,0,55.0,32.0,115.0,1.3537503,2.2026389,0.8730159,2.5434792,68.92444,1
44b6_341df25f,132861,0,34.0,158.0,155.0,0.8410649,5.2158666,0.53968257,2.5434792,68.92444,0
44b6_341df25f,132862,0,63.0,152.0,98.0,0.8622277,3.2696004,1.0,2.1396742,41.032837,1
44b6_341df25f,132863,0,63.0,40.0,95.0,1.2004306,3.0405765,1.0,2.1396742,41.032837,0
44b6_341df25f,132864,0,30.0,55.0,145.0,1.1426054,2.1994576,0.47619048,2.5434792,68.92444,1
44b6_341df25f,132865,0,15.0,182.0,173.0,0.7603629,4.679114,0.23809524,2.5434792,68.92444,0
44b6_341df25f,132866,0,32.0,11.0,141.0,1.2091112,3.0926468,0.50793654,2.5434792,68.92444,1
44b6_341df25f,132867,0,37.0,245.0,150.0,0.8079842,3.7336204,0.5873016,2.5434792,68.92444,0
44b6_341df25f,132868,0,52.0,82.0,122.0,1.1278294,2.8099513,0.82539684,2.5434792,68.92444,1
44b6_341df25f,132869,0,49.0,206.0,136.0,0.878159,3.5104766,0.7777778,2.5434792,68.92444,0
44b6_341df25f,132870,0,63.0,34.0,68.0,1.0106143,2.7647378,1.0,2.1396742,41.032837,0
44b6_341df25f,132871,0,28.0,134.0,150.0,0.9549517,2.5885808,0.44444445,2.5434792,68.92444,1
44b6_341df25f,132872,0,34.0,209.0,137.0,0.7280613,3.3027391,0.53968257,2.5302145,67.851685,0
44b6_341df25f,132873,0,63.0,15.0,74.0,1.1166122,2.6071243,1.0,2.1350024,40.76465,0
44b6_341df25f,132874,0,46.0,0.0,123.0,1.1581258,2.7563124,0.73015875,2.1396742,41.032837,0
44b6_341df25f,132875,0,9.0,116.0,175.0,0.8735748,3.2771168,0.14285715,2.5434792,68.92444,0
44b6_341df25f,132876,0,47.0,55.0,126.0,1.0119857,2.3717756,0.74603176,2.5401762,68.65625,1
44b6_341df25f,132877,0,13.0,26.0,165.0,0.9654743,2.8309288,0.20634921,2.5434792,68.92444,0
44b6_341df25f,132878,0,57.0,25.0,97.0,1.2664713,2.3703232,0.9047619,2.5434792,68.92444,0
44b6_341df25f,132879,0,57.0,77.0,110.0,1.0759774,2.3017197,0.9047619,2.5368643,68.38806,1
44b6_341df25f,132880,0,39.0,28.0,125.0,1.180696,2.2061489,0.61904764,2.5401762,68.65625,0
44b6_341df25f,132881,0,0.0,166.0,180.0,0.71015084,4.7431345,0.0,2.1396742,41.032837,0
