dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_3a861e03,137329,0,32.0,194.0,85.0,0.96698403,4.4440155,0.50793654,2.451093,61.68335,2
44b6_3a861e03,137330,0,36.0,218.0,105.0,0.94791657,8.2461815,0.5714286,2.4652207,62.756104,0
44b6_3a861e03,137331,0,39.0,98.0,109.0,1.0433854,5.1460705,0.61904764,2.5268764,67.583496,0
44b6_3a861e03,137332,0,30.0,108.0,67.0,1.1128873,4.6216826,0.47619048,2.5368643,68.38806,0
44b6_3a861e03,137333,0,18.0,252.0,101.0,0.9884983,7.134324,0.2857143,2.5268764,67.583496,0
44b6_3a861e03,137334,0,34.0,205.0,95.0,0.7300422,5.497666,0.53968257,2.4652207,62.756104,1
44b6_3a861e03,137335,0,24.0,29.0,23.0,1.0058254,3.4336717,0.3809524,2.5368643,68.38806,0
44b6_3a861e03,137336,0,30.0,109.0,127.0,0.9898021,4.384582,0.47619048,2.5368643,68.38806,1
44b6_3a861e03,137337,0,12.0,212.0,23.0,0.97851443,4.2701464,0.1904762,2.5368643,68.38806,0
44b6_3a861e03,137338,0,19.0,148.0,0.0,0.92354506,3.654504,0.3015873,2.13031,40.49646,0
44b6_3a861e03,137339,0,4.0,211.0,10.0,0.90300906,2.809155,0.06349207,2.475711,63.56067,1
44b6_3a861e03,137340,0,39.0,235.0,196.0,0.9611764,3.658959,0.61904764,2.5434792,68.92444,0
44b6_3a861e03,137341,0,31.0,10.0,58.0,0.83895147,3.8080618,0.4920635,2.5235295,67.31531,1
44b6_3a861e03,137342,0,17.0,110.0,149.0,0.8616426,3.6591766,0.26984128,2.4687274,63.024292,1
44b6_3a861e03,137343,0,24.0,113.0,15.0,0.912155,3.3238413,0.3809524,2.4964292,65.1698,0
44b6_3a861e03,137344,0,18.0,236.0,5.0,0.9213701,3.1299524,0.2857143,2.5335438,68.11987,2
44b6_3a861e03,137345,0,7.0,238.0,10.0,0.84775436,3.549001,0.11111111,2.5302145,67.851685,1
44b6_3a861e03,137346,0,26.0,218.0,136.0,0.8910662,5.863941,0.41269842,2.5434792,68.92444,0
44b6_3a861e03,137347,0,23.0,101.0,33.0,0.90463805,3.2785416,0.36507937,2.5201738,67.04712,0
44b6_3a861e03,137348,0,11.0,238.0,34.0,0.8562495,2.8332274,0.17460318,2.4791882,63.828857,1
44b6_3a861e03,137349,0,25.0,0.0,31.0,0.704793,3.8869457,0.3968254,2.13031,40.49646,1
44b6_3a861e03,137350,0,31.0,149.0,71.0,0.9834864,2.6502466,0.4920635,2.5268764,67.583496,0
44b6_3a861e03,137351,0,12.0,185.0,109.0,0.73884946,7.1500826,0.1904762,2.4687274,63.024292,0
44b6_3a861e03,137352,0,33.0,64.0,107.0,0.8380289,5.0020385,0.52380955,2.5401762,68.65625,1
44b6_3a861e03,137353,0,32.0,10.0,85.0,0.8734918,3.7432203,0.50793654,2.5302145,67.851685,0
44b6_3a861e03,137354,0,23.0,50.0,146.0,0.8142146,3.1685853,0.36507937,2.5268764,67.583496,1
44b6_3a861e03,137355,0,23.0,185.0,154.0,0.7294182,4.1818542,0.36507937,2.5401762,68.65625,0
44b6_3a861e03,137356,0,31.0,4.0,55.0,0.8262176,3.6217272,0.4920635,2.5100527,66.24255,1
44b6_3a861e03,137357,0,40.0,184.0,188.0,0.7486863,4.857335,0.63492066,2.5134354,66.51074,0
