dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_668e0cc7,209761,0,0.0,145.0,242.0,1.0164673,3.6931477,0.0,2.1350024,40.76465,0
44b6_668e0cc7,209762,0,10.0,18.0,143.0,1.2421916,2.6421206,0.15873016,2.5434792,68.92444,0
44b6_668e0cc7,209763,0,41.0,55.0,238.0,1.0339059,3.3303258,0.6507937,2.4652207,62.756104,2
44b6_668e0cc7,209764,0,0.0,57.0,175.0,1.126386,2.5540142,0.0,2.1350024,40.76465,1
44b6_668e0cc7,209765,0,47.0,21.0,185.0,1.0020652,3.0532942,0.74603176,2.4826555,64.097046,1
44b6_668e0cc7,209766,0,0.0,66.0,167.0,1.0714633,2.2954254,0.0,2.1396742,41.032837,1
44b6_668e0cc7,209767,0,24.0,104.0,220.0,0.78677654,3.1393847,0.3809524,2.499849,65.43799,0
44b6_668e0cc7,209768,0,25.0,103.0,248.0,0.7965904,2.6329541,0.3968254,2.396606,57.660522,2
44b6_668e0cc7,209769,0,36.0,29.0,172.0,0.8566355,2.214655,0.5714286,2.3891516,57.124146,3
44b6_668e0cc7,209770,0,6.0,101.0,226.0,0.9899367,2.0941124,0.0952381,2.4826555,64.097046,2
44b6_668e0cc7,209771,0,26.0,24.0,162.0,0.9216106,3.271977,0.41269842,2.5168092,66.77893,2
44b6_668e0cc7,209772,0,48.0,45.0,255.0,0.8469948,2.7090878,0.7619048,2.0673318,37.01001,0
44b6_668e0cc7,209773,0,14.0,54.0,186.0,0.89349896,3.0171018,0.22222222,2.4652207,62.756104,0
44b6_668e0cc7,209774,0,5.0,90.0,178.0,0.88535416,2.5331175,0.07936508,2.4826555,64.097046,0
44b6_668e0cc7,209775,0,6.0,135.0,232.0,0.7323482,2.708381,0.0952381,2.4652207,62.756104,0
44b6_668e0cc7,209776,0,28.0,75.0,209.0,0.8806042,1.9266344,0.44444445,2.4475355,61.41516,3
44b6_668e0cc7,209777,0,20.0,69.0,192.0,0.8328468,2.6426616,0.31746033,2.4617038,62.487915,0
44b6_668e0cc7,209778,0,59.0,37.0,245.0,1.0020832,2.9531007,0.93650794,2.4652207,62.756104,0
44b6_668e0cc7,209779,0,33.0,97.0,240.0,0.7785342,2.7616024,0.52380955,2.5168092,66.77893,1
44b6_668e0cc7,209780,0,43.0,7.0,190.0,0.9144612,3.2247715,0.6825397,2.4687274,63.024292,2
44b6_668e0cc7,209781,0,19.0,111.0,233.0,0.6913957,2.9715612,0.3015873,2.400316,57.92871,0
44b6_668e0cc7,209782,0,18.0,84.0,238.0,0.76830375,3.426491,0.2857143,2.4475355,61.41516,0
44b6_668e0cc7,209783,0,12.0,27.0,165.0,1.0166546,2.7400653,0.1904762,2.4895616,64.63342,1
44b6_668e0cc7,209784,0,43.0,0.0,190.0,0.9423126,2.445911,0.6825397,2.0723133,37.2782,2
44b6_668e0cc7,209785,0,27.0,60.0,240.0,0.80617523,2.3128572,0.42857143,2.3703089,55.783203,2
44b6_668e0cc7,209786,0,25.0,84.0,201.0,0.77947795,2.099324,0.3968254,2.5335438,68.11987,1
44b6_668e0cc7,209787,0,44.0,43.0,210.0,0.73713416,2.6163304,0.6984127,2.42597,59.80603,0
44b6_668e0cc7,209788,0,13.0,72.0,173.0,0.7312706,2.4018915,0.20634921,2.4895616,64.63342,1
44b6_668e0cc7,209789,0,38.0,82.0,247.0,0.74949914,2.3179262,0.6031746,2.4475355,61.41516,0
44b6_668e0cc7,209790,0,10.0,88.0,223.0,0.8858685,2.1175044,0.15873016,2.4964292,65.1698,3
44b6_668e0cc7,209791,0,57.0,19.0,255.0,0.74869645,1.3190418,0.9047619,1.9622055,31.64624,3
44b6_668e0cc7,209792,0,24.0,19.0,248.0,1.0977829,3.8682516,0.3809524,2.5401762,68.65625,0
44b6_668e0cc7,209793,0,8.0,93.0,226.0,0.9403355,2.0212145,0.12698413,2.5434792,68.92444,2
44b6_668e0cc7,209794,0,9.0,89.0,195.0,0.8300951,1.829739,0.14285715,2.3356164,53.369507,0
44b6_668e0cc7,209795,0,8.0,117.0,223.0,0.7028246,2.3084354,0.12698413,2.4687274,63.024292,0
44b6_668e0cc7,209796,0,27.0,47.0,170.0,0.6740622,3.6651444,0.42857143,2.4687274,63.024292,0
44b6_668e0cc7,209797,0,35.0,3.0,178.0,0.87739074,2.3104558,0.5555556,2.3741014,56.05139,3
44b6_668e0cc7,209798,0,34.0,35.0,250.0,0.8760753,2.398501,0.53968257,2.3891516,57.124146,0
44b6_668e0cc7,209799,0,56.0,6.0,255.0,0.90135604,2.8365514,0.8888889,2.120863,39.960083,1
44b6_668e0cc7,209800,0,17.0,37.0,152.0,0.79157287,2.6540554,0.26984128,2.4895616,64.63342,0
44b6_668e0cc7,209801,0,17.0,76.0,212.0,0.7750289,1.8387243,0.26984128,2.3928847,57.392334,1
44b6_668e0cc7,209802,0,35.0,40.0,182.0,0.8061265,2.5081172,0.5555556,2.5434792,68.92444,2
44b6_668e0cc7,209803,0,16.0,60.0,230.0,0.92001104,2.8515098,0.25396827,2.5434792,68.92444,2
44b6_668e0cc7,209804,0,50.0,51.0,240.0,0.74654937,1.1434734,0.7936508,2.3854067,56.855957,1
44b6_668e0cc7,209805,0,29.0,2.0,160.0,0.91013485,2.3999276,0.46031746,2.3356164,53.369507,2
44b6_668e0cc7,209806,0,42.0,35.0,236.0,0.76276934,3.0020704,0.6666667,2.4439676,61.146973,0
44b6_668e0cc7,209807,0,44.0,0.0,171.0,0.7578028,1.5495132,0.6984127,2.0673318,37.01001,1
44b6_668e0cc7,209808,0,38.0,18.0,178.0,0.8605471,1.3085145,0.6031746,2.396606,57.660522,3
44b6_668e0cc7,209809,0,48.0,19.0,245.0,0.81401396,2.751124,0.7619048,2.475711,63.56067,2
44b6_668e0cc7,209810,0,48.0,26.0,249.0,0.81878453,2.564876,0.7619048,2.4652207,62.756104,2
44b6_668e0cc7,209811,0,33.0,45.0,184.0,0.75074124,2.4110289,0.52380955,2.4791882,63.828857,1
44b6_668e0cc7,209812,0,47.0,15.0,205.0,0.81183827,1.7133744,0.74603176,2.3703089,55.783203,2
44b6_668e0cc7,209813,0,57.0,0.0,201.0,0.68660283,2.873468,0.9047619,2.0723133,37.2782,0
44b6_668e0cc7,209814,0,28.0,18.0,181.0,0.84611964,1.6297677,0.44444445,2.4113774,58.733276,2
44b6_668e0cc7,209815,0,37.0,28.0,147.0,0.611003,3.1994097,0.5873016,2.5302145,67.851685,0
44b6_668e0cc7,209816,0,36.0,10.0,241.0,0.9247739,2.7469397,0.5714286,2.4403894,60.878784,0
44b6_668e0cc7,209817,0,35.0,0.0,152.0,0.8037963,1.3495611,0.5555556,2.0317688,35.13269,1
44b6_668e0cc7,209818,0,27.0,70.0,168.0,0.55638164,3.758748,0.42857143,2.4826555,64.097046,1
44b6_668e0cc7,209819,0,13.0,6.0,204.0,1.084973,2.633054,0.20634921,2.5434792,68.92444,0
44b6_668e0cc7,209820,0,53.0,14.0,216.0,0.7662952,1.9228208,0.84126985,2.418696,59.269653,2
44b6_668e0cc7,209821,0,23.0,52.0,200.0,0.8660557,1.7208782,0.36507937,2.3854067,56.855957,1
44b6_668e0cc7,209822,0,8.0,7.0,179.0,0.9925779,2.7444227,0.12698413,2.5401762,68.65625,1
44b6_668e0cc7,209823,0,18.0,109.0,255.0,0.58220476,1.3525271,0.2857143,2.0623262,36.74182,1
44b6_668e0cc7,209824,0,37.0,13.0,214.0,0.9458005,1.8597662,0.5873016,2.4964292,65.1698,2
44b6_668e0cc7,209825,0,32.0,62.0,208.0,0.7844954,1.546229,0.50793654,2.4077017,58.465088,2
44b6_668e0cc7,209826,0,26.0,41.0,207.0,0.915783,2.053626,0.41269842,2.5401762,68.65625,2
44b6_668e0cc7,209827,0,8.0,34.0,181.0,0.79140574,3.385547,0.12698413,2.458177,62.219727,0
44b6_668e0cc7,209828,0,26.0,61.0,220.0,0.7952711,1.4287735,0.41269842,2.3891516,57.124146,2
44b6_668e0cc7,209829,0,41.0,14.0,220.0,0.89569515,1.5380065,0.6507937,2.307903,51.492188,2
44b6_668e0cc7,209830,0,14.0,98.0,207.0,0.77665424,1.9375015,0.22222222,2.5235295,67.31531,0
44b6_668e0cc7,209831,0,63.0,7.0,234.0,0.7760239,3.527002,1.0,2.1396742,41.032837,0
44b6_668e0cc7,209832,0,0.0,29.0,224.0,0.9163935,3.0166335,0.0,2.1350024,40.76465,0
44b6_668e0cc7,209833,0,0.0,172.0,255.0,0.44437584,5.769606,0.0,1.7994134,24.405151,0
44b6_668e0cc7,209834,0,40.0,11.0,161.0,0.7131424,1.5581812,0.63492066,2.458177,62.219727,1
44b6_668e0cc7,209835,0,19.0,30.0,225.0,0.7779761,3.5851464,0.3015873,2.4617038,62.487915,0
44b6_668e0cc7,209836,0,22.0,89.0,220.0,0.70108604,1.6694309,0.34920636,2.4617038,62.487915,1
44b6_668e0cc7,209837,0,19.0,15.0,191.0,1.0034461,2.1968086,0.3015873,2.5134354,66.51074,2
44b6_668e0cc7,209838,0,6.0,42.0,243.0,0.8215826,3.7846181,0.0952381,2.4687274,63.024292,0
44b6_668e0cc7,209839,0,16.0,0.0,172.0,0.8147601,1.7083122,0.25396827,2.0522413,36.205444,1
44b6_668e0cc7,209840,0,29.0,16.0,201.0,0.94834644,1.7325584,0.46031746,2.5268764,67.583496,1
44b6_668e0cc7,209841,0,20.0,63.0,255.0,0.8766896,1.8046781,0.31746033,2.1350024,40.76465,0
44b6_668e0cc7,209842,0,29.0,41.0,212.0,0.7899913,1.7093576,0.46031746,2.400316,57.92871,1
