dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_7a302da0,251937,0,24.0,19.0,134.0,1.0605794,2.904674,0.3809524,2.5401762,68.65625,2
44b6_7a302da0,251938,0,49.0,196.0,180.0,0.96017957,3.4271913,0.7777778,2.5268764,67.583496,1
44b6_7a302da0,251939,0,22.0,38.0,184.0,1.1585836,2.7549527,0.34920636,2.5434792,68.92444,3
44b6_7a302da0,251940,0,33.0,84.0,122.0,1.0301677,3.385418,0.52380955,2.5434792,68.92444,3
44b6_7a302da0,251941,0,53.0,235.0,151.0,1.1792569,2.473583,0.84126985,2.5401762,68.65625,0
44b6_7a302da0,251942,0,40.0,55.0,226.0,1.0374435,2.2341216,0.63492066,2.5434792,68.92444,0
44b6_7a302da0,251943,0,55.0,255.0,68.0,0.57069033,2.7755067,0.8730159,2.1161075,39.691895,1
44b6_7a302da0,251944,0,20.0,0.0,245.0,1.0363834,3.5372596,0.31746033,2.1396742,41.032837,0
44b6_7a302da0,251945,0,24.0,47.0,175.0,1.069119,2.3782551,0.3809524,2.5434792,68.92444,2
44b6_7a302da0,251946,0,42.0,98.0,246.0,0.9515036,3.7477055,0.6666667,2.5434792,68.92444,0
44b6_7a302da0,251947,0,38.0,97.0,160.0,0.9831173,2.9129975,0.6031746,2.5434792,68.92444,0
44b6_7a302da0,251948,0,36.0,86.0,230.0,1.027652,3.6421998,0.5714286,2.5434792,68.92444,0
44b6_7a302da0,251949,0,34.0,120.0,84.0,0.8959878,4.0814476,0.53968257,2.5434792,68.92444,0
44b6_7a302da0,251950,0,44.0,195.0,242.0,1.0490832,3.3014529,0.6984127,2.5434792,68.92444,1
44b6_7a302da0,251951,0,36.0,97.0,212.0,0.9452839,3.1987934,0.5714286,2.5434792,68.92444,0
44b6_7a302da0,251952,0,44.0,176.0,250.0,1.0502964,6.0094666,0.6984127,2.5434792,68.92444,0
44b6_7a302da0,251953,0,30.0,11.0,121.0,0.944307,2.4594202,0.47619048,2.5401762,68.65625,1
44b6_7a302da0,251954,0,25.0,42.0,143.0,0.9796213,3.356147,0.3968254,2.5434792,68.92444,1
44b6_7a302da0,251955,0,37.0,118.0,101.0,0.9433031,2.9558842,0.5873016,2.5434792,68.92444,2
44b6_7a302da0,251956,0,51.0,191.0,65.0,0.652586,3.5964699,0.8095238,2.5134354,66.51074,1
44b6_7a302da0,251957,0,29.0,75.0,10.0,0.8012915,3.070548,0.46031746,2.5434792,68.92444,0
44b6_7a302da0,251958,0,32.0,91.0,21.0,0.91595054,2.3535213,0.50793654,2.5434792,68.92444,1
44b6_7a302da0,251959,0,25.0,42.0,86.0,0.96167016,3.2509878,0.3968254,2.5434792,68.92444,0
44b6_7a302da0,251960,0,44.0,121.0,145.0,0.83417296,3.412012,0.6984127,2.5434792,68.92444,0
44b6_7a302da0,251961,0,29.0,48.0,203.0,0.97801423,3.0464473,0.46031746,2.5434792,68.92444,1
44b6_7a302da0,251962,0,29.0,78.0,157.0,0.88564056,2.733545,0.46031746,2.5368643,68.38806,3
44b6_7a302da0,251963,0,33.0,22.0,169.0,0.91332847,2.8099928,0.52380955,2.5401762,68.65625,0
44b6_7a302da0,251964,0,55.0,233.0,105.0,0.87291133,3.0078473,0.8730159,2.5434792,68.92444,0
44b6_7a302da0,251965,0,26.0,66.0,215.0,0.9488655,2.8142762,0.41269842,2.5434792,68.92444,1
44b6_7a302da0,251966,0,20.0,33.0,123.0,0.7966477,2.1416843,0.31746033,2.5434792,68.92444,2
44b6_7a302da0,251967,0,27.0,45.0,164.0,1.0156671,2.3240242,0.42857143,2.5434792,68.92444,3
44b6_7a302da0,251968,0,24.0,31.0,217.0,0.9942581,2.649576,0.3809524,2.5434792,68.92444,0
44b6_7a302da0,251969,0,33.0,173.0,44.0,0.7107636,2.6944492,0.52380955,2.5368643,68.38806,0
44b6_7a302da0,251970,0,53.0,255.0,100.0,0.86051583,2.6467187,0.84126985,2.1350024,40.76465,0
44b6_7a302da0,251971,0,36.0,172.0,98.0,0.84986585,4.2171535,0.5714286,2.5434792,68.92444,2
44b6_7a302da0,251972,0,40.0,152.0,52.0,0.7854723,3.106035,0.63492066,2.5401762,68.65625,0
44b6_7a302da0,251973,0,32.0,86.0,101.0,0.9243393,3.1696575,0.50793654,2.5434792,68.92444,1
44b6_7a302da0,251974,0,44.0,174.0,217.0,0.8562045,3.4095817,0.6984127,2.5401762,68.65625,0
44b6_7a302da0,251975,0,44.0,194.0,97.0,0.82173836,3.6513073,0.6984127,2.5434792,68.92444,0
44b6_7a302da0,251976,0,49.0,139.0,160.0,0.67956835,3.598758,0.7777778,2.5434792,68.92444,0
44b6_7a302da0,251977,0,28.0,23.0,123.0,0.8902137,2.0406778,0.44444445,2.5401762,68.65625,3
44b6_7a302da0,251978,0,38.0,151.0,255.0,0.9956621,2.8739154,0.6031746,2.1396742,41.032837,1
44b6_7a302da0,251979,0,43.0,220.0,63.0,0.750896,4.3294225,0.6825397,2.5434792,68.92444,0
44b6_7a302da0,251980,0,42.0,125.0,70.0,0.7868106,3.4206579,0.6666667,2.5401762,68.65625,1
44b6_7a302da0,251981,0,42.0,122.0,181.0,0.7737496,3.2777941,0.6666667,2.5434792,68.92444,1
44b6_7a302da0,251982,0,42.0,144.0,94.0,0.8083481,3.7567458,0.6666667,2.5434792,68.92444,0
44b6_7a302da0,251983,0,26.0,47.0,62.0,0.77835864,2.949237,0.41269842,2.5401762,68.65625,2
44b6_7a302da0,251984,0,28.0,72.0,98.0,0.8399309,2.242514,0.44444445,2.5235295,67.31531,1
44b6_7a302da0,251985,0,48.0,152.0,245.0,0.940088,2.6021156,0.7619048,2.5401762,68.65625,1
44b6_7a302da0,251986,0,32.0,95.0,175.0,0.8858584,3.0532448,0.50793654,2.5434792,68.92444,1
44b6_7a302da0,251987,0,27.0,67.0,45.0,0.7427685,2.7418764,0.42857143,2.5401762,68.65625,1
44b6_7a302da0,251988,0,39.0,107.0,58.0,0.8519692,2.9102786,0.61904764,2.5434792,68.92444,2
44b6_7a302da0,251989,0,41.0,150.0,112.0,0.9254003,2.8500485,0.6507937,2.5434792,68.92444,2
44b6_7a302da0,251990,0,44.0,86.0,151.0,0.7684138,2.0501056,0.6984127,2.5401762,68.65625,1
44b6_7a302da0,251991,0,40.0,152.0,27.0,0.8392896,2.7405787,0.63492066,2.5368643,68.38806,3
44b6_7a302da0,251992,0,37.0,50.0,164.0,0.83136755,1.659671,0.5873016,2.5401762,68.65625,1
44b6_7a302da0,251993,0,39.0,95.0,191.0,0.76921976,2.460605,0.61904764,2.5368643,68.38806,0
44b6_7a302da0,251994,0,47.0,149.0,146.0,0.7333002,4.3822994,0.74603176,2.5434792,68.92444,0
44b6_7a302da0,251995,0,35.0,114.0,191.0,0.7844596,3.6559856,0.5555556,2.5434792,68.92444,1
44b6_7a302da0,251996,0,41.0,169.0,0.0,0.66182554,3.2755394,0.6507937,2.1350024,40.76465,2
44b6_7a302da0,251997,0,57.0,255.0,137.0,0.9657274,3.6803885,0.9047619,2.1396742,41.032837,0
44b6_7a302da0,251998,0,39.0,112.0,224.0,0.9017469,2.533186,0.61904764,2.5434792,68.92444,0
44b6_7a302da0,251999,0,26.0,0.0,173.0,0.9339585,1.9950644,0.41269842,2.1396742,41.032837,1
44b6_7a302da0,252000,0,38.0,148.0,125.0,0.8386879,2.940385,0.6031746,2.5434792,68.92444,1
44b6_7a302da0,252001,0,44.0,166.0,32.0,0.757393,2.533576,0.6984127,2.5434792,68.92444,0
44b6_7a302da0,252002,0,30.0,105.0,150.0,0.89135015,2.5589223,0.47619048,2.5434792,68.92444,2
44b6_7a302da0,252003,0,46.0,160.0,94.0,0.75934416,2.8039858,0.73015875,2.5434792,68.92444,1
44b6_7a302da0,252004,0,23.0,37.0,237.0,0.8819066,3.1516588,0.36507937,2.5434792,68.92444,0
44b6_7a302da0,252005,0,32.0,97.0,82.0,0.8356944,2.9901688,0.50793654,2.5434792,68.92444,1
44b6_7a302da0,252006,0,54.0,192.0,36.0,0.5265831,1.750596,0.85714287,2.5066607,65.974365,1
44b6_7a302da0,252007,0,27.0,74.0,120.0,0.8730326,1.8332827,0.42857143,2.5401762,68.65625,3
44b6_7a302da0,252008,0,26.0,19.0,255.0,0.7767505,5.49932,0.41269842,2.1396742,41.032837,0
44b6_7a302da0,252009,0,32.0,105.0,136.0,0.82069975,2.2775846,0.50793654,2.5302145,67.851685,3
44b6_7a302da0,252010,0,52.0,169.0,156.0,0.6250194,2.722057,0.82539684,2.5401762,68.65625,1
44b6_7a302da0,252011,0,52.0,244.0,86.0,0.71538514,2.524118,0.82539684,2.5434792,68.92444,0
44b6_7a302da0,252012,0,58.0,247.0,197.0,1.0242909,3.200715,0.9206349,2.5335438,68.11987,0
44b6_7a302da0,252013,0,33.0,100.0,23.0,0.8345765,1.7618955,0.52380955,2.5434792,68.92444,1
44b6_7a302da0,252014,0,20.0,13.0,147.0,0.85856533,2.2336745,0.31746033,2.5434792,68.92444,1
