dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_949adeb1,0,0,47.0,109.0,0.0,0.8013109,6.496487,0.74603176,2.1396742,41.032837,0
44b6_949adeb1,1,0,18.0,16.0,0.0,0.693867,4.4866905,0.2857143,2.1396742,41.032837,0
44b6_949adeb1,2,0,47.0,113.0,23.0,0.78422314,3.9629369,0.74603176,2.5434792,68.92444,0
44b6_949adeb1,3,0,37.0,79.0,22.0,0.7291396,4.1421013,0.5873016,2.5434792,68.92444,1
44b6_949adeb1,4,0,61.0,244.0,36.0,0.72611123,4.1922536,0.96825397,2.4687274,63.024292,0
44b6_949adeb1,5,0,51.0,90.0,97.0,0.72544014,4.044611,0.8095238,2.5434792,68.92444,0
44b6_949adeb1,6,0,26.0,68.0,243.0,0.76609015,4.0181026,0.41269842,2.5434792,68.92444,0
44b6_949adeb1,7,0,32.0,19.0,129.0,0.85336304,3.4568217,0.50793654,2.5434792,68.92444,0
44b6_949adeb1,8,0,36.0,60.0,108.0,0.80580264,2.9601235,0.5714286,2.5434792,68.92444,0
44b6_949adeb1,9,0,61.0,242.0,13.0,0.6620688,4.753768,0.96825397,2.4687274,63.024292,0
44b6_949adeb1,10,0,29.0,13.0,102.0,0.898897,4.7730665,0.46031746,2.5434792,68.92444,1
44b6_949adeb1,11,0,43.0,91.0,12.0,0.72173584,4.0039396,0.6825397,2.5434792,68.92444,1
44b6_949adeb1,12,0,26.0,29.0,51.0,0.89092326,3.4159162,0.41269842,2.5434792,68.92444,1
44b6_949adeb1,13,0,33.0,32.0,105.0,0.75188273,3.7924018,0.52380955,2.5434792,68.92444,0
44b6_949adeb1,14,0,40.0,56.0,161.0,0.78404176,3.4743555,0.63492066,2.5434792,68.92444,1
44b6_949adeb1,15,0,48.0,83.0,124.0,0.7579064,2.8682737,0.7619048,2.5434792,68.92444,1
44b6_949adeb1,16,0,63.0,195.0,236.0,0.63139874,4.292684,1.0,2.1350024,40.76465,2
44b6_949adeb1,17,0,38.0,76.0,44.0,0.69194865,2.6348567,0.6031746,2.5434792,68.92444,1
44b6_949adeb1,18,0,63.0,190.0,220.0,0.6597718,3.5041983,1.0,2.1396742,41.032837,1
44b6_949adeb1,19,0,28.0,49.0,16.0,0.59880346,3.574204,0.44444445,2.5434792,68.92444,1
44b6_949adeb1,20,0,44.0,73.0,95.0,0.7255754,2.6144497,0.6984127,2.5434792,68.92444,0
44b6_949adeb1,21,0,30.0,17.0,33.0,0.7381942,3.0353506,0.47619048,2.5401762,68.65625,1
44b6_949adeb1,22,0,36.0,62.0,164.0,0.7285554,2.4096317,0.5714286,2.5434792,68.92444,1
44b6_949adeb1,23,0,25.0,11.0,54.0,0.85954267,3.6690035,0.3968254,2.5434792,68.92444,1
44b6_949adeb1,24,0,35.0,50.0,37.0,0.53039587,5.3022738,0.5555556,2.5401762,68.65625,2
44b6_949adeb1,25,0,41.0,64.0,32.0,0.63815135,3.0118392,0.6507937,2.5434792,68.92444,1
