dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_c8e2a523,468006,0,25.0,217.0,116.0,1.2743915,4.452876,0.3968254,2.5268764,67.583496,1
44b6_c8e2a523,468007,0,7.0,164.0,45.0,1.3344315,6.9266376,0.11111111,2.5368643,68.38806,0
44b6_c8e2a523,468008,0,10.0,109.0,78.0,1.2549512,5.4687905,0.15873016,2.5168092,66.77893,0
44b6_c8e2a523,468009,0,4.0,60.0,71.0,1.3132069,5.9931226,0.06349207,2.5368643,68.38806,0
44b6_c8e2a523,468010,0,43.0,235.0,226.0,1.2736093,7.4901233,0.6825397,2.5401762,68.65625,0
44b6_c8e2a523,468011,0,25.0,216.0,126.0,1.1685262,3.827302,0.3968254,2.5066607,65.974365,1
44b6_c8e2a523,468012,0,9.0,223.0,45.0,1.2759883,6.2924623,0.14285715,2.5335438,68.11987,0
44b6_c8e2a523,468013,0,19.0,147.0,101.0,1.3253468,3.4655159,0.3015873,2.5368643,68.38806,3
44b6_c8e2a523,468014,0,6.0,26.0,92.0,1.1301236,4.070916,0.0952381,2.5066607,65.974365,0
44b6_c8e2a523,468015,0,4.0,42.0,66.0,1.3137473,4.816191,0.06349207,2.5368643,68.38806,0
44b6_c8e2a523,468016,0,22.0,107.0,126.0,1.1811985,6.3875756,0.34920636,2.5401762,68.65625,0
44b6_c8e2a523,468017,0,26.0,169.0,139.0,0.9835091,4.821429,0.41269842,2.3928847,57.392334,1
44b6_c8e2a523,468018,0,5.0,5.0,85.0,1.149773,7.5683236,0.07936508,2.5066607,65.974365,0
44b6_c8e2a523,468019,0,20.0,40.0,147.0,1.1834581,3.7830007,0.31746033,2.5066607,65.974365,0
44b6_c8e2a523,468020,0,18.0,140.0,99.0,1.0503552,2.8927655,0.2857143,2.4791882,63.828857,1
44b6_c8e2a523,468021,0,19.0,68.0,126.0,1.0775278,5.3146477,0.3015873,2.5302145,67.851685,2
44b6_c8e2a523,468022,0,24.0,13.0,190.0,1.0812702,7.610885,0.3809524,2.5335438,68.11987,0
44b6_c8e2a523,468023,0,16.0,210.0,71.0,1.1557372,4.4001245,0.25396827,2.499849,65.43799,1
44b6_c8e2a523,468024,0,30.0,154.0,159.0,1.0188156,6.2423997,0.47619048,2.5100527,66.24255,0
44b6_c8e2a523,468025,0,35.0,34.0,236.0,1.1458974,6.5234327,0.5555556,2.5401762,68.65625,1
44b6_c8e2a523,468026,0,16.0,203.0,72.0,1.0698934,3.5056188,0.25396827,2.4687274,63.024292,1
44b6_c8e2a523,468027,0,32.0,50.0,214.0,0.9765782,3.6286013,0.50793654,2.5268764,67.583496,1
44b6_c8e2a523,468028,0,17.0,101.0,99.0,1.0270802,5.0630865,0.26984128,2.4652207,62.756104,0
44b6_c8e2a523,468029,0,26.0,31.0,182.0,1.0142746,7.0339646,0.41269842,2.5335438,68.11987,0
44b6_c8e2a523,468030,0,32.0,36.0,211.0,0.9527354,3.865547,0.50793654,2.5032594,65.70618,1
44b6_c8e2a523,468031,0,8.0,40.0,85.0,1.1600473,5.8818674,0.12698413,2.5401762,68.65625,0
44b6_c8e2a523,468032,0,15.0,119.0,92.0,1.0506405,6.9084144,0.23809524,2.5368643,68.38806,0
44b6_c8e2a523,468033,0,14.0,153.0,89.0,1.0547034,2.7276547,0.22222222,2.4617038,62.487915,2
44b6_c8e2a523,468034,0,9.0,65.0,85.0,1.0116267,3.358616,0.14285715,2.4652207,62.756104,0
44b6_c8e2a523,468035,0,15.0,156.0,92.0,1.0805805,2.4985113,0.23809524,2.4652207,62.756104,2
44b6_c8e2a523,468036,0,6.0,85.0,69.0,0.99340856,4.799313,0.0952381,2.5100527,66.24255,0
44b6_c8e2a523,468037,0,43.0,204.0,232.0,1.0665609,5.0054045,0.6825397,2.5368643,68.38806,1
44b6_c8e2a523,468038,0,8.0,249.0,35.0,1.0889318,4.7551765,0.12698413,2.4895616,64.63342,1
44b6_c8e2a523,468039,0,30.0,106.0,175.0,0.98316425,6.020224,0.47619048,2.5335438,68.11987,0
44b6_c8e2a523,468040,0,40.0,74.0,255.0,0.9693937,9.041588,0.63492066,2.13031,40.49646,0
44b6_c8e2a523,468041,0,34.0,218.0,167.0,1.065385,3.2036905,0.53968257,2.4652207,62.756104,2
44b6_c8e2a523,468042,0,46.0,162.0,250.0,1.0272838,5.6469197,0.73015875,2.5401762,68.65625,0
44b6_c8e2a523,468043,0,18.0,173.0,97.0,1.055923,3.5457559,0.2857143,2.5335438,68.11987,0
44b6_c8e2a523,468044,0,24.0,160.0,127.0,0.9761817,5.7208314,0.3809524,2.5401762,68.65625,1
44b6_c8e2a523,468045,0,30.0,65.0,184.0,0.9292512,5.4238224,0.47619048,2.5302145,67.851685,0
44b6_c8e2a523,468046,0,34.0,197.0,178.0,1.0144539,3.3446631,0.53968257,2.5368643,68.38806,1
44b6_c8e2a523,468047,0,14.0,17.0,125.0,1.0237694,6.7743163,0.22222222,2.5401762,68.65625,0
44b6_c8e2a523,468048,0,19.0,61.0,139.0,0.9001478,3.5485277,0.3015873,2.4861133,64.365234,2
44b6_c8e2a523,468049,0,9.0,87.0,85.0,0.91290694,3.8497853,0.14285715,2.4439676,61.146973,0
44b6_c8e2a523,468050,0,34.0,174.0,178.0,0.97892743,7.158855,0.53968257,2.5368643,68.38806,0
44b6_c8e2a523,468051,0,12.0,52.0,110.0,0.9703941,3.5593555,0.1904762,2.5268764,67.583496,1
44b6_c8e2a523,468052,0,19.0,89.0,129.0,0.8892571,7.8850713,0.3015873,2.5368643,68.38806,0
