dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_d5e7d891,0,0,0.0,72.0,35.0,0.6524372,4.1033206,0.0,2.1396742,41.032837,0
44b6_d5e7d891,1,0,0.0,48.0,126.0,0.53923136,3.8218021,0.0,2.1396742,41.032837,0
44b6_d5e7d891,2,0,8.0,101.0,9.0,0.58321196,3.1372917,0.12698413,2.5434792,68.92444,0
44b6_d5e7d891,3,0,0.0,80.0,10.0,0.5547235,4.0950556,0.0,2.1396742,41.032837,0
44b6_d5e7d891,4,0,29.0,176.0,24.0,0.6783929,2.6912067,0.46031746,2.5434792,68.92444,1
44b6_d5e7d891,5,0,0.0,88.0,243.0,0.52114904,2.970369,0.0,2.1350024,40.76465,0
44b6_d5e7d891,6,0,37.0,213.0,63.0,0.62812465,2.4315188,0.5873016,2.5434792,68.92444,0
44b6_d5e7d891,7,0,22.0,145.0,15.0,0.53185666,4.2155204,0.34920636,2.5434792,68.92444,1
44b6_d5e7d891,8,0,31.0,178.0,1.0,0.61658716,2.6777868,0.4920635,2.3316977,53.10132,1
44b6_d5e7d891,9,0,5.0,69.0,65.0,0.63196206,3.7422712,0.07936508,2.5434792,68.92444,1
44b6_d5e7d891,10,0,33.0,241.0,138.0,0.7555527,4.3114886,0.52380955,2.5434792,68.92444,1
44b6_d5e7d891,11,0,23.0,131.0,31.0,0.53684235,3.2485826,0.36507937,2.5401762,68.65625,3
44b6_d5e7d891,12,0,22.0,153.0,99.0,0.7392468,3.5203903,0.34920636,2.5434792,68.92444,1
44b6_d5e7d891,13,0,19.0,185.0,200.0,0.64846176,3.0754402,0.3015873,2.5434792,68.92444,2
44b6_d5e7d891,14,0,24.0,158.0,78.0,0.6685098,2.9788227,0.3809524,2.5434792,68.92444,0
44b6_d5e7d891,15,0,7.0,169.0,249.0,0.63865954,4.129011,0.11111111,2.5401762,68.65625,1
44b6_d5e7d891,16,0,0.0,71.0,138.0,0.7010147,3.4961646,0.0,2.1396742,41.032837,1
44b6_d5e7d891,17,0,23.0,151.0,95.0,0.72933257,2.9436765,0.36507937,2.5434792,68.92444,1
44b6_d5e7d891,18,0,0.0,97.0,126.0,0.77522206,6.263087,0.0,2.1396742,41.032837,0
44b6_d5e7d891,19,0,33.0,249.0,179.0,0.7237397,4.9758744,0.52380955,2.5434792,68.92444,0
44b6_d5e7d891,20,0,32.0,188.0,125.0,0.68766034,2.2405865,0.50793654,2.5434792,68.92444,2
44b6_d5e7d891,21,0,31.0,172.0,79.0,0.61895144,2.2467332,0.4920635,2.5434792,68.92444,2
44b6_d5e7d891,22,0,19.0,118.0,56.0,0.66468483,2.0104706,0.3015873,2.5434792,68.92444,2
44b6_d5e7d891,23,0,30.0,243.0,222.0,0.70098186,2.9820104,0.47619048,2.5434792,68.92444,1
44b6_d5e7d891,24,0,12.0,120.0,86.0,0.604089,2.4398108,0.1904762,2.5434792,68.92444,0
44b6_d5e7d891,25,0,0.0,55.0,103.0,0.49811628,3.6767323,0.0,2.1396742,41.032837,0
44b6_d5e7d891,26,0,17.0,125.0,13.0,0.510933,4.118238,0.26984128,2.5434792,68.92444,0
44b6_d5e7d891,27,0,27.0,174.0,49.0,0.73669016,2.4099422,0.42857143,2.5434792,68.92444,1
44b6_d5e7d891,28,0,17.0,227.0,89.0,0.661777,3.509791,0.26984128,2.5434792,68.92444,0
44b6_d5e7d891,29,0,7.0,90.0,29.0,0.4844258,3.0262234,0.11111111,2.5434792,68.92444,0
44b6_d5e7d891,30,0,6.0,103.0,105.0,0.5702791,3.508689,0.0952381,2.5368643,68.38806,1
44b6_d5e7d891,31,0,7.0,74.0,117.0,0.5575649,2.9375691,0.11111111,2.5434792,68.92444,0
44b6_d5e7d891,32,0,11.0,110.0,132.0,0.6323455,3.1790652,0.17460318,2.5434792,68.92444,0
44b6_d5e7d891,33,0,22.0,142.0,57.0,0.64397883,1.9514644,0.34920636,2.5434792,68.92444,1
44b6_d5e7d891,34,0,28.0,233.0,191.0,0.5766357,3.2470238,0.44444445,2.5434792,68.92444,1
44b6_d5e7d891,35,0,17.0,226.0,32.0,0.57447606,2.3561668,0.26984128,2.5401762,68.65625,0
44b6_d5e7d891,36,0,28.0,232.0,166.0,0.6102311,2.747227,0.44444445,2.5434792,68.92444,3
44b6_d5e7d891,37,0,21.0,133.0,109.0,0.5857083,2.0915096,0.33333334,2.5434792,68.92444,1
44b6_d5e7d891,38,0,0.0,64.0,87.0,0.52075565,3.464181,0.0,2.1396742,41.032837,1
44b6_d5e7d891,39,0,29.0,237.0,0.0,0.7049417,2.4642234,0.46031746,2.1396742,41.032837,1
44b6_d5e7d891,40,0,18.0,176.0,179.0,0.63836837,2.0312192,0.2857143,2.5434792,68.92444,1
44b6_d5e7d891,41,0,0.0,58.0,188.0,0.48067102,2.6093228,0.0,2.1396742,41.032837,0
44b6_d5e7d891,42,0,44.0,255.0,6.0,0.6204711,2.3338559,0.6984127,2.1396742,41.032837,0
44b6_d5e7d891,43,0,17.0,140.0,177.0,0.721662,2.1758037,0.26984128,2.5434792,68.92444,3
44b6_d5e7d891,44,0,15.0,210.0,69.0,0.6924387,2.604715,0.23809524,2.5434792,68.92444,0
44b6_d5e7d891,45,0,0.0,76.0,201.0,0.6026795,1.4568708,0.0,2.1396742,41.032837,0
44b6_d5e7d891,46,0,33.0,200.0,30.0,0.58786905,2.747568,0.52380955,2.5434792,68.92444,1
44b6_d5e7d891,47,0,29.0,238.0,33.0,0.6813504,3.4131367,0.46031746,2.5434792,68.92444,0
