dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_e57ff5c6,633919,0,19.0,206.0,222.0,0.34490934,4.6438837,0.3015873,2.5434792,68.92444,0
44b6_e57ff5c6,633920,0,0.0,193.0,169.0,0.2537495,9.048044,0.0,2.1396742,41.032837,0
44b6_e57ff5c6,633921,0,55.0,47.0,186.0,0.4708996,3.4236193,0.8730159,2.5434792,68.92444,0
44b6_e57ff5c6,633922,0,23.0,109.0,178.0,0.3296027,4.4413567,0.36507937,2.5434792,68.92444,0
44b6_e57ff5c6,633923,0,41.0,13.0,90.0,0.48160946,2.8760743,0.6507937,2.5434792,68.92444,0
44b6_e57ff5c6,633924,0,12.0,33.0,105.0,0.34072945,3.9681766,0.1904762,2.5434792,68.92444,0
44b6_e57ff5c6,633925,0,23.0,45.0,137.0,0.33804998,4.599762,0.36507937,2.5434792,68.92444,0
44b6_e57ff5c6,633926,0,41.0,36.0,123.0,0.4296464,2.5599399,0.6507937,2.5434792,68.92444,0
44b6_e57ff5c6,633927,0,63.0,46.0,204.0,0.43510407,2.5544813,1.0,2.1396742,41.032837,0
44b6_e57ff5c6,633928,0,15.0,4.0,78.0,0.35950157,3.9061568,0.23809524,2.5434792,68.92444,0
44b6_e57ff5c6,633929,0,34.0,0.0,64.0,0.4514983,2.582351,0.53968257,2.1396742,41.032837,0
44b6_e57ff5c6,633930,0,10.0,79.0,136.0,0.28766534,4.44306,0.15873016,2.5434792,68.92444,1
44b6_e57ff5c6,633931,0,29.0,159.0,216.0,0.33331,3.1955736,0.46031746,2.5434792,68.92444,1
44b6_e57ff5c6,633932,0,35.0,76.0,174.0,0.31471133,3.5131211,0.5555556,2.5434792,68.92444,0
44b6_e57ff5c6,633933,0,32.0,8.0,38.0,0.40702698,2.63441,0.50793654,2.5434792,68.92444,1
44b6_e57ff5c6,633934,0,52.0,80.0,194.0,0.34851325,2.6946273,0.82539684,2.5434792,68.92444,0
44b6_e57ff5c6,633935,0,9.0,74.0,133.0,0.2651779,3.2823205,0.14285715,2.5335438,68.11987,1
44b6_e57ff5c6,633936,0,0.0,135.0,148.0,0.24286099,6.450736,0.0,2.1396742,41.032837,0
44b6_e57ff5c6,633937,0,53.0,187.0,255.0,0.339032,3.4980505,0.84126985,2.1396742,41.032837,1
44b6_e57ff5c6,633938,0,56.0,139.0,234.0,0.3411002,3.0082996,0.8888889,2.5434792,68.92444,0
44b6_e57ff5c6,633939,0,2.0,95.0,130.0,0.2691801,5.780873,0.031746034,2.4687274,63.024292,0
44b6_e57ff5c6,633940,0,24.0,170.0,212.0,0.29988042,2.599112,0.3809524,2.5434792,68.92444,1
44b6_e57ff5c6,633941,0,43.0,186.0,245.0,0.29665682,2.7641976,0.6825397,2.5434792,68.92444,1
44b6_e57ff5c6,633942,0,63.0,62.0,196.0,0.40052232,3.1552155,1.0,2.1396742,41.032837,0
44b6_e57ff5c6,633943,0,43.0,47.0,173.0,0.34041598,3.5859592,0.6825397,2.5434792,68.92444,0
44b6_e57ff5c6,633944,0,40.0,152.0,224.0,0.28450856,3.8018208,0.63492066,2.5434792,68.92444,0
44b6_e57ff5c6,633945,0,56.0,30.0,101.0,0.35347122,3.682272,0.8888889,2.5434792,68.92444,0
44b6_e57ff5c6,633946,0,14.0,97.0,162.0,0.24378201,3.4405277,0.22222222,2.5434792,68.92444,0
