dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_05b6850b,653786,0,0.0,136.0,99.0,2.0351837,3.5850394,0.0,2.1396742,41.032837,0
6bba_05b6850b,653787,0,16.0,71.0,46.0,1.8112456,7.3869085,0.25396827,2.5434792,68.92444,0
6bba_05b6850b,653788,0,19.0,145.0,132.0,1.6952747,4.9632072,0.3015873,2.5401762,68.65625,1
6bba_05b6850b,653789,0,0.0,175.0,150.0,1.5701816,6.7030926,0.0,2.1396742,41.032837,1
6bba_05b6850b,653790,0,51.0,49.0,76.0,1.6165183,5.8264937,0.8095238,2.5434792,68.92444,0
6bba_05b6850b,653791,0,29.0,113.0,106.0,1.6181734,4.418238,0.46031746,2.5434792,68.92444,0
6bba_05b6850b,653792,0,63.0,60.0,110.0,1.6264322,2.8389747,1.0,2.1396742,41.032837,0
6bba_05b6850b,653793,0,11.0,122.0,93.0,1.5983891,3.3401616,0.17460318,2.5434792,68.92444,0
6bba_05b6850b,653794,0,15.0,43.0,17.0,1.4527291,5.049038,0.23809524,2.5434792,68.92444,0
6bba_05b6850b,653795,0,20.0,137.0,122.0,1.2523581,2.921508,0.31746033,2.5335438,68.11987,1
6bba_05b6850b,653796,0,34.0,73.0,71.0,1.22198,5.4771786,0.53968257,2.5434792,68.92444,0
6bba_05b6850b,653797,0,27.0,56.0,45.0,1.2488987,5.8288784,0.42857143,2.5434792,68.92444,0
6bba_05b6850b,653798,0,49.0,0.0,28.0,1.2171282,4.9339905,0.7777778,2.1350024,40.76465,0
6bba_05b6850b,653799,0,48.0,93.0,120.0,1.0723006,4.7697363,0.7619048,2.5401762,68.65625,1
6bba_05b6850b,653800,0,57.0,121.0,177.0,1.0761298,6.8438473,0.9047619,2.5401762,68.65625,0
6bba_05b6850b,653801,0,40.0,57.0,66.0,1.2592304,3.8514616,0.63492066,2.5401762,68.65625,1
6bba_05b6850b,653802,0,40.0,54.0,63.0,1.2775856,4.331075,0.63492066,2.5401762,68.65625,1
6bba_05b6850b,653803,0,47.0,97.0,123.0,1.0538322,4.8154907,0.74603176,2.493,64.90161,1
6bba_05b6850b,653804,0,34.0,15.0,19.0,1.0290415,4.7037644,0.53968257,2.5268764,67.583496,0
6bba_05b6850b,653805,0,34.0,144.0,155.0,1.071586,4.0853705,0.53968257,2.5368643,68.38806,1
6bba_05b6850b,653806,0,5.0,191.0,180.0,1.0273093,4.312722,0.07936508,2.5168092,66.77893,1
6bba_05b6850b,653807,0,12.0,169.0,155.0,1.1014962,3.2489264,0.1904762,2.5434792,68.92444,2
6bba_05b6850b,653808,0,46.0,146.0,186.0,1.114182,4.2763968,0.73015875,2.5401762,68.65625,0
6bba_05b6850b,653809,0,55.0,106.0,153.0,1.108677,6.975457,0.8730159,2.5434792,68.92444,0
6bba_05b6850b,653810,0,34.0,139.0,150.0,1.0743926,3.7164443,0.53968257,2.5368643,68.38806,1
6bba_05b6850b,653811,0,30.0,169.0,184.0,1.0515448,4.029686,0.47619048,2.5335438,68.11987,0
6bba_05b6850b,653812,0,42.0,122.0,144.0,1.1148349,5.869829,0.6666667,2.5434792,68.92444,0
