dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_1f58c2f6,732003,0,14.0,80.0,121.0,0.8961214,4.076644,0.22222222,2.5434792,68.92444,0
6bba_1f58c2f6,732004,0,57.0,49.0,45.0,1.0489149,3.1975446,0.9047619,2.5368643,68.38806,0
6bba_1f58c2f6,732005,0,4.0,200.0,230.0,0.90106267,2.012501,0.06349207,2.4113774,58.733276,2
6bba_1f58c2f6,732006,0,58.0,210.0,166.0,0.69969255,2.7236257,0.9206349,2.5100527,66.24255,0
6bba_1f58c2f6,732007,0,14.0,181.0,186.0,0.8040517,2.336534,0.22222222,2.5100527,66.24255,1
6bba_1f58c2f6,732008,0,30.0,5.0,35.0,0.9476533,2.4488256,0.47619048,2.5434792,68.92444,0
6bba_1f58c2f6,732009,0,9.0,35.0,88.0,0.8078398,2.9772584,0.14285715,2.5434792,68.92444,0
6bba_1f58c2f6,732010,0,57.0,120.0,70.0,0.8072678,2.8563707,0.9047619,2.5168092,66.77893,0
6bba_1f58c2f6,732011,0,14.0,18.0,65.0,0.8102823,2.6847508,0.22222222,2.5434792,68.92444,0
6bba_1f58c2f6,732012,0,24.0,187.0,190.0,0.8364588,2.1727345,0.3809524,2.5434792,68.92444,1
6bba_1f58c2f6,732013,0,13.0,204.0,248.0,0.94711673,2.421922,0.20634921,2.4861133,64.365234,2
6bba_1f58c2f6,732014,0,16.0,166.0,178.0,0.7613737,2.6813114,0.25396827,2.5401762,68.65625,1
6bba_1f58c2f6,732015,0,57.0,135.0,88.0,0.7451539,2.6655474,0.9047619,2.5335438,68.11987,0
6bba_1f58c2f6,732016,0,4.0,206.0,234.0,0.9128837,1.9885453,0.06349207,2.458177,62.219727,2
6bba_1f58c2f6,732017,0,9.0,134.0,206.0,0.6885503,3.8124442,0.14285715,2.4964292,65.1698,0
6bba_1f58c2f6,732018,0,6.0,177.0,249.0,0.7552616,3.743747,0.0952381,2.5401762,68.65625,0
6bba_1f58c2f6,732019,0,28.0,41.0,63.0,0.89216423,2.3265152,0.44444445,2.5335438,68.11987,1
6bba_1f58c2f6,732020,0,15.0,202.0,207.0,0.69677585,3.122502,0.23809524,2.5368643,68.38806,0
6bba_1f58c2f6,732021,0,40.0,99.0,87.0,0.80112016,2.5326319,0.63492066,2.5368643,68.38806,1
6bba_1f58c2f6,732022,0,63.0,66.0,36.0,0.88682663,2.466643,1.0,2.1396742,41.032837,0
6bba_1f58c2f6,732023,0,10.0,121.0,146.0,0.72797656,3.1574686,0.15873016,2.5302145,67.851685,0
6bba_1f58c2f6,732024,0,17.0,154.0,154.0,0.7170418,2.3550363,0.26984128,2.4861133,64.365234,0
6bba_1f58c2f6,732025,0,13.0,196.0,250.0,0.87222433,1.9044359,0.20634921,2.4652207,62.756104,1
6bba_1f58c2f6,732026,0,0.0,150.0,243.0,0.7278269,3.390906,0.0,2.125597,40.22827,0
6bba_1f58c2f6,732027,0,8.0,160.0,187.0,0.7003654,1.6431807,0.12698413,2.4368005,60.610596,1
6bba_1f58c2f6,732028,0,13.0,3.0,82.0,0.7713081,2.4254851,0.20634921,2.3928847,57.392334,0
6bba_1f58c2f6,732029,0,49.0,211.0,184.0,0.6771561,3.341325,0.7777778,2.5434792,68.92444,0
6bba_1f58c2f6,732030,0,43.0,166.0,141.0,0.66976345,2.3106542,0.6825397,2.4617038,62.487915,0
6bba_1f58c2f6,732031,0,0.0,24.0,144.0,0.76403916,3.6236353,0.0,2.1396742,41.032837,0
6bba_1f58c2f6,732032,0,54.0,188.0,149.0,0.7228012,2.7170572,0.85714287,2.4895616,64.63342,0
6bba_1f58c2f6,732033,0,35.0,178.0,211.0,0.71022725,3.513191,0.5555556,2.5401762,68.65625,0
6bba_1f58c2f6,732034,0,16.0,228.0,245.0,0.70115685,2.0788794,0.25396827,2.4964292,65.1698,0
6bba_1f58c2f6,732035,0,15.0,195.0,231.0,0.738111,1.6552142,0.23809524,2.458177,62.219727,1
6bba_1f58c2f6,732036,0,12.0,209.0,242.0,0.8647309,1.5421842,0.1904762,2.3703089,55.783203,2
6bba_1f58c2f6,732037,0,37.0,195.0,183.0,0.7172226,2.2563362,0.5873016,2.4439676,61.146973,0
6bba_1f58c2f6,732038,0,59.0,161.0,112.0,0.7113802,3.2402658,0.93650794,2.5335438,68.11987,0
6bba_1f58c2f6,732039,0,8.0,75.0,149.0,0.77578545,2.5860243,0.12698413,2.4791882,63.828857,0
6bba_1f58c2f6,732040,0,0.0,129.0,164.0,0.7305504,2.079278,0.0,2.1396742,41.032837,1
6bba_1f58c2f6,732041,0,50.0,188.0,169.0,0.7284271,2.6864088,0.7936508,2.5201738,67.04712,0
6bba_1f58c2f6,732042,0,51.0,67.0,51.0,0.8273618,2.4155593,0.8095238,2.4617038,62.487915,0
6bba_1f58c2f6,732043,0,47.0,86.0,68.0,0.84271026,1.8968248,0.74603176,2.5032594,65.70618,0
6bba_1f58c2f6,732044,0,52.0,103.0,86.0,0.7618006,2.0237052,0.82539684,2.433201,60.342407,1
6bba_1f58c2f6,732045,0,44.0,246.0,235.0,0.7288895,2.5958776,0.6984127,2.5434792,68.92444,0
6bba_1f58c2f6,732046,0,26.0,5.0,50.0,0.9277371,1.8318954,0.41269842,2.5434792,68.92444,0
6bba_1f58c2f6,732047,0,0.0,130.0,186.0,0.73227817,3.8772578,0.0,2.1396742,41.032837,0
6bba_1f58c2f6,732048,0,25.0,198.0,219.0,0.7261862,2.5106883,0.3968254,2.5368643,68.38806,1
6bba_1f58c2f6,732049,0,20.0,103.0,128.0,0.76505816,2.5182738,0.31746033,2.5434792,68.92444,0
6bba_1f58c2f6,732050,0,35.0,76.0,92.0,0.77944326,2.9560714,0.5555556,2.5401762,68.65625,0
6bba_1f58c2f6,732051,0,24.0,169.0,239.0,0.689318,1.8979529,0.3809524,2.3891516,57.124146,1
6bba_1f58c2f6,732052,0,0.0,119.0,163.0,0.74026936,2.3509562,0.0,2.1396742,41.032837,1
6bba_1f58c2f6,732053,0,63.0,140.0,103.0,0.72839445,2.3833401,1.0,2.1396742,41.032837,0
6bba_1f58c2f6,732054,0,22.0,212.0,218.0,0.69355077,2.1754277,0.34920636,2.4895616,64.63342,1
6bba_1f58c2f6,732055,0,48.0,230.0,206.0,0.6088471,1.7718967,0.7619048,2.3891516,57.124146,0
6bba_1f58c2f6,732056,0,27.0,31.0,74.0,0.7811832,1.9212856,0.42857143,2.4687274,63.024292,1
6bba_1f58c2f6,732057,0,39.0,113.0,152.0,0.6745002,2.787667,0.61904764,2.4687274,63.024292,0
6bba_1f58c2f6,732058,0,0.0,233.0,243.0,0.6142208,2.5947313,0.0,2.1350024,40.76465,0
6bba_1f58c2f6,732059,0,6.0,109.0,185.0,0.69146997,3.4011972,0.0952381,2.5401762,68.65625,0
6bba_1f58c2f6,732060,0,16.0,105.0,157.0,0.75379145,2.4800863,0.25396827,2.5401762,68.65625,0
6bba_1f58c2f6,732061,0,46.0,53.0,56.0,0.8247385,2.115109,0.73015875,2.4687274,63.024292,1
6bba_1f58c2f6,732062,0,30.0,118.0,119.0,0.7107549,1.8165942,0.47619048,2.5268764,67.583496,0
6bba_1f58c2f6,732063,0,40.0,65.0,74.0,0.8052848,2.6289074,0.63492066,2.5368643,68.38806,0
6bba_1f58c2f6,732064,0,36.0,60.0,60.0,0.77520156,1.7836529,0.5714286,2.4826555,64.097046,1
6bba_1f58c2f6,732065,0,35.0,171.0,158.0,0.60087043,2.2579226,0.5555556,2.5201738,67.04712,0
6bba_1f58c2f6,732066,0,50.0,24.0,36.0,0.8908304,2.6226451,0.7936508,2.5434792,68.92444,0
6bba_1f58c2f6,732067,0,34.0,110.0,98.0,0.65589714,1.5070612,0.53968257,2.4791882,63.828857,0
6bba_1f58c2f6,732068,0,27.0,183.0,175.0,0.6350205,1.537198,0.42857143,2.396606,57.660522,0
6bba_1f58c2f6,732069,0,33.0,171.0,234.0,0.6746839,1.6222891,0.52380955,2.4150422,59.001465,1
6bba_1f58c2f6,732070,0,29.0,190.0,243.0,0.6539171,2.9298096,0.46031746,2.5032594,65.70618,0
6bba_1f58c2f6,732071,1,13.0,82.0,122.0,0.9300373,4.328654,0.20634921,2.5401762,68.65625,0
6bba_1f58c2f6,732072,1,8.0,36.0,88.0,0.82835484,3.0890381,0.12698413,2.5401762,68.65625,0
6bba_1f58c2f6,732073,1,57.0,212.0,166.0,0.68737644,2.963842,0.9047619,2.4895616,64.63342,1
6bba_1f58c2f6,732074,1,10.0,121.0,146.0,0.77069604,3.5387578,0.15873016,2.5368643,68.38806,0
6bba_1f58c2f6,732075,1,14.0,21.0,66.0,0.82675123,2.8583472,0.22222222,2.5368643,68.38806,0
6bba_1f58c2f6,732076,1,14.0,182.0,188.0,0.79501694,2.2694488,0.22222222,2.4964292,65.1698,2
6bba_1f58c2f6,732077,1,30.0,5.0,37.0,0.9587748,2.5279222,0.47619048,2.5434792,68.92444,1
6bba_1f58c2f6,732078,1,56.0,48.0,46.0,1.0104195,3.247976,0.8888889,2.4861133,64.365234,1
6bba_1f58c2f6,732079,1,9.0,137.0,206.0,0.698741,3.7887528,0.14285715,2.4617038,62.487915,0
6bba_1f58c2f6,732080,1,4.0,204.0,234.0,0.94355977,2.3094134,0.06349207,2.4687274,63.024292,3
6bba_1f58c2f6,732081,1,27.0,43.0,67.0,0.92287296,2.333743,0.42857143,2.5434792,68.92444,1
6bba_1f58c2f6,732082,1,13.0,197.0,249.0,0.88507104,2.2764635,0.20634921,2.4826555,64.097046,1
6bba_1f58c2f6,732083,1,8.0,77.0,148.0,0.8147552,3.1544745,0.12698413,2.4964292,65.1698,0
6bba_1f58c2f6,732084,1,0.0,155.0,242.0,0.78910357,4.1012273,0.0,2.1350024,40.76465,0
6bba_1f58c2f6,732085,1,35.0,60.0,59.0,0.82201743,2.5608015,0.5555556,2.5168092,66.77893,1
6bba_1f58c2f6,732086,1,40.0,99.0,88.0,0.81628776,2.326548,0.63492066,2.5100527,66.24255,1
6bba_1f58c2f6,732087,1,16.0,229.0,247.0,0.7308726,2.2696784,0.25396827,2.5066607,65.974365,0
6bba_1f58c2f6,732088,1,56.0,120.0,71.0,0.7605408,2.3592052,0.8888889,2.472224,63.29248,0
6bba_1f58c2f6,732089,1,23.0,189.0,194.0,0.8112723,2.1224961,0.36507937,2.5434792,68.92444,2
6bba_1f58c2f6,732090,1,15.0,165.0,178.0,0.75025517,2.9303422,0.23809524,2.5434792,68.92444,1
6bba_1f58c2f6,732091,1,13.0,5.0,81.0,0.7793336,2.6765106,0.20634921,2.4475355,61.41516,0
6bba_1f58c2f6,732092,1,22.0,214.0,218.0,0.7167217,2.6725876,0.34920636,2.4687274,63.024292,1
6bba_1f58c2f6,732093,1,15.0,196.0,233.0,0.7798404,1.8398914,0.23809524,2.5134354,66.51074,1
6bba_1f58c2f6,732094,1,15.0,205.0,207.0,0.69222283,3.1565127,0.23809524,2.5134354,66.51074,0
6bba_1f58c2f6,732095,1,8.0,163.0,190.0,0.69158554,1.9646984,0.12698413,2.3778818,56.31958,1
6bba_1f58c2f6,732096,1,26.0,184.0,187.0,0.7886381,1.763375,0.41269842,2.4687274,63.024292,4
6bba_1f58c2f6,732097,1,19.0,105.0,127.0,0.7924648,2.7719553,0.3015873,2.5434792,68.92444,0
6bba_1f58c2f6,732098,1,25.0,6.0,51.0,0.9346287,1.8333919,0.3968254,2.5434792,68.92444,1
