dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_3c5691b6,820591,0,34.0,108.0,100.0,1.6279474,4.524157,0.53968257,2.5434792,68.92444,0
6bba_3c5691b6,820592,0,36.0,11.0,33.0,1.5315326,4.8714714,0.5714286,2.5434792,68.92444,0
6bba_3c5691b6,820593,0,36.0,79.0,88.0,1.4659665,3.9734087,0.5714286,2.5434792,68.92444,0
6bba_3c5691b6,820594,0,39.0,219.0,172.0,1.3250123,4.0930605,0.61904764,2.5434792,68.92444,0
6bba_3c5691b6,820595,0,13.0,193.0,96.0,1.364905,3.3839288,0.20634921,2.5434792,68.92444,0
6bba_3c5691b6,820596,0,48.0,115.0,134.0,1.2755241,4.532098,0.7619048,2.5434792,68.92444,0
6bba_3c5691b6,820597,0,46.0,26.0,70.0,1.325307,4.016112,0.73015875,2.5434792,68.92444,0
6bba_3c5691b6,820598,0,14.0,152.0,75.0,1.158717,7.258058,0.22222222,2.5434792,68.92444,0
6bba_3c5691b6,820599,0,14.0,232.0,120.0,1.2250539,4.7682505,0.22222222,2.5434792,68.92444,0
6bba_3c5691b6,820600,0,32.0,42.0,48.0,1.2064371,4.498588,0.50793654,2.5434792,68.92444,0
6bba_3c5691b6,820601,0,20.0,106.0,63.0,1.2139701,3.312629,0.31746033,2.5434792,68.92444,0
6bba_3c5691b6,820602,0,28.0,156.0,117.0,1.2231196,3.7003112,0.44444445,2.5434792,68.92444,0
6bba_3c5691b6,820603,0,55.0,74.0,123.0,1.3529371,3.6748064,0.8730159,2.5434792,68.92444,0
6bba_3c5691b6,820604,0,0.0,113.0,0.0,1.133255,4.5439987,0.0,1.7994134,24.405151,0
6bba_3c5691b6,820605,0,42.0,161.0,148.0,1.2476068,3.1853473,0.6666667,2.5434792,68.92444,0
6bba_3c5691b6,820606,0,5.0,164.0,55.0,1.2403536,5.1415243,0.07936508,2.5434792,68.92444,0
6bba_3c5691b6,820607,0,55.0,0.0,67.0,1.1561646,5.65342,0.8730159,2.1396742,41.032837,0
6bba_3c5691b6,820608,0,58.0,23.0,93.0,1.4564165,3.0118318,0.9206349,2.5434792,68.92444,0
6bba_3c5691b6,820609,0,25.0,31.0,19.0,1.1000416,3.427309,0.3968254,2.5434792,68.92444,0
6bba_3c5691b6,820610,0,63.0,217.0,205.0,1.1362903,3.7899117,1.0,2.1396742,41.032837,0
6bba_3c5691b6,820611,0,0.0,184.0,46.0,0.930021,3.9572127,0.0,2.1396742,41.032837,0
6bba_3c5691b6,820612,0,27.0,255.0,161.0,0.9588933,5.5396457,0.42857143,2.1396742,41.032837,0
6bba_3c5691b6,820613,0,7.0,117.0,27.0,1.1054664,2.6033986,0.11111111,2.5401762,68.65625,0
6bba_3c5691b6,820614,0,63.0,163.0,185.0,1.0768704,3.2529488,1.0,2.1396742,41.032837,0
6bba_3c5691b6,820615,0,0.0,147.0,21.0,0.88453585,3.9207432,0.0,2.1396742,41.032837,0
6bba_3c5691b6,820616,0,7.0,243.0,104.0,1.0587964,3.0232,0.11111111,2.5434792,68.92444,0
6bba_3c5691b6,820617,0,14.0,52.0,0.0,0.8526683,6.313313,0.22222222,2.1396742,41.032837,0
6bba_3c5691b6,820618,0,35.0,255.0,70.0,0.91527385,4.5528765,0.5555556,2.1396742,41.032837,0
6bba_3c5691b6,820619,0,48.0,255.0,201.0,0.7911035,9.4032135,0.7619048,2.1396742,41.032837,0
6bba_3c5691b6,820620,0,52.0,151.0,162.0,0.91365653,3.5313666,0.82539684,2.5434792,68.92444,0
6bba_3c5691b6,820621,0,25.0,199.0,132.0,0.8666918,3.3740466,0.3968254,2.5434792,68.92444,0
6bba_3c5691b6,820622,0,63.0,255.0,115.0,0.74968517,5.6105275,1.0,1.7994134,24.405151,0
6bba_3c5691b6,820623,0,63.0,110.0,158.0,0.67148924,3.164269,1.0,2.1396742,41.032837,0
6bba_3c5691b6,820624,1,33.0,105.0,100.0,1.6387291,4.188728,0.52380955,2.5434792,68.92444,0
6bba_3c5691b6,820625,1,36.0,78.0,89.0,1.5717804,3.8885808,0.5714286,2.5434792,68.92444,0
6bba_3c5691b6,820626,1,19.0,94.0,55.0,1.5258585,3.4404469,0.3015873,2.5434792,68.92444,0
6bba_3c5691b6,820627,1,36.0,7.0,34.0,1.5074157,4.0929494,0.5714286,2.5434792,68.92444,0
6bba_3c5691b6,820628,1,26.0,249.0,160.0,1.4859807,4.705139,0.41269842,2.5434792,68.92444,0
6bba_3c5691b6,820629,1,55.0,70.0,124.0,1.5568887,3.9716175,0.8730159,2.5434792,68.92444,0
6bba_3c5691b6,820630,1,11.0,144.0,64.0,1.329538,6.105362,0.17460318,2.5434792,68.92444,0
6bba_3c5691b6,820631,1,39.0,157.0,145.0,1.4305164,3.303347,0.61904764,2.5434792,68.92444,0
6bba_3c5691b6,820632,1,14.0,233.0,121.0,1.297722,5.011267,0.22222222,2.5434792,68.92444,0
6bba_3c5691b6,820633,1,58.0,15.0,91.0,1.6802539,3.5924795,0.9206349,2.5434792,68.92444,0
6bba_3c5691b6,820634,1,4.0,162.0,52.0,1.3817008,5.2271385,0.06349207,2.5434792,68.92444,0
6bba_3c5691b6,820635,1,26.0,20.0,16.0,1.2975258,3.4849668,0.41269842,2.5434792,68.92444,0
6bba_3c5691b6,820636,1,12.0,192.0,95.0,1.3317668,2.846085,0.1904762,2.5434792,68.92444,0
6bba_3c5691b6,820637,1,45.0,22.0,69.0,1.3231235,3.962728,0.71428573,2.5434792,68.92444,0
6bba_3c5691b6,820638,1,39.0,216.0,174.0,1.2409353,3.9106865,0.61904764,2.5434792,68.92444,0
6bba_3c5691b6,820639,1,31.0,44.0,52.0,1.2720789,3.7430606,0.4920635,2.5434792,68.92444,0
6bba_3c5691b6,820640,1,48.0,113.0,136.0,1.215315,4.4082966,0.7619048,2.5434792,68.92444,0
6bba_3c5691b6,820641,1,63.0,110.0,162.0,1.1306682,4.156189,1.0,2.1350024,40.76465,0
6bba_3c5691b6,820642,1,26.0,143.0,107.0,1.1581655,3.2835958,0.41269842,2.5434792,68.92444,0
6bba_3c5691b6,820643,1,63.0,29.0,112.0,1.0570595,4.3154354,1.0,2.0968692,38.61914,0
6bba_3c5691b6,820644,1,63.0,161.0,187.0,1.1551495,2.796516,1.0,2.1396742,41.032837,0
6bba_3c5691b6,820645,1,35.0,246.0,72.0,1.2020323,2.3423932,0.5555556,2.5434792,68.92444,0
6bba_3c5691b6,820646,1,50.0,159.0,166.0,1.063632,3.51408,0.7936508,2.5434792,68.92444,0
6bba_3c5691b6,820647,1,47.0,255.0,202.0,0.88324136,7.649035,0.74603176,2.1396742,41.032837,0
6bba_3c5691b6,820648,1,0.0,179.0,40.0,0.7433467,4.20297,0.0,2.0420563,35.669067,0
6bba_3c5691b6,820649,1,5.0,237.0,97.0,1.119323,2.9866414,0.07936508,2.5434792,68.92444,0
6bba_3c5691b6,820650,1,24.0,190.0,128.0,0.9380228,3.6913319,0.3809524,2.5434792,68.92444,0
6bba_3c5691b6,820651,1,6.0,107.0,18.0,1.1259869,2.258687,0.0952381,2.5434792,68.92444,1
6bba_3c5691b6,820652,1,6.0,111.0,21.0,1.1147974,2.2553444,0.0952381,2.5401762,68.65625,1
6bba_3c5691b6,820653,1,57.0,200.0,199.0,0.9291451,3.1419702,0.9047619,2.5401762,68.65625,1
6bba_3c5691b6,820654,1,57.0,208.0,202.0,0.973284,3.285457,0.9047619,2.5434792,68.92444,1
6bba_3c5691b6,820655,1,63.0,255.0,121.0,0.84914124,2.6943827,1.0,1.7994134,24.405151,0
6bba_3c5691b6,820656,1,0.0,144.0,14.0,0.5782219,4.5852647,0.0,2.0317688,35.13269,0
6bba_3c5691b6,820657,1,63.0,156.0,67.0,0.7564693,2.7061093,1.0,2.1396742,41.032837,0
6bba_3c5691b6,820658,1,35.0,255.0,183.0,0.63727397,5.5578284,0.5555556,2.1396742,41.032837,0
6bba_3c5691b6,820659,2,33.0,106.0,101.0,1.5933211,4.187666,0.52380955,2.5434792,68.92444,0
6bba_3c5691b6,820660,2,63.0,29.0,111.0,1.4255728,5.065843,1.0,2.13031,40.49646,0
6bba_3c5691b6,820661,2,36.0,79.0,90.0,1.55979,3.7400126,0.5714286,2.5434792,68.92444,0
6bba_3c5691b6,820662,2,54.0,71.0,124.0,1.6226815,3.9226801,0.85714287,2.5434792,68.92444,0
6bba_3c5691b6,820663,2,19.0,93.0,55.0,1.5048543,3.536886,0.3015873,2.5434792,68.92444,0
6bba_3c5691b6,820664,2,36.0,7.0,34.0,1.4869632,4.000372,0.5714286,2.5434792,68.92444,0
6bba_3c5691b6,820665,2,26.0,247.0,159.0,1.4583733,4.090655,0.41269842,2.5434792,68.92444,0
6bba_3c5691b6,820666,2,10.0,144.0,62.0,1.3506628,6.23892,0.15873016,2.5434792,68.92444,0
6bba_3c5691b6,820667,2,38.0,159.0,144.0,1.4786974,3.2553158,0.6031746,2.5434792,68.92444,0
6bba_3c5691b6,820668,2,14.0,234.0,122.0,1.3317517,5.329861,0.22222222,2.5434792,68.92444,0
6bba_3c5691b6,820669,2,63.0,111.0,162.0,1.2899295,4.5612454,1.0,2.1350024,40.76465,0
6bba_3c5691b6,820670,2,58.0,15.0,91.0,1.6724491,3.7249498,0.9206349,2.5434792,68.92444,0
6bba_3c5691b6,820671,2,26.0,21.0,18.0,1.3441503,3.4311774,0.41269842,2.5434792,68.92444,0
6bba_3c5691b6,820672,2,45.0,21.0,69.0,1.3623663,4.0247264,0.71428573,2.5434792,68.92444,0
6bba_3c5691b6,820673,2,31.0,45.0,53.0,1.3107703,3.8154912,0.4920635,2.5434792,68.92444,0
6bba_3c5691b6,820674,2,39.0,216.0,174.0,1.2184125,4.0057936,0.61904764,2.5434792,68.92444,0
6bba_3c5691b6,820675,2,3.0,162.0,51.0,1.3422785,4.569681,0.04761905,2.5401762,68.65625,0
6bba_3c5691b6,820676,2,47.0,115.0,136.0,1.172128,4.6123133,0.74603176,2.5434792,68.92444,0
6bba_3c5691b6,820677,2,12.0,193.0,96.0,1.2481735,2.6994033,0.1904762,2.5434792,68.92444,0
6bba_3c5691b6,820678,2,25.0,145.0,107.0,1.0936346,3.126501,0.3968254,2.5434792,68.92444,0
6bba_3c5691b6,820679,2,47.0,255.0,201.0,0.9696934,8.708267,0.74603176,2.1396742,41.032837,0
6bba_3c5691b6,820680,2,50.0,160.0,166.0,1.0821579,3.645122,0.7936508,2.5434792,68.92444,0
6bba_3c5691b6,820681,2,63.0,165.0,189.0,1.1619011,2.7645478,1.0,2.1396742,41.032837,0
6bba_3c5691b6,820682,2,36.0,246.0,74.0,1.2124513,2.1734169,0.5714286,2.5434792,68.92444,0
6bba_3c5691b6,820683,2,5.0,239.0,97.0,1.0755845,2.7031958,0.07936508,2.5434792,68.92444,0
6bba_3c5691b6,820684,2,5.0,108.0,18.0,1.1373956,2.334667,0.07936508,2.5434792,68.92444,0
6bba_3c5691b6,820685,2,24.0,192.0,128.0,0.8967247,3.463779,0.3809524,2.5434792,68.92444,0
