dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_48816121,844370,0,32.0,156.0,7.0,1.4440336,8.4563465,0.50793654,2.5401762,68.65625,0
6bba_48816121,844371,0,24.0,174.0,61.0,1.5353234,3.8903866,0.3809524,2.5434792,68.92444,0
6bba_48816121,844372,0,36.0,120.0,76.0,1.5524361,6.05222,0.5714286,2.5434792,68.92444,0
6bba_48816121,844373,0,51.0,52.0,8.0,1.4633592,4.7537427,0.8095238,2.5434792,68.92444,0
6bba_48816121,844374,0,37.0,125.0,6.0,1.1159815,8.302391,0.5873016,2.5401762,68.65625,0
6bba_48816121,844375,0,32.0,151.0,97.0,1.4492228,3.6899145,0.50793654,2.5434792,68.92444,0
6bba_48816121,844376,0,30.0,140.0,66.0,1.3927095,3.9040906,0.47619048,2.5401762,68.65625,0
6bba_48816121,844377,0,42.0,95.0,158.0,1.423078,3.2138507,0.6666667,2.5434792,68.92444,0
6bba_48816121,844378,0,0.0,239.0,16.0,1.3829763,3.9926205,0.0,2.1396742,41.032837,0
6bba_48816121,844379,0,7.0,213.0,167.0,1.3800507,4.3616,0.11111111,2.5434792,68.92444,0
6bba_48816121,844380,0,39.0,109.0,24.0,1.2751788,4.6713314,0.61904764,2.5434792,68.92444,1
6bba_48816121,844381,0,38.0,121.0,96.0,1.2945755,4.2421436,0.6031746,2.5434792,68.92444,0
6bba_48816121,844382,0,51.0,41.0,130.0,1.3796458,4.1804595,0.8095238,2.5434792,68.92444,0
6bba_48816121,844383,0,10.0,198.0,139.0,1.2064044,6.500904,0.15873016,2.5434792,68.92444,0
6bba_48816121,844384,0,29.0,39.0,102.0,1.2315017,3.6230748,0.46031746,2.5434792,68.92444,0
6bba_48816121,844385,0,36.0,132.0,189.0,1.1475823,6.2937975,0.5714286,2.5434792,68.92444,0
6bba_48816121,844386,0,33.0,151.0,123.0,1.2074025,4.348861,0.52380955,2.5434792,68.92444,0
6bba_48816121,844387,0,39.0,109.0,17.0,1.1566641,3.004893,0.61904764,2.5434792,68.92444,1
6bba_48816121,844388,0,25.0,169.0,24.0,1.2225369,4.8270607,0.3968254,2.5434792,68.92444,0
6bba_48816121,844389,0,35.0,95.0,56.0,1.162983,3.2308657,0.5555556,2.5401762,68.65625,0
6bba_48816121,844390,0,29.0,112.0,255.0,1.1412742,7.5148873,0.46031746,2.1396742,41.032837,0
6bba_48816121,844391,0,11.0,203.0,247.0,1.1888475,4.690208,0.17460318,2.5434792,68.92444,0
