dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_55b7eebe,0,0,41.0,69.0,55.0,0.9175105,3.9265213,0.6507937,2.5434792,68.92444,0
6bba_55b7eebe,1,0,42.0,228.0,26.0,0.7799467,2.919044,0.6666667,2.5434792,68.92444,0
6bba_55b7eebe,2,0,42.0,136.0,55.0,0.81128585,2.3748312,0.6666667,2.5434792,68.92444,0
6bba_55b7eebe,3,0,42.0,152.0,54.0,0.7854618,2.2584095,0.6666667,2.5434792,68.92444,0
6bba_55b7eebe,4,0,22.0,255.0,12.0,0.75926226,2.3577776,0.34920636,2.1396742,41.032837,0
6bba_55b7eebe,5,0,23.0,255.0,160.0,0.6274998,6.9603777,0.36507937,2.1396742,41.032837,0
6bba_55b7eebe,6,0,45.0,42.0,0.0,0.60432196,3.5018861,0.71428573,2.1350024,40.76465,0
6bba_55b7eebe,7,0,46.0,131.0,7.0,0.7464423,2.706035,0.73015875,2.5434792,68.92444,1
6bba_55b7eebe,8,0,26.0,25.0,146.0,0.80309325,6.2711906,0.41269842,2.5434792,68.92444,0
6bba_55b7eebe,9,0,47.0,142.0,0.0,0.74008775,1.9481819,0.74603176,2.1396742,41.032837,1
6bba_55b7eebe,10,0,17.0,207.0,205.0,0.64366555,3.2797039,0.26984128,2.5434792,68.92444,0
6bba_55b7eebe,11,0,23.0,0.0,107.0,0.70939136,4.2346954,0.36507937,2.1396742,41.032837,0
6bba_55b7eebe,12,0,12.0,135.0,241.0,0.73029315,2.7714543,0.1904762,2.5434792,68.92444,1
6bba_55b7eebe,13,0,22.0,65.0,69.0,0.72888356,2.2314537,0.34920636,2.5434792,68.92444,1
6bba_55b7eebe,14,0,17.0,255.0,192.0,1.4615502,1.547091,0.26984128,2.13031,40.49646,0
6bba_55b7eebe,15,0,27.0,71.0,158.0,0.5556428,4.5753736,0.42857143,2.5434792,68.92444,0
6bba_55b7eebe,16,0,11.0,209.0,233.0,0.976403,1.618231,0.17460318,2.5434792,68.92444,0
6bba_55b7eebe,17,0,16.0,248.0,206.0,1.600061,2.3638651,0.25396827,2.5368643,68.38806,0
6bba_55b7eebe,18,0,19.0,186.0,59.0,0.6828848,1.7150413,0.3015873,2.5434792,68.92444,1
6bba_55b7eebe,19,0,29.0,45.0,134.0,0.6056524,2.5463083,0.46031746,2.5434792,68.92444,0
6bba_55b7eebe,20,0,45.0,187.0,0.0,0.39802155,8.383666,0.71428573,2.1396742,41.032837,0
6bba_55b7eebe,21,0,21.0,76.0,192.0,0.62346184,3.6189518,0.33333334,2.5434792,68.92444,0
6bba_55b7eebe,22,0,22.0,79.0,70.0,0.59689665,1.8885037,0.34920636,2.5434792,68.92444,1
6bba_55b7eebe,23,0,20.0,178.0,55.0,0.6303029,1.6014749,0.31746033,2.5434792,68.92444,1
6bba_55b7eebe,24,0,8.0,253.0,117.0,0.73767215,2.1729228,0.12698413,2.4687274,63.024292,0
6bba_55b7eebe,25,0,12.0,69.0,255.0,0.7162935,4.0093036,0.1904762,2.1396742,41.032837,0
6bba_55b7eebe,26,0,8.0,237.0,233.0,0.7985228,1.6842506,0.12698413,2.5434792,68.92444,0
6bba_55b7eebe,27,0,37.0,165.0,96.0,0.47788355,2.3152404,0.5873016,2.5434792,68.92444,0
6bba_55b7eebe,28,0,43.0,0.0,17.0,0.3729091,7.6358175,0.6825397,2.1396742,41.032837,0
6bba_55b7eebe,29,0,25.0,208.0,168.0,0.46004134,2.9096878,0.3968254,2.5434792,68.92444,0
6bba_55b7eebe,30,0,34.0,11.0,92.0,0.5044088,2.909003,0.53968257,2.5434792,68.92444,0
6bba_55b7eebe,31,0,22.0,143.0,195.0,0.49742964,2.6156936,0.34920636,2.5434792,68.92444,0
6bba_55b7eebe,32,0,30.0,149.0,146.0,0.4311473,2.7980452,0.47619048,2.5434792,68.92444,0
6bba_55b7eebe,33,0,13.0,28.0,162.0,0.5492557,2.5030286,0.20634921,2.5401762,68.65625,0
6bba_55b7eebe,34,0,32.0,227.0,118.0,0.43760332,2.6126208,0.50793654,2.5434792,68.92444,0
6bba_55b7eebe,35,0,22.0,17.0,176.0,0.7358264,1.9885726,0.34920636,2.5434792,68.92444,0
6bba_55b7eebe,36,0,13.0,36.0,244.0,0.7313976,2.822339,0.20634921,2.5434792,68.92444,0
6bba_55b7eebe,37,0,39.0,255.0,39.0,0.31090608,6.202598,0.61904764,2.1350024,40.76465,0
6bba_55b7eebe,38,0,13.0,10.0,255.0,0.80695456,3.4037786,0.20634921,2.1396742,41.032837,0
6bba_55b7eebe,39,0,15.0,35.0,219.0,0.73592085,2.84751,0.23809524,2.5434792,68.92444,0
6bba_55b7eebe,40,0,6.0,179.0,250.0,0.59227896,2.2174902,0.0952381,2.5434792,68.92444,0
6bba_55b7eebe,41,0,8.0,229.0,255.0,1.2841154,1.247553,0.12698413,2.0822053,37.814575,0
6bba_55b7eebe,42,0,18.0,6.0,213.0,0.6977369,2.6243505,0.2857143,2.5434792,68.92444,0
6bba_55b7eebe,43,0,9.0,12.0,182.0,0.65511334,2.0548751,0.14285715,2.5434792,68.92444,1
6bba_55b7eebe,44,0,4.0,56.0,215.0,0.7516849,2.67778,0.06349207,2.5434792,68.92444,1
6bba_55b7eebe,45,0,0.0,93.0,223.0,0.53181624,2.9878168,0.0,2.13031,40.49646,0
6bba_55b7eebe,46,0,0.0,0.0,224.0,0.80224913,6.1220064,0.0,1.7994134,24.405151,0
6bba_55b7eebe,47,0,0.0,74.0,201.0,0.52470666,2.763478,0.0,2.1396742,41.032837,0
6bba_55b7eebe,48,0,0.0,28.0,225.0,0.65878814,2.6643093,0.0,2.0522413,36.205444,1
6bba_55b7eebe,49,0,8.0,255.0,244.0,1.0402776,0.47630593,0.12698413,1.9168203,29.500732,0
