dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_5a4d9360,882205,0,31.0,236.0,23.0,2.2770958,4.6189427,0.4920635,2.5434792,68.92444,0
6bba_5a4d9360,882206,0,28.0,246.0,81.0,2.0204039,9.361004,0.44444445,2.5434792,68.92444,0
6bba_5a4d9360,882207,0,50.0,172.0,10.0,1.999876,5.2870483,0.7936508,2.5434792,68.92444,0
6bba_5a4d9360,882208,0,42.0,189.0,160.0,1.9936478,3.8958845,0.6666667,2.5434792,68.92444,0
6bba_5a4d9360,882209,0,34.0,228.0,0.0,1.9322067,6.612139,0.53968257,2.1396742,41.032837,0
6bba_5a4d9360,882210,0,50.0,171.0,105.0,1.8530283,4.4351406,0.7936508,2.5434792,68.92444,0
6bba_5a4d9360,882211,0,54.0,154.0,98.0,1.8579934,4.778506,0.85714287,2.5434792,68.92444,0
6bba_5a4d9360,882212,0,63.0,116.0,147.0,1.7522212,3.0573158,1.0,2.1396742,41.032837,0
6bba_5a4d9360,882213,0,44.0,198.0,56.0,1.836266,2.7993557,0.6984127,2.5434792,68.92444,0
6bba_5a4d9360,882214,0,25.0,255.0,26.0,1.7816182,6.2075152,0.3968254,2.1396742,41.032837,0
6bba_5a4d9360,882215,0,29.0,246.0,57.0,1.7944083,5.848803,0.46031746,2.5434792,68.92444,0
6bba_5a4d9360,882216,0,49.0,179.0,72.0,1.7265174,3.7013192,0.7777778,2.5434792,68.92444,0
6bba_5a4d9360,882217,0,35.0,225.0,64.0,1.7178426,3.850347,0.5555556,2.5434792,68.92444,0
6bba_5a4d9360,882218,0,23.0,255.0,102.0,1.5279733,2.6911967,0.36507937,2.1396742,41.032837,0
6bba_5a4d9360,882219,0,50.0,159.0,153.0,1.3957226,4.0962358,0.7936508,2.5434792,68.92444,0
6bba_5a4d9360,882220,0,55.0,156.0,63.0,1.4480826,4.8170223,0.8730159,2.5434792,68.92444,0
6bba_5a4d9360,882221,0,30.0,232.0,162.0,1.4106576,4.2738657,0.47619048,2.5434792,68.92444,0
6bba_5a4d9360,882222,0,50.0,175.0,41.0,1.2677977,6.0226603,0.7936508,2.5434792,68.92444,0
6bba_5a4d9360,882223,0,46.0,165.0,84.0,1.3076298,2.8753264,0.73015875,2.5401762,68.65625,0
6bba_5a4d9360,882224,0,29.0,244.0,114.0,1.5243624,2.7224863,0.46031746,2.5434792,68.92444,1
6bba_5a4d9360,882225,0,53.0,155.0,131.0,1.2794914,4.9183984,0.84126985,2.5434792,68.92444,0
6bba_5a4d9360,882226,0,43.0,184.0,20.0,1.3582897,3.8218474,0.6825397,2.5434792,68.92444,0
6bba_5a4d9360,882227,0,39.0,212.0,93.0,1.264461,5.6052656,0.61904764,2.5434792,68.92444,0
6bba_5a4d9360,882228,0,57.0,143.0,11.0,1.4229791,2.9500022,0.9047619,2.5434792,68.92444,0
6bba_5a4d9360,882229,0,57.0,139.0,131.0,1.2591069,5.3271494,0.9047619,2.5434792,68.92444,0
6bba_5a4d9360,882230,0,25.0,244.0,172.0,1.361523,3.5681257,0.3968254,2.5434792,68.92444,0
6bba_5a4d9360,882231,0,35.0,231.0,110.0,1.3633105,2.8807213,0.5555556,2.5434792,68.92444,2
6bba_5a4d9360,882232,0,59.0,135.0,104.0,1.3863722,4.2336774,0.93650794,2.5434792,68.92444,0
6bba_5a4d9360,882233,0,55.0,128.0,213.0,1.136727,5.211742,0.8730159,2.5401762,68.65625,0
6bba_5a4d9360,882234,0,34.0,212.0,195.0,1.1999944,4.9225693,0.53968257,2.5434792,68.92444,0
6bba_5a4d9360,882235,0,43.0,197.0,4.0,1.1921216,5.6594343,0.6825397,2.5434792,68.92444,0
6bba_5a4d9360,882236,0,35.0,199.0,151.0,1.2791896,2.175982,0.5555556,2.5434792,68.92444,0
6bba_5a4d9360,882237,0,43.0,193.0,93.0,1.0528367,4.725862,0.6825397,2.5434792,68.92444,0
6bba_5a4d9360,882238,0,52.0,150.0,186.0,1.0441219,4.417316,0.82539684,2.5434792,68.92444,0
6bba_5a4d9360,882239,0,41.0,163.0,255.0,1.1141189,4.2943616,0.6507937,2.1396742,41.032837,0
