dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_718b21f9,0,0,0.0,203.0,17.0,1.5469685,2.9809184,0.0,2.1396742,41.032837,0
6bba_718b21f9,1,0,0.0,225.0,225.0,1.2691747,3.086816,0.0,2.1396742,41.032837,1
6bba_718b21f9,2,0,34.0,61.0,213.0,1.942982,3.003806,0.53968257,2.5434792,68.92444,1
6bba_718b21f9,3,0,41.0,8.0,253.0,1.5431516,7.0497847,0.6507937,2.4687274,63.024292,0
6bba_718b21f9,4,0,34.0,58.0,225.0,1.8110658,2.5915277,0.53968257,2.5434792,68.92444,1
6bba_718b21f9,5,0,8.0,199.0,120.0,1.886046,4.3096313,0.12698413,2.5335438,68.11987,0
6bba_718b21f9,6,0,0.0,221.0,103.0,1.1029385,4.2067957,0.0,2.1396742,41.032837,0
6bba_718b21f9,7,0,27.0,85.0,23.0,1.7357819,3.3950853,0.42857143,2.5401762,68.65625,1
6bba_718b21f9,8,0,29.0,95.0,181.0,1.2165512,3.2998571,0.46031746,2.5434792,68.92444,0
6bba_718b21f9,9,0,0.0,224.0,238.0,1.1699027,2.4947848,0.0,2.1396742,41.032837,1
6bba_718b21f9,10,0,22.0,126.0,247.0,1.2793204,3.5643017,0.34920636,2.5434792,68.92444,0
6bba_718b21f9,11,0,9.0,182.0,60.0,1.280453,4.2450943,0.14285715,2.5434792,68.92444,0
6bba_718b21f9,12,0,26.0,111.0,125.0,1.2835596,3.6164231,0.41269842,2.5434792,68.92444,0
6bba_718b21f9,13,0,7.0,181.0,25.0,1.513372,4.5363026,0.11111111,2.5368643,68.38806,2
6bba_718b21f9,14,0,28.0,76.0,15.0,1.5123913,2.5247457,0.44444445,2.5368643,68.38806,1
6bba_718b21f9,15,0,39.0,28.0,193.0,1.3545411,2.367556,0.61904764,2.5434792,68.92444,0
6bba_718b21f9,16,0,36.0,49.0,139.0,1.2839329,3.4629369,0.5714286,2.5302145,67.851685,1
6bba_718b21f9,17,0,28.0,97.0,166.0,1.2693682,3.2368119,0.44444445,2.5401762,68.65625,0
6bba_718b21f9,18,0,19.0,146.0,175.0,1.2725191,3.0691729,0.3015873,2.5401762,68.65625,0
6bba_718b21f9,19,0,16.0,158.0,110.0,1.3639809,3.0680556,0.25396827,2.5302145,67.851685,1
6bba_718b21f9,20,0,36.0,53.0,128.0,1.213704,2.9691105,0.5714286,2.5168092,66.77893,1
6bba_718b21f9,21,0,43.0,0.0,182.0,1.223455,2.393348,0.6825397,2.1350024,40.76465,1
6bba_718b21f9,22,0,33.0,65.0,98.0,1.2037011,2.7369883,0.52380955,2.5335438,68.11987,2
6bba_718b21f9,23,0,7.0,184.0,30.0,1.1364273,2.2558467,0.11111111,2.5168092,66.77893,2
