dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_767a1e17,0,0,63.0,142.0,124.0,0.5013561,6.502811,1.0,2.1396742,41.032837,0
6bba_767a1e17,1,0,23.0,30.0,35.0,0.58328086,4.971671,0.36507937,2.5434792,68.92444,1
6bba_767a1e17,2,0,63.0,142.0,70.0,0.52305835,5.9272532,1.0,2.1396742,41.032837,0
6bba_767a1e17,3,0,34.0,51.0,129.0,0.46204272,2.9289374,0.53968257,2.5434792,68.92444,0
6bba_767a1e17,4,0,50.0,91.0,67.0,0.48752993,3.2753918,0.7936508,2.5434792,68.92444,0
6bba_767a1e17,5,0,41.0,79.0,199.0,0.4204151,3.1532996,0.6507937,2.5434792,68.92444,0
6bba_767a1e17,6,0,63.0,142.0,173.0,0.48098177,5.978989,1.0,2.1396742,41.032837,0
6bba_767a1e17,7,0,53.0,98.0,94.0,0.43166468,3.28051,0.84126985,2.5434792,68.92444,0
6bba_767a1e17,8,0,41.0,76.0,110.0,0.52810496,3.569122,0.6507937,2.5434792,68.92444,0
6bba_767a1e17,9,0,29.0,72.0,225.0,0.502585,3.6214867,0.46031746,2.5434792,68.92444,0
6bba_767a1e17,10,0,49.0,93.0,153.0,0.4339694,2.6179113,0.7777778,2.5434792,68.92444,0
6bba_767a1e17,11,0,37.0,68.0,180.0,0.4329659,3.4817524,0.5873016,2.5434792,68.92444,0
6bba_767a1e17,12,0,34.0,66.0,59.0,0.4613236,3.2906709,0.53968257,2.5434792,68.92444,1
6bba_767a1e17,13,0,10.0,9.0,145.0,0.5138569,3.5365832,0.15873016,2.5434792,68.92444,1
6bba_767a1e17,14,0,52.0,113.0,192.0,0.45545018,3.238623,0.82539684,2.5434792,68.92444,1
6bba_767a1e17,15,0,36.0,161.0,237.0,0.44084477,2.8622391,0.5714286,2.5434792,68.92444,0
6bba_767a1e17,16,0,26.0,40.0,9.0,0.49317855,3.079772,0.41269842,2.5434792,68.92444,1
6bba_767a1e17,17,0,24.0,29.0,74.0,0.45214647,3.0930479,0.3809524,2.5434792,68.92444,0
6bba_767a1e17,18,0,49.0,107.0,57.0,0.57002884,4.735436,0.7777778,2.5434792,68.92444,1
6bba_767a1e17,19,0,25.0,28.0,113.0,0.40837348,3.3710876,0.3968254,2.5434792,68.92444,0
6bba_767a1e17,20,0,53.0,116.0,157.0,0.43639317,4.1686068,0.84126985,2.5434792,68.92444,1
6bba_767a1e17,21,0,26.0,47.0,183.0,0.44459814,2.5704186,0.41269842,2.5434792,68.92444,0
6bba_767a1e17,22,0,38.0,77.0,33.0,0.49845347,3.6476777,0.6031746,2.5434792,68.92444,1
6bba_767a1e17,23,0,36.0,71.0,149.0,0.4195352,4.469443,0.5714286,2.5434792,68.92444,0
6bba_767a1e17,24,0,42.0,81.0,129.0,0.4275436,3.3903785,0.6666667,2.5434792,68.92444,0
6bba_767a1e17,25,0,42.0,91.0,48.0,0.43259522,4.7165303,0.6666667,2.5434792,68.92444,0
6bba_767a1e17,26,0,18.0,29.0,144.0,0.49625003,2.3336973,0.2857143,2.5434792,68.92444,0
6bba_767a1e17,27,0,63.0,148.0,25.0,0.39954185,4.981356,1.0,2.1396742,41.032837,0
6bba_767a1e17,28,0,0.0,0.0,172.0,0.4851353,2.3521564,0.0,1.7994134,24.405151,0
6bba_767a1e17,29,0,51.0,110.0,212.0,0.37335026,4.5281816,0.8095238,2.5434792,68.92444,0
6bba_767a1e17,30,0,53.0,99.0,3.0,0.43529987,2.7275913,0.84126985,2.5401762,68.65625,3
6bba_767a1e17,31,0,55.0,137.0,6.0,0.48305154,5.1128564,0.8730159,2.5368643,68.38806,0
6bba_767a1e17,32,0,63.0,143.0,224.0,0.36110145,5.864626,1.0,2.1396742,41.032837,0
6bba_767a1e17,33,0,51.0,151.0,148.0,0.41305137,4.0308824,0.8095238,2.5434792,68.92444,0
6bba_767a1e17,34,0,34.0,75.0,80.0,0.44838274,4.629486,0.53968257,2.5434792,68.92444,0
6bba_767a1e17,35,0,63.0,246.0,103.0,0.35018528,3.7126913,1.0,2.1396742,41.032837,0
6bba_767a1e17,36,0,52.0,114.0,113.0,0.45065913,3.0575447,0.82539684,2.5434792,68.92444,1
6bba_767a1e17,37,0,35.0,172.0,147.0,0.44895145,3.7079198,0.5555556,2.5434792,68.92444,0
6bba_767a1e17,38,0,58.0,127.0,209.0,0.36658952,3.9866364,0.9206349,2.5434792,68.92444,0
6bba_767a1e17,39,0,63.0,192.0,187.0,0.40347314,4.5821238,1.0,2.1396742,41.032837,0
6bba_767a1e17,40,0,63.0,120.0,7.0,0.43772718,3.6790974,1.0,2.1396742,41.032837,1
6bba_767a1e17,41,0,58.0,130.0,37.0,0.47392356,3.5676565,0.9206349,2.5434792,68.92444,1
6bba_767a1e17,42,0,63.0,252.0,159.0,0.32360065,4.3062625,1.0,2.1350024,40.76465,0
6bba_767a1e17,43,0,20.0,102.0,252.0,0.45797363,4.12085,0.31746033,2.5401762,68.65625,1
6bba_767a1e17,44,0,32.0,122.0,231.0,0.4225471,4.4393106,0.50793654,2.5434792,68.92444,0
6bba_767a1e17,45,0,25.0,125.0,103.0,0.473267,2.7008328,0.3968254,2.5434792,68.92444,0
6bba_767a1e17,46,0,47.0,99.0,26.0,0.4050787,2.694178,0.74603176,2.5434792,68.92444,1
6bba_767a1e17,47,0,16.0,21.0,58.0,0.5398667,2.7273815,0.25396827,2.5401762,68.65625,1
6bba_767a1e17,48,0,12.0,14.0,85.0,0.5180226,2.4564023,0.1904762,2.5401762,68.65625,0
