dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_784a78c9,969120,0,42.0,88.0,145.0,1.5432938,3.6916134,0.6666667,2.5434792,68.92444,0
6bba_784a78c9,969121,0,22.0,255.0,90.0,1.5028497,4.624304,0.34920636,2.1396742,41.032837,0
6bba_784a78c9,969122,0,12.0,228.0,114.0,1.4677396,3.282144,0.1904762,2.5434792,68.92444,0
6bba_784a78c9,969123,0,51.0,106.0,101.0,1.4454849,3.5783076,0.8095238,2.5434792,68.92444,0
6bba_784a78c9,969124,0,19.0,241.0,172.0,1.312955,7.85319,0.3015873,2.5434792,68.92444,0
6bba_784a78c9,969125,0,14.0,77.0,189.0,1.4903643,2.1845524,0.22222222,2.5434792,68.92444,0
6bba_784a78c9,969126,0,41.0,52.0,151.0,1.3397735,3.1696157,0.6507937,2.5168092,66.77893,0
6bba_784a78c9,969127,0,50.0,59.0,93.0,1.2382516,4.615922,0.7936508,2.5434792,68.92444,0
6bba_784a78c9,969128,0,16.0,68.0,247.0,1.3378131,4.009536,0.25396827,2.5434792,68.92444,0
6bba_784a78c9,969129,0,47.0,12.0,147.0,1.4989231,2.760758,0.74603176,2.5434792,68.92444,0
6bba_784a78c9,969130,0,24.0,158.0,209.0,1.2239822,5.1067266,0.3809524,2.5434792,68.92444,0
6bba_784a78c9,969131,0,33.0,170.0,156.0,1.3855039,2.8122091,0.52380955,2.5434792,68.92444,0
6bba_784a78c9,969132,0,23.0,138.0,206.0,1.2410582,4.667943,0.36507937,2.5434792,68.92444,1
6bba_784a78c9,969133,0,35.0,157.0,173.0,1.4577751,2.440162,0.5555556,2.5434792,68.92444,1
6bba_784a78c9,969134,0,40.0,206.0,118.0,1.3298461,2.8271961,0.63492066,2.5434792,68.92444,0
6bba_784a78c9,969135,0,11.0,161.0,255.0,1.3139427,3.2333572,0.17460318,2.1396742,41.032837,0
6bba_784a78c9,969136,0,9.0,208.0,238.0,1.2625363,4.7910604,0.14285715,2.5434792,68.92444,0
6bba_784a78c9,969137,0,34.0,245.0,42.0,0.9703576,3.8014336,0.53968257,2.5434792,68.92444,1
6bba_784a78c9,969138,0,44.0,59.0,166.0,1.3529934,3.9061763,0.6984127,2.5434792,68.92444,0
6bba_784a78c9,969139,0,22.0,12.0,231.0,1.3367772,4.0399847,0.34920636,2.5434792,68.92444,0
6bba_784a78c9,969140,0,33.0,75.0,190.0,1.3192204,4.7379723,0.52380955,2.5434792,68.92444,0
6bba_784a78c9,969141,0,29.0,112.0,190.0,1.2774991,3.5745208,0.46031746,2.5434792,68.92444,0
6bba_784a78c9,969142,0,26.0,164.0,182.0,1.2673542,2.2212765,0.41269842,2.5434792,68.92444,1
6bba_784a78c9,969143,0,37.0,141.0,60.0,1.3592818,2.0086582,0.5873016,2.5434792,68.92444,0
6bba_784a78c9,969144,0,45.0,188.0,92.0,1.339917,4.4075856,0.71428573,2.5434792,68.92444,0
6bba_784a78c9,969145,0,37.0,113.0,171.0,1.2310014,3.8662767,0.5873016,2.5434792,68.92444,0
6bba_784a78c9,969146,0,43.0,187.0,29.0,1.1369007,3.2986863,0.6825397,2.5401762,68.65625,0
6bba_784a78c9,969147,0,29.0,241.0,140.0,1.1899458,4.2838383,0.46031746,2.5434792,68.92444,0
6bba_784a78c9,969148,0,13.0,0.0,255.0,1.2479718,4.302823,0.20634921,1.7994134,24.405151,0
6bba_784a78c9,969149,0,41.0,245.0,61.0,1.2100829,2.7559202,0.6507937,2.5434792,68.92444,0
6bba_784a78c9,969150,0,44.0,152.0,126.0,1.3586576,2.835847,0.6984127,2.5434792,68.92444,0
6bba_784a78c9,969151,0,63.0,23.0,34.0,1.1305424,3.4493694,1.0,2.1396742,41.032837,0
6bba_784a78c9,969152,0,51.0,74.0,113.0,1.1781365,2.7231743,0.8095238,2.5434792,68.92444,0
6bba_784a78c9,969153,0,31.0,215.0,153.0,1.1592802,3.522338,0.4920635,2.5434792,68.92444,1
6bba_784a78c9,969154,0,21.0,79.0,224.0,1.1727173,3.1236887,0.33333334,2.5434792,68.92444,0
6bba_784a78c9,969155,0,47.0,241.0,21.0,1.068162,2.721781,0.74603176,2.5434792,68.92444,0
6bba_784a78c9,969156,0,37.0,211.0,44.0,1.0331129,2.9384682,0.5873016,2.5434792,68.92444,0
6bba_784a78c9,969157,0,26.0,60.0,213.0,1.0983188,4.7473826,0.41269842,2.5434792,68.92444,0
6bba_784a78c9,969158,0,63.0,160.0,29.0,1.231559,2.3298514,1.0,2.1396742,41.032837,0
6bba_784a78c9,969159,0,59.0,0.0,53.0,1.0044388,5.5552645,0.93650794,2.1396742,41.032837,0
6bba_784a78c9,969160,0,63.0,105.0,3.0,1.0571532,3.3126786,1.0,2.1350024,40.76465,0
6bba_784a78c9,969161,0,10.0,114.0,194.0,1.2634795,2.0412343,0.15873016,2.5434792,68.92444,1
6bba_784a78c9,969162,0,54.0,201.0,28.0,1.1444838,5.051613,0.85714287,2.5434792,68.92444,0
6bba_784a78c9,969163,0,36.0,180.0,123.0,1.1674275,3.581464,0.5714286,2.5401762,68.65625,0
6bba_784a78c9,969164,0,17.0,219.0,205.0,1.058498,4.684273,0.26984128,2.5434792,68.92444,0
6bba_784a78c9,969165,0,41.0,187.0,5.0,1.2787706,2.3534796,0.6507937,2.5434792,68.92444,1
6bba_784a78c9,969166,0,39.0,238.0,90.0,1.1157417,4.455849,0.61904764,2.5434792,68.92444,0
6bba_784a78c9,969167,0,21.0,210.0,178.0,1.1226636,2.3524227,0.33333334,2.5434792,68.92444,1
6bba_784a78c9,969168,0,9.0,120.0,193.0,1.1708168,1.7710426,0.14285715,2.5434792,68.92444,1
6bba_784a78c9,969169,0,39.0,119.0,59.0,1.1330583,1.8140333,0.61904764,2.5434792,68.92444,1
6bba_784a78c9,969170,0,28.0,190.0,174.0,1.0684116,3.1380577,0.44444445,2.5434792,68.92444,0
6bba_784a78c9,969171,0,58.0,60.0,52.0,1.1545546,3.45838,0.9206349,2.5434792,68.92444,1
6bba_784a78c9,969172,0,35.0,24.0,182.0,1.155743,2.657104,0.5555556,2.5434792,68.92444,0
6bba_784a78c9,969173,0,27.0,221.0,145.0,1.1130645,2.46884,0.42857143,2.5434792,68.92444,1
6bba_784a78c9,969174,0,24.0,219.0,178.0,1.1438088,2.3517575,0.3809524,2.5434792,68.92444,1
6bba_784a78c9,969175,0,38.0,200.0,6.0,1.0902318,1.9295058,0.6031746,2.5434792,68.92444,1
6bba_784a78c9,969176,0,27.0,146.0,99.0,1.2194324,1.6665629,0.42857143,2.5434792,68.92444,0
6bba_784a78c9,969177,0,51.0,56.0,33.0,1.1820344,1.679233,0.8095238,2.5434792,68.92444,1
6bba_784a78c9,969178,0,58.0,65.0,50.0,1.0882989,2.5645,0.9206349,2.5401762,68.65625,1
6bba_784a78c9,969179,0,31.0,186.0,140.0,1.0062758,3.8369935,0.4920635,2.5434792,68.92444,0
6bba_784a78c9,969180,0,41.0,109.0,128.0,1.0032887,3.5058389,0.6507937,2.5434792,68.92444,0
