dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_789f8168,985048,0,50.0,10.0,10.0,1.584201,4.701248,0.7936508,2.5335438,68.11987,0
6bba_789f8168,985049,0,44.0,47.0,0.0,1.233295,3.3625786,0.6984127,2.1396742,41.032837,0
6bba_789f8168,985050,0,45.0,28.0,91.0,1.503854,3.074603,0.71428573,2.5401762,68.65625,2
6bba_789f8168,985051,0,39.0,65.0,83.0,1.4633135,4.04162,0.61904764,2.5434792,68.92444,1
6bba_789f8168,985052,0,9.0,220.0,99.0,1.3552536,4.1215115,0.14285715,2.5401762,68.65625,0
6bba_789f8168,985053,0,35.0,73.0,0.0,1.4023982,3.6468036,0.5555556,2.1350024,40.76465,0
6bba_789f8168,985054,0,8.0,193.0,39.0,1.3898121,4.5838556,0.12698413,2.5434792,68.92444,0
6bba_789f8168,985055,0,38.0,43.0,67.0,1.3584484,2.9824865,0.6031746,2.5434792,68.92444,0
6bba_789f8168,985056,0,18.0,139.0,20.0,1.3478659,3.16465,0.2857143,2.5401762,68.65625,1
6bba_789f8168,985057,0,37.0,45.0,31.0,1.3434334,3.4398615,0.5873016,2.5434792,68.92444,0
6bba_789f8168,985058,0,41.0,61.0,11.0,1.3573164,2.4695268,0.6507937,2.5401762,68.65625,0
6bba_789f8168,985059,0,52.0,21.0,86.0,1.341457,2.529257,0.82539684,2.5434792,68.92444,1
6bba_789f8168,985060,0,36.0,89.0,148.0,1.1408799,3.791438,0.5714286,2.5434792,68.92444,0
6bba_789f8168,985061,0,19.0,169.0,70.0,1.2100735,3.970331,0.3015873,2.5434792,68.92444,0
6bba_789f8168,985062,0,18.0,168.0,100.0,1.2478701,2.9510407,0.2857143,2.5434792,68.92444,0
6bba_789f8168,985063,0,51.0,39.0,28.0,1.1693604,3.9309342,0.8095238,2.5434792,68.92444,0
6bba_789f8168,985064,0,50.0,37.0,95.0,1.2494531,2.3955061,0.7936508,2.5401762,68.65625,1
6bba_789f8168,985065,0,22.0,141.0,59.0,1.1984694,3.5734441,0.34920636,2.5434792,68.92444,0
6bba_789f8168,985066,0,39.0,23.0,0.0,1.2097336,2.5030887,0.61904764,2.1396742,41.032837,0
6bba_789f8168,985067,0,13.0,198.0,9.0,1.1771557,2.7448072,0.20634921,2.5335438,68.11987,0
6bba_789f8168,985068,0,36.0,87.0,50.0,1.1796982,3.955635,0.5714286,2.5434792,68.92444,0
6bba_789f8168,985069,0,26.0,146.0,136.0,1.1236198,3.3318071,0.41269842,2.5434792,68.92444,0
6bba_789f8168,985070,0,58.0,26.0,158.0,1.2538666,3.6043751,0.9206349,2.5434792,68.92444,1
6bba_789f8168,985071,0,26.0,186.0,223.0,0.97725976,2.7971923,0.41269842,2.5434792,68.92444,0
6bba_789f8168,985072,0,21.0,132.0,90.0,1.2312815,2.5495121,0.33333334,2.5434792,68.92444,0
6bba_789f8168,985073,0,32.0,87.0,18.0,1.1261863,3.225808,0.50793654,2.5302145,67.851685,0
6bba_789f8168,985074,0,46.0,59.0,94.0,1.2032328,2.402488,0.73015875,2.5268764,67.583496,1
6bba_789f8168,985075,0,42.0,27.0,39.0,1.2158253,3.78219,0.6666667,2.5434792,68.92444,0
6bba_789f8168,985076,0,18.0,152.0,93.0,1.1808637,3.1059816,0.2857143,2.5434792,68.92444,0
6bba_789f8168,985077,0,14.0,147.0,10.0,1.1914655,2.4007547,0.22222222,2.5401762,68.65625,1
6bba_789f8168,985078,0,55.0,0.0,88.0,1.2742615,2.6292295,0.8730159,2.13031,40.49646,0
6bba_789f8168,985079,0,37.0,128.0,181.0,1.0338322,3.0426116,0.5873016,2.5434792,68.92444,0
6bba_789f8168,985080,0,42.0,91.0,172.0,0.93647456,4.415404,0.6666667,2.5401762,68.65625,0
6bba_789f8168,985081,0,23.0,118.0,70.0,1.1346915,3.363748,0.36507937,2.5434792,68.92444,0
6bba_789f8168,985082,0,51.0,78.0,58.0,0.997988,2.78443,0.8095238,2.5401762,68.65625,0
6bba_789f8168,985083,0,42.0,99.0,37.0,1.0175555,2.8810108,0.6666667,2.5434792,68.92444,0
6bba_789f8168,985084,0,23.0,178.0,188.0,0.90254945,4.4624596,0.36507937,2.5434792,68.92444,0
6bba_789f8168,985085,0,52.0,24.0,145.0,1.1217105,2.7280047,0.82539684,2.5434792,68.92444,1
6bba_789f8168,985086,0,33.0,89.0,80.0,1.0162987,3.0246246,0.52380955,2.5401762,68.65625,0
6bba_789f8168,985087,0,34.0,89.0,105.0,1.0964298,3.7286677,0.53968257,2.5434792,68.92444,0
6bba_789f8168,985088,0,11.0,171.0,30.0,1.2205648,2.6294546,0.17460318,2.5434792,68.92444,1
6bba_789f8168,985089,0,37.0,68.0,48.0,1.102287,4.6283064,0.5873016,2.5434792,68.92444,0
