dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_7b5d3b2c,0,0,36.0,62.0,162.0,1.1395663,1.7863283,0.5714286,2.5434792,68.92444,0
6bba_7b5d3b2c,1,0,31.0,20.0,216.0,1.0721465,3.8930337,0.4920635,2.5434792,68.92444,0
6bba_7b5d3b2c,2,0,0.0,216.0,185.0,0.9305414,2.8368196,0.0,2.1396742,41.032837,0
6bba_7b5d3b2c,3,0,36.0,49.0,175.0,1.4391577,2.409052,0.5714286,2.5434792,68.92444,0
6bba_7b5d3b2c,4,0,43.0,8.0,164.0,0.93419313,2.5770373,0.6825397,2.5434792,68.92444,0
6bba_7b5d3b2c,5,0,16.0,147.0,190.0,1.0661731,2.615095,0.25396827,2.5434792,68.92444,1
6bba_7b5d3b2c,6,0,16.0,156.0,182.0,1.0348015,2.442867,0.25396827,2.5434792,68.92444,1
6bba_7b5d3b2c,7,0,25.0,95.0,191.0,1.2901013,2.1845741,0.3968254,2.5434792,68.92444,1
6bba_7b5d3b2c,8,0,23.0,111.0,191.0,1.1930236,1.8068022,0.36507937,2.5434792,68.92444,2
6bba_7b5d3b2c,9,0,26.0,100.0,183.0,1.1908069,1.6566741,0.41269842,2.5434792,68.92444,3
6bba_7b5d3b2c,10,0,23.0,112.0,187.0,1.113433,1.6413753,0.36507937,2.5434792,68.92444,2
6bba_7b5d3b2c,11,0,13.0,85.0,243.0,1.0375184,4.3868146,0.20634921,2.5434792,68.92444,0
6bba_7b5d3b2c,12,0,63.0,33.0,29.0,0.804053,1.6600385,1.0,2.1396742,41.032837,0
6bba_7b5d3b2c,13,0,11.0,134.0,224.0,1.2130518,1.8018241,0.17460318,2.5434792,68.92444,0
6bba_7b5d3b2c,14,0,24.0,60.0,217.0,0.988148,2.6460798,0.3809524,2.5434792,68.92444,1
6bba_7b5d3b2c,15,0,25.0,50.0,224.0,0.8949333,2.0987432,0.3968254,2.5434792,68.92444,1
6bba_7b5d3b2c,16,0,13.0,116.0,224.0,1.3811748,1.8909811,0.20634921,2.5434792,68.92444,0
6bba_7b5d3b2c,17,0,24.0,23.0,245.0,1.0504075,2.1887655,0.3809524,2.5434792,68.92444,1
6bba_7b5d3b2c,18,0,54.0,97.0,8.0,0.60450774,3.2108014,0.85714287,2.5434792,68.92444,0
6bba_7b5d3b2c,19,0,5.0,165.0,217.0,0.991206,2.6760416,0.07936508,2.5434792,68.92444,2
6bba_7b5d3b2c,20,0,5.0,170.0,214.0,1.0138061,2.88585,0.07936508,2.5434792,68.92444,2
6bba_7b5d3b2c,21,0,23.0,13.0,246.0,1.1064168,2.462272,0.36507937,2.5434792,68.92444,1
6bba_7b5d3b2c,22,0,13.0,48.0,255.0,1.2166206,1.4624777,0.20634921,2.13031,40.49646,1
6bba_7b5d3b2c,23,0,14.0,58.0,247.0,1.2698718,2.0607803,0.22222222,2.5434792,68.92444,1
6bba_7b5d3b2c,24,0,7.0,107.0,255.0,1.0615516,4.4872584,0.11111111,2.1396742,41.032837,0
6bba_7b5d3b2c,25,0,38.0,159.0,51.0,0.48549244,3.3301394,0.6031746,2.5434792,68.92444,0
6bba_7b5d3b2c,26,0,50.0,88.0,59.0,0.49127588,2.9930167,0.7936508,2.5434792,68.92444,0
6bba_7b5d3b2c,27,0,33.0,91.0,152.0,0.5354415,2.6286218,0.52380955,2.5434792,68.92444,0
6bba_7b5d3b2c,28,0,20.0,222.0,81.0,0.44012758,4.0747123,0.31746033,2.5434792,68.92444,0
6bba_7b5d3b2c,29,0,20.0,159.0,156.0,0.4798571,3.890589,0.31746033,2.5434792,68.92444,0
6bba_7b5d3b2c,30,0,37.0,14.0,179.0,0.55715823,1.8064724,0.5873016,2.5434792,68.92444,0
6bba_7b5d3b2c,31,0,0.0,169.0,228.0,0.6888664,1.0565805,0.0,2.0317688,35.13269,2
6bba_7b5d3b2c,32,0,8.0,231.0,133.0,0.4715271,2.7158258,0.12698413,2.5434792,68.92444,0
6bba_7b5d3b2c,33,0,46.0,36.0,127.0,0.42103854,2.8968225,0.73015875,2.5434792,68.92444,0
6bba_7b5d3b2c,34,0,55.0,16.0,91.0,0.42943558,2.8890495,0.8730159,2.5434792,68.92444,0
6bba_7b5d3b2c,35,0,27.0,215.0,42.0,0.3902847,3.1530864,0.42857143,2.5434792,68.92444,1
6bba_7b5d3b2c,36,0,41.0,109.0,94.0,0.37816986,4.1705527,0.6507937,2.5434792,68.92444,0
6bba_7b5d3b2c,37,0,10.0,110.0,142.0,0.5200842,2.1645284,0.15873016,2.5434792,68.92444,1
