dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_907271db,1036859,0,35.0,99.0,83.0,1.7918342,5.9793167,0.5555556,2.5401762,68.65625,1
6bba_907271db,1036860,0,35.0,99.0,78.0,1.775906,6.7161875,0.5555556,2.5434792,68.92444,1
6bba_907271db,1036861,0,30.0,130.0,115.0,1.7545542,2.361076,0.47619048,2.5434792,68.92444,1
6bba_907271db,1036862,0,29.0,131.0,127.0,1.7853836,2.1512518,0.46031746,2.5434792,68.92444,1
6bba_907271db,1036863,0,33.0,87.0,125.0,1.327245,4.6759872,0.52380955,2.5434792,68.92444,0
6bba_907271db,1036864,0,43.0,127.0,69.0,1.091907,5.188943,0.6825397,2.5401762,68.65625,0
6bba_907271db,1036865,0,48.0,133.0,51.0,1.3682532,3.1900957,0.7619048,2.5434792,68.92444,0
6bba_907271db,1036866,0,31.0,140.0,222.0,1.3187945,4.0788727,0.4920635,2.5434792,68.92444,0
6bba_907271db,1036867,0,34.0,98.0,0.0,1.2268319,3.3134055,0.53968257,2.1396742,41.032837,0
6bba_907271db,1036868,0,28.0,35.0,121.0,1.3694814,3.1348705,0.44444445,2.5434792,68.92444,0
6bba_907271db,1036869,0,14.0,15.0,161.0,1.1614622,5.1731443,0.22222222,2.5434792,68.92444,0
6bba_907271db,1036870,0,37.0,21.0,9.0,1.3168924,3.0039952,0.5873016,2.5434792,68.92444,0
6bba_907271db,1036871,0,28.0,131.0,143.0,1.5761579,2.13203,0.44444445,2.5434792,68.92444,0
6bba_907271db,1036872,0,31.0,122.0,195.0,1.4444059,2.7343085,0.4920635,2.5434792,68.92444,0
6bba_907271db,1036873,0,42.0,231.0,206.0,1.3035834,2.551334,0.6666667,2.5434792,68.92444,0
6bba_907271db,1036874,0,40.0,160.0,149.0,1.0638763,5.043017,0.63492066,2.5401762,68.65625,0
6bba_907271db,1036875,0,39.0,198.0,193.0,1.1152914,3.2104287,0.61904764,2.5434792,68.92444,0
6bba_907271db,1036876,0,15.0,62.0,247.0,1.2228006,2.8305154,0.23809524,2.5434792,68.92444,0
6bba_907271db,1036877,1,33.0,93.0,76.0,1.7504022,6.0031776,0.52380955,2.5368643,68.38806,1
6bba_907271db,1036878,1,34.0,92.0,79.0,1.7874051,6.191727,0.53968257,2.5434792,68.92444,1
6bba_907271db,1036879,1,28.0,24.0,116.0,1.6860857,3.3326862,0.44444445,2.5434792,68.92444,2
6bba_907271db,1036880,1,29.0,20.0,109.0,1.4584647,2.8672407,0.46031746,2.5434792,68.92444,1
6bba_907271db,1036881,1,29.0,125.0,114.0,1.7325662,2.3155453,0.46031746,2.5434792,68.92444,0
6bba_907271db,1036882,1,30.0,133.0,220.0,1.3046867,3.9057143,0.47619048,2.5434792,68.92444,0
6bba_907271db,1036883,1,33.0,81.0,122.0,1.2400712,4.914889,0.52380955,2.5434792,68.92444,0
6bba_907271db,1036884,1,48.0,128.0,48.0,1.3457927,3.0563295,0.7619048,2.5434792,68.92444,0
6bba_907271db,1036885,1,36.0,18.0,7.0,1.4052995,2.9208422,0.5714286,2.5434792,68.92444,0
6bba_907271db,1036886,1,30.0,115.0,193.0,1.4267167,2.6859522,0.47619048,2.5434792,68.92444,0
6bba_907271db,1036887,1,24.0,32.0,122.0,1.2733028,2.1340215,0.3809524,2.5434792,68.92444,1
6bba_907271db,1036888,1,34.0,96.0,0.0,1.1888943,3.861983,0.53968257,2.1396742,41.032837,0
6bba_907271db,1036889,1,41.0,225.0,203.0,1.2884866,2.7111468,0.6507937,2.5434792,68.92444,1
6bba_907271db,1036890,1,38.0,191.0,188.0,1.1796132,3.861141,0.6031746,2.5434792,68.92444,0
6bba_907271db,1036891,1,9.0,63.0,255.0,1.1883649,3.3643115,0.14285715,2.1396742,41.032837,0
6bba_907271db,1036892,1,26.0,125.0,144.0,1.4660187,2.0697465,0.41269842,2.5434792,68.92444,0
6bba_907271db,1036893,1,13.0,8.0,159.0,1.0677891,4.9186454,0.20634921,2.5434792,68.92444,0
6bba_907271db,1036894,1,27.0,226.0,229.0,1.3604656,1.9270719,0.42857143,2.5434792,68.92444,1
6bba_907271db,1036895,1,29.0,214.0,232.0,1.3761603,2.1686943,0.46031746,2.5434792,68.92444,1
6bba_907271db,1036896,1,52.0,175.0,61.0,1.0402583,4.170603,0.82539684,2.5434792,68.92444,0
6bba_907271db,1036897,1,35.0,54.0,83.0,1.0588496,3.6805582,0.5555556,2.5434792,68.92444,0
6bba_907271db,1036898,1,14.0,52.0,244.0,1.1376759,3.1488292,0.22222222,2.5434792,68.92444,0
6bba_907271db,1036899,1,35.0,218.0,158.0,1.1930798,2.0090077,0.5555556,2.5434792,68.92444,0
6bba_907271db,1036900,1,43.0,121.0,70.0,0.8480262,6.209816,0.6825397,2.5434792,68.92444,0
6bba_907271db,1036901,1,39.0,155.0,150.0,0.9813437,5.984592,0.61904764,2.5434792,68.92444,0
6bba_907271db,1036902,1,41.0,232.0,209.0,1.1769993,2.1053467,0.6507937,2.5434792,68.92444,1
6bba_907271db,1036903,1,12.0,10.0,198.0,1.0426493,3.3651047,0.1904762,2.5434792,68.92444,0
6bba_907271db,1036904,1,53.0,171.0,37.0,0.99066913,4.1218085,0.84126985,2.5434792,68.92444,0
6bba_907271db,1036905,2,33.0,89.0,76.0,1.333076,5.523739,0.52380955,2.5401762,68.65625,0
6bba_907271db,1036906,2,28.0,15.0,108.0,1.4349009,3.2537863,0.44444445,2.5434792,68.92444,0
6bba_907271db,1036907,2,29.0,119.0,112.0,1.6386757,2.2758508,0.46031746,2.5434792,68.92444,0
6bba_907271db,1036908,2,38.0,188.0,187.0,1.2973448,5.7200546,0.6031746,2.5434792,68.92444,0
