dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_b1ae37b9,1109416,0,0.0,112.0,183.0,1.4280646,5.232298,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109417,0,0.0,156.0,45.0,1.3527403,4.1200385,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109418,0,0.0,7.0,161.0,1.1274725,4.9852977,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109419,0,0.0,174.0,97.0,1.3648628,3.8309796,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109420,0,0.0,7.0,199.0,1.0758361,4.2612705,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109421,0,0.0,55.0,244.0,1.1698257,3.2885115,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109422,0,0.0,10.0,184.0,0.9766306,3.9158432,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109423,0,0.0,107.0,241.0,1.2729999,3.8868272,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109424,0,0.0,18.0,248.0,1.0570457,2.4659407,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109425,0,0.0,184.0,153.0,1.2995157,4.054917,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109426,0,0.0,9.0,115.0,0.91892916,3.1667619,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109427,0,0.0,114.0,206.0,1.2544863,3.292817,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109428,0,0.0,183.0,125.0,1.2247295,2.6730433,0.0,2.1350024,40.76465,0
6bba_b1ae37b9,1109429,0,0.0,136.0,115.0,1.195769,5.1471877,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109430,0,0.0,168.0,83.0,1.1956742,2.5056956,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109431,0,0.0,12.0,9.0,0.8534909,3.804975,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109432,0,0.0,159.0,232.0,1.2233536,5.769384,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109433,0,19.0,228.0,220.0,1.2733018,3.0075703,0.3015873,2.5434792,68.92444,0
6bba_b1ae37b9,1109434,0,0.0,7.0,31.0,0.8604467,2.7079663,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,1109435,0,0.0,7.0,233.0,0.90897095,2.3871255,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1109436,0,10.0,197.0,12.0,1.1318835,2.8885968,0.15873016,2.5401762,68.65625,0
6bba_b1ae37b9,1109437,0,0.0,105.0,16.0,1.060211,4.116168,0.0,2.1396742,41.032837,0
