dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_c73a1d11,0,0,63.0,244.0,182.0,1.0506506,4.298041,1.0,2.1396742,41.032837,0
6bba_c73a1d11,1,0,56.0,232.0,167.0,1.1436832,4.078897,0.8888889,2.5401762,68.65625,1
6bba_c73a1d11,2,0,63.0,251.0,162.0,0.9228587,3.6405394,1.0,2.1350024,40.76465,0
6bba_c73a1d11,3,0,9.0,176.0,9.0,0.7198626,1.8028975,0.14285715,2.4617038,62.487915,1
6bba_c73a1d11,4,0,57.0,230.0,145.0,0.92821485,2.831219,0.9047619,2.5401762,68.65625,0
6bba_c73a1d11,5,0,34.0,219.0,31.0,0.75652087,3.194587,0.53968257,2.4895616,64.63342,1
6bba_c73a1d11,6,0,32.0,234.0,0.0,1.1741855,2.3894866,0.50793654,2.1396742,41.032837,3
6bba_c73a1d11,7,0,56.0,255.0,60.0,0.7211018,3.1478133,0.8888889,2.13031,40.49646,0
6bba_c73a1d11,8,0,63.0,225.0,195.0,0.95137316,2.2918699,1.0,2.1396742,41.032837,1
6bba_c73a1d11,9,0,63.0,225.0,202.0,0.96920335,2.405382,1.0,2.1396742,41.032837,1
6bba_c73a1d11,10,0,10.0,183.0,8.0,0.7786059,2.0647352,0.15873016,2.5302145,67.851685,1
6bba_c73a1d11,11,0,54.0,240.0,72.0,1.0057901,2.1477647,0.85714287,2.5302145,67.851685,0
6bba_c73a1d11,12,0,25.0,197.0,18.0,0.7039335,2.2413325,0.3968254,2.5201738,67.04712,2
6bba_c73a1d11,13,0,39.0,202.0,51.0,0.748909,2.1629248,0.61904764,2.5434792,68.92444,0
6bba_c73a1d11,14,0,63.0,255.0,201.0,0.7224967,1.8458781,1.0,1.7994134,24.405151,0
6bba_c73a1d11,15,0,33.0,232.0,8.0,0.94783837,2.103472,0.52380955,2.472224,63.29248,3
6bba_c73a1d11,16,0,47.0,233.0,50.0,0.8087352,2.28288,0.74603176,2.5268764,67.583496,2
6bba_c73a1d11,17,0,23.0,207.0,16.0,0.6755013,2.2249074,0.36507937,2.5434792,68.92444,1
