dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_cf35214c,1169721,0,53.0,181.0,15.0,1.535284,5.541694,0.84126985,2.5401762,68.65625,0
6bba_cf35214c,1169722,0,63.0,42.0,247.0,1.4279844,4.1187835,1.0,2.1396742,41.032837,0
6bba_cf35214c,1169723,0,54.0,44.0,233.0,1.3154504,3.6535687,0.85714287,2.5368643,68.38806,0
6bba_cf35214c,1169724,0,57.0,100.0,122.0,1.1597227,3.733263,0.9047619,2.5401762,68.65625,1
6bba_cf35214c,1169725,0,57.0,105.0,115.0,1.0881065,3.0722702,0.9047619,2.5368643,68.38806,1
6bba_cf35214c,1169726,0,40.0,147.0,40.0,1.236907,3.223066,0.63492066,2.5368643,68.38806,1
6bba_cf35214c,1169727,0,33.0,75.0,112.0,1.1064425,3.597242,0.52380955,2.5401762,68.65625,0
6bba_cf35214c,1169728,0,41.0,21.0,255.0,1.2413135,3.3110864,0.6507937,2.1350024,40.76465,1
6bba_cf35214c,1169729,0,58.0,62.0,248.0,1.0432521,4.0610385,0.9206349,2.5368643,68.38806,0
6bba_cf35214c,1169730,0,63.0,255.0,18.0,1.2405361,6.5926843,1.0,1.7927979,24.136963,0
6bba_cf35214c,1169731,0,49.0,156.0,30.0,1.0783575,2.80614,0.7777778,2.5235295,67.31531,0
6bba_cf35214c,1169732,0,46.0,31.0,218.0,1.1002913,4.8343525,0.73015875,2.5434792,68.92444,0
6bba_cf35214c,1169733,0,54.0,90.0,208.0,1.0543603,2.9834042,0.85714287,2.4861133,64.365234,1
6bba_cf35214c,1169734,0,49.0,195.0,34.0,1.2066191,3.9159544,0.7777778,2.4964292,65.1698,0
6bba_cf35214c,1169735,0,33.0,44.0,163.0,1.0460525,3.2181015,0.52380955,2.5401762,68.65625,1
6bba_cf35214c,1169736,0,61.0,115.0,141.0,1.2989712,2.9012442,0.96825397,2.4617038,62.487915,0
6bba_cf35214c,1169737,0,40.0,140.0,112.0,1.1251001,3.7121143,0.63492066,2.5368643,68.38806,1
6bba_cf35214c,1169738,0,24.0,121.0,37.0,1.0455732,3.4710033,0.3809524,2.5401762,68.65625,1
6bba_cf35214c,1169739,0,45.0,71.0,149.0,1.0400728,3.213071,0.71428573,2.5401762,68.65625,1
6bba_cf35214c,1169740,0,24.0,94.0,77.0,1.0482054,3.3429325,0.3809524,2.5368643,68.38806,0
6bba_cf35214c,1169741,0,51.0,115.0,88.0,1.0254383,3.5368636,0.8095238,2.5401762,68.65625,0
6bba_cf35214c,1169742,0,33.0,17.0,219.0,1.1028053,4.1366553,0.52380955,2.5401762,68.65625,0
6bba_cf35214c,1169743,0,58.0,145.0,73.0,1.0559804,2.9294786,0.9206349,2.5368643,68.38806,1
6bba_cf35214c,1169744,0,0.0,35.0,134.0,0.9632893,3.7966104,0.0,2.1396742,41.032837,0
6bba_cf35214c,1169745,0,58.0,142.0,76.0,1.0773488,3.0877507,0.9206349,2.5335438,68.11987,1
6bba_cf35214c,1169746,0,42.0,165.0,19.0,1.1387509,3.6191404,0.6666667,2.5401762,68.65625,0
6bba_cf35214c,1169747,0,0.0,56.0,101.0,0.98787117,3.9590185,0.0,2.1396742,41.032837,0
6bba_cf35214c,1169748,0,63.0,107.0,187.0,0.9476103,3.8915446,1.0,2.1396742,41.032837,0
6bba_cf35214c,1169749,0,11.0,22.0,176.0,1.0114013,3.806481,0.17460318,2.5434792,68.92444,0
6bba_cf35214c,1169750,0,34.0,40.0,201.0,0.99062645,4.579944,0.53968257,2.5368643,68.38806,0
6bba_cf35214c,1169751,0,63.0,170.0,52.0,1.1456411,2.7714348,1.0,2.1350024,40.76465,1
6bba_cf35214c,1169752,0,43.0,205.0,15.0,1.27752,2.9406886,0.6825397,2.5335438,68.11987,1
6bba_cf35214c,1169753,0,21.0,151.0,79.0,1.1599908,3.5356286,0.33333334,2.5401762,68.65625,0
6bba_cf35214c,1169754,0,33.0,108.0,69.0,1.0059974,3.542782,0.52380955,2.5268764,67.583496,1
6bba_cf35214c,1169755,0,54.0,88.0,160.0,1.0381488,3.5095456,0.85714287,2.5434792,68.92444,0
6bba_cf35214c,1169756,0,48.0,31.0,247.0,1.0057758,2.5585768,0.7619048,2.5066607,65.974365,1
6bba_cf35214c,1169757,0,11.0,6.0,200.0,0.9157201,3.5186589,0.17460318,2.5335438,68.11987,1
6bba_cf35214c,1169758,0,42.0,54.0,207.0,0.9379435,3.540717,0.6666667,2.5066607,65.974365,1
6bba_cf35214c,1169759,0,34.0,110.0,111.0,1.0032009,3.7626579,0.53968257,2.5268764,67.583496,1
6bba_cf35214c,1169760,0,13.0,88.0,118.0,1.0119665,3.3491366,0.20634921,2.4652207,62.756104,0
6bba_cf35214c,1169761,0,51.0,54.0,195.0,0.8359465,4.225862,0.8095238,2.5368643,68.38806,1
6bba_cf35214c,1169762,0,63.0,127.0,120.0,0.8313389,3.1280553,1.0,2.016139,34.328125,0
6bba_cf35214c,1169763,0,53.0,123.0,106.0,0.88834685,3.3637938,0.84126985,2.5302145,67.851685,0
6bba_cf35214c,1169764,0,59.0,155.0,100.0,0.9882839,3.1051562,0.93650794,2.4861133,64.365234,0
6bba_cf35214c,1169765,0,63.0,213.0,28.0,0.9944072,2.7949476,1.0,2.010875,34.059937,0
6bba_cf35214c,1169766,0,41.0,191.0,2.0,1.2331039,2.3052082,0.6507937,2.4403894,60.878784,0
6bba_cf35214c,1169767,0,35.0,135.0,34.0,0.91490835,2.1373694,0.5555556,2.499849,65.43799,2
6bba_cf35214c,1169768,0,43.0,60.0,181.0,0.84887123,2.3558087,0.6825397,2.458177,62.219727,1
6bba_cf35214c,1169769,0,11.0,116.0,37.0,0.960807,2.9310777,0.17460318,2.5368643,68.38806,1
