dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_d5eae175,0,0,63.0,74.0,221.0,1.991482,3.0976722,1.0,2.1396742,41.032837,0
6bba_d5eae175,1,0,63.0,9.0,19.0,1.3399812,2.94218,1.0,2.1350024,40.76465,0
6bba_d5eae175,2,0,40.0,255.0,189.0,1.1671699,4.9817805,0.63492066,2.1350024,40.76465,0
6bba_d5eae175,3,0,46.0,212.0,148.0,1.4606024,3.2482295,0.73015875,2.5401762,68.65625,1
6bba_d5eae175,4,0,29.0,255.0,119.0,1.2878765,2.832796,0.46031746,2.1350024,40.76465,1
6bba_d5eae175,5,0,46.0,213.0,189.0,1.3126516,2.0410707,0.73015875,2.5434792,68.92444,1
6bba_d5eae175,6,0,45.0,218.0,177.0,1.6761835,3.2217393,0.71428573,2.5401762,68.65625,1
6bba_d5eae175,7,0,45.0,218.0,142.0,1.4074892,2.895844,0.71428573,2.5368643,68.38806,1
6bba_d5eae175,8,0,39.0,243.0,86.0,1.1925858,3.5023181,0.61904764,2.5335438,68.11987,1
6bba_d5eae175,9,0,53.0,162.0,136.0,1.2546066,3.2115297,0.84126985,2.5434792,68.92444,0
6bba_d5eae175,10,0,63.0,54.0,50.0,0.9422336,2.8658369,1.0,2.1396742,41.032837,0
6bba_d5eae175,11,0,51.0,141.0,33.0,1.0559573,4.6201158,0.8095238,2.5302145,67.851685,0
6bba_d5eae175,12,0,51.0,183.0,202.0,1.0982989,3.4928467,0.8095238,2.5401762,68.65625,0
6bba_d5eae175,13,0,63.0,67.0,181.0,0.97577745,3.8335338,1.0,2.1350024,40.76465,0
6bba_d5eae175,14,0,41.0,213.0,41.0,1.0021967,3.1153703,0.6507937,2.5032594,65.70618,2
6bba_d5eae175,15,0,41.0,214.0,35.0,1.0228319,3.3685896,0.6507937,2.5235295,67.31531,2
6bba_d5eae175,16,0,63.0,86.0,106.0,1.0987914,1.8452839,1.0,2.1396742,41.032837,0
