dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_df673a83,1253753,0,50.0,40.0,233.0,1.6013796,4.3945556,0.7936508,2.5434792,68.92444,1
6bba_df673a83,1253754,0,42.0,85.0,145.0,1.5043936,4.913347,0.6666667,2.5434792,68.92444,0
6bba_df673a83,1253755,0,57.0,61.0,98.0,1.637731,4.2688265,0.9047619,2.5434792,68.92444,1
6bba_df673a83,1253756,0,56.0,34.0,216.0,1.4519228,4.382285,0.8888889,2.5434792,68.92444,0
6bba_df673a83,1253757,0,35.0,96.0,108.0,1.4887646,3.6913419,0.5555556,2.5434792,68.92444,1
6bba_df673a83,1253758,0,26.0,121.0,101.0,1.4584597,4.429475,0.41269842,2.5434792,68.92444,1
6bba_df673a83,1253759,0,55.0,65.0,47.0,1.452814,3.663492,0.8730159,2.5434792,68.92444,0
6bba_df673a83,1253760,0,41.0,87.0,0.0,1.3650463,3.756564,0.6507937,2.1396742,41.032837,0
6bba_df673a83,1253761,0,31.0,105.0,133.0,1.2705667,4.965362,0.4920635,2.5434792,68.92444,0
6bba_df673a83,1253762,0,32.0,104.0,79.0,1.3241738,3.8865197,0.50793654,2.5434792,68.92444,0
6bba_df673a83,1253763,0,63.0,30.0,128.0,1.1961746,4.8892417,1.0,2.1396742,41.032837,0
6bba_df673a83,1253764,0,37.0,58.0,101.0,1.2943186,4.125727,0.5873016,2.5434792,68.92444,0
6bba_df673a83,1253765,0,58.0,24.0,241.0,1.3574675,5.923258,0.9206349,2.5434792,68.92444,0
6bba_df673a83,1253766,0,54.0,47.0,240.0,1.3217906,2.27034,0.85714287,2.5434792,68.92444,1
6bba_df673a83,1253767,0,63.0,28.0,93.0,1.2326243,4.859935,1.0,2.1396742,41.032837,0
6bba_df673a83,1253768,0,49.0,65.0,120.0,1.2967305,3.6270328,0.7777778,2.5434792,68.92444,0
6bba_df673a83,1253769,0,63.0,0.0,177.0,1.0963935,4.870028,1.0,1.7994134,24.405151,0
6bba_df673a83,1253770,0,51.0,68.0,158.0,1.3014685,3.040805,0.8095238,2.5434792,68.92444,0
