dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_ed9377fd,1279890,0,17.0,157.0,59.0,1.9611295,3.9744868,0.26984128,2.5434792,68.92444,0
6bba_ed9377fd,1279891,0,26.0,120.0,159.0,1.7606232,3.9104326,0.41269842,2.5434792,68.92444,0
6bba_ed9377fd,1279892,0,41.0,91.0,131.0,1.5009627,3.488094,0.6507937,2.5434792,68.92444,0
6bba_ed9377fd,1279893,0,25.0,99.0,232.0,1.4613781,3.7058444,0.3968254,2.5434792,68.92444,0
6bba_ed9377fd,1279894,0,25.0,133.0,112.0,1.3017306,5.1697454,0.3968254,2.5434792,68.92444,0
6bba_ed9377fd,1279895,0,34.0,83.0,215.0,1.3547884,4.899914,0.53968257,2.5434792,68.92444,0
6bba_ed9377fd,1279896,0,31.0,130.0,37.0,1.3372244,3.6336017,0.4920635,2.5434792,68.92444,0
6bba_ed9377fd,1279897,0,63.0,18.0,167.0,1.5043333,2.633099,1.0,2.1396742,41.032837,0
6bba_ed9377fd,1279898,0,33.0,123.0,69.0,1.1700634,4.3297696,0.52380955,2.5434792,68.92444,0
6bba_ed9377fd,1279899,0,43.0,75.0,177.0,1.2858579,3.2915986,0.6825397,2.5434792,68.92444,0
6bba_ed9377fd,1279900,0,33.0,109.0,147.0,1.2281893,3.6288207,0.52380955,2.5434792,68.92444,0
6bba_ed9377fd,1279901,0,55.0,62.0,55.0,1.1784799,3.7049613,0.8730159,2.5434792,68.92444,0
6bba_ed9377fd,1279902,0,53.0,60.0,111.0,1.1563333,4.231227,0.84126985,2.5434792,68.92444,0
6bba_ed9377fd,1279903,0,8.0,158.0,144.0,1.2157619,4.0155478,0.12698413,2.5434792,68.92444,0
6bba_ed9377fd,1279904,0,41.0,106.0,38.0,1.0738385,3.8983145,0.6507937,2.5401762,68.65625,0
6bba_ed9377fd,1279905,0,63.0,14.0,139.0,0.97775286,3.9641862,1.0,2.1350024,40.76465,0
6bba_ed9377fd,1279906,0,0.0,156.0,198.0,0.9190253,3.7705567,0.0,2.1396742,41.032837,0
6bba_ed9377fd,1279907,0,8.0,175.0,19.0,0.9502962,4.245825,0.12698413,2.5434792,68.92444,0
6bba_ed9377fd,1279908,0,7.0,175.0,63.0,0.9352063,3.5542526,0.11111111,2.5434792,68.92444,0
6bba_ed9377fd,1279909,0,38.0,59.0,242.0,0.94222844,3.3708127,0.6031746,2.5434792,68.92444,0
6bba_ed9377fd,1279910,0,31.0,84.0,238.0,0.8954901,2.4474795,0.4920635,2.5401762,68.65625,0
6bba_ed9377fd,1279911,0,35.0,26.0,224.0,1.039739,2.3697863,0.5555556,2.5434792,68.92444,1
6bba_ed9377fd,1279912,0,36.0,26.0,213.0,1.0037138,2.3171017,0.5714286,2.5434792,68.92444,1
6bba_ed9377fd,1279913,0,43.0,100.0,52.0,0.84864324,2.620596,0.6825397,2.5434792,68.92444,0
6bba_ed9377fd,1279914,0,16.0,154.0,96.0,0.90123814,3.5372808,0.25396827,2.5434792,68.92444,0
6bba_ed9377fd,1279915,0,0.0,161.0,37.0,0.9523289,2.3651361,0.0,2.1396742,41.032837,0
6bba_ed9377fd,1279916,0,15.0,122.0,226.0,0.817812,3.6807613,0.23809524,2.5434792,68.92444,0
6bba_ed9377fd,1279917,0,47.0,27.0,116.0,0.9029694,2.209553,0.74603176,2.5434792,68.92444,0
6bba_ed9377fd,1279918,0,43.0,42.0,110.0,0.923756,2.0899723,0.6825397,2.5434792,68.92444,0
6bba_ed9377fd,1279919,0,52.0,23.0,232.0,0.84777474,2.852679,0.82539684,2.5434792,68.92444,0
6bba_ed9377fd,1279920,0,30.0,99.0,0.0,0.83559364,2.8140726,0.47619048,2.1396742,41.032837,0
6bba_ed9377fd,1279921,0,24.0,90.0,148.0,0.9164081,2.0342667,0.3809524,2.5434792,68.92444,0
6bba_ed9377fd,1279922,1,21.0,155.0,60.0,1.7708737,3.9277284,0.33333334,2.5434792,68.92444,0
6bba_ed9377fd,1279923,1,30.0,120.0,158.0,1.708594,4.056415,0.47619048,2.5434792,68.92444,0
6bba_ed9377fd,1279924,1,29.0,99.0,232.0,1.6056669,4.2435684,0.46031746,2.5368643,68.38806,0
6bba_ed9377fd,1279925,1,45.0,91.0,128.0,1.4949919,3.6857495,0.71428573,2.5434792,68.92444,0
6bba_ed9377fd,1279926,1,36.0,128.0,28.0,1.3803917,3.553747,0.5714286,2.5434792,68.92444,1
6bba_ed9377fd,1279927,1,35.0,129.0,33.0,1.3991213,3.526157,0.5555556,2.5434792,68.92444,1
6bba_ed9377fd,1279928,1,29.0,132.0,114.0,1.3202261,4.923014,0.46031746,2.5434792,68.92444,0
6bba_ed9377fd,1279929,1,63.0,22.0,167.0,1.3355695,3.6894226,1.0,2.1396742,41.032837,0
6bba_ed9377fd,1279930,1,38.0,83.0,212.0,1.2518157,4.9413195,0.6031746,2.5434792,68.92444,0
6bba_ed9377fd,1279931,1,38.0,121.0,67.0,1.0872487,4.3193245,0.6031746,2.5434792,68.92444,1
6bba_ed9377fd,1279932,1,37.0,110.0,143.0,1.174543,3.9047647,0.5873016,2.5401762,68.65625,0
6bba_ed9377fd,1279933,1,46.0,103.0,32.0,1.1060582,3.3382733,0.73015875,2.5434792,68.92444,0
6bba_ed9377fd,1279934,1,0.0,180.0,132.0,1.079996,3.6693997,0.0,2.1396742,41.032837,0
6bba_ed9377fd,1279935,1,38.0,121.0,77.0,0.9985088,3.581753,0.6031746,2.5401762,68.65625,1
6bba_ed9377fd,1279936,1,46.0,76.0,174.0,1.109155,3.247905,0.73015875,2.5434792,68.92444,0
6bba_ed9377fd,1279937,1,11.0,159.0,143.0,1.1391579,3.807497,0.17460318,2.5434792,68.92444,0
6bba_ed9377fd,1279938,1,63.0,57.0,55.0,1.1420344,2.2318726,1.0,2.1396742,41.032837,1
6bba_ed9377fd,1279939,1,61.0,60.0,51.0,1.1443186,3.0618286,0.96825397,2.4687274,63.024292,1
6bba_ed9377fd,1279940,1,0.0,187.0,96.0,0.8776981,5.450742,0.0,2.1396742,41.032837,0
6bba_ed9377fd,1279941,1,58.0,58.0,105.0,1.1107264,3.4195626,0.9206349,2.5401762,68.65625,0
6bba_ed9377fd,1279942,1,38.0,27.0,226.0,1.046841,2.6702676,0.6031746,2.5434792,68.92444,1
