dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_eebc57a5,1285909,0,0.0,69.0,253.0,1.4390289,3.433153,0.0,1.9566469,31.378052,0
6bba_eebc57a5,1285910,0,10.0,100.0,115.0,1.2724365,2.939475,0.15873016,2.418696,59.269653,0
6bba_eebc57a5,1285911,0,17.0,114.0,57.0,1.5040741,2.8594007,0.26984128,2.5235295,67.31531,0
6bba_eebc57a5,1285912,0,10.0,123.0,214.0,1.5528152,1.9720387,0.15873016,2.5335438,68.11987,0
6bba_eebc57a5,1285913,0,11.0,177.0,41.0,1.4721447,2.835464,0.17460318,2.5335438,68.11987,0
6bba_eebc57a5,1285914,0,4.0,179.0,82.0,1.295388,2.4099278,0.06349207,2.3816502,56.58777,0
6bba_eebc57a5,1285915,0,12.0,41.0,169.0,1.2285306,3.413816,0.1904762,2.5201738,67.04712,0
6bba_eebc57a5,1285916,0,18.0,144.0,22.0,1.3038052,3.421665,0.2857143,2.5368643,68.38806,0
6bba_eebc57a5,1285917,0,0.0,83.0,213.0,1.2122741,3.9031925,0.0,2.1396742,41.032837,0
6bba_eebc57a5,1285918,0,8.0,35.0,219.0,1.005087,4.5099473,0.12698413,2.5168092,66.77893,0
6bba_eebc57a5,1285919,0,0.0,222.0,78.0,1.2709342,2.7928526,0.0,2.0317688,35.13269,0
6bba_eebc57a5,1285920,0,0.0,164.0,125.0,0.9838716,3.8858562,0.0,2.0317688,35.13269,0
6bba_eebc57a5,1285921,0,7.0,86.0,151.0,1.0625086,3.6278453,0.11111111,2.5168092,66.77893,1
6bba_eebc57a5,1285922,0,26.0,64.0,58.0,1.2546921,3.0245652,0.41269842,2.5168092,66.77893,0
6bba_eebc57a5,1285923,0,8.0,83.0,149.0,1.0634241,3.9387496,0.12698413,2.5100527,66.24255,1
6bba_eebc57a5,1285924,0,9.0,207.0,35.0,1.1660963,2.3655527,0.14285715,2.4077017,58.465088,1
6bba_eebc57a5,1285925,0,4.0,225.0,53.0,1.1769856,2.3935874,0.06349207,2.4113774,58.733276,0
6bba_eebc57a5,1285926,0,11.0,86.0,255.0,0.861361,4.3694644,0.17460318,2.0968692,38.61914,0
6bba_eebc57a5,1285927,0,12.0,71.0,124.0,1.1700217,2.6745605,0.1904762,2.5401762,68.65625,0
6bba_eebc57a5,1285928,0,8.0,206.0,39.0,1.1661308,2.301904,0.12698413,2.451093,61.68335,1
6bba_eebc57a5,1285929,0,8.0,157.0,77.0,1.0845902,2.4993916,0.12698413,2.4652207,62.756104,0
6bba_eebc57a5,1285930,0,6.0,58.0,198.0,0.98512244,3.0333261,0.0952381,2.4113774,58.733276,0
6bba_eebc57a5,1285931,0,18.0,181.0,5.0,1.1365072,2.9341505,0.2857143,2.4861133,64.365234,0
6bba_eebc57a5,1285932,0,18.0,16.0,160.0,0.9533189,3.0087876,0.2857143,2.451093,61.68335,0
6bba_eebc57a5,1285933,0,5.0,138.0,111.0,0.94647515,2.5047088,0.07936508,2.3891516,57.124146,0
6bba_eebc57a5,1285934,0,4.0,105.0,155.0,1.0358263,2.1326365,0.06349207,2.3928847,57.392334,2
