dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_ef7b4f7e,1292214,0,11.0,100.0,255.0,1.0089524,10.054919,0.17460318,2.1396742,41.032837,0
6bba_ef7b4f7e,1292215,0,24.0,88.0,193.0,1.2583307,5.130108,0.3809524,2.5434792,68.92444,0
6bba_ef7b4f7e,1292216,0,57.0,50.0,179.0,1.2723925,4.6787972,0.9047619,2.5434792,68.92444,0
6bba_ef7b4f7e,1292217,0,27.0,91.0,139.0,1.1339675,5.5826173,0.42857143,2.5434792,68.92444,0
6bba_ef7b4f7e,1292218,0,0.0,126.0,219.0,1.0095134,4.3315616,0.0,2.1396742,41.032837,0
6bba_ef7b4f7e,1292219,0,15.0,117.0,119.0,1.0050684,6.4225893,0.23809524,2.5434792,68.92444,0
6bba_ef7b4f7e,1292220,0,32.0,73.0,220.0,1.1202248,3.853275,0.50793654,2.5434792,68.92444,0
6bba_ef7b4f7e,1292221,0,0.0,134.0,170.0,0.94766223,6.3623853,0.0,2.1396742,41.032837,0
6bba_ef7b4f7e,1292222,0,30.0,75.0,255.0,0.7735879,2.9576647,0.47619048,2.13031,40.49646,1
6bba_ef7b4f7e,1292223,0,24.0,138.0,23.0,0.9621802,4.3261175,0.3809524,2.472224,63.29248,0
6bba_ef7b4f7e,1292224,0,46.0,56.0,206.0,1.0202218,3.1710272,0.73015875,2.5434792,68.92444,0
6bba_ef7b4f7e,1292225,0,63.0,64.0,113.0,0.87001115,4.145647,1.0,2.1396742,41.032837,0
6bba_ef7b4f7e,1292226,0,18.0,105.0,153.0,0.8786766,3.4810116,0.2857143,2.5401762,68.65625,0
6bba_ef7b4f7e,1292227,0,10.0,116.0,167.0,0.8304797,3.9852357,0.15873016,2.5401762,68.65625,0
6bba_ef7b4f7e,1292228,0,19.0,130.0,62.0,0.7582963,5.81687,0.3015873,2.5434792,68.92444,0
6bba_ef7b4f7e,1292229,0,49.0,67.0,142.0,0.7817742,4.6799483,0.7777778,2.5434792,68.92444,0
6bba_ef7b4f7e,1292230,0,23.0,84.0,248.0,0.775977,3.6167917,0.36507937,2.5434792,68.92444,1
6bba_ef7b4f7e,1292231,0,12.0,104.0,211.0,0.65609014,5.2802725,0.1904762,2.5434792,68.92444,0
6bba_ef7b4f7e,1292232,0,5.0,159.0,61.0,0.69666064,4.516793,0.07936508,2.5401762,68.65625,0
6bba_ef7b4f7e,1292233,0,16.0,153.0,24.0,0.6959877,3.171114,0.25396827,2.493,64.90161,0
