dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_f1fde7e0,1299755,0,20.0,186.0,113.0,1.5619065,3.732279,0.31746033,2.5401762,68.65625,0
6bba_f1fde7e0,1299756,0,34.0,176.0,63.0,1.2910577,2.8312442,0.53968257,2.5302145,67.851685,0
6bba_f1fde7e0,1299757,0,20.0,198.0,20.0,1.4710425,2.760746,0.31746033,2.5401762,68.65625,1
6bba_f1fde7e0,1299758,0,27.0,244.0,224.0,1.3846856,3.6931646,0.42857143,2.5401762,68.65625,0
6bba_f1fde7e0,1299759,0,25.0,32.0,43.0,1.4272864,2.7097926,0.3968254,2.5434792,68.92444,0
6bba_f1fde7e0,1299760,0,20.0,204.0,27.0,1.410481,2.4498022,0.31746033,2.5401762,68.65625,1
6bba_f1fde7e0,1299761,0,24.0,53.0,82.0,1.4004846,3.160899,0.3809524,2.5401762,68.65625,0
6bba_f1fde7e0,1299762,0,22.0,110.0,111.0,1.3577298,3.0376856,0.34920636,2.5401762,68.65625,0
6bba_f1fde7e0,1299763,0,19.0,255.0,53.0,1.2688481,2.8213232,0.3015873,2.1396742,41.032837,0
6bba_f1fde7e0,1299764,0,20.0,224.0,143.0,1.3193426,2.3204026,0.31746033,2.5401762,68.65625,0
6bba_f1fde7e0,1299765,0,26.0,5.0,84.0,1.3218272,3.5683389,0.41269842,2.5401762,68.65625,0
6bba_f1fde7e0,1299766,0,22.0,83.0,102.0,1.2889583,2.6405547,0.34920636,2.5434792,68.92444,0
6bba_f1fde7e0,1299767,0,20.0,165.0,67.0,1.3755174,2.0665598,0.31746033,2.5401762,68.65625,0
6bba_f1fde7e0,1299768,0,24.0,57.0,152.0,1.2548903,2.5225718,0.3809524,2.5401762,68.65625,0
6bba_f1fde7e0,1299769,0,29.0,195.0,253.0,1.2166734,3.4136674,0.46031746,2.4687274,63.024292,0
6bba_f1fde7e0,1299770,0,37.0,11.0,39.0,1.1797193,2.5447867,0.5873016,2.5434792,68.92444,0
6bba_f1fde7e0,1299771,0,25.0,91.0,72.0,1.27601,2.7800796,0.3968254,2.5434792,68.92444,0
6bba_f1fde7e0,1299772,0,23.0,91.0,140.0,1.2111725,2.6764493,0.36507937,2.5401762,68.65625,0
6bba_f1fde7e0,1299773,0,21.0,232.0,8.0,1.2998118,2.9803927,0.33333334,2.5434792,68.92444,0
6bba_f1fde7e0,1299774,0,26.0,10.0,110.0,1.1814238,2.8278737,0.41269842,2.5401762,68.65625,0
6bba_f1fde7e0,1299775,0,25.0,55.0,0.0,1.3568656,2.1630967,0.3968254,2.1396742,41.032837,1
6bba_f1fde7e0,1299776,0,27.0,35.0,162.0,1.2288495,3.1205478,0.42857143,2.5434792,68.92444,0
6bba_f1fde7e0,1299777,0,26.0,20.0,7.0,1.2263792,2.990959,0.41269842,2.5401762,68.65625,0
6bba_f1fde7e0,1299778,0,26.0,98.0,11.0,1.2895073,3.0569887,0.41269842,2.5434792,68.92444,0
6bba_f1fde7e0,1299779,0,26.0,183.0,208.0,1.2259072,2.5239053,0.41269842,2.5434792,68.92444,0
6bba_f1fde7e0,1299780,0,28.0,12.0,145.0,1.205115,2.6767776,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299781,0,24.0,92.0,162.0,1.2186507,2.8091977,0.3809524,2.5401762,68.65625,0
6bba_f1fde7e0,1299782,0,21.0,162.0,113.0,1.3026962,2.1160984,0.33333334,2.5401762,68.65625,1
6bba_f1fde7e0,1299783,0,23.0,137.0,15.0,1.2996819,2.601694,0.36507937,2.5401762,68.65625,0
6bba_f1fde7e0,1299784,0,21.0,180.0,11.0,1.2257822,3.1924598,0.33333334,2.5434792,68.92444,0
6bba_f1fde7e0,1299785,0,26.0,4.0,23.0,1.3226122,2.581264,0.41269842,2.5434792,68.92444,0
6bba_f1fde7e0,1299786,0,24.0,65.0,131.0,1.2083364,2.7620711,0.3809524,2.5368643,68.38806,0
6bba_f1fde7e0,1299787,0,35.0,253.0,83.0,0.9599429,1.6025833,0.5555556,2.3816502,56.58777,1
6bba_f1fde7e0,1299788,0,20.0,215.0,69.0,1.2278816,2.114571,0.31746033,2.5401762,68.65625,0
6bba_f1fde7e0,1299789,0,28.0,111.0,168.0,1.1920561,2.6974635,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299790,0,21.0,150.0,118.0,1.235138,1.7828412,0.33333334,2.5434792,68.92444,1
6bba_f1fde7e0,1299791,0,21.0,169.0,136.0,1.2627488,2.2372293,0.33333334,2.5401762,68.65625,1
6bba_f1fde7e0,1299792,0,26.0,43.0,0.0,1.2744774,2.0336058,0.41269842,2.1396742,41.032837,1
6bba_f1fde7e0,1299793,0,22.0,159.0,154.0,1.1795315,2.35985,0.34920636,2.5401762,68.65625,0
6bba_f1fde7e0,1299794,0,35.0,60.0,55.0,1.0986352,2.6798892,0.5555556,2.5401762,68.65625,1
6bba_f1fde7e0,1299795,0,22.0,114.0,32.0,1.2333709,2.4763806,0.34920636,2.5368643,68.38806,0
6bba_f1fde7e0,1299796,0,31.0,66.0,234.0,1.0321605,3.1276646,0.4920635,2.5434792,68.92444,0
6bba_f1fde7e0,1299797,0,34.0,167.0,136.0,1.0888023,1.9463791,0.53968257,2.5401762,68.65625,1
6bba_f1fde7e0,1299798,0,24.0,12.0,54.0,1.1615802,2.0224884,0.3809524,2.5401762,68.65625,0
6bba_f1fde7e0,1299799,0,28.0,220.0,39.0,1.1358281,3.721184,0.44444445,2.5134354,66.51074,0
6bba_f1fde7e0,1299800,0,21.0,227.0,121.0,1.1810099,2.07894,0.33333334,2.5401762,68.65625,0
6bba_f1fde7e0,1299801,0,25.0,120.0,0.0,1.2709751,2.4343207,0.3968254,2.1396742,41.032837,0
6bba_f1fde7e0,1299802,0,20.0,210.0,95.0,1.1106828,2.272627,0.31746033,2.5401762,68.65625,0
6bba_f1fde7e0,1299803,0,34.0,255.0,122.0,1.0291893,2.417569,0.53968257,2.1396742,41.032837,0
6bba_f1fde7e0,1299804,0,35.0,74.0,9.0,1.0039912,2.3240974,0.5555556,2.5401762,68.65625,0
6bba_f1fde7e0,1299805,0,27.0,233.0,163.0,1.2021873,3.1774547,0.42857143,2.5434792,68.92444,0
6bba_f1fde7e0,1299806,0,36.0,134.0,3.0,0.92147017,1.5017095,0.5714286,2.4617038,62.487915,0
6bba_f1fde7e0,1299807,0,25.0,136.0,197.0,1.100489,2.1305285,0.3968254,2.5434792,68.92444,0
6bba_f1fde7e0,1299808,0,19.0,153.0,88.0,1.0930687,1.9581162,0.3015873,2.5368643,68.38806,0
6bba_f1fde7e0,1299809,0,23.0,56.0,108.0,1.0849068,2.38848,0.36507937,2.499849,65.43799,0
6bba_f1fde7e0,1299810,0,24.0,34.0,100.0,1.0529865,2.269246,0.3809524,2.5401762,68.65625,0
6bba_f1fde7e0,1299811,0,28.0,168.0,250.0,1.0455133,3.3138206,0.44444445,2.5401762,68.65625,0
6bba_f1fde7e0,1299812,0,27.0,142.0,239.0,1.0405824,2.1419609,0.42857143,2.5434792,68.92444,1
6bba_f1fde7e0,1299813,0,29.0,125.0,96.0,1.1140826,2.3377233,0.46031746,2.5434792,68.92444,0
6bba_f1fde7e0,1299814,0,28.0,243.0,255.0,1.0065986,4.042053,0.44444445,2.1350024,40.76465,0
6bba_f1fde7e0,1299815,0,31.0,19.0,211.0,1.001208,2.7826521,0.4920635,2.5434792,68.92444,0
6bba_f1fde7e0,1299816,0,26.0,32.0,128.0,1.0427011,2.187652,0.41269842,2.5401762,68.65625,0
6bba_f1fde7e0,1299817,0,30.0,42.0,214.0,0.9994216,2.482826,0.47619048,2.5434792,68.92444,0
6bba_f1fde7e0,1299818,0,22.0,65.0,58.0,1.0715301,2.168351,0.34920636,2.5401762,68.65625,1
6bba_f1fde7e0,1299819,0,24.0,87.0,40.0,1.0536318,2.8680258,0.3809524,2.5434792,68.92444,0
6bba_f1fde7e0,1299820,0,23.0,184.0,167.0,1.066397,2.2911575,0.36507937,2.5434792,68.92444,0
6bba_f1fde7e0,1299821,0,25.0,137.0,165.0,1.0231271,2.5816119,0.3968254,2.5434792,68.92444,0
6bba_f1fde7e0,1299822,0,28.0,108.0,226.0,0.95497185,2.4851964,0.44444445,2.5401762,68.65625,0
6bba_f1fde7e0,1299823,0,31.0,182.0,235.0,0.9482931,2.2250564,0.4920635,2.5434792,68.92444,0
6bba_f1fde7e0,1299824,0,29.0,211.0,223.0,0.99419224,2.299637,0.46031746,2.5434792,68.92444,0
6bba_f1fde7e0,1299825,0,30.0,141.0,248.0,0.977647,1.9229715,0.47619048,2.5401762,68.65625,1
6bba_f1fde7e0,1299826,0,23.0,197.0,141.0,1.0665992,1.8520991,0.36507937,2.5434792,68.92444,1
6bba_f1fde7e0,1299827,0,26.0,195.0,145.0,1.0921297,2.1268322,0.41269842,2.5434792,68.92444,1
6bba_f1fde7e0,1299828,0,35.0,0.0,243.0,0.81618196,2.7793052,0.5555556,2.1350024,40.76465,0
6bba_f1fde7e0,1299829,0,28.0,71.0,214.0,0.9885535,2.370505,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299830,0,20.0,190.0,58.0,1.050675,1.7968867,0.31746033,2.5434792,68.92444,0
6bba_f1fde7e0,1299831,0,26.0,248.0,90.0,1.1023622,2.2361288,0.41269842,2.5434792,68.92444,1
6bba_f1fde7e0,1299832,0,28.0,130.0,34.0,1.1596107,2.1389062,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299833,0,26.0,255.0,181.0,1.0976897,1.9777507,0.41269842,2.1396742,41.032837,0
6bba_f1fde7e0,1299834,0,23.0,115.0,137.0,0.9511726,2.165579,0.36507937,2.5368643,68.38806,0
6bba_f1fde7e0,1299835,1,33.0,174.0,63.0,1.345865,2.719644,0.52380955,2.5401762,68.65625,1
6bba_f1fde7e0,1299836,1,33.0,174.0,58.0,1.3986064,2.9842896,0.52380955,2.5401762,68.65625,1
6bba_f1fde7e0,1299837,1,33.0,164.0,132.0,1.3877578,2.6837542,0.52380955,2.5434792,68.92444,1
6bba_f1fde7e0,1299838,1,25.0,28.0,36.0,1.4382265,2.6361985,0.3968254,2.5434792,68.92444,0
6bba_f1fde7e0,1299839,1,20.0,229.0,0.0,1.4367223,2.621619,0.31746033,2.1350024,40.76465,0
6bba_f1fde7e0,1299840,1,23.0,85.0,132.0,1.348812,3.2955647,0.36507937,2.5434792,68.92444,0
6bba_f1fde7e0,1299841,1,19.0,251.0,48.0,1.377506,2.9340067,0.3015873,2.5434792,68.92444,0
6bba_f1fde7e0,1299842,1,26.0,238.0,217.0,1.3257228,3.4647393,0.41269842,2.5434792,68.92444,0
6bba_f1fde7e0,1299843,1,20.0,162.0,62.0,1.4667954,2.27813,0.31746033,2.5401762,68.65625,0
6bba_f1fde7e0,1299844,1,19.0,187.0,110.0,1.3300035,2.5309956,0.3015873,2.5434792,68.92444,0
6bba_f1fde7e0,1299845,1,19.0,196.0,16.0,1.324283,2.5966072,0.3015873,2.5401762,68.65625,0
6bba_f1fde7e0,1299846,1,36.0,8.0,30.0,1.2784803,3.1392918,0.5714286,2.5434792,68.92444,0
6bba_f1fde7e0,1299847,1,21.0,78.0,96.0,1.3150426,2.4206858,0.33333334,2.5401762,68.65625,0
6bba_f1fde7e0,1299848,1,26.0,2.0,77.0,1.3010511,3.418576,0.41269842,2.4617038,62.487915,0
6bba_f1fde7e0,1299849,1,26.0,6.0,103.0,1.2815716,3.3033874,0.41269842,2.5401762,68.65625,0
6bba_f1fde7e0,1299850,1,22.0,106.0,106.0,1.3243746,2.837953,0.34920636,2.5401762,68.65625,0
6bba_f1fde7e0,1299851,1,24.0,49.0,74.0,1.3067266,2.8813355,0.3809524,2.5434792,68.92444,0
6bba_f1fde7e0,1299852,1,26.0,95.0,7.0,1.3805783,3.7316422,0.41269842,2.5434792,68.92444,0
6bba_f1fde7e0,1299853,1,28.0,190.0,246.0,1.2387062,3.764987,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299854,1,24.0,60.0,124.0,1.2638323,3.0418048,0.3809524,2.5401762,68.65625,0
6bba_f1fde7e0,1299855,1,23.0,133.0,9.0,1.337111,3.121658,0.36507937,2.5401762,68.65625,0
6bba_f1fde7e0,1299856,1,26.0,88.0,66.0,1.3049979,2.5409539,0.41269842,2.5434792,68.92444,0
6bba_f1fde7e0,1299857,1,27.0,108.0,162.0,1.2571919,2.9567156,0.42857143,2.5434792,68.92444,0
6bba_f1fde7e0,1299858,1,28.0,9.0,140.0,1.228936,2.814927,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299859,1,25.0,18.0,0.0,1.1970395,2.932183,0.3968254,2.1350024,40.76465,0
6bba_f1fde7e0,1299860,1,27.0,29.0,155.0,1.2242364,2.8799517,0.42857143,2.5434792,68.92444,0
6bba_f1fde7e0,1299861,1,23.0,54.0,147.0,1.1927012,2.2640417,0.36507937,2.5401762,68.65625,0
6bba_f1fde7e0,1299862,1,19.0,220.0,138.0,1.1750436,2.124906,0.3015873,2.5401762,68.65625,0
6bba_f1fde7e0,1299863,1,21.0,157.0,106.0,1.2906773,2.1622021,0.33333334,2.5368643,68.38806,1
6bba_f1fde7e0,1299864,1,24.0,179.0,200.0,1.1974107,2.3706672,0.3809524,2.5434792,68.92444,0
6bba_f1fde7e0,1299865,1,24.0,87.0,156.0,1.1898122,2.8401191,0.3809524,2.5434792,68.92444,0
6bba_f1fde7e0,1299866,1,24.0,133.0,190.0,1.1966016,2.1211653,0.3809524,2.5434792,68.92444,0
6bba_f1fde7e0,1299867,1,25.0,134.0,159.0,1.1586044,2.903378,0.3968254,2.5434792,68.92444,0
6bba_f1fde7e0,1299868,1,32.0,195.0,187.0,1.0003799,2.2571738,0.50793654,2.5235295,67.31531,0
6bba_f1fde7e0,1299869,1,20.0,175.0,7.0,1.195417,2.5605235,0.31746033,2.5401762,68.65625,1
6bba_f1fde7e0,1299870,1,20.0,224.0,113.0,1.1473559,2.322826,0.31746033,2.5401762,68.65625,0
6bba_f1fde7e0,1299871,1,27.0,214.0,32.0,1.1253743,3.2560084,0.42857143,2.5302145,67.851685,0
6bba_f1fde7e0,1299872,1,26.0,139.0,232.0,1.1162782,2.3118885,0.41269842,2.5434792,68.92444,1
6bba_f1fde7e0,1299873,1,30.0,39.0,206.0,1.0765957,2.6919558,0.47619048,2.5434792,68.92444,0
6bba_f1fde7e0,1299874,1,30.0,61.0,227.0,1.0414925,3.0661538,0.47619048,2.5434792,68.92444,0
6bba_f1fde7e0,1299875,1,21.0,156.0,147.0,1.1598418,2.0968204,0.33333334,2.5401762,68.65625,0
6bba_f1fde7e0,1299876,1,20.0,204.0,89.0,1.125225,2.310531,0.31746033,2.5434792,68.92444,0
6bba_f1fde7e0,1299877,1,24.0,50.0,0.0,1.1019119,2.8170712,0.3809524,2.1396742,41.032837,0
6bba_f1fde7e0,1299878,1,20.0,226.0,45.0,1.1563604,2.1556394,0.31746033,2.5401762,68.65625,1
6bba_f1fde7e0,1299879,1,28.0,101.0,222.0,1.0313274,2.7497826,0.44444445,2.5401762,68.65625,0
6bba_f1fde7e0,1299880,1,26.0,0.0,14.0,1.205063,2.0144138,0.41269842,2.1350024,40.76465,0
6bba_f1fde7e0,1299881,1,26.0,244.0,84.0,1.2007813,2.8542078,0.41269842,2.5434792,68.92444,0
6bba_f1fde7e0,1299882,1,20.0,211.0,65.0,1.1716442,1.8549746,0.31746033,2.5401762,68.65625,1
6bba_f1fde7e0,1299883,1,22.0,113.0,27.0,1.1888924,2.6106822,0.34920636,2.5434792,68.92444,0
6bba_f1fde7e0,1299884,1,20.0,144.0,112.0,1.1666603,1.5789735,0.31746033,2.5401762,68.65625,1
6bba_f1fde7e0,1299885,1,33.0,32.0,13.0,1.0188127,2.9414933,0.52380955,2.5168092,66.77893,0
6bba_f1fde7e0,1299886,1,24.0,10.0,47.0,1.1187388,2.043306,0.3809524,2.5401762,68.65625,0
6bba_f1fde7e0,1299887,1,20.0,168.0,33.0,1.1529946,2.1079106,0.31746033,2.5401762,68.65625,2
6bba_f1fde7e0,1299888,1,28.0,130.0,26.0,1.196592,2.4919424,0.44444445,2.5401762,68.65625,1
6bba_f1fde7e0,1299889,1,25.0,26.0,121.0,1.0585914,2.4439228,0.3968254,2.5401762,68.65625,0
6bba_f1fde7e0,1299890,1,27.0,214.0,57.0,1.2322153,2.3857818,0.42857143,2.5401762,68.65625,1
6bba_f1fde7e0,1299891,1,29.0,138.0,243.0,1.0474104,1.9674623,0.46031746,2.5434792,68.92444,1
6bba_f1fde7e0,1299892,1,19.0,149.0,84.0,1.1096911,1.9258579,0.3015873,2.5401762,68.65625,0
6bba_f1fde7e0,1299893,1,35.0,57.0,47.0,1.0128465,2.5559638,0.5555556,2.5434792,68.92444,1
6bba_f1fde7e0,1299894,1,31.0,179.0,229.0,0.97363585,2.2174904,0.4920635,2.5434792,68.92444,0
6bba_f1fde7e0,1299895,1,28.0,149.0,57.0,1.1898266,2.0224514,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299896,1,28.0,243.0,247.0,1.0394604,3.873667,0.44444445,2.5134354,66.51074,0
6bba_f1fde7e0,1299897,1,23.0,30.0,95.0,1.052765,2.0613687,0.36507937,2.5401762,68.65625,0
6bba_f1fde7e0,1299898,1,27.0,164.0,245.0,1.0126154,2.9170668,0.42857143,2.5401762,68.65625,0
6bba_f1fde7e0,1299899,1,21.0,165.0,129.0,1.1948392,1.7148145,0.33333334,2.5401762,68.65625,1
6bba_f1fde7e0,1299900,1,22.0,182.0,160.0,1.09981,2.1167889,0.34920636,2.5401762,68.65625,0
6bba_f1fde7e0,1299901,1,22.0,61.0,53.0,1.0595546,2.2652621,0.34920636,2.5401762,68.65625,1
6bba_f1fde7e0,1299902,1,23.0,52.0,101.0,1.0809343,2.2760084,0.36507937,2.4791882,63.828857,1
6bba_f1fde7e0,1299903,1,32.0,228.0,49.0,0.9101419,1.4642898,0.50793654,2.499849,65.43799,1
6bba_f1fde7e0,1299904,1,34.0,169.0,31.0,0.91754776,1.4180013,0.53968257,2.4652207,62.756104,2
6bba_f1fde7e0,1299905,1,25.0,68.0,159.0,1.052192,2.259333,0.3968254,2.5434792,68.92444,0
6bba_f1fde7e0,1299906,1,22.0,193.0,134.0,1.0823933,2.0232031,0.34920636,2.5434792,68.92444,0
6bba_f1fde7e0,1299907,1,27.0,128.0,127.0,1.0315778,2.5160022,0.42857143,2.5434792,68.92444,0
6bba_f1fde7e0,1299908,1,27.0,124.0,60.0,1.0555434,2.3371537,0.42857143,2.5434792,68.92444,0
6bba_f1fde7e0,1299909,1,20.0,188.0,50.0,1.0669507,1.8495938,0.31746033,2.5434792,68.92444,0
6bba_f1fde7e0,1299910,1,32.0,84.0,255.0,0.88807946,3.087166,0.50793654,2.1396742,41.032837,0
6bba_f1fde7e0,1299911,1,27.0,230.0,158.0,1.091109,2.8904397,0.42857143,2.5434792,68.92444,0
6bba_f1fde7e0,1299912,1,27.0,221.0,235.0,0.96909505,3.0604775,0.42857143,2.5434792,68.92444,0
6bba_f1fde7e0,1299913,1,28.0,208.0,216.0,1.0099478,2.3210857,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299914,1,24.0,85.0,33.0,1.0373899,2.5416348,0.3809524,2.5434792,68.92444,0
6bba_f1fde7e0,1299915,1,22.0,112.0,132.0,0.976655,1.9080651,0.34920636,2.5401762,68.65625,0
6bba_f1fde7e0,1299916,1,33.0,53.0,255.0,0.83254474,3.8197446,0.52380955,2.1350024,40.76465,0
6bba_f1fde7e0,1299917,1,36.0,51.0,97.0,0.88789046,1.8705975,0.5714286,2.5401762,68.65625,1
6bba_f1fde7e0,1299918,1,29.0,215.0,255.0,0.94021726,3.574757,0.46031746,2.1396742,41.032837,0
6bba_f1fde7e0,1299919,1,23.0,162.0,196.0,1.0158705,1.8352377,0.36507937,2.5434792,68.92444,0
6bba_f1fde7e0,1299920,1,19.0,255.0,0.0,0.9489207,2.3417861,0.3015873,1.7994134,24.405151,0
6bba_f1fde7e0,1299921,1,17.0,244.0,17.0,0.9689217,1.9315654,0.26984128,2.5235295,67.31531,0
6bba_f1fde7e0,1299922,1,23.0,244.0,174.0,1.050107,2.0140991,0.36507937,2.5434792,68.92444,0
6bba_f1fde7e0,1299923,1,27.0,117.0,0.0,1.089472,2.2596922,0.42857143,2.1396742,41.032837,0
6bba_f1fde7e0,1299924,1,33.0,253.0,115.0,0.97332394,2.2116094,0.52380955,2.4652207,62.756104,0
6bba_f1fde7e0,1299925,1,28.0,67.0,208.0,0.972639,2.2971578,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299926,1,26.0,136.0,207.0,1.013771,2.0301,0.41269842,2.5434792,68.92444,0
6bba_f1fde7e0,1299927,1,28.0,123.0,89.0,1.0535836,2.0426369,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299928,1,30.0,16.0,206.0,0.9187082,2.4010282,0.47619048,2.5434792,68.92444,0
6bba_f1fde7e0,1299929,1,39.0,75.0,245.0,0.66013354,1.9676303,0.61904764,2.4617038,62.487915,0
6bba_f1fde7e0,1299930,1,28.0,176.0,19.0,1.0699458,1.7667553,0.44444445,2.5066607,65.974365,1
6bba_f1fde7e0,1299931,1,28.0,154.0,20.0,0.96014345,2.6722102,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299932,1,19.0,137.0,35.0,1.0279328,1.592073,0.3015873,2.5401762,68.65625,1
6bba_f1fde7e0,1299933,1,28.0,22.0,178.0,0.9327158,1.977607,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299934,1,27.0,178.0,39.0,1.0800049,1.7265329,0.42857143,2.5201738,67.04712,2
6bba_f1fde7e0,1299935,1,34.0,128.0,172.0,0.8989897,1.483559,0.53968257,2.5100527,66.24255,0
6bba_f1fde7e0,1299936,1,35.0,71.0,0.0,0.8527657,1.6911006,0.5555556,2.1396742,41.032837,0
6bba_f1fde7e0,1299937,2,20.0,190.0,110.0,1.5362604,3.8764625,0.31746033,2.5434792,68.92444,0
6bba_f1fde7e0,1299938,2,23.0,81.0,127.0,1.5000592,3.817599,0.36507937,2.5401762,68.65625,0
6bba_f1fde7e0,1299939,2,19.0,246.0,44.0,1.5103109,3.1604297,0.3015873,2.5434792,68.92444,0
6bba_f1fde7e0,1299940,2,20.0,169.0,96.0,1.4000319,3.743837,0.31746033,2.5434792,68.92444,0
6bba_f1fde7e0,1299941,2,25.0,234.0,211.0,1.3809153,3.308753,0.3968254,2.5434792,68.92444,0
6bba_f1fde7e0,1299942,2,27.0,90.0,0.0,1.4159917,2.803602,0.42857143,2.1396742,41.032837,0
6bba_f1fde7e0,1299943,2,25.0,22.0,30.0,1.3762974,2.5656376,0.3968254,2.5401762,68.65625,0
6bba_f1fde7e0,1299944,2,24.0,43.0,69.0,1.30507,3.1067998,0.3809524,2.5434792,68.92444,0
6bba_f1fde7e0,1299945,2,33.0,169.0,59.0,1.1509385,2.3629456,0.52380955,2.5335438,68.11987,1
6bba_f1fde7e0,1299946,2,33.0,171.0,50.0,1.1659524,2.2498686,0.52380955,2.5335438,68.11987,1
6bba_f1fde7e0,1299947,2,22.0,103.0,102.0,1.2949196,2.8651161,0.34920636,2.5434792,68.92444,0
6bba_f1fde7e0,1299948,2,35.0,51.0,44.0,1.2019466,3.2034743,0.5555556,2.5434792,68.92444,1
6bba_f1fde7e0,1299949,2,28.0,189.0,243.0,1.2316085,3.851574,0.44444445,2.5434792,68.92444,0
6bba_f1fde7e0,1299950,2,36.0,47.0,95.0,1.2124391,2.457215,0.5714286,2.5401762,68.65625,1
6bba_f1fde7e0,1299951,2,24.0,47.0,140.0,1.2611068,2.6938894,0.3809524,2.5434792,68.92444,0
6bba_f1fde7e0,1299952,2,20.0,154.0,54.0,1.373418,2.1093214,0.31746033,2.5434792,68.92444,0
6bba_f1fde7e0,1299953,2,20.0,200.0,23.0,1.2416483,2.6150894,0.31746033,2.5401762,68.65625,2
6bba_f1fde7e0,1299954,2,20.0,200.0,85.0,1.2508792,2.9157891,0.31746033,2.5434792,68.92444,0
6bba_f1fde7e0,1299955,2,20.0,150.0,106.0,1.3632048,1.9326003,0.31746033,2.5401762,68.65625,0
6bba_f1fde7e0,1299956,2,23.0,83.0,153.0,1.2397704,2.7963393,0.36507937,2.5434792,68.92444,0
6bba_f1fde7e0,1299957,2,24.0,56.0,120.0,1.2929549,2.9128075,0.3809524,2.5401762,68.65625,0
6bba_f1fde7e0,1299958,2,26.0,0.0,97.0,1.2073117,3.0871863,0.41269842,2.13031,40.49646,0
6bba_f1fde7e0,1299959,2,20.0,225.0,0.0,1.289255,2.4290946,0.31746033,2.1396742,41.032837,0
6bba_f1fde7e0,1299960,2,19.0,217.0,134.0,1.2158722,2.0955758,0.3015873,2.5401762,68.65625,0
6bba_f1fde7e0,1299961,2,24.0,130.0,186.0,1.2606397,2.3162112,0.3809524,2.5434792,68.92444,0
6bba_f1fde7e0,1299962,2,20.0,172.0,0.0,1.2140411,2.801714,0.31746033,2.1350024,40.76465,0
6bba_f1fde7e0,1299963,2,19.0,255.0,69.0,1.1777,2.6810172,0.3015873,2.1396742,41.032837,0
6bba_f1fde7e0,1299964,2,28.0,122.0,25.0,1.3505744,2.6281188,0.44444445,2.5401762,68.65625,1
6bba_f1fde7e0,1299965,2,27.0,2.0,134.0,1.2106544,2.479121,0.42857143,2.4687274,63.024292,0
