dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_97725144,0,0,25.0,46.0,15.0,0.6503143,4.3344893,0.3968254,2.5434792,68.92444,0
44b6_97725144,1,0,13.0,90.0,73.0,0.69201195,2.9700158,0.20634921,2.5434792,68.92444,0
44b6_97725144,2,0,8.0,44.0,29.0,0.6243505,2.8210704,0.12698413,2.5434792,68.92444,0
44b6_97725144,3,0,17.0,118.0,169.0,0.7074378,3.1440814,0.26984128,2.5434792,68.92444,0
44b6_97725144,4,0,17.0,30.0,0.0,0.5212481,3.994208,0.26984128,2.1396742,41.032837,1
44b6_97725144,5,0,10.0,40.0,107.0,0.61880887,2.1083794,0.15873016,2.5434792,68.92444,0
44b6_97725144,6,0,27.0,74.0,33.0,0.5744546,2.7632465,0.42857143,2.5434792,68.92444,1
44b6_97725144,7,0,35.0,112.0,127.0,0.60108095,2.8649044,0.5555556,2.5434792,68.92444,0
44b6_97725144,8,0,18.0,52.0,147.0,0.68366045,3.22175,0.2857143,2.5434792,68.92444,0
44b6_97725144,9,0,19.0,118.0,125.0,0.54775894,3.375086,0.3015873,2.5434792,68.92444,1
44b6_97725144,10,0,27.0,83.0,59.0,0.62326264,3.411109,0.42857143,2.5434792,68.92444,0
44b6_97725144,11,0,13.0,64.0,26.0,0.49643254,2.772928,0.20634921,2.5401762,68.65625,0
44b6_97725144,12,0,17.0,105.0,89.0,0.5611894,2.753809,0.26984128,2.5401762,68.65625,0
44b6_97725144,13,0,10.0,7.0,63.0,0.5256419,3.1300857,0.15873016,2.5434792,68.92444,0
44b6_97725144,14,0,11.0,72.0,56.0,0.508225,2.365226,0.17460318,2.5434792,68.92444,0
44b6_97725144,15,0,30.0,60.0,32.0,0.5143107,2.8406024,0.47619048,2.5434792,68.92444,1
44b6_97725144,16,0,13.0,33.0,38.0,0.5636357,2.142098,0.20634921,2.5434792,68.92444,0
44b6_97725144,17,0,15.0,102.0,141.0,0.58852357,2.448689,0.23809524,2.5434792,68.92444,0
44b6_97725144,18,0,52.0,86.0,136.0,0.59080905,2.7844884,0.82539684,2.5434792,68.92444,1
44b6_97725144,19,0,18.0,58.0,93.0,0.56732756,2.6199462,0.2857143,2.5434792,68.92444,0
44b6_97725144,20,0,18.0,86.0,179.0,0.59464514,2.5968437,0.2857143,2.5401762,68.65625,0
44b6_97725144,21,0,28.0,126.0,144.0,0.518219,3.6898708,0.44444445,2.5434792,68.92444,0
44b6_97725144,22,0,6.0,0.0,23.0,0.5009197,2.7432425,0.0952381,2.1396742,41.032837,0
44b6_97725144,23,0,56.0,104.0,249.0,0.57813746,2.6420772,0.8888889,2.5434792,68.92444,1
44b6_97725144,24,0,14.0,32.0,146.0,0.5165105,2.6007988,0.22222222,2.5434792,68.92444,1
44b6_97725144,25,0,12.0,0.0,112.0,0.506417,2.3918777,0.1904762,2.1396742,41.032837,1
44b6_97725144,26,0,54.0,59.0,111.0,0.5627251,2.837728,0.85714287,2.5434792,68.92444,0
44b6_97725144,27,0,8.0,20.0,93.0,0.46995935,2.5290117,0.12698413,2.5401762,68.65625,0
44b6_97725144,28,0,33.0,124.0,201.0,0.51843536,3.7649536,0.52380955,2.5434792,68.92444,1
