dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_d754aa59,0,0,10.0,129.0,118.0,0.99291414,6.0939317,0.15873016,2.5434792,68.92444,0
44b6_d754aa59,1,0,21.0,104.0,143.0,0.85482967,6.848212,0.33333334,2.5434792,68.92444,0
44b6_d754aa59,2,0,10.0,65.0,117.0,0.8412315,5.322892,0.15873016,2.5434792,68.92444,0
44b6_d754aa59,3,0,28.0,81.0,155.0,0.82632947,5.3396945,0.44444445,2.5434792,68.92444,0
44b6_d754aa59,4,0,0.0,139.0,97.0,0.87680316,5.0645947,0.0,2.1350024,40.76465,0
44b6_d754aa59,5,0,17.0,227.0,130.0,0.99815685,5.5581183,0.26984128,2.5434792,68.92444,0
44b6_d754aa59,6,0,22.0,138.0,146.0,1.0201105,5.2539353,0.34920636,2.5434792,68.92444,0
44b6_d754aa59,7,0,30.0,26.0,154.0,1.0119871,5.2294126,0.47619048,2.5434792,68.92444,0
44b6_d754aa59,8,0,18.0,48.0,134.0,0.72507346,5.344897,0.2857143,2.5434792,68.92444,0
44b6_d754aa59,9,0,28.0,228.0,154.0,1.0359001,5.030293,0.44444445,2.5434792,68.92444,0
44b6_d754aa59,10,0,38.0,95.0,173.0,0.8446924,5.842759,0.6031746,2.5434792,68.92444,0
44b6_d754aa59,11,0,23.0,185.0,150.0,0.8348624,5.7131534,0.36507937,2.5434792,68.92444,0
44b6_d754aa59,12,0,42.0,51.0,175.0,0.84136796,4.3170557,0.6666667,2.5434792,68.92444,0
44b6_d754aa59,13,0,34.0,196.0,167.0,0.8607551,4.7788415,0.53968257,2.5434792,68.92444,0
44b6_d754aa59,14,0,7.0,14.0,99.0,0.9213803,3.211531,0.11111111,2.5434792,68.92444,1
44b6_d754aa59,15,0,7.0,21.0,101.0,0.9506178,3.5495687,0.11111111,2.5401762,68.65625,1
44b6_d754aa59,16,0,38.0,243.0,171.0,0.9375247,4.6777296,0.6031746,2.5434792,68.92444,1
44b6_d754aa59,17,0,24.0,255.0,143.0,0.6414058,11.0051155,0.3809524,2.1396742,41.032837,0
44b6_d754aa59,18,0,48.0,177.0,190.0,0.7766537,4.944748,0.7619048,2.5434792,68.92444,0
44b6_d754aa59,19,0,50.0,22.0,184.0,1.0285617,6.2307515,0.7936508,2.5434792,68.92444,2
44b6_d754aa59,20,0,63.0,18.0,202.0,1.2900585,4.5678897,1.0,2.1396742,41.032837,1
44b6_d754aa59,21,0,52.0,208.0,194.0,0.78820395,6.574989,0.82539684,2.5434792,68.92444,1
44b6_d754aa59,22,0,39.0,20.0,166.0,1.1982933,5.520133,0.61904764,2.5434792,68.92444,2
44b6_d754aa59,23,0,34.0,0.0,165.0,1.0389175,4.8372984,0.53968257,2.1396742,41.032837,0
44b6_d754aa59,24,0,53.0,231.0,189.0,1.0593693,3.378215,0.84126985,2.5434792,68.92444,0
44b6_d754aa59,25,0,4.0,93.0,106.0,0.82708037,4.3667564,0.06349207,2.5434792,68.92444,0
44b6_d754aa59,26,0,53.0,96.0,193.0,1.0023414,4.663063,0.84126985,2.5434792,68.92444,1
44b6_d754aa59,27,0,16.0,182.0,134.0,0.71477914,3.684505,0.25396827,2.5434792,68.92444,0
44b6_d754aa59,28,0,47.0,144.0,190.0,0.99888724,3.4162471,0.74603176,2.5434792,68.92444,1
44b6_d754aa59,29,0,37.0,126.0,168.0,1.0128269,1.8289073,0.5873016,2.5434792,68.92444,1
44b6_d754aa59,30,0,1.0,170.0,103.0,0.9259349,2.4173355,0.015873017,2.3316977,53.10132,1
