dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_d78e09d9,0,0,55.0,110.0,182.0,1.033554,2.5888991,0.8730159,2.5434792,68.92444,1
44b6_d78e09d9,1,0,63.0,235.0,36.0,0.58267903,13.13505,1.0,2.1350024,40.76465,0
44b6_d78e09d9,2,0,34.0,88.0,68.0,0.9874159,2.9136295,0.53968257,2.5434792,68.92444,2
44b6_d78e09d9,3,0,43.0,98.0,96.0,0.99842936,2.7304487,0.6825397,2.5434792,68.92444,0
44b6_d78e09d9,4,0,51.0,134.0,75.0,0.9311666,2.6967738,0.8095238,2.5434792,68.92444,0
44b6_d78e09d9,5,0,38.0,141.0,53.0,0.82917815,4.6512194,0.6031746,2.5401762,68.65625,1
44b6_d78e09d9,6,0,24.0,64.0,84.0,1.0352745,3.703718,0.3809524,2.5434792,68.92444,0
44b6_d78e09d9,7,0,17.0,78.0,28.0,0.92534244,3.20053,0.26984128,2.5401762,68.65625,0
44b6_d78e09d9,8,0,49.0,148.0,66.0,0.81011444,2.7850697,0.7777778,2.5434792,68.92444,0
44b6_d78e09d9,9,0,42.0,97.0,136.0,0.9383711,4.696735,0.6666667,2.5401762,68.65625,1
44b6_d78e09d9,10,0,51.0,106.0,206.0,0.83905363,4.5747643,0.8095238,2.5434792,68.92444,0
44b6_d78e09d9,11,0,46.0,100.0,187.0,1.0481905,3.2241597,0.73015875,2.5434792,68.92444,1
44b6_d78e09d9,12,0,39.0,69.0,155.0,1.1203941,2.712104,0.61904764,2.5434792,68.92444,0
44b6_d78e09d9,13,0,0.0,60.0,34.0,0.8845821,2.8653214,0.0,2.1396742,41.032837,1
44b6_d78e09d9,14,0,18.0,76.0,127.0,0.9047857,3.6552706,0.2857143,2.5401762,68.65625,2
44b6_d78e09d9,15,0,25.0,32.0,169.0,1.0369514,3.330293,0.3968254,2.5434792,68.92444,0
44b6_d78e09d9,16,0,51.0,121.0,135.0,1.0110216,2.3495169,0.8095238,2.5434792,68.92444,0
44b6_d78e09d9,17,0,56.0,140.0,107.0,1.0076177,3.0924861,0.8888889,2.5434792,68.92444,2
44b6_d78e09d9,18,0,52.0,115.0,164.0,1.1139747,2.9135952,0.82539684,2.5434792,68.92444,1
44b6_d78e09d9,19,0,17.0,100.0,3.0,0.8464862,4.5724235,0.26984128,2.5168092,66.77893,1
44b6_d78e09d9,20,0,63.0,154.0,99.0,0.92116076,2.4564502,1.0,2.1396742,41.032837,2
44b6_d78e09d9,21,0,14.0,53.0,76.0,0.99758995,2.8902392,0.22222222,2.5434792,68.92444,1
44b6_d78e09d9,22,0,41.0,45.0,255.0,0.9714124,3.1743002,0.6507937,2.1396742,41.032837,1
44b6_d78e09d9,23,0,57.0,133.0,195.0,0.80773383,4.6364307,0.9047619,2.5434792,68.92444,1
44b6_d78e09d9,24,0,41.0,125.0,211.0,0.63465494,6.621447,0.6507937,2.5434792,68.92444,0
44b6_d78e09d9,25,0,33.0,75.0,110.0,0.968348,3.024457,0.52380955,2.5401762,68.65625,1
44b6_d78e09d9,26,0,48.0,88.0,165.0,0.8928303,3.5523295,0.7619048,2.5401762,68.65625,0
44b6_d78e09d9,27,0,37.0,141.0,10.0,0.7317965,4.0341144,0.5873016,2.5401762,68.65625,1
44b6_d78e09d9,28,0,18.0,78.0,95.0,0.96564376,2.9661844,0.2857143,2.5401762,68.65625,2
44b6_d78e09d9,29,0,37.0,76.0,130.0,0.99415684,2.794197,0.5873016,2.5401762,68.65625,2
44b6_d78e09d9,30,0,53.0,174.0,29.0,0.7470658,3.3092067,0.84126985,2.5401762,68.65625,1
44b6_d78e09d9,31,0,58.0,147.0,154.0,0.9216943,3.2019427,0.9206349,2.5401762,68.65625,0
44b6_d78e09d9,32,0,26.0,62.0,181.0,1.1350473,3.2598186,0.41269842,2.5434792,68.92444,1
44b6_d78e09d9,33,0,63.0,186.0,60.0,0.6250945,3.554864,1.0,2.1396742,41.032837,0
44b6_d78e09d9,34,0,17.0,120.0,20.0,0.76739925,2.9658134,0.26984128,2.5134354,66.51074,2
44b6_d78e09d9,35,0,63.0,175.0,74.0,0.75373685,3.0744786,1.0,2.1396742,41.032837,2
