dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_283bf9f1,0,0,23.0,164.0,125.0,1.1396748,3.3372462,0.36507937,2.5434792,68.92444,0
6bba_283bf9f1,1,0,0.0,107.0,96.0,0.9601203,7.805925,0.0,2.1396742,41.032837,0
6bba_283bf9f1,2,0,13.0,70.0,96.0,1.0170968,3.1960845,0.20634921,2.5434792,68.92444,0
6bba_283bf9f1,3,0,37.0,255.0,139.0,1.0628164,4.153255,0.5873016,2.1396742,41.032837,1
6bba_283bf9f1,4,0,10.0,79.0,153.0,1.1596096,3.719458,0.15873016,2.5434792,68.92444,0
6bba_283bf9f1,5,0,0.0,37.0,71.0,0.9914469,2.8978322,0.0,2.1396742,41.032837,0
6bba_283bf9f1,6,0,14.0,107.0,173.0,1.1056956,4.1395073,0.22222222,2.5434792,68.92444,0
6bba_283bf9f1,7,0,9.0,128.0,128.0,1.0366712,3.5838995,0.14285715,2.5434792,68.92444,0
6bba_283bf9f1,8,0,17.0,223.0,96.0,0.89112073,2.865588,0.26984128,2.5434792,68.92444,0
6bba_283bf9f1,9,0,33.0,104.0,166.0,1.0585386,3.6994214,0.52380955,2.5434792,68.92444,1
6bba_283bf9f1,10,0,12.0,39.0,131.0,1.175494,3.5429504,0.1904762,2.5434792,68.92444,0
6bba_283bf9f1,11,0,28.0,52.0,139.0,1.0703436,2.6543481,0.44444445,2.5434792,68.92444,1
6bba_283bf9f1,12,0,24.0,205.0,163.0,1.1129684,3.5617142,0.3809524,2.5434792,68.92444,0
6bba_283bf9f1,13,0,12.0,124.0,154.0,1.1234835,3.060714,0.1904762,2.5434792,68.92444,1
6bba_283bf9f1,14,0,45.0,226.0,168.0,1.0533881,3.5089476,0.71428573,2.5434792,68.92444,1
6bba_283bf9f1,15,0,52.0,11.0,225.0,1.1207672,4.116262,0.82539684,2.5434792,68.92444,0
6bba_283bf9f1,16,0,25.0,46.0,151.0,1.0936666,3.1275647,0.3968254,2.5434792,68.92444,1
6bba_283bf9f1,17,0,54.0,76.0,207.0,1.2268474,2.9657388,0.85714287,2.5434792,68.92444,1
6bba_283bf9f1,18,0,21.0,224.0,179.0,1.1029744,3.5537536,0.33333334,2.5434792,68.92444,0
6bba_283bf9f1,19,0,16.0,236.0,153.0,1.1072631,2.2730396,0.25396827,2.5434792,68.92444,0
6bba_283bf9f1,20,0,49.0,147.0,204.0,1.0114691,3.7671213,0.7777778,2.5434792,68.92444,0
6bba_283bf9f1,21,0,0.0,9.0,75.0,1.1763552,3.0900912,0.0,2.1396742,41.032837,2
6bba_283bf9f1,22,0,20.0,242.0,136.0,1.1128614,2.3265076,0.31746033,2.5434792,68.92444,1
6bba_283bf9f1,23,0,33.0,95.0,235.0,1.1610991,3.5135887,0.52380955,2.5434792,68.92444,0
6bba_283bf9f1,24,0,30.0,193.0,194.0,1.2132946,3.5791109,0.47619048,2.5434792,68.92444,0
6bba_283bf9f1,25,0,38.0,132.0,207.0,1.2690779,3.192204,0.6031746,2.5434792,68.92444,0
6bba_283bf9f1,26,0,30.0,72.0,211.0,1.3758495,3.3275,0.47619048,2.5434792,68.92444,0
6bba_283bf9f1,27,0,36.0,8.0,160.0,0.9742139,3.401376,0.5714286,2.5434792,68.92444,1
6bba_283bf9f1,28,0,18.0,152.0,175.0,1.0624526,3.1221588,0.2857143,2.5434792,68.92444,0
6bba_283bf9f1,29,0,29.0,163.0,213.0,1.1918848,3.846407,0.46031746,2.5434792,68.92444,0
6bba_283bf9f1,30,0,52.0,165.0,197.0,0.93461204,2.8762002,0.82539684,2.5434792,68.92444,1
6bba_283bf9f1,31,0,6.0,75.0,115.0,0.94170475,3.9096758,0.0952381,2.5401762,68.65625,1
6bba_283bf9f1,32,0,21.0,97.0,205.0,1.181842,3.6786964,0.33333334,2.5434792,68.92444,0
6bba_283bf9f1,33,0,32.0,142.0,177.0,1.0704945,4.0809793,0.50793654,2.5434792,68.92444,1
6bba_283bf9f1,34,0,12.0,24.0,174.0,1.0979552,2.7071767,0.1904762,2.5434792,68.92444,0
6bba_283bf9f1,35,0,19.0,105.0,143.0,1.1332003,2.856949,0.3015873,2.5434792,68.92444,1
6bba_283bf9f1,36,0,31.0,232.0,141.0,1.0375522,2.157121,0.4920635,2.5401762,68.65625,0
6bba_283bf9f1,37,0,22.0,10.0,191.0,1.1578181,4.155032,0.34920636,2.5434792,68.92444,1
6bba_283bf9f1,38,0,26.0,164.0,146.0,0.9826843,3.2611878,0.41269842,2.5434792,68.92444,0
6bba_283bf9f1,39,0,21.0,147.0,199.0,1.0734494,2.6989129,0.33333334,2.5434792,68.92444,0
6bba_283bf9f1,40,0,56.0,59.0,238.0,1.1962711,4.417902,0.8888889,2.5434792,68.92444,0
6bba_283bf9f1,41,0,23.0,195.0,134.0,0.80432296,4.301519,0.36507937,2.5434792,68.92444,0
6bba_283bf9f1,42,0,36.0,169.0,236.0,1.2167218,3.07771,0.5714286,2.5434792,68.92444,0
6bba_283bf9f1,43,0,37.0,118.0,236.0,1.209848,3.025956,0.5873016,2.5434792,68.92444,0
6bba_283bf9f1,44,0,43.0,226.0,245.0,0.97564507,3.7139478,0.6825397,2.5434792,68.92444,1
6bba_283bf9f1,45,0,40.0,218.0,193.0,1.1058853,3.2863905,0.63492066,2.5434792,68.92444,0
6bba_283bf9f1,46,0,25.0,56.0,210.0,1.1058075,2.1497467,0.3968254,2.5434792,68.92444,0
6bba_283bf9f1,47,0,22.0,180.0,180.0,1.012141,2.7220576,0.34920636,2.5434792,68.92444,0
6bba_283bf9f1,48,0,9.0,0.0,140.0,1.164523,2.9330513,0.14285715,2.1350024,40.76465,1
6bba_283bf9f1,49,0,41.0,90.0,199.0,1.0445818,4.3621593,0.6507937,2.5434792,68.92444,0
6bba_283bf9f1,50,0,44.0,136.0,240.0,1.1391245,3.220047,0.6984127,2.5434792,68.92444,0
6bba_283bf9f1,51,0,37.0,48.0,233.0,1.0271006,3.5327506,0.5873016,2.5434792,68.92444,0
6bba_283bf9f1,52,0,39.0,10.0,251.0,1.1131582,3.319292,0.61904764,2.5434792,68.92444,0
6bba_283bf9f1,53,0,57.0,35.0,237.0,1.0791938,4.559936,0.9047619,2.5434792,68.92444,0
6bba_283bf9f1,54,0,50.0,237.0,195.0,1.0452342,2.3907802,0.7936508,2.5434792,68.92444,0
6bba_283bf9f1,55,0,31.0,65.0,229.0,1.1177684,3.1765227,0.4920635,2.5434792,68.92444,0
6bba_283bf9f1,56,0,11.0,14.0,95.0,0.94701105,2.8092637,0.17460318,2.5434792,68.92444,0
6bba_283bf9f1,57,0,31.0,7.0,212.0,1.0575113,3.832025,0.4920635,2.5434792,68.92444,0
6bba_283bf9f1,58,0,7.0,84.0,95.0,0.7909503,2.2120917,0.11111111,2.5401762,68.65625,1
6bba_283bf9f1,59,0,17.0,132.0,147.0,0.9785123,1.9854592,0.26984128,2.5434792,68.92444,1
6bba_283bf9f1,60,0,11.0,73.0,131.0,0.95812476,3.3268015,0.17460318,2.5434792,68.92444,0
6bba_283bf9f1,61,0,11.0,95.0,69.0,0.72768,2.778501,0.17460318,2.5434792,68.92444,1
6bba_283bf9f1,62,0,16.0,0.0,163.0,0.9105508,6.15131,0.25396827,2.1396742,41.032837,0
