dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_337b1b3a,0,0,35.0,99.0,126.0,0.70433414,2.816449,0.5555556,2.4895616,64.63342,2
6bba_337b1b3a,1,0,46.0,64.0,86.0,0.79278445,4.2280283,0.73015875,2.5401762,68.65625,1
6bba_337b1b3a,2,0,37.0,152.0,100.0,0.7187532,4.207582,0.5873016,2.5368643,68.38806,0
6bba_337b1b3a,3,0,43.0,46.0,61.0,0.9059834,4.568931,0.6825397,2.5401762,68.65625,0
6bba_337b1b3a,4,0,39.0,86.0,121.0,0.6968884,3.257585,0.61904764,2.5368643,68.38806,3
6bba_337b1b3a,5,0,36.0,126.0,103.0,0.9477708,4.784267,0.5714286,2.5401762,68.65625,1
6bba_337b1b3a,6,0,47.0,66.0,21.0,0.8436568,4.7525606,0.74603176,2.5401762,68.65625,0
6bba_337b1b3a,7,0,63.0,0.0,60.0,0.72060317,3.605617,1.0,1.7994134,24.405151,0
6bba_337b1b3a,8,0,49.0,94.0,99.0,0.5311776,2.4938078,0.7777778,2.4826555,64.097046,2
6bba_337b1b3a,9,0,26.0,97.0,99.0,0.69634193,5.07975,0.41269842,2.4861133,64.365234,0
6bba_337b1b3a,10,0,37.0,82.0,96.0,0.85710996,4.069942,0.5873016,2.5434792,68.92444,1
6bba_337b1b3a,11,0,63.0,93.0,34.0,0.62540084,2.8767514,1.0,2.0317688,35.13269,1
6bba_337b1b3a,12,0,49.0,166.0,89.0,0.6869712,2.9327269,0.7777778,2.5302145,67.851685,1
6bba_337b1b3a,13,0,63.0,205.0,72.0,0.7879853,2.1244044,1.0,2.1396742,41.032837,2
6bba_337b1b3a,14,0,63.0,84.0,26.0,0.61731756,2.1332362,1.0,2.021376,34.596313,3
6bba_337b1b3a,15,0,34.0,99.0,116.0,0.64435893,2.393884,0.53968257,2.4861133,64.365234,3
6bba_337b1b3a,16,0,54.0,98.0,58.0,0.6326086,2.1570241,0.85714287,2.5335438,68.11987,3
6bba_337b1b3a,17,0,37.0,66.0,111.0,0.689358,2.8658824,0.5873016,2.5401762,68.65625,1
6bba_337b1b3a,18,0,54.0,124.0,84.0,0.5889105,3.5249085,0.85714287,2.5100527,66.24255,0
6bba_337b1b3a,19,0,42.0,19.0,18.0,0.8710179,4.1691175,0.6666667,2.5434792,68.92444,1
6bba_337b1b3a,20,0,20.0,32.0,115.0,0.63698024,3.7770154,0.31746033,2.4895616,64.63342,0
6bba_337b1b3a,21,0,37.0,136.0,60.0,0.86783785,3.2759383,0.5873016,2.5434792,68.92444,0
6bba_337b1b3a,22,0,20.0,14.0,130.0,0.61586624,2.7231266,0.31746033,2.4652207,62.756104,1
6bba_337b1b3a,23,0,50.0,98.0,45.0,0.84484136,3.6690164,0.7936508,2.5434792,68.92444,3
6bba_337b1b3a,24,0,36.0,140.0,163.0,0.52454275,2.1241477,0.5714286,2.5434792,68.92444,1
6bba_337b1b3a,25,0,37.0,170.0,166.0,0.52584356,2.2078383,0.5873016,2.5401762,68.65625,0
6bba_337b1b3a,26,0,63.0,198.0,23.0,0.8455575,1.8963803,1.0,2.1396742,41.032837,1
6bba_337b1b3a,27,0,55.0,206.0,60.0,0.79607016,3.1656232,0.8730159,2.5201738,67.04712,2
6bba_337b1b3a,28,0,31.0,11.0,178.0,0.5270775,2.5189931,0.4920635,2.5434792,68.92444,0
6bba_337b1b3a,29,0,63.0,193.0,34.0,0.861973,2.3110595,1.0,2.1396742,41.032837,1
6bba_337b1b3a,30,0,38.0,128.0,82.0,0.67687076,4.245697,0.6031746,2.4687274,63.024292,1
6bba_337b1b3a,31,0,44.0,58.0,130.0,0.4648637,3.2586205,0.6984127,2.4861133,64.365234,0
6bba_337b1b3a,32,0,43.0,107.0,99.0,0.55603915,2.428436,0.6825397,2.5100527,66.24255,2
6bba_337b1b3a,33,0,56.0,205.0,64.0,0.80562764,2.7165427,0.8888889,2.5434792,68.92444,2
6bba_337b1b3a,34,0,63.0,121.0,56.0,0.50242174,4.9106255,1.0,2.0317688,35.13269,0
6bba_337b1b3a,35,0,25.0,48.0,127.0,0.6583763,2.450315,0.3968254,2.433201,60.342407,5
6bba_337b1b3a,36,0,53.0,122.0,23.0,0.6885788,3.8091893,0.84126985,2.499849,65.43799,1
6bba_337b1b3a,37,0,24.0,48.0,119.0,0.7328869,3.1393142,0.3809524,2.4223385,59.53784,5
6bba_337b1b3a,38,0,40.0,93.0,12.0,0.9020102,3.8066792,0.63492066,2.5134354,66.51074,2
6bba_337b1b3a,39,0,36.0,37.0,85.0,0.68673146,3.5740688,0.5714286,2.5401762,68.65625,2
6bba_337b1b3a,40,0,54.0,184.0,85.0,0.6061924,2.2980309,0.85714287,2.5434792,68.92444,1
6bba_337b1b3a,41,0,27.0,16.0,100.0,0.63168144,3.5621421,0.42857143,2.5368643,68.38806,0
6bba_337b1b3a,42,0,42.0,8.0,114.0,0.4930462,3.7525277,0.6666667,2.4652207,62.756104,0
6bba_337b1b3a,43,0,30.0,36.0,59.0,0.8676581,3.9366744,0.47619048,2.4895616,64.63342,2
6bba_337b1b3a,44,0,30.0,56.0,85.0,0.68831795,2.3107908,0.47619048,2.4403894,60.878784,3
6bba_337b1b3a,45,0,58.0,133.0,72.0,0.6490584,2.6111681,0.9206349,2.475711,63.56067,1
6bba_337b1b3a,46,0,50.0,110.0,6.0,0.9385833,4.3377423,0.7936508,2.5434792,68.92444,3
6bba_337b1b3a,47,0,30.0,61.0,83.0,0.80935055,3.004413,0.47619048,2.5268764,67.583496,3
6bba_337b1b3a,48,0,46.0,159.0,44.0,0.84293056,4.5520997,0.73015875,2.5368643,68.38806,2
6bba_337b1b3a,49,0,52.0,27.0,63.0,0.57122684,2.1492205,0.82539684,2.4652207,62.756104,1
6bba_337b1b3a,50,0,56.0,13.0,57.0,0.58531106,2.3495684,0.8888889,2.5368643,68.38806,0
6bba_337b1b3a,51,0,49.0,77.0,124.0,0.4263833,1.8882267,0.7777778,2.451093,61.68335,1
6bba_337b1b3a,52,0,25.0,7.0,65.0,0.6993844,2.8470774,0.3968254,2.472224,63.29248,3
6bba_337b1b3a,53,0,44.0,17.0,66.0,0.593053,2.756956,0.6984127,2.4687274,63.024292,1
